,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DQKJ,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,TP-LINK_1398,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526441379711,-29,-38,-32,-41,-37,-51,-38,-50,-56,-54,-47,-50,-63,-63,-60,-64,-52,-61,-55,-67,-200,-63,-200,-72,-70,-74,-70,-72,-63,-74,-63,-77,-69,-75,-200,-80,-81,-66,-200,-200,-68,-75,-81,-200,-200,-65,-77,-89,-200,-200,-200,-200,-79,-65,-70,-73,-84,-76,-87,-200,-72,-85,-89,-90,-200
1526441382771,-28,-35,-33,-39,-41,-53,-39,-49,-55,-54,-50,-52,-63,-63,-60,-65,-52,-61,-54,-67,-200,-63,-200,-72,-65,-74,-69,-72,-63,-74,-79,-77,-68,-75,-200,-80,-82,-66,-200,-78,-76,-75,-81,-200,-200,-65,-79,-89,-200,-200,-200,-200,-79,-65,-70,-73,-84,-76,-87,-200,-72,-85,-89,-90,-200
1526441385820,-29,-39,-35,-39,-39,-54,-40,-49,-57,-54,-52,-52,-61,-61,-60,-67,-69,-70,-54,-68,-200,-63,-200,-72,-60,-200,-73,-72,-63,-72,-72,-74,-68,-74,-200,-80,-82,-67,-200,-78,-76,-200,-81,-82,-200,-63,-79,-88,-200,-200,-200,-89,-79,-65,-71,-82,-84,-83,-200,-200,-200,-85,-89,-90,-200
1526441388859,-28,-37,-35,-37,-38,-54,-38,-51,-54,-54,-48,-52,-58,-61,-62,-67,-54,-59,-58,-67,-200,-59,-200,-72,-60,-200,-73,-69,-60,-72,-68,-74,-65,-73,-200,-80,-82,-71,-200,-78,-73,-200,-81,-82,-200,-63,-77,-87,-200,-200,-200,-89,-200,-72,-71,-82,-84,-83,-90,-200,-200,-85,-200,-200,-200
1526441391912,-29,-36,-28,-37,-37,-54,-37,-51,-54,-54,-50,-52,-63,-67,-62,-66,-53,-59,-56,-69,-200,-62,-200,-73,-59,-200,-73,-70,-64,-72,-72,-72,-66,-73,-200,-79,-82,-71,-200,-78,-72,-200,-200,-82,-200,-65,-77,-87,-85,-200,-200,-89,-200,-72,-71,-76,-84,-83,-90,-200,-200,-85,-200,-200,-200
1526441394957,-30,-37,-28,-39,-36,-55,-37,-51,-56,-53,-48,-62,-63,-67,-62,-62,-53,-59,-56,-68,-200,-64,-200,-73,-63,-200,-73,-70,-63,-72,-72,-72,-65,-73,-200,-80,-82,-68,-200,-73,-69,-200,-200,-82,-200,-61,-80,-87,-85,-200,-200,-89,-200,-66,-70,-76,-84,-80,-90,-69,-200,-200,-200,-200,-200
1526441397995,-33,-34,-33,-39,-36,-56,-37,-49,-56,-53,-51,-52,-55,-66,-62,-66,-51,-65,-56,-67,-200,-65,-200,-73,-59,-200,-73,-72,-67,-72,-73,-72,-67,-72,-200,-80,-82,-69,-73,-77,-69,-200,-200,-82,-200,-61,-80,-87,-85,-200,-200,-89,-200,-66,-70,-75,-84,-80,-90,-70,-72,-200,-200,-200,-200
1526441401048,-29,-34,-26,-39,-35,-52,-37,-49,-52,-55,-47,-52,-60,-66,-59,-64,-52,-61,-56,-67,-200,-65,-200,-74,-63,-72,-73,-72,-63,-200,-72,-72,-72,-73,-200,-80,-82,-69,-73,-75,-70,-200,-200,-200,-200,-61,-80,-87,-85,-200,-200,-200,-200,-66,-69,-75,-84,-80,-90,-70,-72,-200,-200,-87,-200
1526441404090,-28,-34,-28,-40,-35,-50,-37,-74,-52,-55,-50,-53,-60,-65,-59,-65,-51,-60,-53,-67,-200,-65,-64,-72,-63,-72,-73,-72,-63,-200,-64,-72,-72,-71,-200,-74,-75,-69,-73,-75,-70,-74,-82,-200,-200,-68,-80,-87,-85,-200,-200,-200,-200,-66,-67,-77,-84,-80,-200,-70,-72,-84,-200,-87,-200
1526441407136,-28,-38,-33,-37,-35,-58,-40,-54,-56,-55,-46,-53,-60,-63,-59,-66,-51,-82,-54,-68,-200,-69,-64,-72,-59,-72,-72,-73,-61,-200,-63,-200,-72,-72,-200,-78,-80,-69,-73,-76,-70,-74,-82,-200,-200,-69,-80,-88,-200,-200,-200,-200,-200,-66,-67,-77,-84,-80,-200,-72,-72,-84,-200,-87,-200
1526441410177,-28,-34,-34,-37,-39,-51,-38,-50,-52,-55,-44,-50,-55,-62,-61,-62,-51,-64,-57,-66,-67,-65,-69,-73,-63,-81,-68,-73,-61,-200,-73,-71,-70,-74,-200,-80,-81,-69,-73,-77,-69,-74,-82,-200,-200,-71,-200,-88,-200,-200,-200,-89,-87,-200,-66,-77,-84,-80,-200,-72,-75,-84,-200,-87,-89
1526441413226,-29,-35,-35,-38,-36,-55,-39,-47,-55,-57,-50,-54,-55,-63,-61,-66,-54,-62,-55,-65,-68,-65,-73,-73,-63,-81,-67,-73,-60,-200,-72,-71,-66,-76,-200,-80,-81,-69,-200,-77,-78,-74,-82,-84,-200,-63,-200,-88,-200,-200,-200,-89,-87,-200,-67,-77,-84,-80,-200,-71,-75,-84,-200,-87,-89
