,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,TP-LINK_1398,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DQKJ,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018
1526440828757,-41,-61,-35,-68,-35,-56,-59,-48,-53,-38,-53,-55,-61,-54,-200,-75,-56,-74,-37,-46,-200,-73,-64,-64,-69,-67,-62,-200,-70,-70,-41,-78,-66,-65,-78,-200,-200,-70,-73,-58,-76,-85,-71,-56,-69,-64,-77,-77,-76,-84,-79,-200,-89,-48,-65,-77,-87,-79,-200,-70,-80,-73,-87,-86,-94,-85,-85,-200,-200,-200,-200,-200,-200
1526440831808,-39,-64,-35,-65,-36,-56,-60,-44,-53,-42,-50,-54,-59,-54,-200,-75,-56,-75,-39,-46,-200,-73,-67,-61,-69,-66,-63,-200,-67,-72,-42,-79,-66,-61,-79,-200,-90,-70,-73,-59,-75,-79,-73,-57,-69,-68,-77,-77,-76,-85,-79,-200,-200,-52,-65,-77,-87,-79,-200,-200,-76,-73,-87,-86,-94,-85,-85,-75,-90,-200,-200,-200,-200
1526440834866,-41,-65,-35,-65,-36,-58,-59,-41,-53,-40,-53,-54,-59,-55,-200,-75,-55,-75,-36,-46,-200,-74,-67,-61,-69,-66,-63,-200,-67,-74,-42,-79,-66,-61,-79,-200,-90,-70,-72,-59,-75,-79,-73,-57,-70,-77,-77,-77,-76,-84,-84,-200,-200,-49,-60,-77,-87,-79,-200,-200,-80,-73,-200,-86,-94,-86,-86,-75,-90,-200,-200,-200,-200
1526440837927,-37,-62,-32,-65,-36,-56,-61,-42,-53,-37,-49,-55,-62,-55,-200,-74,-57,-75,-38,-46,-200,-74,-63,-61,-69,-66,-64,-200,-67,-72,-45,-79,-69,-71,-79,-200,-90,-70,-74,-59,-75,-79,-73,-59,-70,-77,-77,-77,-77,-84,-84,-200,-200,-49,-64,-200,-200,-78,-200,-200,-76,-73,-200,-86,-200,-86,-86,-75,-90,-200,-200,-200,-200
1526440840999,-36,-62,-32,-65,-37,-55,-59,-39,-53,-40,-47,-55,-62,-55,-200,-77,-57,-75,-35,-47,-200,-74,-63,-59,-69,-65,-64,-200,-69,-72,-44,-79,-67,-67,-78,-200,-90,-79,-75,-59,-75,-85,-67,-58,-72,-77,-76,-77,-77,-84,-84,-200,-89,-50,-64,-84,-200,-78,-200,-200,-80,-73,-200,-86,-200,-86,-86,-75,-90,-93,-200,-200,-200
1526440844056,-38,-62,-35,-65,-35,-55,-60,-43,-53,-41,-49,-52,-65,-55,-200,-77,-54,-75,-39,-46,-200,-74,-62,-59,-69,-65,-64,-200,-69,-72,-44,-79,-67,-66,-79,-200,-87,-77,-74,-59,-75,-85,-70,-52,-72,-77,-76,-78,-77,-84,-84,-200,-88,-49,-60,-84,-85,-78,-200,-200,-80,-73,-200,-86,-200,-86,-85,-75,-90,-93,-200,-200,-200
1526440847112,-37,-66,-32,-65,-36,-55,-60,-46,-53,-42,-49,-52,-61,-53,-200,-77,-57,-200,-39,-47,-200,-74,-64,-59,-69,-65,-64,-85,-69,-72,-45,-79,-67,-66,-79,-200,-87,-77,-74,-59,-75,-85,-72,-56,-65,-77,-76,-78,-77,-84,-84,-200,-88,-53,-60,-84,-85,-78,-200,-200,-80,-75,-200,-200,-200,-86,-85,-200,-200,-93,-200,-200,-200
1526440850158,-39,-66,-34,-65,-35,-57,-59,-49,-53,-41,-49,-52,-61,-55,-200,-77,-57,-76,-35,-47,-200,-74,-64,-65,-200,-65,-65,-85,-70,-71,-44,-79,-72,-64,-78,-200,-87,-77,-74,-59,-75,-85,-72,-58,-62,-64,-76,-77,-77,-85,-200,-200,-89,-49,-60,-78,-85,-78,-200,-68,-85,-75,-200,-200,-200,-200,-85,-200,-200,-93,-200,-200,-200
1526440853209,-40,-63,-32,-66,-36,-61,-60,-44,-53,-42,-49,-55,-61,-52,-200,-77,-63,-76,-37,-47,-200,-74,-64,-61,-70,-65,-66,-85,-70,-72,-44,-79,-70,-65,-78,-200,-87,-71,-74,-59,-75,-79,-72,-54,-62,-72,-76,-77,-78,-84,-200,-88,-89,-49,-61,-78,-86,-200,-200,-68,-85,-75,-200,-200,-200,-200,-83,-200,-200,-93,-200,-200,-200
1526440856257,-43,-63,-33,-66,-36,-57,-58,-48,-53,-43,-48,-51,-61,-52,-71,-77,-59,-76,-37,-47,-200,-73,-63,-61,-70,-69,-66,-85,-70,-72,-44,-81,-67,-69,-78,-200,-87,-71,-74,-59,-75,-79,-73,-57,-62,-72,-77,-77,-78,-84,-200,-88,-89,-50,-63,-78,-86,-76,-200,-68,-85,-75,-200,-200,-200,-200,-83,-75,-200,-200,-81,-86,-200
1526440859325,-39,-63,-34,-63,-36,-56,-61,-48,-53,-42,-49,-57,-64,-56,-71,-77,-55,-79,-37,-47,-200,-74,-65,-61,-70,-65,-66,-85,-70,-72,-45,-78,-67,-65,-78,-200,-86,-70,-73,-59,-75,-79,-73,-59,-62,-70,-77,-77,-78,-85,-200,-88,-90,-50,-63,-84,-86,-76,-200,-68,-85,-75,-200,-200,-200,-200,-83,-75,-200,-200,-81,-86,-200
1526440862398,-38,-66,-32,-63,-36,-57,-63,-44,-53,-40,-50,-53,-64,-57,-71,-77,-55,-79,-36,-47,-200,-74,-62,-61,-70,-65,-64,-85,-70,-72,-44,-78,-67,-65,-78,-200,-86,-70,-73,-59,-75,-83,-70,-59,-67,-69,-77,-77,-78,-85,-200,-88,-90,-50,-63,-84,-86,-76,-200,-68,-85,-75,-200,-200,-200,-200,-83,-75,-200,-200,-81,-86,-84
