,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A10,DLINK_D00E98,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A58,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A60,DLINK_D02A30,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED0,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D00EC0,DLINK_D07F10,D-Link_DIR-823Pro,DLINK_D02A20,DLINK_D02A98,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro
1526451724738,-50,-43,-57,-57,-56,-57,-42,-68,-60,-60,-63,-58,-52,-60,-64,-64,-68,-68,-57,-63,-66,-68,-72,-80,-70,-75,-82,-66,-69,-77,-73,-87,-66,-71,-75,-55,-81,-85,-68,-74,-200,-200,-200,-82,-74,-82,-81,-77,-92,-83,-77,-92,-200,-200,-90,-82,-94,-82,-89,-200,-86,-82,-95,-81,-84,-87,-88,-89,-78,-83,-200,-91,-89,-85,-94,-91,-200,-93,-200,-200,-94,-95,-82,-200,-95,-200,-200,-200,-100,-200,-200,-200,-95,-83,-200,-94,-94,-200,-84,-68,-84,-200,-200,-200,-200,-200,-78,-200,-97,-200,-200,-200,-200,-200
1526451727803,-49,-43,-56,-53,-52,-57,-42,-69,-59,-61,-63,-57,-55,-65,-66,-64,-67,-64,-57,-64,-66,-68,-70,-200,-70,-73,-82,-63,-65,-76,-72,-84,-66,-71,-74,-56,-80,-83,-64,-79,-71,-78,-200,-81,-75,-82,-84,-78,-92,-82,-77,-200,-200,-200,-92,-83,-94,-81,-90,-200,-87,-82,-95,-80,-84,-87,-88,-200,-80,-83,-200,-91,-80,-87,-95,-93,-200,-96,-200,-200,-97,-93,-86,-200,-95,-95,-200,-200,-200,-200,-200,-200,-95,-83,-200,-94,-200,-200,-87,-68,-84,-200,-82,-200,-200,-96,-78,-200,-200,-200,-200,-200,-200,-200
1526451730859,-49,-43,-54,-52,-52,-58,-43,-68,-58,-61,-63,-55,-56,-64,-64,-66,-68,-63,-58,-66,-64,-65,-68,-83,-69,-74,-82,-65,-69,-77,-72,-87,-67,-71,-74,-55,-79,-83,-58,-75,-71,-78,-200,-81,-74,-82,-83,-78,-90,-83,-78,-200,-200,-200,-92,-83,-92,-81,-90,-200,-86,-85,-95,-80,-85,-86,-86,-87,-79,-81,-200,-91,-88,-87,-96,-93,-200,-96,-200,-200,-95,-90,-92,-200,-200,-93,-200,-200,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-68,-84,-200,-83,-200,-97,-96,-78,-200,-200,-96,-200,-200,-200,-200
1526451733915,-50,-42,-57,-55,-51,-58,-44,-70,-60,-61,-62,-55,-53,-65,-64,-64,-69,-69,-58,-63,-64,-68,-75,-77,-71,-74,-82,-65,-69,-83,-72,-83,-68,-71,-75,-54,-80,-82,-68,-76,-71,-72,-200,-81,-75,-82,-82,-78,-93,-83,-78,-200,-200,-200,-91,-84,-93,-89,-92,-200,-86,-86,-200,-80,-82,-86,-87,-87,-81,-81,-200,-96,-84,-87,-91,-91,-96,-91,-200,-200,-95,-93,-92,-97,-200,-93,-200,-200,-98,-200,-200,-200,-200,-200,-200,-93,-200,-200,-84,-200,-84,-200,-83,-200,-97,-96,-79,-200,-200,-96,-200,-200,-200,-200
1526451736969,-53,-42,-55,-55,-55,-56,-43,-74,-59,-60,-64,-56,-53,-64,-65,-59,-65,-63,-58,-62,-67,-65,-73,-77,-69,-74,-82,-63,-67,-75,-71,-87,-69,-200,-75,-55,-79,-84,-68,-76,-77,-78,-200,-78,-73,-81,-82,-200,-93,-84,-78,-200,-200,-83,-92,-83,-93,-89,-89,-200,-85,-83,-95,-80,-82,-85,-86,-87,-78,-83,-95,-92,-86,-85,-91,-92,-96,-91,-200,-200,-95,-91,-92,-97,-95,-93,-200,-200,-98,-200,-94,-200,-97,-81,-200,-94,-94,-200,-84,-69,-85,-200,-83,-200,-97,-200,-79,-200,-97,-96,-200,-200,-200,-200
1526451740029,-44,-43,-48,-57,-52,-57,-41,-74,-55,-60,-60,-61,-53,-61,-71,-61,-69,-63,-57,-60,-74,-69,-72,-75,-69,-76,-83,-69,-67,-77,-71,-81,-66,-72,-75,-55,-83,-84,-64,-81,-75,-78,-82,-80,-73,-81,-84,-77,-91,-83,-80,-200,-83,-81,-92,-79,-87,-89,-89,-200,-87,-86,-91,-84,-80,-86,-86,-90,-79,-82,-95,-92,-91,-88,-91,-90,-96,-83,-200,-200,-94,-94,-92,-97,-95,-200,-200,-200,-200,-200,-94,-200,-97,-81,-200,-94,-93,-96,-84,-69,-82,-200,-200,-200,-200,-96,-79,-200,-97,-97,-94,-97,-98,-200
1526451743086,-48,-44,-53,-50,-54,-55,-42,-68,-60,-60,-61,-59,-53,-64,-66,-62,-70,-68,-56,-67,-65,-66,-73,-80,-66,-75,-83,-70,-67,-73,-71,-81,-73,-72,-73,-56,-76,-83,-66,-80,-75,-78,-82,-80,-71,-82,-82,-77,-91,-84,-80,-200,-70,-81,-93,-75,-89,-80,-87,-200,-86,-86,-92,-79,-80,-86,-87,-90,-79,-83,-95,-90,-88,-85,-92,-90,-200,-83,-200,-200,-94,-83,-200,-200,-95,-200,-200,-200,-200,-200,-97,-200,-97,-81,-200,-95,-95,-96,-83,-69,-82,-200,-200,-200,-200,-96,-200,-200,-97,-97,-94,-97,-98,-200
1526451746142,-50,-42,-57,-54,-50,-58,-45,-67,-59,-58,-65,-61,-52,-59,-67,-62,-70,-68,-57,-74,-65,-67,-72,-78,-69,-74,-83,-66,-66,-78,-70,-80,-74,-73,-74,-56,-83,-84,-64,-77,-75,-78,-82,-82,-72,-84,-82,-77,-90,-82,-80,-200,-67,-84,-92,-75,-89,-80,-87,-200,-86,-86,-93,-80,-80,-85,-88,-90,-82,-83,-200,-92,-90,-87,-94,-93,-94,-93,-200,-91,-94,-93,-91,-200,-94,-200,-200,-200,-200,-200,-97,-200,-97,-200,-200,-94,-95,-96,-83,-70,-82,-200,-200,-200,-96,-96,-200,-200,-200,-97,-94,-97,-98,-99
1526451749198,-54,-41,-52,-53,-52,-61,-44,-68,-61,-60,-60,-60,-50,-62,-65,-55,-69,-62,-56,-60,-65,-67,-74,-81,-70,-74,-200,-65,-66,-73,-73,-81,-70,-73,-78,-57,-81,-85,-77,-77,-73,-81,-200,-80,-74,-81,-82,-200,-90,-84,-76,-200,-67,-84,-89,-82,-93,-84,-89,-200,-86,-82,-92,-79,-83,-88,-90,-200,-83,-83,-200,-95,-89,-87,-93,-90,-94,-93,-200,-91,-200,-93,-93,-200,-94,-200,-200,-200,-200,-200,-97,-200,-97,-200,-200,-94,-91,-200,-83,-70,-88,-200,-85,-200,-96,-200,-200,-200,-200,-200,-200,-200,-97,-99
1526451752267,-51,-42,-60,-57,-53,-57,-42,-74,-54,-63,-66,-56,-55,-61,-65,-57,-69,-65,-56,-64,-71,-67,-77,-81,-67,-83,-200,-67,-67,-77,-73,-82,-68,-73,-76,-58,-87,-82,-59,-79,-77,-81,-90,-80,-75,-82,-200,-200,-92,-84,-77,-200,-67,-84,-95,-84,-93,-85,-87,-200,-86,-86,-92,-79,-85,-86,-86,-89,-84,-84,-200,-92,-90,-86,-93,-90,-94,-93,-200,-91,-95,-93,-93,-200,-94,-200,-200,-200,-97,-97,-97,-200,-97,-200,-200,-93,-91,-200,-80,-70,-82,-200,-82,-200,-96,-96,-200,-200,-200,-200,-200,-200,-97,-99
1526451755319,-49,-44,-58,-53,-53,-55,-41,-73,-56,-64,-59,-57,-52,-65,-64,-61,-69,-62,-56,-61,-71,-64,-69,-77,-71,-74,-82,-67,-67,-77,-80,-79,-68,-73,-75,-58,-85,-80,-66,-77,-78,-81,-86,-78,-74,-81,-200,-200,-88,-83,-77,-200,-200,-84,-95,-83,-93,-92,-85,-200,-86,-83,-94,-79,-85,-85,-86,-89,-81,-83,-200,-92,-90,-85,-93,-91,-94,-200,-200,-97,-95,-91,-94,-200,-95,-200,-200,-200,-97,-97,-97,-200,-200,-79,-200,-94,-91,-200,-80,-69,-82,-200,-82,-200,-200,-96,-200,-200,-200,-200,-200,-200,-97,-200
1526451758363,-49,-43,-55,-55,-51,-58,-44,-73,-57,-64,-66,-57,-55,-59,-65,-59,-67,-70,-56,-63,-71,-68,-69,-81,-68,-74,-82,-67,-67,-81,-80,-84,-68,-200,-76,-59,-84,-81,-66,-80,-75,-78,-85,-78,-74,-81,-200,-200,-91,-83,-77,-200,-200,-83,-95,-83,-200,-79,-87,-200,-86,-86,-93,-200,-85,-85,-87,-89,-77,-81,-200,-91,-88,-85,-200,-91,-94,-200,-200,-97,-95,-91,-94,-200,-95,-94,-200,-200,-97,-97,-200,-200,-95,-79,-200,-92,-92,-200,-87,-69,-89,-200,-82,-200,-200,-96,-200,-200,-200,-200,-200,-97,-200,-200
