,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00E98,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A68,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A30,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A88,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,znms
1526449782566,-29,-37,-35,-49,-49,-49,-48,-48,-51,-61,-64,-59,-60,-57,-65,-56,-56,-200,-52,-68,-200,-83,-200,-73,-67,-70,-71,-76,-69,-200,-200,-77,-74,-70,-79,-77,-79,-77,-82,-78,-85,-200,-200,-85,-81,-87,-200,-200,-90,-86,-79,-200,-86,-200,-200,-74,-200,-86,-200,-200,-87,-92,-200,-200,-86,-88,-70,-200,-200,-200,-200,-200,-200
1526449785629,-29,-39,-34,-52,-48,-46,-49,-50,-52,-65,-64,-59,-60,-57,-65,-54,-55,-200,-52,-67,-200,-83,-200,-73,-67,-67,-71,-76,-77,-200,-200,-77,-74,-69,-79,-78,-79,-200,-82,-200,-86,-200,-200,-83,-83,-87,-200,-200,-90,-86,-79,-200,-200,-200,-200,-74,-200,-89,-200,-200,-87,-88,-200,-200,-87,-88,-71,-200,-200,-200,-200,-200,-200
1526449788673,-29,-35,-34,-52,-50,-47,-46,-47,-51,-63,-61,-64,-200,-59,-73,-55,-55,-68,-52,-64,-200,-83,-200,-76,-68,-70,-75,-77,-69,-200,-78,-77,-77,-69,-79,-78,-76,-200,-79,-200,-86,-200,-200,-85,-86,-200,-200,-200,-90,-86,-79,-200,-200,-200,-200,-74,-200,-85,-200,-200,-87,-88,-200,-200,-87,-88,-72,-93,-200,-200,-200,-200,-200
1526449791743,-30,-37,-33,-50,-54,-42,-48,-51,-53,-63,-56,-57,-200,-59,-77,-60,-54,-61,-56,-61,-200,-83,-75,-76,-65,-69,-74,-77,-73,-200,-78,-78,-79,-69,-79,-77,-80,-78,-80,-200,-86,-200,-200,-85,-86,-200,-200,-200,-200,-86,-79,-200,-200,-200,-200,-74,-200,-85,-200,-200,-91,-90,-200,-200,-87,-88,-72,-93,-200,-200,-200,-200,-200
1526449794799,-29,-37,-33,-51,-49,-43,-48,-52,-51,-61,-62,-66,-55,-56,-69,-59,-57,-65,-56,-67,-200,-83,-83,-74,-65,-69,-72,-77,-73,-200,-78,-78,-78,-71,-200,-77,-84,-77,-78,-200,-86,-200,-200,-85,-86,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-74,-200,-85,-200,-200,-91,-86,-200,-200,-87,-200,-72,-93,-81,-89,-93,-200,-200
1526449797844,-26,-37,-33,-54,-50,-39,-49,-51,-53,-60,-62,-58,-55,-60,-66,-60,-57,-65,-54,-66,-200,-71,-83,-74,-65,-67,-72,-77,-73,-200,-78,-78,-78,-74,-200,-77,-84,-79,-78,-200,-87,-79,-200,-85,-87,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-85,-200,-89,-91,-89,-200,-200,-87,-200,-72,-93,-81,-89,-93,-200,-200
1526449800894,-31,-38,-35,-51,-50,-44,-50,-55,-51,-63,-54,-58,-55,-62,-67,-64,-57,-65,-54,-62,-200,-71,-75,-74,-67,-73,-73,-77,-67,-200,-78,-78,-81,-78,-200,-77,-83,-78,-81,-200,-83,-79,-200,-85,-86,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-86,-200,-89,-91,-89,-200,-200,-200,-200,-78,-93,-81,-89,-93,-200,-200
1526449803972,-29,-37,-34,-49,-50,-40,-48,-50,-51,-64,-56,-55,-83,-59,-68,-71,-64,-55,-54,-62,-200,-71,-75,-76,-66,-69,-73,-200,-67,-200,-200,-78,-81,-70,-200,-78,-83,-76,-81,-200,-84,-79,-200,-200,-84,-85,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-83,-86,-200,-89,-91,-89,-200,-200,-200,-200,-78,-200,-81,-89,-93,-85,-200
1526449807035,-29,-37,-38,-48,-50,-42,-48,-49,-50,-64,-56,-63,-60,-58,-67,-63,-56,-69,-51,-61,-81,-71,-75,-76,-66,-69,-74,-200,-75,-200,-200,-200,-81,-70,-200,-79,-83,-76,-80,-200,-84,-79,-200,-82,-84,-86,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-83,-85,-200,-89,-200,-89,-200,-200,-200,-200,-78,-200,-81,-89,-93,-85,-200
1526449810097,-25,-35,-37,-49,-52,-42,-48,-49,-52,-63,-56,-56,-55,-57,-67,-59,-54,-69,-51,-61,-81,-71,-75,-76,-66,-68,-72,-200,-69,-200,-200,-200,-77,-70,-200,-80,-83,-76,-77,-200,-84,-79,-200,-82,-84,-85,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-83,-85,-200,-89,-200,-89,-200,-200,-200,-200,-78,-200,-200,-200,-200,-85,-200
1526449813161,-27,-35,-36,-50,-50,-43,-51,-49,-52,-63,-56,-55,-55,-57,-66,-56,-56,-61,-51,-60,-81,-200,-75,-76,-68,-68,-72,-71,-65,-200,-200,-200,-78,-71,-75,-80,-83,-76,-77,-200,-85,-79,-200,-83,-84,-83,-83,-87,-200,-200,-83,-200,-88,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-85,-200
1526449816198,-24,-35,-36,-49,-50,-41,-51,-50,-53,-63,-59,-55,-55,-57,-65,-56,-55,-61,-56,-60,-81,-200,-83,-76,-66,-69,-72,-72,-65,-200,-200,-200,-78,-71,-75,-80,-80,-79,-76,-200,-89,-79,-200,-83,-84,-83,-83,-87,-200,-200,-83,-200,-88,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-90
