,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A60,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A68,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D00E98,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A88,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526450619692,-54,-67,-51,-37,-58,-76,-73,-56,-59,-200,-57,-57,-78,-200,-58,-74,-83,-200,-200,-72,-76,-200,-200,-200,-200,-200,-75,-64,-84,-72,-86,-81,-200,-200,-200,-71,-200,-92,-200,-86,-77,-88,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-69,-78,-200,-82,-86,-68,-200,-67,-200,-200,-75,-81,-76,-91,-79,-200,-200,-200,-200,-200
1526450622741,-54,-67,-55,-36,-59,-76,-73,-57,-57,-200,-57,-55,-78,-200,-61,-75,-86,-200,-79,-72,-76,-200,-200,-200,-200,-200,-75,-63,-84,-72,-86,-81,-200,-200,-200,-65,-200,-92,-200,-86,-78,-86,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-69,-78,-200,-82,-86,-68,-200,-74,-200,-200,-75,-81,-76,-91,-80,-87,-200,-200,-200,-200
1526450625792,-54,-67,-51,-39,-59,-76,-73,-59,-59,-85,-55,-62,-78,-200,-57,-74,-86,-83,-77,-70,-80,-200,-200,-200,-200,-200,-77,-63,-83,-70,-86,-85,-200,-200,-200,-66,-200,-200,-200,-86,-78,-86,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200,-75,-200,-200,-200,-68,-200,-67,-200,-200,-73,-81,-76,-91,-80,-87,-83,-200,-200,-200
1526450628832,-54,-76,-53,-36,-59,-76,-73,-59,-59,-85,-57,-58,-80,-200,-59,-75,-82,-83,-77,-71,-74,-200,-200,-200,-200,-200,-75,-63,-82,-70,-86,-85,-200,-200,-200,-69,-88,-200,-200,-89,-78,-86,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200,-77,-200,-200,-84,-70,-200,-67,-88,-200,-73,-81,-79,-91,-80,-87,-83,-91,-200,-200
1526450631884,-57,-71,-50,-42,-69,-76,-73,-59,-57,-85,-55,-61,-78,-200,-56,-75,-82,-84,-77,-70,-72,-200,-200,-200,-200,-200,-73,-63,-82,-70,-86,-85,-200,-200,-200,-65,-88,-200,-200,-87,-77,-86,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200,-84,-200,-200,-84,-70,-200,-67,-88,-200,-73,-82,-79,-200,-80,-87,-82,-91,-200,-200
1526450634946,-54,-71,-49,-43,-65,-76,-73,-58,-57,-86,-56,-60,-78,-200,-61,-73,-88,-84,-79,-69,-69,-200,-200,-200,-200,-200,-74,-62,-82,-70,-200,-85,-200,-200,-200,-69,-83,-200,-200,-86,-76,-86,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200,-79,-80,-200,-79,-70,-200,-67,-88,-200,-73,-82,-79,-200,-80,-87,-82,-91,-200,-200
1526450637994,-55,-65,-49,-42,-67,-78,-73,-58,-57,-84,-57,-60,-78,-200,-57,-73,-88,-82,-79,-69,-72,-200,-200,-200,-200,-200,-76,-62,-82,-70,-200,-85,-200,-200,-200,-66,-83,-200,-200,-86,-76,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-88,-200,-80,-68,-200,-67,-88,-200,-73,-82,-79,-200,-200,-200,-84,-91,-200,-200
1526450641043,-52,-65,-57,-41,-65,-78,-73,-57,-56,-84,-57,-60,-78,-200,-57,-73,-84,-82,-79,-69,-72,-200,-200,-200,-200,-200,-76,-84,-80,-69,-200,-87,-200,-200,-200,-65,-83,-89,-200,-86,-76,-88,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200,-77,-88,-200,-80,-68,-200,-200,-88,-87,-73,-82,-85,-200,-79,-200,-84,-91,-200,-200
1526450644099,-54,-65,-51,-41,-65,-78,-73,-57,-56,-88,-60,-57,-78,-200,-57,-73,-82,-82,-79,-68,-73,-200,-200,-200,-200,-200,-75,-68,-80,-69,-200,-85,-200,-200,-200,-65,-83,-93,-200,-86,-76,-89,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200,-77,-88,-200,-81,-68,-200,-200,-200,-87,-200,-82,-85,-200,-79,-200,-84,-200,-91,-200
1526450647154,-58,-81,-51,-39,-65,-78,-73,-57,-54,-88,-61,-60,-78,-200,-57,-73,-82,-82,-79,-69,-73,-200,-200,-200,-200,-200,-75,-67,-80,-73,-200,-85,-200,-200,-200,-65,-83,-93,-200,-86,-76,-89,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-72,-77,-88,-200,-81,-66,-200,-70,-200,-87,-85,-77,-85,-200,-79,-200,-84,-200,-91,-200
1526450650229,-54,-69,-51,-42,-66,-78,-73,-57,-54,-88,-58,-60,-78,-200,-60,-72,-85,-82,-78,-69,-72,-200,-200,-200,-200,-200,-73,-74,-80,-72,-200,-86,-200,-200,-200,-68,-200,-93,-200,-200,-76,-89,-200,-82,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-94,-72,-80,-88,-200,-81,-66,-200,-70,-200,-87,-85,-77,-85,-200,-79,-86,-84,-200,-91,-200
1526450653294,-53,-69,-54,-42,-65,-200,-73,-57,-55,-84,-57,-57,-78,-200,-60,-71,-85,-200,-78,-67,-75,-200,-200,-200,-200,-200,-75,-68,-83,-73,-89,-86,-200,-200,-200,-69,-200,-93,-200,-200,-76,-89,-200,-83,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-94,-72,-88,-200,-200,-81,-66,-200,-66,-200,-87,-75,-77,-76,-200,-79,-86,-200,-200,-91,-84
