,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A68,DLINK_D00E98,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,DLINK_D02A30,DLINK_D02A58,WHU-2018,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526449620747,-19,-30,-35,-35,-51,-42,-48,-44,-52,-52,-51,-51,-62,-200,-76,-64,-52,-58,-66,-63,-66,-64,-69,-75,-57,-79,-82,-81,-78,-76,-69,-200,-81,-78,-77,-79,-200,-200,-88,-64,-87,-80,-82,-80,-87,-200,-73,-91,-82,-200,-86,-82,-200,-83,-84,-200,-200,-200,-64,-91,-88,-91,-73,-77,-200,-200,-200,-200,-200
1526449623808,-22,-30,-35,-36,-51,-44,-52,-44,-60,-49,-51,-51,-62,-200,-76,-65,-52,-58,-64,-64,-68,-63,-69,-75,-64,-80,-82,-82,-77,-76,-71,-200,-81,-78,-77,-79,-200,-200,-87,-76,-87,-79,-82,-81,-87,-200,-73,-90,-82,-200,-86,-81,-200,-83,-84,-200,-200,-200,-64,-91,-88,-91,-73,-77,-69,-200,-200,-200,-200
1526449626866,-24,-33,-33,-37,-48,-41,-53,-48,-52,-50,-51,-55,-61,-200,-76,-66,-53,-58,-63,-68,-68,-63,-70,-75,-64,-80,-200,-84,-77,-75,-67,-200,-81,-78,-77,-200,-200,-80,-87,-68,-84,-79,-200,-79,-87,-200,-77,-90,-82,-200,-86,-81,-200,-83,-84,-74,-87,-200,-64,-200,-88,-91,-73,-77,-69,-78,-85,-200,-200
1526449629909,-17,-31,-31,-37,-48,-47,-53,-44,-48,-48,-51,-56,-61,-200,-76,-64,-59,-57,-64,-72,-72,-63,-66,-200,-64,-81,-200,-82,-76,-75,-67,-200,-82,-78,-77,-200,-200,-80,-87,-68,-84,-78,-200,-77,-87,-200,-77,-90,-82,-200,-86,-82,-200,-83,-84,-65,-87,-200,-64,-200,-88,-91,-73,-77,-69,-78,-85,-87,-200
1526449632981,-23,-32,-34,-37,-43,-39,-46,-50,-47,-49,-55,-54,-62,-200,-76,-64,-59,-57,-67,-60,-64,-63,-70,-200,-64,-81,-200,-81,-75,-74,-67,-200,-82,-78,-77,-200,-200,-80,-87,-68,-84,-78,-84,-77,-87,-200,-75,-90,-200,-200,-86,-81,-200,-83,-84,-65,-87,-200,-64,-200,-200,-200,-73,-77,-69,-78,-85,-87,-200
1526449636044,-24,-31,-36,-37,-43,-36,-44,-50,-47,-52,-52,-54,-59,-200,-200,-64,-54,-64,-67,-58,-64,-63,-71,-74,-64,-81,-78,-81,-76,-73,-67,-200,-82,-78,-77,-200,-68,-80,-88,-68,-82,-77,-83,-78,-87,-200,-76,-90,-200,-86,-200,-81,-200,-200,-200,-65,-87,-200,-200,-200,-200,-200,-79,-200,-69,-78,-85,-87,-200
1526449639084,-24,-31,-35,-39,-37,-36,-44,-50,-48,-52,-52,-54,-60,-58,-200,-66,-50,-64,-76,-62,-64,-64,-74,-74,-200,-81,-78,-81,-76,-73,-69,-200,-82,-74,-77,-79,-68,-80,-87,-68,-82,-77,-83,-78,-87,-200,-76,-200,-200,-86,-200,-81,-89,-200,-200,-65,-87,-200,-200,-200,-200,-200,-79,-200,-200,-78,-85,-87,-200
1526449642130,-24,-33,-37,-39,-42,-36,-46,-50,-46,-52,-54,-52,-58,-58,-200,-69,-58,-62,-76,-57,-63,-62,-70,-76,-200,-92,-80,-80,-76,-75,-69,-73,-81,-74,-81,-78,-66,-200,-85,-200,-82,-77,-83,-78,-80,-200,-76,-200,-80,-88,-200,-81,-89,-200,-200,-62,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-87,-200
1526449645188,-26,-29,-37,-47,-38,-36,-49,-50,-46,-54,-54,-51,-57,-58,-200,-69,-58,-61,-71,-61,-62,-62,-69,-72,-51,-80,-80,-79,-76,-73,-69,-73,-81,-72,-81,-78,-66,-200,-83,-200,-84,-77,-83,-78,-86,-200,-76,-200,-80,-88,-88,-81,-85,-200,-86,-61,-88,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200
1526449648244,-30,-29,-35,-39,-38,-36,-49,-50,-44,-59,-54,-51,-57,-58,-200,-69,-50,-61,-71,-61,-59,-69,-69,-72,-51,-80,-80,-79,-77,-73,-69,-73,-81,-72,-80,-78,-66,-200,-83,-200,-84,-77,-83,-78,-86,-200,-76,-200,-80,-88,-88,-81,-85,-200,-86,-61,-88,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-83
1526449651309,-26,-30,-35,-41,-41,-39,-50,-52,-44,-56,-53,-51,-57,-58,-200,-68,-50,-61,-70,-60,-61,-64,-70,-72,-51,-78,-80,-79,-77,-74,-69,-73,-80,-72,-80,-78,-66,-200,-86,-76,-84,-87,-83,-78,-86,-200,-76,-200,-80,-88,-86,-82,-85,-200,-83,-61,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83
1526449654358,-26,-30,-35,-34,-41,-35,-51,-48,-68,-57,-56,-51,-58,-200,-200,-68,-53,-61,-70,-62,-64,-61,-69,-76,-55,-81,-82,-80,-77,-76,-71,-73,-78,-74,-80,-78,-66,-200,-84,-76,-84,-80,-85,-80,-86,-200,-200,-200,-80,-88,-86,-81,-85,-74,-83,-61,-88,-200,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-84
