,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A30,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A20,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A98,WHU-2018,DLINK_D00EC0
1526454397928,-22,-33,-43,-36,-36,-39,-43,-49,-35,-55,-49,-52,-41,-53,-40,-46,-59,-53,-65,-71,-53,-55,-63,-80,-65,-71,-59,-66,-65,-200,-67,-200,-66,-200,-62,-73,-75,-74,-66,-79,-82,-71,-68,-79,-79,-81,-81,-83,-86,-79,-86,-84,-78,-200,-91,-200,-200,-58,-200,-200,-84,-200,-200,-76,-200,-200,-79,-200,-200,-88,-86,-90,-200,-200,-200,-200,-200,-200,-200
1526454401001,-21,-33,-43,-36,-37,-39,-47,-45,-39,-55,-49,-55,-41,-51,-44,-47,-59,-52,-65,-71,-51,-55,-63,-82,-66,-71,-59,-64,-65,-200,-62,-200,-64,-200,-64,-73,-75,-74,-70,-79,-84,-77,-68,-79,-79,-81,-81,-83,-86,-79,-86,-77,-78,-200,-91,-200,-200,-58,-200,-59,-84,-85,-200,-76,-200,-200,-79,-200,-200,-88,-86,-90,-81,-86,-200,-200,-200,-200,-200
1526454404068,-21,-39,-45,-36,-40,-41,-45,-45,-40,-57,-51,-53,-41,-54,-40,-51,-59,-52,-65,-70,-57,-55,-66,-82,-67,-83,-59,-67,-66,-200,-59,-200,-64,-200,-65,-72,-75,-200,-69,-79,-84,-75,-70,-200,-82,-81,-81,-83,-86,-79,-86,-77,-78,-200,-91,-200,-200,-73,-200,-59,-84,-85,-200,-200,-200,-200,-79,-200,-200,-88,-200,-90,-81,-86,-200,-200,-200,-200,-200
1526454407133,-21,-36,-43,-32,-39,-43,-45,-44,-38,-57,-53,-53,-40,-50,-40,-51,-58,-51,-200,-70,-54,-55,-64,-82,-67,-83,-59,-63,-66,-68,-62,-64,-64,-200,-65,-68,-75,-200,-67,-68,-84,-74,-70,-200,-79,-81,-81,-83,-83,-79,-83,-75,-77,-200,-92,-200,-200,-62,-200,-59,-83,-85,-200,-200,-200,-200,-200,-200,-200,-89,-200,-90,-81,-86,-80,-200,-200,-200,-200
1526454410184,-23,-34,-43,-32,-39,-42,-45,-43,-35,-57,-60,-54,-39,-54,-40,-51,-58,-53,-200,-70,-59,-200,-64,-82,-67,-68,-59,-63,-76,-68,-62,-64,-66,-200,-64,-68,-75,-85,-67,-68,-84,-73,-70,-78,-79,-81,-76,-200,-84,-76,-83,-81,-77,-200,-90,-200,-200,-60,-200,-59,-83,-83,-200,-200,-84,-200,-200,-200,-200,-89,-200,-200,-81,-86,-80,-200,-200,-200,-200
1526454413255,-22,-34,-43,-36,-39,-42,-50,-43,-37,-56,-52,-55,-54,-54,-36,-51,-58,-51,-200,-70,-61,-200,-63,-82,-67,-68,-59,-66,-76,-68,-60,-64,-65,-200,-63,-68,-200,-83,-67,-68,-84,-73,-70,-82,-80,-200,-76,-200,-83,-76,-83,-81,-77,-200,-90,-200,-200,-60,-200,-59,-83,-83,-200,-200,-84,-200,-80,-200,-200,-89,-200,-200,-81,-86,-81,-91,-200,-200,-200
1526454416321,-23,-34,-44,-36,-37,-42,-48,-46,-35,-56,-48,-52,-43,-52,-40,-47,-58,-52,-65,-70,-56,-200,-63,-82,-67,-68,-63,-68,-66,-59,-58,-64,-64,-200,-63,-68,-200,-83,-67,-68,-84,-73,-69,-82,-80,-82,-76,-200,-83,-76,-83,-76,-77,-79,-90,-200,-200,-60,-200,-65,-83,-83,-200,-200,-84,-200,-85,-200,-200,-89,-89,-200,-200,-200,-81,-91,-87,-200,-200
1526454419379,-24,-36,-44,-39,-39,-38,-45,-45,-34,-59,-59,-52,-39,-51,-40,-57,-59,-52,-65,-61,-56,-61,-63,-82,-66,-81,-63,-66,-66,-59,-60,-64,-65,-200,-69,-73,-200,-83,-67,-68,-84,-77,-72,-82,-85,-85,-76,-200,-83,-76,-83,-76,-76,-79,-90,-200,-200,-58,-200,-65,-83,-83,-200,-200,-84,-200,-85,-200,-200,-89,-89,-200,-200,-200,-81,-91,-87,-200,-200
1526454422442,-19,-40,-44,-39,-39,-38,-48,-49,-34,-60,-51,-56,-39,-55,-40,-49,-59,-52,-61,-61,-63,-61,-66,-82,-64,-81,-63,-66,-66,-62,-57,-64,-65,-200,-67,-70,-200,-83,-67,-200,-81,-77,-75,-82,-85,-81,-74,-200,-84,-76,-200,-76,-76,-79,-90,-92,-200,-58,-200,-65,-83,-83,-200,-200,-84,-200,-85,-81,-200,-89,-86,-200,-200,-200,-81,-91,-81,-200,-200
1526454425500,-19,-40,-44,-42,-43,-42,-48,-54,-34,-60,-55,-56,-39,-55,-40,-49,-59,-49,-61,-61,-63,-61,-67,-82,-66,-81,-63,-72,-66,-62,-53,-200,-65,-200,-69,-69,-200,-83,-67,-200,-81,-77,-73,-82,-85,-81,-74,-200,-84,-200,-200,-76,-77,-79,-90,-92,-200,-58,-200,-65,-83,-200,-200,-200,-200,-200,-85,-81,-200,-89,-86,-200,-200,-73,-81,-91,-81,-200,-200
1526454428569,-25,-38,-44,-48,-41,-42,-48,-54,-39,-60,-49,-54,-40,-55,-39,-49,-58,-49,-62,-61,-62,-60,-65,-77,-66,-81,-62,-68,-71,-62,-57,-200,-65,-200,-69,-77,-200,-71,-76,-68,-84,-77,-72,-200,-85,-81,-74,-200,-82,-200,-200,-76,-75,-79,-200,-92,-200,-53,-200,-65,-83,-200,-200,-200,-200,-200,-85,-81,-200,-200,-86,-200,-78,-73,-200,-200,-81,-83,-200
1526454431630,-21,-42,-43,-37,-39,-44,-48,-53,-38,-60,-54,-51,-41,-50,-41,-52,-58,-53,-58,-61,-60,-60,-64,-77,-66,-81,-62,-71,-68,-62,-53,-200,-62,-200,-69,-78,-200,-69,-76,-68,-84,-77,-72,-78,-85,-81,-74,-75,-82,-200,-90,-80,-75,-200,-200,-92,-200,-53,-200,-200,-80,-200,-200,-200,-200,-200,-200,-81,-200,-200,-86,-200,-78,-81,-200,-200,-81,-83,-76
