,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,DLINK_D00E98,DLINK_D02A68,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A88,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A98,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A38,DLINK_D02A28,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526454319942,-27,-33,-33,-34,-35,-35,-39,-51,-55,-58,-48,-48,-51,-50,-50,-59,-59,-52,-63,-56,-67,-61,-58,-75,-62,-70,-60,-70,-67,-77,-66,-200,-71,-200,-81,-70,-66,-77,-73,-62,-81,-79,-200,-84,-82,-200,-85,-74,-200,-200,-83,-200,-200,-79,-200,-81,-200,-200,-75,-200,-44,-55,-200,-200,-81,-200,-85,-200,-79,-71,-200,-70,-89,-76,-81,-87,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526454322992,-27,-32,-32,-37,-39,-35,-38,-59,-54,-58,-49,-41,-54,-49,-50,-62,-58,-52,-68,-56,-62,-57,-59,-75,-62,-70,-60,-68,-66,-77,-66,-200,-67,-70,-81,-70,-66,-76,-73,-65,-80,-79,-200,-84,-82,-200,-85,-74,-200,-200,-84,-200,-200,-79,-200,-81,-200,-200,-75,-200,-41,-55,-71,-200,-81,-200,-85,-200,-79,-200,-200,-70,-200,-76,-81,-87,-89,-88,-200,-200,-200,-200,-200,-200,-200
1526454326041,-29,-33,-35,-37,-32,-35,-39,-59,-71,-56,-45,-49,-54,-51,-50,-62,-54,-51,-68,-53,-62,-61,-56,-75,-66,-60,-60,-71,-66,-77,-66,-200,-67,-70,-81,-70,-66,-76,-72,-72,-78,-79,-200,-84,-82,-200,-85,-74,-76,-200,-82,-200,-200,-79,-200,-81,-200,-200,-75,-200,-45,-55,-71,-200,-81,-200,-200,-200,-82,-200,-200,-70,-200,-76,-81,-87,-89,-88,-85,-200,-200,-200,-200,-200,-200
1526454329110,-25,-33,-39,-38,-38,-36,-39,-59,-56,-55,-49,-48,-53,-51,-50,-61,-54,-48,-70,-53,-67,-60,-57,-66,-64,-64,-60,-71,-66,-71,-69,-68,-67,-70,-81,-70,-68,-75,-72,-72,-79,-79,-200,-82,-83,-200,-85,-200,-76,-200,-82,-200,-200,-79,-200,-79,-200,-200,-74,-200,-41,-55,-71,-83,-81,-200,-84,-200,-81,-200,-200,-63,-200,-200,-200,-200,-89,-88,-85,-200,-200,-200,-200,-200,-200
1526454332185,-27,-33,-39,-37,-38,-36,-40,-59,-57,-53,-48,-50,-54,-51,-51,-61,-55,-48,-67,-64,-66,-57,-55,-66,-64,-64,-60,-70,-69,-69,-67,-69,-77,-75,-70,-70,-68,-75,-75,-72,-79,-79,-73,-82,-83,-200,-92,-72,-76,-80,-82,-200,-200,-200,-200,-79,-200,-200,-74,-200,-43,-55,-71,-83,-200,-200,-84,-200,-81,-200,-200,-63,-200,-200,-200,-200,-89,-88,-85,-88,-200,-200,-200,-200,-200
1526454335278,-30,-32,-39,-37,-38,-37,-40,-49,-58,-54,-47,-47,-53,-51,-51,-60,-52,-49,-67,-64,-67,-58,-61,-66,-62,-62,-200,-71,-67,-70,-67,-69,-69,-75,-70,-70,-65,-75,-75,-66,-79,-200,-73,-82,-82,-200,-92,-72,-76,-80,-81,-200,-200,-200,-200,-79,-200,-200,-73,-200,-43,-61,-71,-83,-81,-200,-84,-200,-81,-200,-200,-63,-200,-200,-200,-200,-89,-88,-85,-88,-86,-200,-200,-200,-200
1526454338347,-30,-32,-43,-37,-41,-35,-38,-49,-58,-55,-47,-46,-53,-51,-51,-60,-53,-49,-75,-55,-69,-59,-61,-66,-64,-62,-200,-71,-71,-70,-69,-69,-69,-75,-70,-70,-65,-75,-72,-66,-81,-200,-73,-81,-82,-200,-92,-75,-76,-80,-81,-200,-200,-200,-200,-79,-200,-200,-70,-200,-43,-55,-75,-83,-81,-200,-85,-200,-81,-200,-200,-63,-200,-200,-200,-200,-200,-200,-85,-90,-86,-91,-200,-200,-200
1526454341429,-29,-32,-35,-37,-40,-40,-40,-52,-52,-53,-50,-49,-53,-51,-63,-60,-52,-48,-73,-54,-67,-59,-63,-66,-63,-62,-200,-70,-68,-68,-69,-69,-69,-70,-70,-70,-65,-75,-72,-70,-81,-200,-73,-81,-83,-200,-92,-75,-200,-80,-81,-87,-200,-84,-200,-79,-200,-200,-75,-200,-43,-55,-75,-83,-81,-200,-85,-200,-81,-200,-200,-63,-200,-200,-200,-200,-200,-200,-200,-89,-86,-91,-200,-200,-200
1526454344506,-30,-32,-36,-37,-33,-40,-39,-49,-54,-57,-47,-50,-53,-52,-55,-59,-55,-45,-70,-66,-70,-59,-61,-200,-63,-63,-200,-71,-72,-68,-70,-67,-73,-70,-70,-70,-65,-75,-78,-70,-81,-200,-73,-81,-83,-200,-92,-75,-200,-80,-81,-87,-200,-84,-200,-84,-200,-200,-75,-200,-45,-55,-75,-200,-81,-200,-85,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-86,-91,-90,-200,-200
1526454347570,-30,-34,-35,-37,-40,-40,-37,-49,-80,-57,-45,-49,-53,-52,-55,-60,-55,-50,-70,-66,-70,-59,-58,-200,-63,-63,-200,-71,-71,-68,-70,-67,-83,-70,-200,-67,-65,-75,-76,-70,-81,-200,-200,-81,-82,-200,-200,-75,-200,-200,-80,-87,-200,-84,-200,-84,-200,-200,-75,-200,-45,-51,-75,-200,-81,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-86,-91,-90,-88,-91
1526454350631,-29,-33,-41,-37,-35,-40,-39,-54,-61,-53,-45,-45,-53,-52,-55,-59,-55,-48,-73,-64,-69,-59,-56,-63,-63,-62,-58,-71,-68,-69,-70,-67,-74,-70,-200,-67,-68,-75,-76,-81,-81,-79,-200,-81,-82,-200,-200,-75,-200,-200,-81,-87,-200,-84,-200,-84,-200,-200,-73,-200,-47,-51,-75,-79,-81,-200,-85,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-91,-90,-88,-91
1526454353701,-29,-33,-41,-37,-34,-40,-38,-54,-56,-56,-49,-47,-53,-52,-55,-60,-55,-48,-73,-57,-68,-58,-56,-64,-62,-62,-58,-71,-68,-68,-70,-67,-73,-70,-71,-74,-68,-73,-70,-81,-200,-79,-200,-200,-83,-200,-200,-79,-200,-200,-81,-87,-200,-84,-200,-84,-200,-200,-74,-200,-47,-51,-200,-79,-81,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-90,-88,-91
