,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,DLINK_D02A98,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00ED0,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A20,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A38,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526448214778,-21,-16,-33,-47,-57,-69,-52,-56,-57,-51,-50,-56,-54,-46,-56,-61,-62,-61,-70,-50,-70,-67,-72,-70,-58,-65,-49,-71,-59,-88,-87,-69,-200,-71,-74,-69,-74,-84,-84,-76,-79,-78,-76,-79,-82,-79,-84,-78,-81,-73,-79,-81,-200,-80,-200,-81,-88,-200,-86,-80,-73,-200,-91,-84,-88,-200,-91,-83,-89,-85,-200,-200,-93,-86,-84,-80,-85,-88,-200,-200,-200,-87,-90,-88,-94,-88,-200,-200,-88,-79,-79,-200,-87,-200,-200,-200,-90,-91,-77,-200,-200,-200,-200
1526448217815,-23,-35,-33,-42,-55,-52,-52,-56,-54,-44,-49,-56,-51,-48,-47,-53,-60,-61,-77,-51,-70,-67,-80,-71,-59,-57,-50,-71,-60,-88,-84,-72,-200,-72,-74,-69,-78,-84,-83,-74,-200,-78,-76,-79,-81,-77,-84,-77,-81,-73,-79,-81,-200,-80,-82,-82,-200,-200,-87,-80,-76,-87,-91,-85,-88,-92,-88,-84,-89,-85,-200,-200,-93,-84,-84,-81,-83,-90,-200,-200,-200,-87,-86,-88,-94,-88,-200,-200,-89,-79,-79,-200,-87,-88,-200,-200,-90,-200,-77,-200,-200,-200,-200
1526448220849,-29,-33,-35,-44,-55,-60,-51,-56,-57,-44,-49,-56,-51,-48,-47,-53,-62,-61,-67,-52,-70,-67,-84,-71,-59,-65,-50,-72,-60,-81,-82,-72,-87,-73,-74,-69,-78,-86,-84,-74,-81,-78,-76,-77,-82,-77,-84,-81,-82,-73,-79,-80,-200,-80,-82,-82,-200,-200,-88,-79,-74,-88,-90,-85,-200,-92,-88,-84,-89,-82,-200,-91,-93,-85,-87,-80,-83,-90,-200,-200,-200,-88,-86,-200,-200,-88,-200,-200,-88,-73,-79,-200,-87,-88,-200,-200,-90,-200,-200,-92,-200,-200,-200
1526448223897,-22,-33,-35,-47,-58,-55,-52,-56,-57,-45,-49,-56,-45,-53,-48,-57,-62,-64,-69,-52,-70,-70,-77,-71,-59,-64,-50,-72,-58,-80,-83,-79,-87,-73,-72,-70,-78,-83,-83,-76,-81,-78,-73,-80,-82,-72,-83,-78,-82,-73,-79,-79,-200,-80,-81,-82,-200,-200,-88,-79,-75,-88,-90,-85,-200,-92,-88,-81,-89,-84,-200,-91,-93,-85,-87,-81,-83,-90,-200,-200,-200,-86,-86,-200,-200,-88,-200,-200,-88,-73,-79,-91,-86,-88,-91,-200,-84,-200,-200,-92,-91,-200,-200
1526448226935,-29,-34,-34,-47,-54,-60,-53,-56,-57,-44,-50,-56,-46,-53,-47,-54,-62,-60,-67,-50,-71,-67,-80,-69,-58,-57,-50,-69,-60,-80,-88,-79,-87,-73,-74,-69,-76,-83,-83,-74,-81,-78,-74,-79,-80,-76,-83,-78,-84,-72,-79,-79,-200,-200,-81,-84,-200,-200,-87,-79,-74,-90,-90,-85,-200,-92,-89,-81,-88,-84,-200,-90,-200,-84,-85,-81,-82,-88,-200,-200,-200,-90,-86,-200,-200,-88,-200,-200,-88,-71,-78,-92,-86,-87,-91,-200,-88,-200,-200,-92,-91,-90,-200
1526448229994,-23,-31,-34,-45,-54,-60,-52,-56,-54,-44,-50,-56,-52,-48,-48,-55,-61,-61,-73,-52,-70,-69,-80,-70,-59,-67,-50,-93,-61,-83,-88,-80,-87,-81,-73,-69,-82,-83,-85,-73,-81,-78,-73,-79,-87,-79,-94,-79,-82,-73,-79,-80,-200,-81,-81,-82,-93,-200,-87,-88,-73,-90,-90,-85,-89,-200,-89,-81,-88,-83,-200,-90,-200,-84,-85,-80,-83,-88,-200,-200,-200,-90,-85,-200,-200,-88,-200,-200,-88,-73,-78,-92,-86,-87,-91,-200,-88,-200,-200,-92,-91,-90,-85
1526448233035,-21,-34,-32,-45,-58,-61,-53,-56,-57,-44,-50,-56,-44,-53,-50,-53,-62,-61,-66,-53,-70,-69,-79,-68,-56,-58,-48,-70,-58,-82,-88,-70,-200,-65,-75,-71,-82,-83,-85,-74,-200,-78,-75,-78,-81,-74,-84,-77,-80,-72,-79,-80,-200,-81,-81,-83,-93,-200,-87,-81,-75,-90,-200,-86,-90,-200,-89,-83,-88,-83,-200,-90,-93,-83,-85,-81,-83,-89,-200,-200,-200,-88,-85,-200,-92,-90,-200,-200,-88,-73,-81,-92,-85,-87,-91,-200,-88,-200,-79,-200,-91,-90,-85
1526448236075,-23,-36,-32,-43,-58,-51,-51,-56,-55,-46,-49,-57,-48,-46,-49,-52,-62,-59,-66,-53,-69,-62,-78,-68,-60,-57,-50,-70,-58,-78,-88,-70,-84,-75,-75,-69,-80,-86,-85,-76,-200,-78,-75,-78,-82,-80,-84,-77,-85,-73,-80,-84,-200,-81,-200,-82,-93,-200,-87,-75,-75,-90,-200,-86,-90,-200,-89,-83,-88,-84,-200,-90,-93,-86,-85,-80,-83,-91,-200,-200,-200,-88,-85,-200,-92,-88,-200,-200,-88,-78,-80,-92,-87,-87,-200,-200,-91,-200,-79,-200,-200,-90,-85
1526448239115,-23,-34,-34,-47,-58,-52,-52,-56,-56,-43,-50,-55,-50,-48,-48,-51,-61,-59,-75,-53,-69,-68,-81,-69,-58,-57,-50,-70,-60,-78,-200,-71,-84,-74,-75,-69,-75,-87,-85,-72,-200,-78,-74,-80,-82,-79,-82,-80,-79,-72,-80,-84,-89,-82,-200,-83,-93,-200,-86,-75,-75,-200,-200,-85,-90,-200,-88,-83,-200,-84,-200,-200,-93,-84,-78,-80,-84,-91,-200,-200,-200,-87,-86,-200,-92,-88,-200,-200,-90,-70,-80,-200,-88,-200,-200,-200,-90,-200,-79,-92,-200,-200,-85
1526448242169,-22,-31,-34,-45,-56,-53,-52,-56,-56,-45,-50,-52,-49,-54,-50,-54,-62,-61,-67,-50,-70,-68,-78,-68,-60,-56,-50,-70,-60,-79,-80,-70,-84,-74,-75,-70,-75,-86,-85,-74,-200,-78,-74,-78,-80,-73,-82,-82,-83,-72,-79,-82,-89,-82,-200,-83,-200,-200,-89,-75,-75,-200,-200,-88,-89,-200,-89,-83,-87,-84,-200,-200,-93,-84,-78,-80,-83,-91,-200,-200,-200,-87,-87,-200,-92,-88,-200,-200,-88,-78,-80,-200,-88,-200,-90,-200,-90,-200,-79,-92,-200,-200,-85
1526448245205,-22,-40,-16,-52,-54,-68,-52,-56,-77,-44,-50,-59,-52,-49,-57,-55,-68,-59,-83,-59,-70,-68,-87,-70,-59,-66,-50,-70,-48,-78,-84,-79,-84,-79,-75,-71,-75,-92,-85,-73,-80,-78,-75,-78,-80,-79,-82,-80,-86,-72,-79,-82,-89,-82,-200,-83,-200,-200,-89,-75,-76,-200,-200,-87,-88,-200,-89,-83,-89,-84,-200,-200,-90,-82,-78,-80,-84,-91,-200,-200,-200,-88,-87,-200,-91,-88,-200,-200,-88,-73,-80,-92,-88,-90,-90,-200,-90,-200,-200,-92,-200,-200,-85
1526448248249,-29,-34,-32,-41,-56,-52,-52,-50,-56,-44,-49,-60,-51,-54,-47,-54,-60,-60,-74,-52,-70,-68,-80,-68,-60,-64,-50,-70,-48,-78,-83,-79,-200,-79,-70,-70,-75,-92,-200,-74,-81,-79,-75,-77,-80,-73,-84,-81,-82,-72,-80,-80,-89,-79,-200,-83,-200,-200,-88,-200,-76,-200,-200,-87,-89,-200,-89,-82,-89,-83,-200,-90,-90,-84,-77,-81,-82,-89,-200,-200,-200,-88,-84,-200,-91,-200,-200,-200,-88,-73,-81,-90,-88,-88,-90,-200,-90,-200,-200,-92,-200,-200,-85
