,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A20,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526448120002,-21,-29,-38,-37,-44,-45,-51,-48,-44,-49,-54,-50,-56,-47,-64,-71,-54,-63,-56,-55,-57,-65,-59,-75,-61,-46,-71,-68,-56,-68,-63,-75,-67,-71,-74,-78,-70,-65,-72,-74,-79,-78,-74,-77,-74,-84,-200,-84,-87,-82,-85,-86,-89,-74,-79,-78,-82,-84,-83,-82,-200,-83,-86,-200,-84,-85,-200,-200,-89,-200,-84,-200,-200,-83,-200,-89,-88,-89,-87,-88,-89,-55,-73,-85,-200,-80,-86,-200,-200,-91,-84,-92,-90,-200,-200,-85,-78,-83,-95,-200,-200,-200
1526448123039,-27,-30,-39,-37,-46,-45,-52,-48,-46,-49,-50,-50,-53,-46,-61,-67,-53,-61,-54,-57,-58,-200,-59,-54,-62,-47,-70,-67,-59,-67,-64,-73,-65,-71,-74,-78,-71,-69,-72,-74,-80,-77,-74,-78,-73,-84,-73,-84,-87,-80,-85,-86,-89,-73,-80,-78,-80,-84,-82,-82,-84,-83,-86,-200,-85,-85,-88,-200,-89,-85,-86,-200,-200,-83,-200,-89,-88,-88,-86,-89,-89,-55,-73,-85,-200,-80,-88,-88,-200,-91,-84,-92,-200,-89,-200,-82,-85,-83,-95,-200,-200,-200
1526448126073,-27,-30,-38,-38,-42,-44,-49,-48,-44,-48,-50,-51,-52,-47,-62,-66,-56,-60,-55,-59,-58,-70,-58,-53,-63,-44,-70,-67,-58,-67,-64,-75,-66,-71,-74,-78,-71,-75,-73,-75,-81,-76,-74,-80,-74,-84,-73,-200,-83,-81,-85,-85,-89,-73,-80,-76,-81,-84,-82,-81,-84,-74,-86,-200,-85,-85,-88,-200,-89,-86,-86,-200,-200,-200,-84,-90,-200,-88,-86,-89,-90,-55,-73,-85,-200,-80,-88,-88,-200,-91,-83,-92,-91,-89,-200,-72,-84,-83,-95,-84,-90,-200
1526448129109,-29,-29,-38,-39,-42,-44,-50,-48,-46,-49,-50,-50,-56,-47,-60,-66,-49,-61,-55,-56,-57,-67,-58,-56,-63,-49,-69,-66,-58,-67,-61,-75,-67,-69,-74,-79,-70,-69,-72,-74,-82,-76,-74,-80,-76,-84,-73,-85,-80,-81,-82,-85,-88,-71,-80,-78,-81,-84,-82,-80,-85,-83,-88,-88,-85,-85,-88,-200,-89,-86,-86,-86,-200,-200,-84,-90,-200,-88,-86,-89,-89,-54,-76,-85,-200,-78,-88,-88,-200,-91,-83,-200,-91,-89,-200,-72,-84,-83,-95,-84,-90,-200
1526448132149,-28,-31,-37,-40,-43,-45,-52,-48,-45,-49,-51,-49,-56,-51,-58,-70,-55,-60,-55,-59,-57,-56,-55,-57,-63,-46,-57,-65,-58,-71,-64,-71,-65,-70,-74,-79,-72,-67,-72,-74,-81,-76,-74,-77,-73,-200,-74,-85,-80,-80,-85,-85,-90,-75,-77,-76,-81,-84,-83,-80,-85,-81,-87,-88,-88,-86,-89,-200,-200,-88,-86,-86,-200,-200,-84,-91,-200,-88,-86,-89,-89,-53,-76,-200,-200,-82,-88,-88,-200,-91,-83,-200,-91,-89,-200,-72,-84,-200,-200,-84,-91,-200
1526448135187,-28,-15,-40,-38,-41,-45,-52,-47,-43,-49,-49,-49,-56,-49,-60,-65,-65,-69,-55,-60,-61,-65,-58,-51,-63,-51,-69,-72,-58,-69,-63,-75,-67,-71,-75,-81,-70,-69,-74,-74,-81,-79,-74,-77,-75,-200,-74,-85,-80,-80,-85,-85,-90,-72,-77,-76,-81,-87,-85,-81,-86,-78,-87,-88,-87,-86,-88,-200,-89,-88,-84,-86,-200,-200,-84,-91,-200,-200,-86,-200,-90,-53,-76,-200,-200,-81,-88,-200,-200,-91,-83,-200,-91,-200,-80,-72,-84,-72,-200,-84,-91,-200
1526448138223,-29,-30,-38,-37,-42,-45,-51,-47,-44,-48,-47,-51,-56,-45,-62,-65,-51,-61,-55,-57,-56,-65,-59,-53,-62,-47,-69,-58,-58,-67,-68,-75,-67,-68,-74,-80,-70,-69,-72,-74,-81,-71,-74,-77,-75,-81,-71,-85,-80,-81,-84,-200,-89,-63,-77,-76,-81,-87,-83,-79,-86,-78,-87,-86,-87,-87,-88,-200,-89,-88,-86,-86,-200,-200,-84,-91,-200,-200,-84,-200,-90,-53,-76,-200,-200,-62,-85,-200,-200,-200,-84,-200,-200,-200,-80,-73,-200,-72,-200,-200,-91,-200
1526448141243,-27,-26,-37,-38,-42,-42,-51,-48,-46,-50,-50,-50,-56,-49,-61,-63,-52,-58,-57,-55,-56,-65,-57,-56,-62,-50,-69,-61,-59,-67,-62,-75,-67,-71,-74,-80,-73,-64,-72,-74,-81,-75,-74,-77,-78,-81,-71,-200,-200,-80,-84,-200,-87,-74,-78,-79,-82,-87,-83,-79,-86,-75,-87,-86,-87,-87,-89,-200,-88,-88,-83,-200,-200,-200,-84,-91,-89,-200,-87,-200,-90,-52,-78,-200,-200,-81,-88,-200,-200,-89,-84,-200,-200,-200,-80,-81,-77,-72,-200,-200,-91,-200
1526448144287,-29,-30,-38,-39,-42,-45,-52,-48,-54,-51,-46,-50,-56,-46,-59,-63,-55,-62,-56,-55,-57,-56,-55,-56,-63,-47,-67,-66,-60,-67,-64,-75,-67,-69,-74,-80,-71,-70,-72,-73,-81,-75,-74,-77,-75,-81,-71,-200,-200,-80,-84,-200,-87,-74,-78,-76,-81,-87,-83,-79,-86,-75,-86,-86,-87,-87,-89,-200,-88,-86,-84,-200,-200,-200,-200,-89,-89,-200,-87,-200,-89,-55,-78,-200,-200,-81,-88,-200,-200,-89,-84,-200,-200,-200,-80,-81,-77,-72,-200,-200,-200,-200
1526448147305,-28,-30,-39,-37,-44,-45,-51,-47,-48,-51,-47,-49,-57,-45,-64,-68,-54,-62,-55,-55,-57,-56,-58,-56,-63,-45,-67,-59,-61,-67,-64,-200,-67,-70,-73,-78,-66,-69,-72,-73,-86,-76,-74,-76,-75,-84,-71,-200,-81,-81,-84,-200,-87,-71,-79,-76,-82,-85,-83,-80,-85,-76,-88,-86,-85,-87,-89,-200,-88,-86,-85,-91,-200,-200,-86,-90,-89,-200,-87,-200,-92,-52,-78,-85,-200,-82,-88,-200,-200,-89,-86,-200,-200,-200,-200,-85,-75,-71,-200,-200,-200,-200
1526448150339,-28,-29,-40,-34,-46,-44,-52,-48,-50,-51,-52,-50,-57,-45,-60,-66,-53,-61,-56,-59,-57,-56,-54,-54,-63,-44,-67,-65,-57,-67,-64,-75,-67,-71,-65,-81,-70,-69,-73,-74,-81,-77,-74,-76,-76,-82,-200,-200,-82,-80,-84,-200,-87,-74,-79,-77,-82,-85,-82,-81,-85,-82,-88,-200,-85,-84,-89,-200,-88,-88,-84,-87,-200,-200,-86,-90,-86,-91,-87,-89,-92,-52,-78,-85,-200,-81,-88,-200,-200,-89,-83,-90,-200,-89,-200,-72,-75,-71,-200,-200,-200,-200
1526448153376,-29,-29,-40,-39,-44,-45,-52,-47,-47,-52,-49,-50,-57,-44,-61,-67,-53,-60,-56,-54,-58,-56,-58,-55,-63,-48,-68,-60,-58,-67,-61,-76,-67,-71,-72,-79,-72,-65,-71,-73,-84,-77,-74,-76,-77,-83,-71,-200,-82,-81,-85,-85,-90,-63,-79,-77,-82,-85,-83,-80,-85,-82,-88,-200,-85,-88,-90,-200,-200,-88,-84,-87,-200,-200,-86,-90,-86,-91,-86,-89,-92,-53,-200,-85,-200,-81,-87,-200,-88,-89,-83,-90,-200,-89,-200,-72,-75,-71,-200,-200,-200,-82
