,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D00E98,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00EB8,DLINK_D02A30,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,WHU-2018,DLINK_D02A88,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro
1526460890937,-41,-44,-53,-41,-50,-52,-51,-54,-65,-80,-67,-56,-64,-70,-69,-72,-63,-71,-76,-68,-88,-73,-82,-71,-74,-78,-78,-78,-79,-81,-83,-84,-80,-84,-80,-200,-78,-200,-200,-88,-77,-83,-83,-87,-89,-84,-91,-91,-91,-87,-200,-90,-200,-200,-85,-90,-91,-89,-200,-86,-84,-200,-86,-91,-87,-89,-90,-200,-200
1526460893972,-42,-49,-52,-44,-47,-49,-50,-56,-64,-80,-66,-68,-58,-68,-69,-73,-60,-69,-77,-70,-88,-80,-82,-69,-74,-78,-81,-76,-79,-82,-87,-200,-79,-200,-80,-200,-200,-200,-200,-88,-81,-83,-83,-87,-83,-84,-88,-91,-91,-89,-200,-90,-200,-74,-85,-90,-91,-90,-200,-86,-84,-91,-90,-200,-83,-89,-90,-200,-200
1526460896981,-43,-50,-55,-41,-46,-52,-48,-52,-66,-80,-66,-64,-63,-66,-68,-70,-41,-77,-77,-67,-88,-77,-82,-62,-74,-200,-81,-76,-79,-84,-87,-87,-80,-83,-80,-200,-78,-200,-200,-88,-81,-84,-83,-80,-83,-84,-88,-91,-91,-89,-200,-200,-200,-69,-85,-90,-200,-90,-200,-86,-84,-92,-90,-200,-83,-89,-90,-200,-200
1526460899999,-42,-48,-56,-39,-45,-49,-51,-54,-73,-78,-66,-62,-66,-66,-69,-68,-63,-77,-77,-68,-87,-77,-82,-70,-74,-200,-81,-82,-200,-83,-87,-86,-78,-83,-80,-79,-78,-200,-200,-83,-80,-84,-200,-81,-90,-84,-88,-88,-91,-89,-200,-200,-92,-72,-200,-90,-91,-90,-200,-83,-86,-92,-90,-200,-83,-200,-90,-200,-200
1526460903020,-40,-46,-55,-40,-49,-49,-51,-56,-65,-78,-68,-59,-68,-69,-72,-68,-64,-68,-75,-68,-83,-77,-82,-68,-74,-200,-77,-79,-200,-82,-87,-86,-78,-83,-83,-79,-78,-200,-200,-83,-80,-84,-200,-81,-85,-84,-88,-88,-91,-90,-200,-200,-92,-72,-200,-90,-91,-90,-200,-83,-86,-92,-90,-200,-83,-200,-90,-200,-200
1526460906031,-42,-47,-55,-39,-50,-50,-49,-57,-71,-82,-67,-58,-66,-68,-70,-67,-66,-75,-75,-68,-83,-75,-82,-68,-74,-200,-82,-79,-77,-82,-81,-86,-79,-83,-83,-79,-78,-88,-200,-83,-79,-81,-84,-81,-89,-84,-88,-88,-91,-90,-200,-200,-92,-72,-81,-94,-91,-200,-200,-83,-86,-92,-200,-200,-200,-200,-90,-200,-200
1526460909040,-43,-51,-55,-41,-46,-52,-50,-54,-64,-77,-67,-66,-63,-70,-70,-70,-63,-77,-76,-66,-80,-76,-82,-71,-74,-200,-78,-79,-77,-83,-85,-86,-80,-82,-81,-77,-78,-88,-78,-89,-80,-86,-79,-80,-89,-84,-90,-88,-200,-91,-200,-200,-92,-68,-81,-91,-91,-200,-92,-83,-86,-90,-87,-200,-86,-200,-200,-200,-200
1526460912051,-46,-57,-79,-41,-46,-54,-51,-54,-71,-77,-69,-68,-64,-67,-70,-76,-61,-77,-81,-66,-80,-81,-200,-71,-74,-78,-78,-79,-77,-83,-84,-200,-80,-82,-79,-77,-78,-88,-78,-89,-79,-86,-79,-80,-89,-84,-89,-200,-200,-87,-200,-88,-200,-68,-81,-91,-200,-200,-92,-200,-200,-90,-87,-200,-86,-200,-90,-200,-200
1526460915061,-45,-49,-56,-40,-47,-51,-51,-54,-71,-77,-66,-66,-65,-70,-67,-70,-61,-69,-81,-65,-87,-81,-83,-71,-74,-82,-79,-80,-85,-83,-84,-87,-80,-82,-80,-77,-78,-200,-79,-86,-80,-84,-79,-80,-88,-200,-89,-200,-200,-87,-200,-88,-89,-68,-200,-91,-200,-200,-92,-86,-200,-90,-87,-200,-86,-200,-90,-88,-200
1526460918071,-46,-43,-56,-40,-46,-49,-52,-54,-65,-72,-66,-66,-65,-67,-67,-75,-59,-69,-81,-67,-87,-81,-83,-73,-74,-82,-79,-80,-85,-82,-79,-87,-78,-200,-80,-77,-76,-200,-79,-86,-79,-85,-79,-79,-88,-200,-89,-200,-200,-87,-200,-88,-89,-200,-200,-90,-200,-200,-92,-86,-200,-92,-89,-200,-86,-200,-90,-88,-200
1526460921080,-44,-48,-57,-42,-45,-51,-50,-54,-65,-72,-70,-64,-63,-69,-68,-68,-60,-69,-76,-71,-86,-76,-83,-73,-200,-82,-79,-80,-85,-82,-79,-87,-78,-200,-81,-200,-76,-200,-78,-83,-79,-85,-79,-79,-88,-200,-89,-86,-200,-87,-200,-88,-89,-72,-200,-90,-200,-88,-200,-86,-200,-92,-89,-200,-200,-200,-90,-88,-90
1526460924090,-46,-47,-58,-42,-46,-53,-51,-57,-62,-72,-68,-63,-63,-66,-68,-68,-61,-68,-81,-71,-86,-76,-83,-72,-73,-82,-81,-82,-85,-82,-79,-87,-78,-85,-81,-200,-78,-200,-78,-83,-79,-85,-79,-86,-88,-200,-200,-87,-200,-200,-200,-88,-89,-72,-200,-90,-200,-88,-200,-86,-85,-92,-88,-200,-200,-200,-200,-88,-90
