,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526447488078,-71,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-72,-200,-93,-200,-200,-88,-200,-200,-74,-95,-95,-200,-93,-95,-200,-200
1526447492538,-200,-200,-83,-200,-67,-200,-200,-200,-200,-200,-200,-83,-73,-200,-200,-79,-91,-88,-85,-200,-78,-200,-200,-95,-92,-96,-200,-200
1526447492665,-200,-200,-82,-200,-66,-86,-88,-200,-200,-200,-200,-83,-200,-200,-91,-80,-92,-88,-86,-200,-77,-200,-200,-95,-200,-200,-200,-200
1526447492769,-69,-90,-83,-70,-67,-87,-89,-200,-200,-200,-200,-84,-73,-200,-91,-80,-91,-88,-86,-200,-77,-94,-97,-96,-200,-96,-200,-200
1526447492936,-72,-200,-83,-70,-67,-200,-200,-200,-200,-200,-200,-200,-73,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447493037,-71,-200,-200,-70,-67,-87,-89,-200,-200,-200,-200,-84,-74,-200,-200,-80,-200,-87,-200,-200,-77,-200,-200,-95,-200,-200,-200,-200
1526447493151,-72,-200,-200,-70,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-96,-200,-200,-200,-200
1526447497533,-61,-200,-76,-200,-64,-76,-84,-72,-200,-200,-200,-200,-79,-90,-200,-75,-200,-200,-200,-200,-80,-200,-200,-200,-87,-200,-200,-200
1526447497652,-61,-88,-76,-200,-66,-76,-85,-72,-200,-92,-200,-80,-79,-200,-200,-200,-96,-87,-200,-200,-80,-200,-91,-200,-200,-200,-200,-200
1526447497793,-61,-86,-75,-70,-200,-75,-200,-72,-200,-200,-200,-80,-200,-200,-200,-74,-96,-85,-85,-200,-200,-200,-200,-200,-200,-95,-200,-200
1526447497907,-61,-200,-76,-71,-200,-76,-85,-73,-200,-200,-200,-200,-78,-91,-200,-74,-200,-200,-200,-200,-80,-88,-200,-200,-200,-100,-200,-200
1526447498006,-60,-200,-76,-200,-200,-76,-200,-72,-200,-200,-200,-200,-78,-200,-200,-75,-95,-86,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200
1526447498112,-200,-200,-76,-200,-63,-200,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-96,-200
1526447502545,-60,-84,-76,-200,-64,-200,-84,-73,-200,-200,-200,-200,-72,-200,-90,-73,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447502623,-63,-84,-76,-200,-200,-200,-200,-73,-200,-200,-200,-78,-200,-200,-92,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447502744,-61,-84,-200,-200,-64,-200,-200,-73,-200,-200,-200,-78,-73,-200,-200,-200,-200,-82,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200
1526447502846,-61,-200,-200,-200,-64,-75,-200,-73,-200,-200,-200,-200,-72,-200,-92,-200,-89,-82,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200
1526447502945,-61,-200,-76,-64,-63,-75,-200,-73,-200,-92,-200,-78,-73,-200,-200,-73,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447503056,-61,-83,-76,-66,-64,-75,-83,-73,-93,-200,-96,-78,-200,-200,-91,-72,-86,-82,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200
1526447503162,-71,-200,-83,-71,-67,-86,-200,-73,-200,-200,-200,-200,-200,-200,-91,-79,-200,-200,-84,-200,-200,-200,-200,-94,-200,-200,-200,-200
1526447507595,-70,-200,-82,-70,-67,-85,-200,-200,-200,-200,-200,-200,-73,-200,-90,-79,-90,-87,-84,-200,-78,-92,-97,-94,-200,-95,-200,-200
1526447507688,-200,-200,-82,-200,-200,-85,-200,-200,-200,-200,-200,-84,-73,-200,-91,-79,-200,-200,-200,-200,-79,-200,-200,-94,-200,-95,-200,-200
1526447507813,-70,-91,-83,-70,-67,-85,-88,-200,-200,-200,-200,-83,-200,-200,-91,-200,-200,-200,-200,-200,-79,-200,-95,-92,-93,-200,-200,-200
1526447507914,-71,-200,-82,-71,-67,-86,-89,-200,-200,-200,-200,-84,-200,-200,-91,-78,-89,-87,-85,-200,-200,-94,-200,-200,-93,-200,-200,-200
1526447508039,-70,-200,-82,-71,-67,-85,-89,-200,-200,-200,-200,-86,-73,-200,-200,-82,-90,-200,-84,-200,-200,-200,-200,-200,-92,-200,-200,-200
1526447508151,-200,-89,-200,-200,-200,-200,-200,-73,-200,-200,-200,-200,-73,-200,-200,-200,-200,-200,-84,-200,-78,-200,-200,-200,-200,-200,-200,-200
1526447512552,-200,-200,-77,-71,-66,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-86,-200,-83,-200,-94,-200,-87,-200,-200,-200
1526447512736,-200,-86,-200,-71,-66,-75,-84,-200,-200,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447512851,-200,-200,-77,-72,-66,-75,-200,-73,-200,-92,-200,-200,-79,-91,-200,-74,-96,-200,-87,-200,-200,-88,-92,-200,-200,-200,-200,-200
1526447512959,-61,-200,-77,-200,-66,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-74,-200,-85,-85,-200,-84,-88,-92,-200,-200,-97,-200,-200
1526447513059,-61,-86,-76,-66,-67,-200,-200,-200,-200,-200,-200,-200,-70,-200,-200,-72,-200,-200,-86,-200,-73,-88,-200,-200,-89,-200,-200,-98
1526447517633,-61,-200,-76,-200,-65,-76,-88,-200,-94,-200,-93,-200,-72,-200,-200,-72,-200,-83,-200,-200,-74,-200,-200,-200,-89,-200,-200,-200
1526447517752,-61,-200,-76,-66,-200,-76,-85,-72,-200,-200,-200,-200,-200,-99,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-97
1526447517854,-200,-200,-76,-66,-200,-76,-200,-73,-200,-200,-200,-200,-73,-200,-200,-72,-86,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200
1526447517965,-200,-83,-76,-66,-64,-76,-200,-73,-200,-200,-97,-200,-72,-200,-200,-72,-86,-83,-200,-200,-73,-91,-200,-200,-200,-200,-200,-97
1526447518078,-61,-200,-77,-200,-65,-76,-86,-74,-200,-200,-200,-200,-73,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447518159,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
