,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526447647973,-67,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447648092,-70,-70,-80,-200,-70,-200,-200,-200,-80,-200,-73,-81,-75,-200,-200,-89,-200,-91,-200,-200,-200,-200,-200,-200
1526447652541,-200,-65,-200,-87,-63,-200,-200,-200,-76,-200,-65,-200,-85,-79,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200
1526447652630,-200,-65,-200,-200,-63,-81,-200,-200,-200,-200,-64,-200,-200,-79,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526447652742,-200,-65,-200,-200,-64,-80,-200,-200,-200,-200,-66,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447652851,-70,-67,-200,-85,-64,-81,-200,-200,-77,-200,-200,-79,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447652960,-200,-67,-200,-84,-63,-200,-200,-200,-76,-96,-66,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447653049,-200,-67,-200,-200,-64,-81,-200,-89,-76,-200,-200,-79,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526447657519,-71,-200,-89,-200,-71,-87,-87,-200,-84,-200,-72,-81,-90,-86,-200,-200,-200,-200,-200,-200,-99,-200,-200,-200
1526447657631,-71,-71,-90,-200,-200,-200,-88,-88,-83,-96,-73,-81,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447657741,-71,-70,-89,-200,-72,-200,-89,-200,-200,-200,-71,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447657855,-200,-70,-200,-200,-71,-200,-200,-200,-84,-200,-71,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447657956,-71,-70,-200,-96,-72,-200,-89,-200,-83,-200,-73,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447658104,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447662510,-68,-70,-200,-200,-71,-82,-200,-200,-79,-200,-72,-200,-75,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447662608,-200,-70,-200,-200,-70,-85,-200,-200,-80,-200,-200,-79,-76,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200
1526447662708,-68,-71,-200,-200,-71,-83,-200,-200,-80,-200,-73,-200,-75,-73,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526447662832,-68,-71,-200,-200,-71,-82,-200,-200,-81,-200,-72,-200,-75,-72,-95,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526447662941,-67,-69,-200,-200,-200,-84,-200,-200,-81,-200,-72,-80,-75,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447663030,-66,-71,-200,-200,-71,-83,-200,-200,-200,-200,-73,-80,-75,-200,-200,-200,-200,-200,-97,-200,-200,-200,-200,-200
1526447667534,-200,-200,-200,-200,-64,-200,-200,-200,-200,-94,-67,-81,-87,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447667638,-200,-65,-200,-200,-64,-200,-200,-200,-200,-200,-67,-80,-200,-200,-200,-87,-200,-91,-200,-200,-200,-200,-200,-200
1526447667732,-68,-200,-200,-200,-62,-81,-200,-200,-200,-95,-200,-80,-200,-200,-200,-200,-200,-200,-200,-96,-200,-99,-96,-200
1526447667834,-68,-66,-200,-200,-64,-200,-88,-75,-77,-94,-67,-200,-200,-76,-200,-200,-200,-200,-99,-200,-200,-200,-200,-200
1526447667959,-70,-66,-200,-200,-62,-200,-200,-200,-200,-200,-67,-200,-200,-75,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200
1526447668039,-200,-66,-87,-200,-62,-200,-200,-200,-76,-95,-200,-200,-200,-76,-88,-200,-200,-200,-200,-200,-200,-98,-200,-95
1526447672526,-72,-70,-87,-200,-71,-86,-87,-88,-200,-200,-71,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447672609,-71,-70,-200,-200,-71,-86,-200,-87,-200,-200,-71,-82,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447672713,-71,-70,-200,-96,-200,-86,-200,-88,-84,-200,-200,-82,-200,-81,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447672818,-72,-70,-87,-200,-72,-85,-200,-200,-200,-97,-70,-82,-94,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447672944,-200,-70,-86,-200,-71,-85,-200,-88,-84,-200,-71,-200,-200,-81,-200,-200,-200,-200,-200,-99,-98,-200,-200,-200
1526447673052,-71,-70,-200,-200,-71,-86,-86,-200,-200,-96,-70,-81,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447677536,-200,-200,-200,-200,-71,-200,-200,-200,-200,-200,-72,-200,-76,-73,-94,-200,-200,-92,-200,-200,-200,-200,-200,-200
1526447677628,-67,-200,-200,-86,-200,-83,-200,-200,-200,-200,-72,-200,-77,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200
1526447677732,-200,-200,-81,-85,-71,-200,-200,-200,-200,-200,-72,-200,-77,-71,-91,-200,-200,-91,-200,-200,-200,-200,-200,-200
1526447677850,-67,-70,-82,-200,-71,-200,-200,-200,-80,-200,-72,-82,-76,-72,-200,-90,-200,-92,-200,-200,-200,-200,-200,-200
1526447678074,-200,-66,-200,-200,-64,-81,-200,-75,-80,-200,-200,-79,-200,-200,-200,-200,-200,-94,-93,-200,-200,-200,-200,-200
1526447682597,-200,-66,-86,-86,-200,-81,-89,-200,-76,-200,-200,-78,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447682674,-200,-67,-200,-87,-64,-82,-90,-200,-76,-200,-67,-200,-200,-73,-93,-200,-200,-200,-96,-200,-200,-200,-200,-200
1526447682817,-200,-67,-86,-87,-64,-200,-200,-75,-200,-96,-65,-200,-200,-200,-200,-86,-200,-92,-200,-200,-200,-200,-200,-200
1526447682983,-69,-66,-85,-200,-64,-200,-200,-200,-200,-200,-66,-200,-84,-91,-90,-86,-200,-93,-200,-200,-200,-200,-96,-200
1526447687499,-72,-69,-91,-200,-72,-85,-200,-200,-84,-200,-72,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447687617,-71,-200,-200,-96,-200,-88,-88,-200,-200,-200,-70,-82,-200,-200,-200,-200,-200,-200,-200,-200,-102,-200,-200,-200
1526447687740,-200,-69,-89,-96,-200,-86,-89,-200,-200,-200,-71,-200,-200,-77,-95,-200,-200,-200,-99,-200,-200,-200,-200,-200
1526447687849,-72,-69,-200,-200,-71,-88,-200,-93,-200,-99,-74,-200,-200,-85,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447687979,-72,-71,-200,-200,-200,-87,-88,-200,-85,-200,-72,-80,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447688057,-200,-71,-200,-200,-71,-200,-88,-200,-82,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447692506,-67,-71,-200,-200,-72,-200,-200,-200,-77,-200,-200,-200,-74,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526447692604,-67,-70,-200,-200,-71,-200,-200,-200,-79,-200,-200,-200,-200,-78,-200,-89,-200,-200,-200,-92,-200,-200,-200,-200
1526447692712,-68,-70,-83,-200,-72,-200,-200,-200,-82,-200,-200,-200,-75,-74,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526447692828,-67,-69,-200,-200,-71,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-95,-200,-200,-200,-200
1526447692902,-67,-69,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-75,-78,-200,-87,-200,-91,-200,-92,-200,-200,-200,-200
1526447693006,-67,-69,-86,-87,-70,-200,-200,-200,-80,-200,-200,-89,-74,-77,-200,-89,-200,-91,-200,-200,-200,-200,-200,-200
1526447693109,-71,-69,-88,-200,-200,-200,-200,-200,-79,-200,-73,-200,-75,-200,-200,-85,-200,-200,-96,-92,-200,-200,-200,-200
1526447697544,-71,-67,-200,-85,-66,-200,-200,-73,-77,-200,-67,-79,-200,-200,-200,-85,-200,-200,-200,-200,-95,-200,-93,-200
1526447697661,-71,-69,-88,-200,-200,-82,-90,-200,-200,-200,-67,-80,-82,-200,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200
1526447697810,-71,-69,-88,-85,-65,-200,-200,-75,-200,-200,-200,-81,-200,-200,-89,-85,-95,-200,-95,-200,-200,-200,-200,-200
1526447697922,-72,-69,-87,-200,-65,-200,-200,-200,-200,-200,-66,-200,-200,-200,-200,-86,-96,-200,-94,-200,-200,-200,-200,-200
1526447698018,-200,-200,-200,-85,-64,-200,-91,-200,-77,-200,-66,-81,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-95,-200
1526447698123,-200,-68,-200,-85,-64,-200,-200,-200,-76,-200,-65,-200,-200,-200,-200,-86,-200,-92,-200,-200,-200,-200,-94,-200
1526447702503,-71,-200,-200,-200,-72,-86,-200,-200,-84,-96,-200,-82,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447702611,-200,-71,-93,-200,-72,-86,-89,-88,-83,-95,-200,-81,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447702717,-71,-72,-200,-200,-71,-86,-88,-89,-200,-200,-72,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447702823,-200,-72,-91,-200,-71,-86,-88,-200,-200,-200,-72,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447702936,-71,-71,-200,-96,-71,-87,-88,-200,-83,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447703028,-200,-200,-92,-95,-71,-86,-88,-89,-200,-97,-200,-83,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447703137,-68,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-80,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526447707616,-68,-69,-82,-200,-70,-200,-200,-200,-80,-200,-200,-200,-76,-79,-200,-200,-200,-92,-92,-200,-200,-200,-200,-200
1526447707749,-67,-69,-83,-200,-200,-200,-200,-200,-80,-200,-73,-81,-76,-79,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200
1526447707858,-68,-69,-82,-200,-70,-200,-200,-200,-80,-200,-73,-80,-76,-79,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200
