,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,DLINK_D02A68,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro
1526463558407,-46,-36,-33,-46,-47,-49,-48,-51,-48,-47,-53,-62,-59,-32,-48,-52,-58,-42,-55,-66,-62,-57,-200,-200,-200,-62,-53,-52,-59,-62,-200,-83,-75,-55,-200,-200,-53,-66,-65,-74,-72,-85,-68,-56,-76,-69,-200,-73,-71,-72,-71,-76,-68,-200,-71,-74,-200,-70,-70,-200,-200,-200,-71,-59,-80,-83,-75,-80,-200,-200,-200,-88,-200,-200,-200,-64,-200,-81,-63,-200,-200,-84,-200,-200,-86,-200,-88,-58,-67,-73,-75,-74,-83,-200,-200,-200,-200,-200,-200
1526463561481,-48,-38,-33,-48,-51,-50,-48,-54,-48,-48,-53,-54,-59,-37,-48,-51,-56,-44,-54,-65,-62,-57,-61,-200,-200,-63,-54,-51,-59,-62,-59,-83,-75,-55,-200,-200,-52,-66,-65,-74,-72,-85,-68,-56,-76,-69,-200,-73,-70,-72,-70,-76,-68,-200,-69,-67,-200,-70,-69,-200,-200,-200,-71,-59,-80,-82,-74,-80,-200,-200,-200,-83,-200,-200,-200,-63,-200,-81,-63,-200,-200,-84,-59,-200,-86,-200,-200,-58,-67,-73,-75,-74,-83,-87,-200,-200,-200,-200,-200
1526463564544,-49,-30,-33,-48,-51,-51,-47,-55,-50,-52,-52,-56,-55,-37,-44,-51,-55,-42,-55,-65,-67,-57,-67,-200,-200,-69,-51,-51,-61,-62,-61,-83,-75,-55,-63,-200,-52,-66,-65,-74,-72,-85,-70,-52,-78,-69,-200,-69,-68,-72,-72,-73,-68,-200,-70,-67,-76,-70,-70,-89,-200,-79,-71,-59,-79,-84,-73,-78,-200,-200,-200,-84,-200,-200,-200,-63,-86,-81,-63,-200,-200,-84,-59,-200,-86,-200,-200,-54,-67,-73,-75,-74,-83,-87,-200,-200,-200,-200,-200
1526463567634,-48,-35,-33,-48,-50,-51,-47,-55,-50,-53,-52,-60,-59,-34,-48,-51,-55,-43,-56,-63,-68,-76,-62,-200,-200,-69,-50,-51,-59,-62,-61,-69,-75,-59,-63,-200,-51,-70,-200,-71,-72,-85,-70,-54,-78,-80,-200,-67,-68,-72,-72,-73,-68,-200,-69,-67,-76,-70,-70,-89,-200,-78,-71,-59,-76,-84,-73,-75,-200,-200,-200,-84,-200,-200,-200,-63,-86,-80,-67,-200,-200,-84,-62,-200,-86,-200,-200,-54,-67,-200,-75,-74,-83,-87,-68,-82,-83,-200,-200
1526463570711,-44,-37,-37,-47,-50,-51,-51,-57,-52,-53,-51,-56,-61,-36,-48,-56,-59,-43,-56,-62,-68,-76,-62,-200,-200,-69,-50,-51,-61,-60,-61,-69,-200,-59,-63,-200,-51,-68,-200,-70,-72,-85,-70,-58,-77,-80,-200,-67,-68,-72,-72,-73,-200,-200,-69,-67,-76,-73,-77,-89,-200,-78,-71,-200,-75,-82,-73,-75,-200,-200,-200,-84,-200,-200,-200,-62,-86,-80,-67,-200,-200,-84,-62,-73,-86,-200,-200,-56,-72,-200,-200,-74,-83,-87,-68,-82,-83,-200,-200
1526463573828,-36,-35,-37,-50,-50,-53,-46,-57,-50,-49,-55,-57,-56,-36,-46,-56,-59,-40,-56,-64,-68,-76,-62,-63,-200,-69,-51,-53,-60,-60,-61,-69,-200,-53,-63,-200,-52,-68,-200,-70,-72,-200,-64,-58,-77,-80,-200,-68,-68,-72,-69,-73,-200,-200,-68,-67,-76,-73,-75,-89,-84,-80,-200,-200,-75,-83,-73,-75,-200,-200,-200,-84,-200,-200,-200,-62,-79,-80,-66,-200,-200,-200,-58,-73,-200,-200,-200,-52,-71,-79,-200,-200,-200,-87,-78,-82,-83,-200,-200
1526463576894,-37,-34,-40,-50,-50,-50,-50,-57,-50,-49,-52,-54,-57,-33,-46,-52,-60,-45,-59,-65,-69,-76,-60,-63,-200,-70,-51,-52,-61,-62,-61,-61,-74,-49,-63,-200,-56,-68,-200,-71,-68,-200,-67,-60,-74,-80,-200,-68,-68,-74,-69,-76,-200,-200,-68,-200,-73,-69,-70,-89,-84,-80,-75,-200,-78,-83,-73,-81,-200,-200,-200,-84,-200,-200,-200,-62,-79,-80,-60,-200,-80,-200,-58,-73,-200,-200,-200,-52,-65,-79,-200,-76,-200,-200,-74,-82,-81,-200,-200
1526463579961,-45,-34,-32,-47,-48,-46,-50,-50,-49,-46,-60,-54,-52,-33,-51,-57,-56,-45,-59,-68,-67,-76,-60,-63,-200,-70,-51,-50,-63,-59,-63,-59,-74,-46,-200,-200,-56,-64,-71,-72,-70,-200,-63,-59,-77,-80,-66,-81,-200,-72,-69,-72,-200,-200,-72,-78,-65,-74,-70,-88,-84,-80,-75,-200,-78,-85,-74,-78,-200,-200,-200,-85,-200,-200,-200,-62,-79,-80,-60,-200,-75,-81,-58,-76,-200,-200,-90,-57,-69,-79,-200,-75,-200,-82,-74,-82,-81,-200,-200
1526463583014,-48,-31,-39,-45,-48,-48,-51,-51,-54,-50,-53,-57,-50,-36,-51,-58,-56,-45,-59,-65,-66,-61,-60,-63,-200,-70,-51,-50,-61,-59,-63,-59,-74,-49,-200,-72,-55,-66,-71,-72,-70,-200,-64,-55,-77,-70,-66,-81,-200,-72,-67,-72,-200,-200,-72,-78,-65,-76,-70,-88,-84,-80,-75,-200,-78,-85,-75,-77,-200,-200,-200,-82,-200,-200,-200,-62,-79,-200,-60,-200,-75,-81,-58,-76,-200,-200,-90,-57,-69,-79,-200,-75,-200,-82,-74,-200,-81,-200,-200
1526463586074,-48,-29,-38,-48,-52,-48,-57,-52,-54,-50,-51,-57,-57,-34,-49,-56,-57,-44,-67,-68,-66,-61,-61,-63,-200,-70,-45,-51,-60,-62,-63,-59,-74,-49,-200,-73,-55,-66,-71,-69,-68,-200,-64,-55,-77,-70,-66,-81,-200,-74,-67,-72,-200,-200,-72,-78,-65,-76,-70,-88,-84,-80,-75,-61,-77,-84,-74,-77,-200,-200,-200,-82,-90,-200,-200,-200,-79,-200,-60,-200,-77,-81,-58,-76,-200,-200,-90,-57,-69,-79,-200,-75,-200,-82,-66,-200,-81,-200,-200
1526463589141,-46,-37,-38,-45,-46,-52,-57,-47,-50,-42,-46,-50,-57,-34,-51,-55,-58,-44,-56,-61,-66,-56,-61,-63,-200,-70,-54,-50,-60,-66,-65,-59,-70,-46,-62,-71,-55,-66,-71,-69,-65,-200,-69,-55,-77,-68,-66,-69,-200,-72,-68,-71,-200,-200,-72,-78,-65,-76,-70,-88,-84,-200,-74,-67,-75,-79,-76,-81,-86,-200,-200,-82,-90,-200,-200,-54,-200,-200,-62,-200,-77,-81,-200,-76,-200,-200,-90,-57,-69,-200,-200,-75,-200,-82,-66,-200,-81,-85,-200
1526463592220,-43,-37,-38,-53,-53,-56,-52,-48,-49,-50,-50,-55,-51,-35,-62,-55,-58,-47,-56,-62,-66,-56,-61,-70,-200,-69,-52,-52,-59,-66,-68,-59,-70,-48,-62,-71,-59,-66,-71,-68,-65,-200,-69,-55,-77,-64,-66,-71,-200,-73,-68,-72,-200,-200,-70,-74,-65,-77,-73,-88,-84,-200,-70,-67,-73,-83,-76,-76,-86,-200,-200,-82,-90,-200,-200,-54,-200,-200,-64,-200,-77,-76,-200,-76,-200,-200,-90,-50,-69,-200,-200,-73,-200,-86,-66,-200,-200,-85,-84
