,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A98,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A60,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,whu2011314,D-Link_DIR-823Pro_5GHz
1526463631598,-56,-39,-36,-42,-35,-33,-43,-47,-57,-52,-56,-57,-53,-42,-42,-58,-44,-60,-52,-62,-54,-45,-43,-57,-61,-60,-74,-200,-200,-64,-55,-200,-69,-58,-70,-200,-64,-58,-67,-73,-59,-75,-76,-63,-200,-69,-63,-65,-62,-62,-71,-200,-75,-70,-71,-74,-76,-78,-41,-200,-78,-76,-74,-200,-85,-200,-200,-200,-200,-200,-200,-200,-85,-73,-85,-200,-55,-73,-200,-200,-200,-61,-200,-64,-67,-71,-88,-61,-67,-68,-75,-82,-84,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463634660,-50,-39,-37,-42,-37,-33,-51,-48,-57,-57,-65,-57,-56,-45,-45,-54,-46,-60,-52,-62,-54,-48,-49,-53,-58,-59,-74,-200,-200,-64,-51,-200,-69,-57,-70,-69,-64,-56,-71,-68,-59,-71,-77,-63,-200,-72,-63,-63,-63,-61,-71,-200,-75,-70,-70,-73,-76,-78,-48,-200,-77,-76,-77,-200,-85,-200,-200,-200,-200,-200,-200,-200,-82,-75,-84,-200,-55,-73,-200,-200,-200,-61,-200,-200,-67,-71,-88,-69,-67,-69,-75,-82,-84,-75,-74,-75,-90,-200,-200,-200,-200,-200,-200
1526463637754,-50,-43,-36,-46,-37,-29,-49,-45,-51,-55,-65,-57,-56,-46,-46,-57,-46,-60,-52,-70,-61,-48,-45,-57,-54,-57,-83,-200,-71,-64,-52,-200,-69,-57,-70,-69,-64,-55,-70,-69,-59,-71,-77,-63,-200,-72,-63,-64,-63,-59,-71,-200,-200,-72,-70,-73,-76,-200,-43,-200,-79,-80,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-75,-84,-200,-55,-73,-200,-200,-200,-61,-200,-200,-67,-71,-88,-69,-67,-69,-75,-82,-84,-75,-76,-75,-90,-73,-81,-200,-200,-200,-200
1526463640828,-49,-41,-36,-41,-37,-33,-50,-45,-50,-55,-65,-57,-56,-47,-43,-57,-46,-58,-52,-62,-59,-47,-48,-57,-66,-59,-71,-200,-71,-64,-52,-200,-69,-61,-71,-69,-67,-57,-70,-72,-59,-74,-77,-63,-200,-72,-69,-62,-65,-59,-71,-200,-74,-71,-70,-73,-76,-200,-45,-200,-77,-82,-75,-200,-200,-200,-200,-200,-91,-200,-200,-200,-82,-72,-84,-200,-55,-200,-200,-85,-200,-61,-200,-200,-200,-200,-88,-63,-67,-69,-75,-84,-84,-75,-76,-75,-90,-73,-81,-81,-88,-200,-200
1526463643893,-47,-43,-36,-45,-37,-37,-46,-43,-50,-57,-65,-57,-58,-46,-47,-57,-46,-60,-52,-65,-57,-47,-45,-58,-58,-58,-71,-200,-71,-64,-52,-75,-69,-61,-71,-69,-67,-55,-68,-72,-200,-72,-77,-63,-200,-70,-69,-65,-63,-60,-71,-200,-74,-71,-70,-78,-76,-200,-45,-200,-77,-82,-75,-200,-200,-200,-200,-200,-91,-200,-200,-200,-82,-72,-82,-200,-58,-200,-200,-85,-73,-72,-200,-200,-200,-200,-200,-63,-67,-69,-75,-84,-84,-75,-76,-75,-90,-73,-81,-81,-88,-200,-200
1526463646972,-47,-42,-36,-41,-36,-31,-49,-45,-50,-55,-65,-54,-57,-46,-47,-56,-46,-56,-52,-63,-57,-51,-47,-59,-66,-59,-71,-200,-71,-200,-53,-75,-68,-61,-71,-69,-67,-60,-71,-66,-200,-72,-77,-200,-200,-73,-70,-65,-64,-60,-70,-200,-74,-71,-67,-74,-75,-75,-47,-200,-75,-82,-75,-200,-200,-200,-86,-200,-85,-200,-200,-200,-89,-72,-82,-200,-54,-81,-200,-85,-73,-72,-200,-200,-200,-76,-200,-63,-200,-69,-77,-83,-200,-75,-76,-77,-90,-73,-81,-81,-88,-200,-200
1526463650042,-53,-40,-38,-44,-32,-32,-49,-49,-46,-53,-60,-54,-54,-49,-42,-52,-200,-60,-56,-64,-57,-51,-43,-55,-66,-59,-71,-200,-71,-200,-52,-75,-68,-59,-71,-200,-67,-58,-72,-75,-200,-72,-200,-200,-200,-69,-70,-65,-64,-67,-70,-200,-74,-74,-71,-76,-77,-75,-41,-200,-73,-82,-77,-200,-200,-200,-86,-200,-85,-200,-200,-200,-85,-72,-82,-200,-54,-81,-200,-85,-72,-65,-200,-200,-200,-76,-200,-72,-200,-200,-77,-83,-200,-75,-76,-77,-200,-73,-81,-81,-88,-200,-200
1526463653107,-46,-41,-37,-43,-36,-33,-46,-44,-53,-50,-61,-54,-54,-46,-43,-55,-46,-60,-54,-63,-57,-47,-45,-58,-53,-62,-71,-200,-200,-69,-52,-75,-68,-59,-71,-200,-64,-56,-69,-75,-200,-70,-200,-200,-200,-70,-65,-60,-63,-67,-68,-200,-76,-70,-68,-76,-77,-75,-45,-200,-77,-82,-72,-200,-200,-200,-86,-200,-85,-200,-200,-200,-84,-71,-82,-200,-54,-81,-200,-85,-72,-62,-200,-200,-200,-76,-200,-62,-200,-200,-77,-83,-200,-75,-200,-77,-200,-73,-200,-81,-88,-80,-82
1526463656181,-47,-43,-36,-40,-35,-31,-46,-45,-57,-55,-59,-50,-54,-46,-48,-58,-43,-59,-54,-63,-57,-48,-42,-57,-56,-62,-71,-200,-200,-65,-52,-75,-68,-56,-200,-71,-64,-56,-68,-69,-200,-72,-200,-200,-200,-70,-65,-64,-65,-66,-69,-200,-76,-70,-68,-76,-77,-75,-48,-200,-73,-81,-72,-200,-200,-200,-86,-200,-85,-200,-200,-200,-87,-70,-82,-200,-54,-81,-200,-200,-72,-66,-200,-200,-200,-76,-200,-62,-200,-200,-77,-83,-200,-200,-200,-77,-200,-73,-200,-200,-200,-80,-81
1526463659238,-48,-43,-38,-42,-37,-34,-46,-45,-50,-51,-59,-50,-51,-46,-48,-58,-43,-61,-52,-69,-200,-48,-44,-57,-56,-63,-200,-200,-200,-65,-54,-200,-68,-56,-200,-71,-64,-57,-68,-69,-200,-70,-200,-200,-200,-70,-65,-64,-64,-66,-69,-200,-76,-71,-68,-75,-77,-75,-47,-200,-75,-81,-73,-200,-200,-200,-86,-200,-85,-200,-200,-200,-87,-72,-83,-200,-54,-81,-200,-200,-72,-66,-200,-200,-200,-76,-200,-62,-200,-200,-77,-83,-200,-200,-200,-77,-200,-73,-200,-200,-200,-80,-81
1526463662311,-50,-42,-36,-39,-35,-32,-44,-47,-57,-57,-59,-50,-51,-51,-40,-56,-44,-57,-52,-66,-57,-50,-40,-57,-51,-59,-200,-200,-200,-65,-54,-200,-68,-57,-200,-75,-64,-57,-67,-69,-61,-71,-76,-66,-200,-68,-69,-66,-62,-61,-68,-200,-76,-70,-68,-73,-78,-75,-43,-200,-75,-81,-73,-76,-200,-200,-200,-200,-200,-200,-200,-200,-85,-71,-83,-200,-200,-200,-200,-81,-72,-64,-200,-200,-200,-200,-200,-62,-200,-200,-200,-200,-80,-200,-200,-74,-200,-73,-200,-200,-200,-80,-81
1526463665359,-52,-40,-37,-40,-36,-29,-44,-45,-57,-53,-65,-56,-47,-49,-47,-55,-48,-55,-52,-68,-57,-50,-40,-59,-51,-59,-200,-200,-200,-73,-54,-74,-69,-59,-200,-75,-64,-64,-70,-66,-61,-73,-76,-67,-200,-68,-70,-66,-65,-58,-69,-200,-76,-72,-69,-74,-74,-75,-43,-200,-77,-81,-70,-76,-200,-200,-200,-200,-200,-200,-200,-200,-85,-73,-84,-200,-59,-200,-200,-81,-74,-64,-200,-200,-200,-200,-200,-63,-69,-200,-200,-200,-80,-200,-75,-74,-200,-75,-200,-200,-200,-80,-81
