,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A18,DLINK_D02A98,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whu2011309,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A30,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,DLINK_D02A20,D-Link_DIR-823Pro
1526463703745,-33,-35,-61,-24,-54,-42,-43,-56,-32,-39,-32,-48,-57,-44,-42,-65,-65,-61,-51,-55,-52,-38,-49,-52,-52,-63,-200,-68,-60,-66,-58,-62,-63,-63,-70,-200,-200,-71,-57,-67,-65,-60,-61,-69,-62,-69,-82,-80,-200,-67,-75,-200,-200,-77,-76,-58,-72,-72,-200,-79,-200,-200,-200,-66,-200,-73,-200,-200,-200,-200,-83,-89,-67,-82,-200,-85,-200,-200,-60,-58,-80,-80,-88,-84,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463706814,-33,-35,-57,-24,-54,-39,-41,-56,-32,-41,-32,-50,-50,-49,-40,-65,-53,-57,-51,-56,-52,-42,-48,-53,-52,-57,-200,-68,-54,-66,-54,-62,-62,-64,-70,-200,-200,-71,-55,-65,-62,-60,-61,-69,-65,-68,-83,-78,-200,-75,-74,-200,-200,-77,-76,-58,-72,-73,-200,-73,-200,-200,-200,-66,-200,-73,-200,-200,-200,-200,-79,-89,-67,-82,-200,-85,-200,-200,-60,-58,-80,-80,-88,-84,-89,-78,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463709878,-33,-33,-59,-20,-54,-39,-38,-60,-34,-39,-30,-50,-48,-46,-38,-62,-51,-60,-56,-59,-49,-41,-49,-50,-54,-64,-200,-69,-56,-66,-56,-58,-65,-56,-70,-200,-200,-71,-55,-67,-72,-60,-63,-75,-65,-68,-85,-76,-76,-72,-74,-200,-200,-77,-73,-61,-200,-73,-200,-73,-200,-200,-200,-66,-200,-73,-200,-200,-200,-200,-77,-87,-66,-82,-200,-200,-200,-200,-200,-58,-80,-80,-88,-84,-89,-78,-90,-69,-82,-83,-84,-200,-200,-200,-200,-200,-200,-200,-200
1526463712938,-25,-35,-58,-26,-50,-42,-42,-64,-35,-37,-29,-48,-53,-38,-38,-54,-54,-60,-52,-59,-51,-42,-54,-46,-58,-64,-200,-69,-56,-200,-63,-58,-64,-60,-69,-77,-200,-71,-56,-66,-72,-60,-62,-75,-62,-67,-84,-76,-76,-72,-73,-200,-200,-200,-73,-61,-200,-73,-200,-73,-200,-200,-73,-66,-200,-73,-200,-200,-200,-200,-81,-87,-66,-200,-200,-200,-200,-200,-200,-58,-80,-200,-200,-84,-89,-78,-90,-69,-82,-83,-84,-200,-200,-200,-200,-200,-200,-200,-200
1526463715998,-39,-37,-56,-25,-50,-46,-41,-64,-40,-38,-33,-52,-50,-46,-40,-59,-52,-71,-56,-59,-48,-42,-51,-50,-52,-64,-200,-69,-56,-200,-63,-62,-65,-56,-69,-77,-200,-71,-54,-68,-59,-64,-62,-72,-63,-70,-84,-76,-68,-70,-73,-200,-200,-200,-71,-60,-200,-76,-200,-73,-200,-200,-73,-66,-200,-73,-200,-200,-200,-200,-81,-87,-66,-200,-200,-73,-200,-200,-200,-58,-80,-200,-200,-84,-89,-78,-90,-69,-82,-83,-84,-77,-200,-200,-200,-200,-200,-200,-200
1526463719054,-32,-37,-56,-29,-50,-40,-45,-58,-35,-38,-29,-48,-53,-39,-43,-62,-63,-62,-55,-54,-53,-44,-55,-50,-52,-64,-200,-69,-54,-200,-63,-62,-65,-61,-71,-77,-200,-200,-54,-67,-59,-64,-67,-69,-63,-68,-81,-76,-68,-68,-71,-200,-200,-200,-73,-59,-75,-72,-200,-73,-200,-200,-80,-66,-200,-200,-200,-87,-200,-84,-79,-87,-66,-200,-200,-73,-200,-76,-61,-200,-200,-200,-200,-200,-89,-78,-90,-69,-82,-83,-84,-77,-74,-81,-200,-200,-200,-200,-200
1526463722116,-36,-37,-55,-21,-50,-35,-45,-58,-35,-37,-28,-50,-53,-46,-37,-65,-59,-62,-55,-54,-51,-42,-51,-50,-55,-56,-200,-75,-55,-65,-55,-62,-63,-61,-68,-69,-75,-200,-54,-67,-61,-61,-63,-72,-66,-69,-81,-76,-68,-65,-69,-200,-200,-200,-73,-59,-75,-72,-200,-69,-200,-200,-72,-60,-200,-200,-200,-87,-200,-84,-80,-87,-66,-200,-200,-79,-200,-76,-61,-200,-200,-200,-200,-200,-89,-200,-200,-69,-82,-83,-84,-77,-74,-81,-200,-200,-200,-200,-200
1526463725186,-35,-35,-55,-24,-50,-41,-41,-58,-36,-37,-25,-50,-53,-49,-37,-65,-62,-57,-53,-54,-53,-40,-50,-47,-52,-56,-200,-74,-52,-65,-55,-63,-67,-61,-68,-69,-75,-75,-57,-67,-61,-61,-63,-72,-62,-69,-81,-200,-68,-68,-69,-200,-200,-200,-73,-60,-75,-73,-200,-69,-200,-200,-71,-62,-200,-200,-200,-87,-200,-88,-83,-200,-64,-200,-200,-79,-200,-76,-61,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77,-74,-81,-200,-200,-200,-200,-200
1526463728236,-34,-36,-56,-28,-50,-37,-44,-57,-34,-35,-25,-50,-48,-49,-44,-65,-53,-61,-55,-54,-53,-45,-50,-49,-51,-56,-200,-74,-56,-65,-56,-59,-66,-63,-67,-69,-75,-72,-57,-67,-59,-62,-60,-70,-63,-68,-77,-200,-68,-71,-72,-200,-200,-200,-73,-57,-75,-73,-200,-70,-200,-200,-74,-62,-200,-200,-200,-87,-200,-88,-83,-200,-64,-84,-200,-82,-200,-76,-62,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-77,-74,-81,-72,-82,-200,-200,-200
1526463731292,-38,-47,-60,-26,-50,-36,-44,-57,-30,-35,-36,-52,-70,-49,-41,-65,-53,-56,-55,-54,-53,-45,-50,-49,-51,-56,-200,-68,-59,-65,-58,-59,-65,-63,-63,-69,-75,-72,-58,-67,-59,-62,-60,-69,-60,-67,-77,-200,-200,-74,-73,-200,-200,-200,-73,-58,-75,-74,-200,-70,-200,-200,-74,-62,-200,-200,-200,-87,-200,-88,-83,-200,-64,-84,-200,-82,-200,-76,-63,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-74,-81,-72,-82,-78,-200,-200
1526463734364,-33,-36,-60,-22,-55,-36,-39,-57,-33,-35,-32,-56,-51,-48,-40,-65,-50,-56,-56,-57,-53,-42,-50,-49,-54,-56,-64,-68,-59,-65,-58,-59,-65,-61,-63,-69,-66,-71,-56,-67,-59,-62,-58,-69,-60,-67,-78,-77,-200,-74,-74,-200,-70,-200,-72,-58,-200,-74,-200,-70,-200,-200,-74,-65,-200,-200,-200,-200,-200,-88,-78,-90,-64,-84,-200,-82,-200,-200,-59,-200,-200,-200,-200,-200,-88,-200,-88,-200,-200,-200,-89,-200,-200,-200,-72,-82,-78,-84,-200
1526463737427,-29,-36,-56,-22,-59,-37,-38,-57,-33,-36,-27,-50,-45,-46,-39,-200,-51,-58,-56,-57,-53,-42,-51,-49,-54,-200,-64,-68,-64,-200,-61,-61,-64,-63,-63,-200,-66,-71,-59,-66,-59,-62,-61,-69,-64,-69,-80,-77,-200,-74,-73,-70,-70,-200,-73,-60,-200,-73,-200,-72,-200,-200,-79,-65,-200,-200,-200,-200,-200,-88,-79,-90,-61,-84,-200,-82,-200,-200,-57,-200,-200,-200,-200,-200,-89,-200,-88,-200,-200,-200,-89,-200,-200,-200,-72,-82,-78,-84,-64
