,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,DLINK_D02A10,DLINK_D02A68,D-Link_DIR-823Pro_5GHz,whu2011309,D-Link_DIR-823Pro,DLINK_D02A48,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011314,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,DLINK_D00EB8,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A20,DLINK_D02A88,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,DLINK_D00ED0,DLINK_D02A38,D-Link_DIR-823Pro
1526463925160,-38,-37,-29,-53,-49,-48,-44,-39,-40,-46,-45,-58,-60,-52,-52,-54,-49,-200,-50,-69,-61,-58,-58,-60,-71,-67,-63,-60,-200,-69,-62,-63,-68,-64,-85,-71,-66,-62,-77,-66,-67,-200,-200,-70,-78,-64,-70,-75,-200,-71,-78,-68,-200,-87,-76,-60,-81,-200,-200,-53,-60,-53,-66,-66,-200,-72,-73,-59,-64,-200,-68,-72,-73,-84,-73,-72,-74,-78,-84,-85,-90,-85,-89,-89,-95,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463928233,-36,-33,-26,-53,-49,-48,-46,-38,-40,-46,-46,-58,-61,-51,-52,-54,-51,-200,-50,-69,-61,-58,-58,-57,-71,-69,-57,-60,-78,-69,-62,-63,-68,-64,-76,-71,-64,-63,-200,-67,-61,-200,-200,-70,-78,-63,-70,-75,-200,-71,-78,-68,-200,-88,-77,-60,-81,-200,-200,-53,-60,-53,-66,-200,-200,-72,-73,-59,-64,-200,-68,-200,-73,-200,-73,-72,-74,-78,-84,-85,-90,-85,-89,-89,-95,-75,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463931294,-36,-38,-28,-53,-45,-45,-44,-39,-40,-49,-48,-58,-61,-53,-52,-58,-49,-71,-50,-72,-61,-58,-58,-57,-69,-67,-53,-54,-79,-67,-63,-63,-68,-64,-76,-76,-64,-63,-76,-67,-61,-200,-200,-70,-78,-63,-72,-75,-200,-70,-78,-68,-200,-87,-74,-65,-200,-200,-200,-55,-60,-62,-66,-200,-200,-72,-200,-59,-64,-200,-68,-200,-73,-200,-73,-72,-74,-200,-84,-200,-200,-85,-89,-89,-95,-75,-85,-73,-78,-84,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463934356,-32,-38,-27,-57,-45,-49,-44,-42,-40,-49,-44,-66,-61,-51,-52,-57,-47,-71,-50,-72,-62,-58,-57,-58,-66,-64,-55,-56,-79,-68,-64,-62,-63,-64,-76,-76,-66,-65,-76,-66,-64,-200,-66,-70,-78,-63,-67,-75,-200,-70,-78,-67,-200,-86,-74,-65,-200,-200,-200,-55,-71,-62,-61,-200,-200,-72,-200,-59,-64,-200,-68,-200,-73,-200,-73,-72,-200,-200,-84,-200,-200,-200,-200,-89,-95,-69,-85,-73,-78,-84,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463937440,-32,-34,-27,-57,-47,-49,-56,-40,-42,-45,-46,-64,-61,-52,-61,-55,-50,-71,-50,-72,-63,-54,-57,-58,-66,-65,-55,-56,-79,-70,-61,-62,-63,-64,-71,-76,-66,-64,-76,-63,-64,-200,-66,-200,-78,-67,-70,-75,-200,-70,-78,-67,-200,-85,-74,-65,-200,-200,-84,-55,-71,-59,-61,-200,-200,-200,-200,-65,-64,-200,-68,-200,-73,-200,-72,-72,-200,-200,-84,-200,-200,-200,-200,-200,-200,-69,-85,-73,-78,-84,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463940513,-37,-36,-27,-54,-49,-45,-56,-40,-39,-46,-46,-57,-61,-51,-57,-55,-44,-71,-48,-72,-60,-54,-55,-58,-66,-69,-55,-56,-79,-66,-61,-67,-60,-59,-71,-76,-64,-64,-76,-66,-66,-200,-66,-71,-75,-68,-70,-75,-200,-67,-200,-66,-200,-83,-75,-65,-200,-200,-84,-64,-71,-59,-68,-70,-200,-200,-200,-65,-200,-200,-61,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-69,-82,-73,-78,-84,-90,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463943583,-41,-31,-24,-52,-54,-43,-46,-42,-37,-46,-46,-57,-60,-51,-63,-55,-44,-71,-48,-72,-64,-56,-56,-58,-66,-69,-58,-61,-79,-64,-61,-65,-62,-59,-67,-66,-62,-61,-79,-65,-64,-200,-66,-71,-71,-67,-70,-75,-200,-71,-200,-69,-200,-80,-78,-65,-200,-200,-84,-64,-71,-61,-67,-70,-76,-200,-200,-65,-200,-200,-61,-200,-200,-200,-72,-77,-200,-200,-200,-200,-85,-200,-200,-200,-200,-64,-82,-73,-78,-84,-90,-86,-82,-92,-200,-200,-200,-200,-200,-200,-200
1526463946633,-38,-32,-26,-51,-52,-45,-44,-42,-34,-50,-41,-57,-52,-50,-62,-54,-43,-72,-47,-200,-64,-54,-56,-59,-66,-69,-59,-61,-200,-66,-63,-65,-62,-63,-69,-66,-60,-62,-79,-65,-64,-200,-64,-71,-78,-68,-71,-73,-200,-68,-77,-68,-67,-82,-78,-67,-200,-200,-84,-64,-63,-63,-67,-70,-76,-200,-200,-69,-200,-200,-61,-200,-200,-200,-72,-77,-200,-200,-200,-200,-85,-200,-200,-200,-200,-64,-82,-200,-200,-200,-200,-86,-82,-92,-81,-87,-87,-200,-200,-200,-200
1526463949701,-40,-32,-26,-55,-48,-54,-53,-49,-32,-41,-41,-52,-50,-53,-62,-54,-46,-70,-54,-200,-60,-52,-52,-59,-66,-70,-58,-61,-200,-66,-56,-61,-59,-63,-69,-65,-59,-61,-79,-66,-64,-200,-64,-71,-73,-64,-68,-73,-200,-70,-77,-70,-67,-82,-77,-67,-200,-78,-84,-64,-63,-63,-60,-70,-76,-200,-200,-62,-200,-200,-61,-200,-200,-200,-72,-77,-200,-200,-200,-200,-85,-200,-200,-200,-200,-64,-82,-200,-200,-200,-87,-86,-82,-92,-75,-87,-87,-200,-200,-200,-200
1526463952767,-40,-32,-34,-55,-48,-54,-53,-44,-39,-39,-45,-52,-53,-53,-62,-58,-48,-70,-52,-200,-60,-54,-52,-63,-200,-65,-56,-61,-200,-70,-60,-57,-59,-63,-69,-65,-64,-61,-79,-65,-74,-200,-64,-71,-78,-60,-68,-73,-200,-68,-77,-70,-67,-85,-66,-67,-200,-78,-200,-64,-65,-63,-60,-70,-71,-200,-70,-62,-200,-200,-61,-200,-200,-200,-69,-77,-200,-200,-200,-200,-85,-200,-200,-200,-200,-64,-82,-200,-200,-200,-87,-86,-82,-92,-79,-87,-87,-81,-88,-200,-200
1526463955830,-39,-28,-35,-59,-55,-47,-48,-35,-41,-43,-41,-46,-58,-53,-62,-62,-56,-70,-53,-200,-60,-55,-52,-58,-70,-72,-61,-61,-200,-71,-60,-57,-61,-63,-74,-65,-66,-67,-79,-65,-74,-200,-64,-74,-75,-62,-73,-73,-200,-66,-83,-68,-67,-84,-75,-67,-200,-78,-200,-62,-54,-68,-60,-200,-75,-200,-70,-62,-200,-200,-63,-66,-200,-200,-69,-77,-200,-200,-200,-200,-85,-200,-200,-200,-200,-64,-200,-200,-200,-200,-87,-200,-82,-92,-79,-87,-87,-81,-88,-88,-200
1526463958890,-37,-33,-29,-56,-54,-49,-44,-43,-43,-42,-41,-54,-58,-49,-62,-62,-49,-67,-53,-200,-64,-55,-52,-58,-67,-70,-57,-200,-200,-75,-60,-60,-55,-63,-71,-65,-66,-62,-200,-65,-73,-200,-64,-74,-72,-63,-67,-68,-200,-67,-83,-67,-67,-84,-72,-67,-200,-78,-200,-66,-54,-60,-60,-200,-75,-78,-70,-62,-200,-200,-62,-66,-82,-200,-69,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-87,-200,-83,-200,-79,-87,-87,-81,-88,-88,-85
