,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A18,DLINK_D02A10,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A28,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,D-Link_DIR-823Pro_5GHz,DLINK_D00ED0,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A68,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00E98
1526464594607,-26,-40,-42,-52,-42,-42,-43,-31,-51,-42,-44,-52,-51,-55,-60,-70,-59,-57,-55,-53,-49,-55,-51,-59,-62,-47,-71,-63,-63,-67,-69,-53,-53,-61,-70,-200,-70,-66,-61,-73,-60,-61,-70,-69,-68,-73,-49,-71,-53,-72,-66,-75,-71,-200,-77,-73,-70,-200,-78,-81,-80,-200,-74,-75,-200,-200,-200,-85,-200,-70,-87,-200,-70,-80,-87,-87,-200,-84,-200,-200,-200,-69,-200,-75,-63,-79,-200,-200,-200,-88,-200,-84,-76,-80,-64,-84,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526464597681,-26,-40,-42,-50,-44,-47,-43,-33,-51,-43,-44,-52,-55,-58,-61,-57,-61,-57,-55,-53,-49,-55,-55,-51,-62,-48,-77,-200,-62,-67,-69,-49,-53,-68,-70,-200,-70,-52,-64,-73,-60,-61,-67,-69,-68,-73,-58,-71,-55,-73,-67,-75,-71,-200,-200,-69,-75,-200,-78,-81,-80,-200,-200,-70,-200,-200,-200,-85,-200,-70,-87,-200,-75,-80,-87,-87,-200,-84,-200,-200,-200,-69,-200,-75,-58,-79,-200,-200,-200,-88,-200,-200,-76,-81,-64,-84,-84,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526464600755,-28,-40,-44,-46,-44,-45,-45,-34,-51,-41,-44,-52,-53,-61,-61,-53,-61,-57,-57,-56,-49,-55,-51,-51,-62,-48,-77,-200,-62,-66,-71,-49,-53,-64,-70,-72,-70,-52,-63,-73,-60,-60,-67,-69,-200,-73,-58,-74,-54,-73,-67,-75,-71,-85,-200,-69,-75,-200,-78,-81,-80,-200,-200,-70,-200,-200,-76,-85,-200,-70,-87,-75,-75,-80,-200,-88,-200,-85,-200,-200,-200,-69,-200,-75,-58,-82,-200,-200,-200,-89,-200,-200,-200,-81,-64,-84,-84,-88,-71,-200,-200,-200,-200,-200,-200,-200
1526464603838,-26,-40,-43,-50,-42,-44,-45,-32,-51,-39,-44,-50,-50,-57,-61,-57,-60,-61,-57,-53,-51,-55,-51,-50,-62,-46,-68,-200,-64,-68,-71,-47,-53,-63,-70,-72,-67,-64,-63,-200,-60,-60,-67,-67,-200,-74,-54,-72,-54,-72,-67,-75,-71,-85,-200,-69,-75,-200,-78,-81,-80,-200,-200,-70,-200,-200,-76,-87,-200,-70,-87,-75,-70,-76,-87,-88,-200,-85,-200,-200,-200,-200,-200,-75,-58,-82,-200,-200,-200,-89,-200,-200,-200,-81,-64,-200,-84,-88,-71,-92,-200,-200,-200,-200,-200,-200
1526464606922,-27,-39,-43,-54,-46,-43,-44,-32,-51,-43,-41,-51,-55,-58,-61,-57,-60,-61,-57,-54,-51,-55,-50,-49,-62,-45,-68,-200,-63,-68,-71,-48,-52,-67,-70,-72,-67,-64,-63,-200,-60,-62,-67,-63,-200,-74,-53,-73,-51,-72,-67,-74,-71,-85,-200,-69,-75,-200,-77,-81,-80,-200,-200,-70,-200,-200,-76,-84,-83,-70,-200,-75,-70,-76,-87,-88,-200,-84,-200,-200,-200,-200,-200,-75,-58,-82,-200,-200,-200,-89,-200,-200,-200,-81,-200,-200,-84,-88,-71,-92,-68,-73,-200,-200,-200,-200
1526464609994,-25,-38,-43,-46,-45,-43,-43,-35,-55,-40,-44,-49,-55,-58,-61,-57,-60,-57,-57,-54,-49,-55,-56,-49,-64,-46,-68,-200,-63,-68,-65,-47,-52,-66,-200,-70,-75,-64,-62,-200,-200,-64,-67,-68,-200,-74,-53,-73,-51,-74,-66,-73,-76,-85,-200,-73,-72,-200,-77,-200,-80,-200,-200,-70,-200,-200,-76,-85,-83,-200,-200,-75,-68,-76,-87,-86,-200,-83,-200,-200,-200,-65,-200,-200,-55,-82,-200,-200,-200,-89,-200,-200,-200,-81,-200,-200,-200,-88,-71,-92,-68,-72,-200,-200,-200,-200
1526464613052,-25,-38,-43,-46,-45,-47,-42,-33,-50,-40,-44,-51,-55,-57,-59,-60,-60,-58,-57,-53,-50,-55,-48,-49,-62,-46,-68,-200,-58,-65,-67,-47,-52,-66,-200,-70,-75,-64,-66,-76,-200,-61,-67,-68,-200,-74,-53,-73,-51,-74,-64,-71,-76,-75,-200,-74,-73,-200,-77,-200,-80,-200,-200,-71,-200,-200,-76,-84,-81,-200,-200,-75,-68,-76,-87,-85,-200,-83,-200,-200,-89,-66,-200,-81,-55,-82,-200,-200,-91,-71,-200,-200,-200,-81,-200,-200,-200,-200,-71,-92,-67,-72,-81,-200,-200,-200
1526464616119,-27,-38,-43,-49,-45,-45,-42,-33,-53,-37,-43,-51,-49,-54,-59,-60,-60,-58,-58,-51,-52,-55,-52,-45,-62,-45,-75,-200,-58,-64,-67,-49,-55,-67,-200,-70,-74,-64,-63,-76,-200,-61,-67,-68,-200,-74,-71,-73,-58,-74,-66,-75,-76,-75,-200,-74,-73,-200,-78,-200,-200,-200,-200,-70,-200,-200,-200,-85,-81,-200,-200,-200,-76,-76,-87,-86,-200,-84,-200,-200,-89,-66,-200,-81,-56,-200,-200,-200,-90,-71,-200,-200,-200,-81,-58,-200,-200,-200,-200,-92,-67,-71,-81,-200,-200,-200
1526464619184,-27,-35,-43,-45,-45,-47,-44,-32,-49,-41,-43,-51,-49,-54,-58,-58,-200,-58,-58,-55,-52,-55,-61,-45,-61,-46,-75,-200,-58,-64,-67,-49,-55,-67,-200,-70,-74,-63,-62,-76,-200,-58,-67,-68,-200,-73,-64,-72,-58,-74,-66,-74,-76,-75,-200,-74,-73,-200,-78,-200,-200,-200,-200,-70,-200,-200,-200,-84,-81,-71,-200,-200,-76,-200,-200,-86,-200,-84,-200,-200,-89,-66,-200,-81,-56,-83,-200,-200,-90,-71,-200,-200,-200,-79,-61,-200,-200,-200,-200,-200,-67,-71,-81,-78,-85,-200
1526464622253,-26,-35,-43,-52,-44,-47,-43,-32,-49,-41,-43,-51,-55,-54,-58,-58,-200,-58,-55,-55,-50,-55,-61,-45,-63,-46,-75,-200,-58,-68,-71,-49,-54,-67,-200,-70,-75,-63,-61,-76,-200,-61,-67,-68,-200,-73,-64,-72,-60,-71,-66,-74,-84,-75,-200,-72,-73,-200,-78,-200,-200,-200,-200,-75,-200,-200,-200,-86,-83,-71,-200,-200,-77,-200,-200,-85,-200,-84,-200,-200,-89,-66,-200,-81,-56,-83,-200,-200,-90,-71,-200,-81,-200,-79,-61,-200,-200,-200,-200,-90,-67,-71,-84,-78,-85,-200
1526464625313,-28,-36,-41,-47,-48,-43,-43,-36,-53,-41,-43,-51,-55,-57,-62,-59,-60,-58,-55,-50,-51,-55,-57,-47,-61,-46,-66,-200,-61,-68,-69,-49,-54,-67,-200,-200,-71,-55,-61,-76,-200,-61,-66,-71,-200,-73,-52,-72,-59,-71,-66,-73,-84,-75,-200,-72,-73,-200,-75,-80,-200,-200,-200,-75,-200,-200,-200,-84,-82,-71,-200,-200,-69,-200,-200,-85,-200,-83,-200,-200,-89,-66,-200,-81,-56,-83,-200,-200,-90,-71,-200,-81,-200,-80,-63,-200,-200,-200,-200,-90,-67,-71,-84,-78,-85,-200
1526464628364,-27,-36,-44,-52,-44,-43,-43,-32,-50,-40,-43,-51,-54,-58,-62,-55,-59,-200,-56,-50,-51,-54,-55,-45,-62,-46,-66,-200,-61,-66,-68,-48,-50,-67,-200,-200,-72,-55,-64,-200,-200,-61,-66,-71,-200,-74,-60,-72,-59,-71,-66,-75,-84,-69,-200,-74,-73,-200,-79,-80,-83,-200,-200,-75,-200,-200,-200,-86,-83,-71,-200,-78,-69,-200,-86,-85,-200,-85,-200,-200,-200,-200,-200,-79,-58,-83,-200,-200,-90,-73,-200,-81,-200,-80,-63,-200,-200,-200,-200,-90,-200,-71,-84,-76,-85,-83
