,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,DLINK_D02A10,D-Link_DIR-823Pro,DLINK_D02A98,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EB8,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A38,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526464670744,-31,-25,-32,-36,-42,-47,-46,-44,-44,-53,-45,-46,-49,-46,-54,-51,-54,-57,-55,-43,-200,-61,-64,-58,-62,-69,-56,-59,-53,-200,-52,-200,-65,-62,-58,-68,-57,-80,-67,-66,-200,-68,-66,-67,-80,-200,-68,-76,-200,-69,-76,-200,-79,-200,-72,-200,-72,-69,-77,-77,-75,-77,-200,-75,-78,-81,-75,-57,-200,-74,-75,-82,-200,-200,-85,-200,-87,-83,-90,-200,-90,-91,-200,-51,-68,-200,-83,-200,-200,-84,-200,-64,-200,-200,-200,-76,-83,-85,-83,-86,-200,-200,-200,-200,-200,-200,-200,-200
1526464673811,-33,-29,-29,-36,-43,-45,-46,-44,-44,-53,-44,-49,-49,-47,-54,-51,-52,-56,-53,-43,-200,-58,-64,-58,-66,-69,-56,-58,-53,-200,-55,-200,-60,-62,-66,-67,-55,-80,-67,-68,-200,-67,-66,-71,-80,-200,-69,-79,-60,-69,-76,-200,-79,-68,-73,-200,-72,-69,-77,-77,-76,-77,-200,-75,-83,-81,-77,-60,-81,-74,-75,-84,-200,-78,-85,-200,-88,-86,-87,-86,-90,-91,-200,-51,-68,-200,-83,-200,-200,-84,-200,-64,-200,-200,-200,-200,-81,-85,-83,-86,-65,-87,-200,-200,-200,-200,-200,-200
1526464676886,-31,-29,-29,-36,-43,-49,-46,-44,-44,-56,-44,-46,-48,-47,-57,-51,-52,-52,-53,-40,-200,-58,-64,-58,-66,-69,-57,-59,-54,-200,-54,-200,-60,-63,-66,-67,-55,-200,-67,-68,-200,-67,-66,-71,-80,-86,-72,-79,-60,-69,-86,-200,-67,-68,-73,-79,-69,-70,-77,-77,-76,-76,-200,-71,-83,-83,-79,-60,-81,-74,-76,-84,-200,-78,-85,-200,-89,-87,-87,-86,-90,-200,-200,-51,-68,-78,-83,-200,-200,-84,-200,-61,-200,-200,-200,-200,-81,-200,-83,-84,-65,-87,-90,-200,-200,-200,-200,-200
1526464679958,-33,-29,-29,-37,-45,-44,-44,-44,-44,-54,-45,-48,-51,-47,-57,-48,-51,-53,-60,-45,-200,-58,-64,-200,-66,-65,-57,-55,-53,-200,-52,-200,-61,-63,-66,-67,-55,-75,-67,-68,-200,-63,-200,-71,-65,-86,-72,-79,-60,-200,-86,-200,-67,-68,-74,-79,-69,-70,-77,-200,-77,-76,-200,-71,-83,-83,-79,-60,-78,-200,-76,-84,-200,-78,-200,-200,-89,-88,-87,-86,-200,-200,-200,-51,-68,-78,-83,-78,-200,-200,-200,-58,-200,-200,-200,-200,-81,-200,-200,-84,-65,-87,-90,-200,-200,-200,-200,-200
1526464683040,-33,-29,-32,-37,-45,-48,-45,-44,-44,-50,-52,-46,-54,-51,-57,-50,-54,-55,-60,-52,-70,-58,-64,-200,-66,-63,-57,-55,-53,-200,-54,-200,-61,-63,-66,-67,-51,-75,-67,-68,-200,-70,-68,-71,-65,-86,-72,-79,-60,-71,-86,-200,-67,-68,-74,-79,-69,-70,-77,-200,-77,-76,-200,-71,-83,-82,-79,-60,-78,-200,-76,-84,-200,-79,-200,-200,-89,-87,-87,-86,-200,-200,-200,-51,-65,-78,-200,-78,-200,-200,-75,-58,-200,-200,-200,-200,-81,-200,-200,-84,-65,-87,-90,-83,-200,-200,-200,-200
1526464686079,-33,-27,-32,-37,-41,-55,-45,-43,-44,-51,-44,-48,-50,-46,-57,-51,-53,-55,-60,-49,-70,-58,-64,-63,-66,-63,-57,-55,-53,-200,-54,-59,-61,-67,-63,-67,-58,-79,-67,-68,-200,-70,-68,-72,-69,-86,-72,-79,-66,-71,-86,-200,-67,-66,-74,-79,-69,-71,-77,-200,-77,-76,-200,-71,-83,-82,-79,-60,-78,-200,-76,-85,-200,-79,-200,-200,-90,-87,-89,-86,-200,-200,-200,-200,-65,-78,-200,-78,-200,-200,-73,-66,-200,-200,-200,-200,-81,-200,-78,-84,-65,-87,-90,-83,-200,-200,-200,-200
1526464689164,-31,-27,-32,-37,-45,-45,-43,-43,-40,-51,-48,-48,-54,-44,-56,-51,-53,-55,-60,-43,-70,-58,-64,-63,-66,-67,-57,-55,-53,-68,-49,-59,-62,-64,-63,-67,-58,-75,-67,-68,-200,-67,-68,-72,-69,-86,-71,-200,-66,-71,-86,-200,-73,-66,-66,-79,-70,-71,-77,-200,-77,-75,-200,-71,-81,-79,-77,-59,-78,-200,-73,-85,-200,-77,-200,-200,-88,-86,-89,-200,-200,-200,-200,-51,-65,-78,-200,-78,-200,-200,-73,-64,-200,-200,-200,-200,-200,-200,-78,-84,-200,-200,-90,-83,-200,-200,-200,-200
1526464692236,-33,-27,-29,-40,-44,-48,-45,-45,-43,-51,-45,-46,-54,-41,-57,-51,-51,-55,-60,-41,-70,-58,-64,-63,-66,-65,-57,-57,-53,-68,-49,-59,-59,-64,-63,-71,-57,-75,-61,-69,-200,-67,-68,-67,-69,-200,-70,-200,-61,-71,-200,-200,-73,-72,-71,-79,-67,-71,-79,-200,-77,-78,-200,-200,-84,-80,-77,-59,-78,-200,-73,-85,-200,-77,-200,-200,-89,-86,-89,-90,-200,-200,-200,-52,-65,-200,-200,-78,-200,-81,-73,-64,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-83,-200,-200,-200,-200
1526464695313,-33,-27,-32,-40,-41,-46,-45,-45,-42,-51,-45,-47,-54,-43,-64,-51,-52,-53,-200,-43,-69,-58,-64,-63,-64,-65,-57,-57,-55,-68,-49,-59,-69,-65,-64,-69,-57,-75,-61,-66,-200,-66,-68,-64,-70,-200,-69,-200,-61,-71,-79,-200,-75,-66,-71,-79,-67,-71,-79,-200,-77,-78,-200,-200,-84,-79,-75,-59,-200,-200,-73,-83,-84,-78,-200,-200,-89,-86,-89,-86,-200,-200,-200,-52,-65,-200,-200,-200,-200,-81,-73,-61,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-83,-80,-82,-200,-200
1526464698385,-34,-27,-30,-40,-41,-46,-45,-44,-42,-52,-45,-45,-54,-43,-64,-51,-52,-55,-200,-43,-69,-58,-64,-63,-64,-65,-57,-57,-55,-68,-49,-59,-69,-63,-64,-69,-57,-79,-46,-66,-200,-66,-200,-64,-70,-200,-69,-200,-61,-200,-78,-200,-65,-66,-75,-79,-67,-71,-78,-200,-77,-77,-200,-200,-83,-79,-75,-60,-200,-200,-74,-83,-84,-78,-200,-200,-88,-88,-87,-86,-200,-200,-200,-52,-200,-200,-200,-200,-200,-81,-73,-61,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-80,-82,-83,-200
1526464701456,-32,-29,-29,-40,-48,-42,-43,-44,-41,-51,-42,-49,-51,-45,-54,-53,-52,-52,-200,-46,-69,-58,-62,-200,-63,-63,-57,-54,-55,-68,-56,-67,-69,-63,-62,-69,-70,-79,-46,-66,-200,-66,-67,-64,-70,-200,-70,-200,-61,-72,-78,-200,-65,-66,-73,-200,-69,-200,-77,-200,-77,-77,-200,-200,-84,-79,-75,-60,-76,-200,-74,-83,-84,-78,-200,-200,-88,-88,-87,-87,-200,-200,-200,-56,-200,-200,-200,-200,-200,-81,-200,-60,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-82,-83,-77
1526464704529,-33,-25,-29,-39,-44,-42,-43,-43,-41,-54,-50,-51,-53,-45,-50,-48,-57,-53,-200,-42,-69,-56,-62,-200,-63,-63,-57,-58,-55,-67,-56,-67,-69,-64,-62,-69,-51,-79,-62,-66,-200,-66,-65,-64,-71,-200,-70,-200,-61,-72,-77,-200,-72,-67,-71,-200,-69,-200,-77,-200,-77,-75,-200,-200,-84,-79,-75,-60,-76,-200,-76,-83,-84,-75,-200,-200,-88,-87,-87,-87,-200,-200,-200,-56,-200,-200,-200,-200,-200,-81,-77,-63,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-82,-83,-77
