,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,DLINK_D00ED0,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A98,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526452189469,-41,-35,-48,-52,-61,-55,-60,-54,-61,-73,-62,-72,-64,-65,-65,-200,-63,-65,-74,-72,-73,-73,-77,-200,-77,-200,-76,-79,-74,-84,-79,-200,-200,-81,-200,-200,-75,-86,-200,-88,-200,-200,-200,-200,-76,-86,-200,-84,-200,-200,-200,-200,-81,-86,-200,-200,-200
1526452192520,-38,-34,-48,-50,-69,-55,-60,-55,-61,-73,-62,-69,-67,-64,-65,-200,-65,-66,-75,-70,-73,-73,-77,-82,-77,-86,-75,-73,-74,-84,-79,-200,-200,-81,-200,-200,-75,-86,-200,-88,-200,-200,-200,-200,-76,-86,-85,-84,-88,-200,-200,-200,-81,-86,-81,-200,-200
1526452195574,-38,-34,-48,-50,-69,-55,-60,-55,-61,-73,-62,-69,-67,-64,-65,-200,-65,-66,-75,-70,-73,-73,-77,-82,-77,-86,-75,-73,-74,-84,-79,-200,-200,-81,-200,-200,-75,-86,-200,-88,-200,-200,-200,-200,-76,-86,-85,-84,-88,-200,-200,-200,-81,-86,-81,-200,-200
1526452198612,-39,-34,-47,-53,-60,-56,-59,-55,-60,-200,-63,-69,-63,-72,-67,-200,-65,-69,-75,-72,-200,-73,-200,-82,-73,-83,-75,-76,-200,-78,-77,-90,-200,-78,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-88,-200,-200,-200,-200,-200,-82,-80,-200
1526452201655,-39,-34,-48,-53,-62,-54,-60,-57,-60,-72,-62,-69,-68,-67,-65,-200,-65,-67,-75,-72,-71,-73,-200,-82,-73,-83,-75,-76,-75,-78,-76,-90,-200,-78,-200,-83,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-88,-200,-200,-200,-81,-200,-82,-80,-200
1526452204701,-39,-34,-48,-53,-62,-54,-60,-57,-60,-72,-62,-69,-68,-67,-65,-200,-65,-67,-75,-72,-71,-73,-200,-82,-73,-83,-75,-76,-75,-78,-76,-90,-200,-78,-200,-83,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-88,-200,-200,-200,-81,-200,-82,-80,-200
1526452207736,-39,-34,-48,-53,-62,-54,-60,-57,-60,-72,-62,-69,-68,-67,-65,-200,-65,-67,-75,-72,-71,-73,-200,-82,-73,-83,-75,-76,-75,-78,-76,-90,-200,-78,-200,-83,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-88,-200,-200,-200,-81,-200,-82,-80,-200
1526452210750,-40,-33,-49,-50,-63,-54,-59,-57,-62,-74,-63,-68,-69,-69,-65,-200,-66,-67,-80,-71,-71,-73,-77,-200,-200,-200,-75,-77,-75,-77,-75,-200,-200,-82,-200,-200,-76,-84,-200,-200,-92,-200,-200,-200,-77,-200,-200,-200,-86,-200,-200,-200,-81,-200,-200,-84,-88
1526452213790,-42,-33,-48,-52,-63,-53,-59,-57,-62,-74,-62,-68,-69,-69,-66,-200,-66,-66,-80,-73,-71,-73,-80,-200,-200,-200,-75,-77,-74,-83,-75,-200,-200,-84,-200,-200,-76,-84,-88,-200,-92,-200,-200,-200,-78,-200,-200,-200,-86,-200,-200,-200,-81,-200,-200,-84,-88
1526452216830,-42,-33,-48,-52,-63,-53,-59,-57,-62,-74,-62,-68,-69,-69,-66,-200,-66,-66,-80,-73,-71,-73,-80,-200,-200,-200,-75,-77,-74,-83,-75,-200,-200,-84,-200,-200,-76,-84,-88,-200,-92,-200,-200,-200,-78,-200,-200,-200,-86,-200,-200,-200,-81,-200,-200,-84,-88
1526452219871,-42,-33,-48,-52,-63,-53,-59,-57,-62,-74,-62,-68,-69,-69,-66,-200,-66,-66,-80,-73,-71,-73,-80,-200,-200,-200,-75,-77,-74,-83,-75,-200,-200,-84,-200,-200,-76,-84,-88,-200,-92,-200,-200,-200,-78,-200,-200,-200,-86,-200,-200,-200,-81,-200,-200,-84,-88
1526452222914,-40,-33,-49,-53,-62,-56,-59,-56,-62,-73,-62,-70,-68,-63,-66,-200,-67,-65,-77,-73,-200,-75,-75,-200,-200,-200,-200,-77,-66,-83,-75,-200,-200,-81,-200,-83,-74,-85,-88,-200,-200,-200,-200,-200,-78,-200,-200,-200,-85,-200,-200,-200,-200,-200,-82,-200,-200
