,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018
1526451734931,-33,-54,-43,-51,-42,-51,-51,-48,-65,-57,-56,-61,-57,-62,-200,-63,-73,-66,-200,-67,-65,-200,-80,-200,-70,-67,-74,-88,-200,-200,-200,-72,-200,-200,-200,-82,-79,-86,-80,-200,-87,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451737970,-33,-54,-43,-51,-42,-51,-51,-48,-65,-57,-56,-61,-57,-62,-200,-63,-73,-66,-200,-67,-65,-200,-80,-200,-70,-67,-74,-88,-200,-200,-200,-72,-200,-200,-200,-82,-79,-86,-80,-200,-87,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451740999,-33,-54,-43,-51,-42,-51,-51,-48,-65,-57,-56,-61,-57,-62,-200,-63,-73,-66,-200,-67,-65,-200,-80,-200,-70,-67,-74,-88,-200,-200,-200,-72,-200,-200,-200,-82,-79,-86,-80,-200,-87,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451744030,-30,-53,-47,-51,-45,-47,-49,-53,-65,-60,-54,-63,-62,-59,-200,-61,-74,-69,-200,-65,-74,-79,-200,-200,-70,-67,-73,-200,-200,-88,-200,-71,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-87,-91,-200,-200,-200,-200,-200,-200,-200
1526451747073,-30,-51,-47,-51,-43,-47,-49,-52,-65,-60,-53,-63,-62,-62,-200,-59,-74,-66,-76,-66,-66,-79,-200,-200,-70,-67,-73,-200,-200,-88,-200,-71,-200,-200,-200,-82,-78,-200,-200,-200,-200,-200,-87,-91,-200,-200,-200,-200,-200,-200,-200
1526451750083,-30,-51,-47,-51,-43,-47,-49,-52,-65,-60,-53,-63,-62,-62,-200,-59,-74,-66,-76,-66,-66,-79,-200,-200,-70,-67,-73,-200,-200,-88,-200,-71,-200,-200,-200,-82,-78,-200,-200,-200,-200,-200,-87,-91,-200,-200,-200,-200,-200,-200,-200
1526451753127,-30,-51,-47,-51,-43,-47,-49,-52,-65,-60,-53,-63,-62,-62,-200,-59,-74,-66,-76,-66,-66,-79,-200,-200,-70,-67,-73,-200,-200,-88,-200,-71,-200,-200,-200,-82,-78,-200,-200,-200,-200,-200,-87,-91,-200,-200,-200,-200,-200,-200,-200
1526451756182,-35,-51,-48,-51,-43,-47,-49,-52,-65,-60,-57,-60,-61,-62,-68,-59,-74,-65,-76,-66,-69,-200,-200,-71,-71,-67,-73,-200,-200,-200,-200,-71,-200,-85,-200,-80,-78,-200,-200,-200,-200,-200,-200,-200,-82,-91,-200,-200,-200,-200,-200
1526451759222,-35,-50,-48,-50,-43,-45,-52,-52,-64,-62,-56,-60,-57,-59,-64,-59,-74,-66,-76,-66,-70,-200,-200,-71,-71,-67,-73,-200,-78,-200,-200,-71,-74,-85,-200,-80,-78,-200,-200,-200,-200,-200,-200,-200,-82,-91,-90,-94,-200,-200,-200
1526451762262,-35,-50,-48,-50,-43,-45,-52,-52,-64,-62,-56,-60,-57,-59,-64,-59,-74,-66,-76,-66,-70,-200,-200,-71,-71,-67,-73,-200,-78,-200,-200,-71,-74,-85,-200,-80,-78,-200,-200,-200,-200,-200,-200,-200,-82,-91,-90,-94,-200,-200,-200
1526451765301,-29,-51,-48,-53,-43,-48,-50,-51,-64,-60,-54,-60,-57,-60,-64,-60,-74,-66,-78,-66,-63,-200,-200,-75,-72,-69,-73,-86,-78,-200,-200,-71,-73,-200,-79,-83,-200,-86,-200,-200,-200,-200,-200,-200,-83,-93,-90,-94,-93,-200,-200
1526451768348,-30,-53,-48,-53,-43,-47,-51,-50,-64,-62,-55,-59,-58,-60,-73,-60,-73,-61,-76,-65,-68,-200,-200,-77,-71,-69,-73,-89,-78,-200,-200,-71,-73,-75,-81,-81,-81,-88,-86,-200,-200,-200,-200,-200,-83,-93,-90,-94,-93,-86,-92
