,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,NETWORK,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,DLINK_D02A48,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526452113164,-27,-36,-47,-44,-49,-52,-56,-63,-62,-59,-67,-64,-66,-61,-70,-67,-69,-77,-68,-70,-80,-86,-74,-200,-200,-76,-81,-82,-200,-65,-200,-200,-88,-200,-200,-72,-200,-200,-200,-200,-200,-200,-74,-84,-83,-200,-80,-75,-92,-200,-200,-200,-200,-200
1526452116193,-27,-36,-47,-44,-49,-52,-56,-63,-62,-59,-67,-64,-66,-61,-70,-67,-69,-77,-68,-70,-80,-86,-74,-200,-200,-76,-81,-82,-200,-65,-200,-200,-88,-200,-200,-72,-200,-200,-200,-200,-200,-200,-74,-84,-83,-200,-80,-75,-92,-200,-200,-200,-200,-200
1526452119235,-27,-36,-47,-44,-49,-52,-56,-63,-62,-59,-67,-64,-66,-61,-70,-67,-69,-77,-68,-70,-80,-86,-74,-200,-200,-76,-81,-82,-200,-65,-200,-200,-88,-200,-200,-72,-200,-200,-200,-200,-200,-200,-74,-84,-83,-200,-80,-75,-92,-200,-200,-200,-200,-200
1526452122277,-27,-39,-46,-50,-47,-50,-61,-66,-60,-54,-61,-65,-68,-61,-71,-64,-68,-77,-64,-79,-200,-88,-81,-200,-200,-72,-81,-200,-200,-64,-200,-73,-200,-200,-200,-72,-200,-200,-200,-200,-87,-75,-73,-200,-84,-200,-200,-79,-92,-200,-200,-200,-200,-200
1526452125315,-27,-39,-51,-48,-47,-51,-61,-64,-63,-61,-68,-65,-65,-61,-71,-67,-66,-77,-66,-79,-200,-88,-79,-200,-200,-71,-81,-200,-200,-64,-200,-73,-200,-200,-200,-72,-200,-200,-200,-200,-87,-75,-73,-200,-84,-200,-200,-78,-92,-200,-200,-200,-200,-200
1526452128352,-27,-39,-51,-48,-47,-51,-61,-64,-63,-61,-68,-65,-65,-61,-71,-67,-66,-77,-66,-79,-200,-88,-79,-200,-200,-71,-81,-200,-200,-64,-200,-73,-200,-200,-200,-72,-200,-200,-200,-200,-87,-75,-73,-200,-84,-200,-200,-78,-92,-200,-200,-200,-200,-200
1526452131388,-27,-39,-51,-48,-47,-51,-61,-64,-63,-61,-68,-65,-65,-61,-71,-67,-66,-77,-66,-79,-200,-88,-79,-200,-200,-71,-81,-200,-200,-64,-200,-73,-200,-200,-200,-72,-200,-200,-200,-200,-87,-75,-73,-200,-84,-200,-200,-78,-92,-200,-200,-200,-200,-200
1526452134426,-29,-39,-45,-51,-49,-51,-60,-64,-61,-50,-65,-64,-61,-61,-68,-71,-66,-200,-66,-75,-76,-200,-80,-200,-200,-70,-81,-200,-80,-64,-200,-200,-200,-82,-85,-71,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200
1526452137472,-56,-39,-46,-47,-49,-52,-61,-64,-59,-50,-65,-64,-61,-61,-68,-68,-66,-200,-66,-76,-76,-200,-80,-82,-200,-70,-81,-79,-80,-64,-200,-200,-200,-82,-85,-69,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-78,-200,-88,-92,-93,-200,-200
1526452140510,-56,-39,-46,-47,-49,-52,-61,-64,-59,-50,-65,-64,-61,-61,-68,-68,-66,-200,-66,-76,-76,-200,-80,-82,-200,-70,-81,-79,-80,-64,-200,-200,-200,-82,-85,-69,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-78,-200,-88,-92,-93,-200,-200
1526452143551,-56,-39,-46,-47,-49,-52,-61,-64,-59,-50,-65,-64,-61,-61,-68,-68,-66,-200,-66,-76,-76,-200,-80,-82,-200,-70,-81,-79,-80,-64,-200,-200,-200,-82,-85,-69,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-78,-200,-88,-92,-93,-200,-200
1526452146593,-29,-40,-45,-49,-48,-54,-61,-66,-62,-49,-64,-65,-63,-61,-68,-66,-66,-200,-66,-79,-76,-86,-200,-81,-200,-68,-79,-79,-80,-60,-200,-200,-200,-82,-200,-69,-90,-200,-200,-200,-200,-77,-75,-77,-200,-200,-200,-79,-200,-88,-92,-93,-86,-88
