,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018
1526451508483,-24,-34,-46,-55,-63,-56,-61,-53,-58,-67,-62,-66,-66,-72,-73,-67,-76,-75,-72,-64,-200,-70,-81,-200,-78,-76,-78,-77,-87,-200,-200,-74,-83,-200,-86,-69,-76,-83,-200,-84,-200,-200,-94,-84,-87,-92,-200,-200,-200,-200,-200,-200,-200
1526451511517,-24,-34,-46,-55,-63,-56,-61,-53,-58,-67,-62,-66,-66,-72,-73,-67,-76,-75,-72,-64,-200,-70,-81,-200,-78,-76,-78,-77,-87,-200,-200,-74,-83,-200,-86,-69,-76,-83,-200,-84,-200,-200,-94,-84,-87,-92,-200,-200,-200,-200,-200,-200,-200
1526451514569,-24,-34,-46,-55,-63,-56,-61,-53,-58,-67,-62,-66,-66,-72,-73,-67,-76,-75,-72,-64,-200,-70,-81,-200,-78,-76,-78,-77,-87,-200,-200,-74,-83,-200,-86,-69,-76,-83,-200,-84,-200,-200,-94,-84,-87,-92,-200,-200,-200,-200,-200,-200,-200
1526451517614,-23,-33,-45,-49,-50,-200,-55,-53,-58,-69,-62,-66,-64,-73,-72,-67,-79,-75,-69,-63,-78,-66,-200,-200,-78,-76,-78,-77,-200,-200,-200,-77,-200,-200,-200,-73,-74,-84,-200,-85,-83,-200,-94,-200,-200,-92,-90,-200,-200,-200,-200,-200,-200
1526451520651,-23,-32,-45,-49,-50,-59,-58,-53,-59,-69,-60,-66,-65,-75,-72,-79,-79,-75,-69,-64,-78,-66,-200,-200,-78,-80,-78,-78,-200,-200,-200,-77,-200,-200,-200,-73,-75,-84,-200,-85,-83,-200,-94,-200,-200,-92,-90,-86,-90,-200,-200,-200,-200
1526451523693,-23,-32,-45,-49,-50,-59,-58,-53,-59,-69,-60,-66,-65,-75,-72,-79,-79,-75,-69,-64,-78,-66,-200,-200,-78,-80,-78,-78,-200,-200,-200,-77,-200,-200,-200,-73,-75,-84,-200,-85,-83,-200,-94,-200,-200,-92,-90,-86,-90,-200,-200,-200,-200
1526451526735,-23,-32,-45,-49,-50,-59,-58,-53,-59,-69,-60,-66,-65,-75,-72,-79,-79,-75,-69,-64,-78,-66,-200,-200,-78,-80,-78,-78,-200,-200,-200,-77,-200,-200,-200,-73,-75,-84,-200,-85,-83,-200,-94,-200,-200,-92,-90,-86,-90,-200,-200,-200,-200
1526451529776,-24,-31,-45,-53,-50,-57,-56,-56,-59,-71,-62,-66,-65,-75,-73,-65,-200,-200,-68,-64,-200,-66,-78,-200,-200,-77,-79,-79,-87,-78,-200,-78,-200,-200,-200,-74,-75,-84,-80,-86,-200,-200,-200,-200,-200,-200,-200,-86,-90,-70,-200,-200,-200
1526451532820,-24,-33,-45,-49,-52,-58,-59,-53,-59,-67,-62,-66,-63,-75,-72,-65,-200,-200,-68,-64,-200,-66,-78,-200,-75,-78,-79,-79,-87,-78,-200,-77,-200,-200,-200,-74,-75,-84,-80,-86,-200,-200,-200,-200,-200,-200,-200,-86,-90,-70,-92,-200,-200
1526451535860,-24,-33,-45,-49,-52,-58,-59,-53,-59,-67,-62,-66,-63,-75,-72,-65,-200,-200,-68,-64,-200,-66,-78,-200,-75,-78,-79,-79,-87,-78,-200,-77,-200,-200,-200,-74,-75,-84,-80,-86,-200,-200,-200,-200,-200,-200,-200,-86,-90,-70,-92,-200,-200
1526451538893,-24,-33,-45,-49,-52,-58,-59,-53,-59,-67,-62,-66,-63,-75,-72,-65,-200,-200,-68,-64,-200,-66,-78,-200,-75,-78,-79,-79,-87,-78,-200,-77,-200,-200,-200,-74,-75,-84,-80,-86,-200,-200,-200,-200,-200,-200,-200,-86,-90,-70,-92,-200,-200
1526451541937,-24,-33,-46,-50,-63,-58,-57,-52,-59,-65,-62,-69,-68,-72,-72,-75,-200,-200,-200,-64,-80,-72,-72,-200,-74,-78,-78,-79,-200,-200,-200,-76,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-69,-92,-85,-88
