,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro
1526452037973,-25,-33,-55,-44,-43,-49,-56,-50,-57,-58,-63,-61,-70,-67,-63,-67,-66,-67,-66,-67,-71,-69,-64,-200,-75,-200,-73,-200,-79,-85,-77,-200,-81,-75,-72,-66,-200,-200,-74,-83,-200,-83,-200,-200,-80,-79,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526452041010,-25,-33,-55,-44,-43,-49,-56,-50,-57,-58,-63,-61,-70,-67,-63,-67,-66,-67,-66,-67,-71,-69,-64,-200,-75,-200,-73,-200,-79,-85,-77,-200,-81,-75,-72,-66,-200,-200,-74,-83,-200,-83,-200,-200,-80,-79,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526452044062,-25,-33,-55,-44,-43,-49,-56,-50,-57,-58,-63,-61,-70,-67,-63,-67,-66,-67,-66,-67,-71,-69,-64,-200,-75,-200,-73,-200,-79,-85,-77,-200,-81,-75,-72,-66,-200,-200,-74,-83,-200,-83,-200,-200,-80,-79,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526452047100,-25,-34,-55,-44,-44,-49,-60,-50,-62,-59,-63,-60,-70,-67,-69,-66,-64,-67,-64,-67,-200,-71,-65,-79,-75,-200,-72,-200,-79,-200,-77,-200,-200,-76,-200,-69,-200,-200,-75,-200,-200,-200,-200,-200,-80,-200,-87,-89,-91,-200,-200,-200,-200,-200,-200
1526452050149,-25,-33,-55,-44,-44,-49,-51,-50,-57,-60,-63,-60,-70,-71,-69,-66,-75,-70,-64,-67,-73,-71,-68,-79,-78,-200,-75,-200,-79,-200,-78,-200,-200,-77,-75,-69,-200,-200,-76,-200,-200,-200,-200,-200,-80,-200,-87,-89,-91,-80,-87,-200,-200,-200,-200
1526452053189,-25,-33,-55,-44,-44,-49,-51,-50,-57,-60,-63,-60,-70,-71,-69,-66,-75,-70,-64,-67,-73,-71,-68,-79,-78,-200,-75,-200,-79,-200,-78,-200,-200,-77,-75,-69,-200,-200,-76,-200,-200,-200,-200,-200,-80,-200,-87,-89,-91,-80,-87,-200,-200,-200,-200
1526452056224,-25,-33,-55,-44,-44,-49,-51,-50,-57,-60,-63,-60,-70,-71,-69,-66,-75,-70,-64,-67,-73,-71,-68,-79,-78,-200,-75,-200,-79,-200,-78,-200,-200,-77,-75,-69,-200,-200,-76,-200,-200,-200,-200,-200,-80,-200,-87,-89,-91,-80,-87,-200,-200,-200,-200
1526452059271,-25,-33,-52,-45,-43,-53,-51,-50,-56,-59,-62,-60,-68,-71,-69,-66,-65,-68,-64,-64,-73,-75,-64,-79,-77,-200,-72,-200,-83,-200,-78,-200,-79,-76,-75,-68,-200,-200,-76,-200,-200,-200,-84,-200,-81,-200,-200,-200,-91,-80,-87,-77,-88,-200,-200
1526452062310,-25,-32,-48,-45,-46,-53,-56,-51,-49,-59,-62,-58,-64,-64,-60,-66,-66,-68,-64,-66,-73,-75,-65,-79,-77,-200,-72,-200,-83,-200,-78,-200,-79,-74,-75,-68,-200,-78,-76,-200,-200,-200,-84,-200,-81,-200,-200,-87,-91,-80,-87,-77,-88,-81,-200
1526452065359,-25,-32,-48,-45,-46,-53,-56,-51,-49,-59,-62,-58,-64,-64,-60,-66,-66,-68,-64,-66,-73,-75,-65,-79,-77,-200,-72,-200,-83,-200,-78,-200,-79,-74,-75,-68,-200,-78,-76,-200,-200,-200,-84,-200,-81,-200,-200,-87,-91,-80,-87,-77,-88,-81,-200
1526452068405,-25,-32,-48,-45,-46,-53,-56,-51,-49,-59,-62,-58,-64,-64,-60,-66,-66,-68,-64,-66,-73,-75,-65,-79,-77,-200,-72,-200,-83,-200,-78,-200,-79,-74,-75,-68,-200,-78,-76,-200,-200,-200,-84,-200,-81,-200,-200,-87,-91,-80,-87,-77,-88,-81,-200
1526452071448,-28,-32,-46,-44,-51,-49,-50,-47,-48,-60,-62,-59,-67,-64,-66,-60,-70,-61,-60,-68,-200,-200,-67,-76,-76,-200,-75,-200,-82,-200,-200,-200,-200,-74,-73,-200,-200,-78,-200,-200,-200,-200,-200,-200,-75,-200,-200,-87,-89,-200,-200,-200,-88,-81,-89
