,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,NETWORK,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018
1526455742952,-17,-44,-43,-200,-50,-66,-58,-55,-32,-54,-68,-71,-65,-62,-63,-73,-83,-67,-59,-72,-72,-200,-78,-69,-72,-73,-85,-71,-89,-200,-200,-200,-90,-73,-81,-86,-48,-78,-50,-200,-200,-200
1526455746460,-17,-43,-43,-200,-50,-66,-57,-55,-44,-59,-67,-72,-65,-62,-63,-68,-83,-67,-61,-75,-200,-200,-78,-69,-73,-73,-85,-71,-87,-200,-200,-200,-200,-81,-200,-200,-50,-78,-50,-200,-200,-200
1526455749480,-19,-45,-40,-200,-50,-66,-61,-56,-33,-53,-63,-70,-65,-62,-66,-70,-80,-67,-60,-73,-77,-200,-78,-73,-65,-78,-81,-71,-89,-200,-200,-200,-200,-79,-200,-83,-50,-78,-50,-83,-200,-200
1526455752499,-19,-45,-40,-200,-50,-66,-61,-56,-33,-53,-63,-70,-65,-62,-66,-70,-80,-200,-60,-73,-77,-200,-200,-73,-65,-78,-81,-71,-89,-200,-200,-200,-200,-79,-200,-83,-50,-78,-50,-83,-200,-200
1526455755523,-16,-43,-46,-200,-45,-67,-61,-56,-17,-51,-65,-70,-65,-62,-64,-69,-83,-200,-64,-72,-77,-200,-200,-73,-67,-75,-81,-71,-88,-200,-200,-200,-89,-79,-200,-83,-50,-78,-50,-83,-89,-200
1526455758532,-16,-43,-46,-200,-45,-67,-61,-56,-17,-51,-65,-70,-65,-62,-64,-69,-83,-200,-64,-72,-77,-200,-200,-73,-67,-75,-81,-71,-88,-200,-200,-200,-89,-79,-200,-83,-50,-200,-50,-83,-89,-200
1526455761554,-18,-44,-44,-200,-41,-63,-56,-56,-29,-57,-66,-74,-65,-59,-64,-69,-89,-200,-61,-72,-77,-200,-200,-73,-63,-75,-84,-70,-88,-200,-200,-200,-89,-79,-200,-83,-50,-200,-54,-83,-89,-74
1526455764574,-18,-44,-44,-200,-41,-63,-56,-56,-29,-57,-66,-74,-65,-59,-64,-69,-89,-200,-61,-72,-77,-200,-200,-73,-63,-75,-84,-70,-88,-200,-200,-200,-89,-79,-200,-83,-50,-200,-54,-83,-89,-74
1526455767595,-16,-41,-42,-200,-37,-66,-56,-56,-34,-51,-66,-68,-200,-59,-63,-69,-84,-200,-58,-72,-77,-200,-200,-65,-64,-71,-83,-66,-88,-200,-200,-200,-89,-79,-200,-83,-50,-200,-54,-83,-89,-74
1526455770613,-16,-41,-42,-200,-37,-66,-56,-56,-34,-51,-66,-68,-200,-59,-63,-69,-84,-200,-58,-72,-77,-200,-200,-65,-64,-71,-83,-66,-88,-200,-200,-200,-89,-79,-200,-83,-50,-200,-54,-83,-89,-74
1526455773621,-20,-41,-44,-57,-38,-70,-57,-59,-32,-53,-70,-72,-200,-59,-63,-80,-83,-200,-62,-71,-77,-200,-200,-66,-66,-71,-84,-84,-92,-200,-200,-200,-89,-79,-200,-83,-59,-200,-54,-83,-89,-74
