,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,MERCURY_0166,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,TP-LINK_1398,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526462054317,-32,-47,-48,-51,-57,-54,-58,-54,-55,-65,-63,-78,-77,-62,-68,-74,-81,-84,-73,-89,-86,-76,-78,-84,-82,-80,-79,-74,-80,-68,-79,-78,-87,-81,-76,-81,-75,-89,-85,-86,-200,-74,-89,-91,-200,-86,-92,-93,-92,-91,-90,-89,-200,-200,-95,-200,-200,-85,-90,-87,-89,-90,-83,-90,-200,-91,-200,-91,-92,-200,-200,-200,-200
1526462057355,-32,-46,-48,-50,-57,-53,-61,-51,-56,-65,-63,-75,-80,-63,-71,-74,-81,-80,-75,-85,-86,-76,-80,-86,-80,-77,-80,-73,-81,-69,-80,-81,-87,-80,-78,-80,-75,-89,-86,-86,-200,-78,-90,-91,-200,-86,-92,-93,-92,-91,-90,-89,-200,-200,-200,-200,-73,-86,-90,-87,-89,-90,-81,-90,-200,-89,-200,-200,-92,-200,-200,-200,-200
1526462060395,-39,-46,-50,-51,-57,-62,-59,-52,-53,-73,-64,-83,-76,-61,-78,-74,-80,-89,-81,-85,-86,-76,-79,-86,-82,-77,-80,-82,-81,-68,-79,-78,-87,-80,-78,-80,-75,-89,-85,-86,-200,-82,-90,-200,-200,-86,-92,-93,-200,-91,-90,-200,-200,-200,-200,-200,-73,-86,-90,-88,-89,-90,-81,-90,-200,-95,-200,-200,-92,-200,-200,-200,-200
1526462063436,-32,-47,-50,-51,-57,-54,-59,-56,-53,-66,-64,-74,-78,-61,-69,-75,-80,-81,-76,-83,-85,-79,-79,-86,-82,-77,-83,-82,-80,-69,-78,-81,-87,-81,-77,-81,-76,-89,-85,-89,-200,-78,-91,-95,-200,-200,-90,-200,-200,-91,-90,-200,-200,-200,-89,-200,-73,-86,-200,-88,-89,-91,-81,-90,-200,-89,-200,-200,-200,-84,-200,-200,-200
1526462066454,-33,-51,-47,-51,-58,-54,-60,-53,-54,-66,-64,-81,-81,-62,-70,-75,-81,-81,-75,-83,-84,-78,-80,-85,-82,-82,-83,-78,-78,-69,-79,-81,-87,-69,-81,-82,-76,-89,-83,-89,-200,-78,-92,-95,-200,-200,-89,-200,-200,-90,-200,-200,-200,-200,-89,-200,-73,-81,-200,-88,-89,-91,-85,-200,-200,-89,-200,-200,-200,-82,-83,-200,-200
1526462069488,-32,-47,-50,-51,-55,-53,-62,-58,-53,-65,-63,-79,-82,-61,-70,-76,-81,-80,-76,-83,-85,-76,-78,-85,-80,-81,-83,-76,-78,-69,-80,-87,-87,-69,-84,-82,-79,-89,-83,-89,-200,-78,-92,-95,-200,-200,-89,-200,-200,-92,-200,-200,-200,-200,-90,-200,-73,-86,-90,-89,-200,-91,-80,-200,-200,-89,-200,-200,-200,-82,-85,-200,-200
1526462072520,-33,-47,-50,-51,-55,-53,-60,-57,-57,-65,-63,-80,-81,-63,-70,-72,-81,-86,-76,-85,-85,-76,-79,-85,-81,-81,-83,-77,-81,-68,-80,-78,-200,-80,-83,-79,-79,-89,-83,-89,-200,-78,-92,-95,-200,-200,-89,-200,-200,-92,-200,-200,-200,-200,-90,-200,-200,-86,-90,-89,-200,-88,-80,-200,-200,-89,-200,-200,-90,-83,-85,-200,-200
1526462075558,-32,-50,-51,-52,-63,-54,-69,-57,-54,-72,-63,-75,-79,-62,-69,-71,-81,-86,-83,-85,-85,-80,-79,-83,-80,-77,-200,-78,-81,-69,-79,-83,-200,-82,-83,-80,-88,-85,-85,-200,-90,-79,-92,-88,-200,-200,-89,-200,-200,-91,-200,-200,-200,-200,-89,-200,-75,-83,-90,-88,-200,-88,-80,-200,-200,-89,-200,-200,-90,-83,-85,-92,-200
1526462078594,-32,-47,-46,-50,-57,-53,-62,-51,-56,-67,-65,-75,-83,-59,-71,-75,-81,-86,-77,-84,-86,-80,-78,-83,-80,-82,-200,-78,-80,-69,-80,-76,-86,-80,-78,-80,-80,-90,-85,-88,-90,-78,-89,-88,-200,-200,-88,-200,-200,-91,-89,-92,-200,-200,-89,-200,-75,-83,-90,-90,-200,-91,-80,-200,-200,-91,-200,-200,-90,-83,-85,-92,-200
1526462081633,-33,-46,-49,-52,-58,-55,-64,-53,-54,-67,-63,-74,-78,-61,-70,-75,-81,-86,-74,-86,-86,-80,-78,-83,-80,-77,-80,-74,-78,-69,-81,-76,-86,-81,-77,-79,-80,-90,-85,-88,-93,-78,-89,-90,-200,-87,-88,-200,-200,-91,-89,-90,-200,-200,-89,-200,-72,-84,-200,-87,-200,-91,-83,-200,-200,-91,-200,-200,-92,-83,-200,-92,-200
1526462084668,-33,-55,-45,-51,-58,-56,-62,-65,-62,-65,-66,-75,-79,-65,-65,-80,-80,-85,-74,-85,-85,-80,-80,-84,-80,-77,-79,-74,-78,-69,-80,-76,-86,-80,-89,-80,-73,-90,-84,-88,-91,-73,-89,-90,-200,-87,-87,-200,-200,-92,-89,-90,-200,-200,-89,-200,-82,-86,-200,-93,-200,-92,-83,-200,-200,-90,-200,-200,-91,-200,-200,-92,-88
1526462087713,-33,-62,-49,-50,-58,-56,-62,-51,-55,-66,-66,-75,-80,-60,-68,-71,-81,-80,-73,-87,-86,-200,-79,-83,-80,-82,-79,-72,-81,-68,-78,-76,-88,-80,-84,-81,-79,-87,-85,-86,-91,-79,-91,-90,-200,-89,-91,-200,-200,-92,-89,-90,-200,-200,-89,-200,-82,-86,-200,-88,-200,-92,-83,-200,-200,-92,-200,-200,-91,-200,-200,-200,-88
