,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,MERCURY_0166,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,TP-LINK_1398,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526461878825,-39,-15,-51,-67,-65,-58,-61,-57,-61,-77,-63,-80,-73,-200,-69,-69,-83,-90,-69,-69,-69,-61,-88,-200,-78,-68,-74,-88,-54,-76,-75,-86,-73,-87,-82,-71,-82,-88,-86,-83,-200,-84,-87,-200,-200,-77,-84,-200,-86,-89,-200,-200,-200,-87,-89,-87,-85,-200,-75,-81,-85,-87,-89,-92,-92,-80,-90,-92,-89,-90
1526461881859,-39,-15,-51,-67,-65,-58,-61,-57,-61,-77,-63,-80,-73,-200,-69,-69,-83,-90,-69,-69,-69,-61,-88,-200,-78,-68,-74,-88,-54,-76,-75,-86,-73,-87,-82,-71,-82,-88,-86,-83,-200,-84,-87,-200,-200,-77,-84,-200,-86,-89,-200,-200,-200,-87,-89,-87,-85,-200,-75,-81,-85,-87,-89,-92,-92,-80,-90,-92,-89,-90
1526461884894,-39,-15,-51,-67,-65,-58,-61,-57,-61,-77,-63,-80,-73,-200,-69,-69,-83,-90,-69,-69,-69,-61,-88,-200,-78,-68,-74,-88,-54,-76,-75,-86,-73,-87,-82,-71,-82,-88,-86,-83,-200,-84,-87,-200,-200,-77,-84,-200,-86,-89,-200,-200,-200,-87,-89,-87,-85,-200,-75,-81,-85,-87,-89,-92,-92,-80,-90,-92,-89,-90
1526461887924,-39,-15,-51,-67,-65,-58,-61,-57,-61,-77,-63,-80,-73,-200,-69,-69,-83,-90,-69,-69,-69,-61,-88,-200,-78,-68,-74,-88,-54,-76,-75,-86,-73,-87,-82,-71,-82,-88,-86,-83,-200,-84,-87,-200,-200,-77,-84,-200,-86,-89,-200,-200,-200,-87,-89,-87,-85,-200,-75,-81,-85,-87,-89,-92,-92,-80,-90,-92,-89,-90
1526461890958,-39,-15,-51,-67,-65,-58,-61,-57,-61,-77,-63,-80,-73,-200,-69,-69,-83,-90,-69,-69,-69,-61,-88,-200,-78,-68,-74,-88,-54,-76,-75,-86,-73,-87,-82,-71,-82,-88,-86,-83,-200,-84,-87,-200,-200,-77,-84,-200,-86,-89,-200,-200,-200,-87,-89,-87,-85,-200,-75,-81,-85,-87,-89,-92,-92,-80,-90,-92,-89,-90
1526461893993,-39,-15,-51,-67,-65,-58,-61,-57,-61,-77,-63,-80,-73,-200,-69,-69,-83,-90,-69,-69,-69,-61,-88,-200,-78,-68,-74,-88,-54,-76,-75,-86,-73,-87,-82,-71,-82,-88,-86,-83,-200,-84,-87,-200,-200,-77,-84,-200,-86,-89,-200,-200,-200,-87,-89,-87,-85,-200,-75,-81,-85,-87,-89,-92,-92,-80,-90,-92,-89,-90
1526461897028,-39,-15,-51,-67,-65,-58,-61,-57,-61,-77,-63,-80,-73,-200,-69,-69,-83,-90,-69,-69,-69,-61,-88,-200,-78,-68,-74,-88,-54,-76,-75,-86,-73,-87,-82,-71,-82,-88,-86,-83,-200,-84,-87,-200,-200,-77,-84,-200,-86,-89,-200,-200,-200,-87,-89,-87,-85,-200,-75,-81,-85,-87,-89,-92,-92,-80,-90,-92,-89,-90
1526461900064,-39,-15,-51,-67,-65,-58,-61,-57,-61,-77,-63,-80,-73,-200,-69,-69,-83,-90,-69,-69,-69,-61,-88,-200,-78,-68,-74,-88,-54,-76,-75,-86,-73,-87,-82,-71,-82,-88,-86,-83,-200,-84,-87,-200,-200,-77,-84,-200,-86,-89,-200,-200,-200,-87,-89,-87,-85,-200,-75,-81,-85,-87,-89,-92,-92,-80,-90,-92,-89,-90
1526461903096,-39,-15,-51,-67,-65,-58,-61,-57,-61,-77,-63,-80,-73,-200,-69,-69,-83,-90,-69,-69,-69,-61,-88,-200,-78,-68,-74,-88,-54,-76,-75,-86,-73,-87,-82,-71,-82,-88,-86,-83,-200,-84,-87,-200,-200,-77,-84,-200,-86,-89,-200,-200,-200,-87,-89,-87,-85,-200,-75,-81,-85,-87,-89,-92,-92,-80,-90,-92,-89,-90
1526461906133,-39,-15,-51,-67,-65,-58,-61,-57,-61,-77,-63,-80,-73,-200,-69,-69,-83,-90,-69,-69,-69,-61,-88,-200,-78,-68,-74,-88,-54,-76,-75,-86,-73,-87,-82,-71,-82,-88,-86,-83,-200,-84,-87,-200,-200,-77,-84,-200,-86,-89,-200,-200,-200,-87,-89,-87,-85,-200,-75,-81,-85,-87,-89,-92,-92,-80,-90,-92,-89,-90
1526461909169,-39,-15,-51,-67,-65,-58,-61,-57,-61,-77,-63,-80,-73,-200,-69,-69,-83,-90,-69,-69,-69,-61,-88,-200,-78,-68,-74,-88,-54,-76,-75,-86,-73,-87,-82,-71,-82,-88,-86,-83,-200,-84,-87,-200,-200,-77,-84,-200,-86,-89,-200,-200,-200,-87,-89,-87,-85,-200,-75,-81,-85,-87,-89,-92,-92,-80,-90,-92,-89,-90
1526461912205,-39,-15,-51,-67,-65,-58,-61,-57,-61,-77,-63,-80,-73,-200,-69,-69,-83,-90,-69,-69,-69,-61,-88,-200,-78,-68,-74,-88,-54,-76,-75,-86,-73,-87,-82,-71,-82,-88,-86,-83,-200,-84,-87,-200,-200,-77,-84,-200,-86,-89,-200,-200,-200,-87,-89,-87,-85,-200,-75,-81,-85,-87,-89,-92,-92,-80,-90,-92,-89,-90
