,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D07F10,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,TP-LINK_1398,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526461596861,-23,-45,-51,-49,-56,-59,-51,-64,-64,-58,-70,-67,-59,-64,-76,-69,-82,-70,-75,-82,-75,-67,-77,-76,-77,-83,-83,-86,-200,-82,-80,-86,-86,-85,-200,-83,-88,-91,-200,-92,-91,-85,-90,-200,-200,-89,-200,-200,-200,-82,-200,-89,-90,-200,-200,-200,-92,-85,-84,-200,-200,-200,-200,-200,-200
1526461599892,-23,-42,-52,-51,-56,-58,-51,-65,-64,-58,-77,-67,-69,-64,-77,-72,-81,-66,-75,-84,-74,-67,-72,-76,-77,-92,-83,-86,-200,-82,-87,-84,-86,-85,-200,-85,-88,-91,-200,-92,-91,-85,-90,-200,-200,-89,-200,-200,-200,-78,-200,-88,-90,-200,-90,-85,-92,-85,-84,-91,-200,-200,-200,-200,-200
1526461602915,-23,-44,-51,-49,-54,-62,-47,-65,-60,-59,-80,-68,-60,-66,-75,-69,-82,-71,-75,-85,-75,-70,-72,-76,-79,-92,-86,-89,-200,-82,-87,-83,-84,-86,-200,-82,-88,-89,-200,-92,-91,-85,-90,-200,-200,-89,-89,-200,-200,-81,-200,-90,-91,-200,-90,-85,-200,-200,-84,-91,-200,-200,-200,-200,-200
1526461605945,-23,-43,-50,-50,-58,-64,-53,-64,-62,-60,-78,-71,-62,-65,-80,-69,-81,-70,-75,-82,-75,-66,-79,-75,-74,-92,-86,-89,-200,-83,-80,-82,-84,-84,-200,-84,-89,-89,-200,-92,-200,-85,-90,-88,-200,-200,-89,-200,-200,-81,-200,-90,-91,-200,-90,-85,-200,-200,-84,-91,-78,-200,-200,-200,-200
1526461608971,-22,-46,-51,-47,-56,-70,-52,-58,-65,-60,-68,-66,-62,-62,-78,-70,-83,-71,-76,-83,-75,-70,-80,-83,-80,-81,-87,-80,-94,-82,-81,-82,-86,-84,-200,-85,-90,-90,-200,-200,-200,-87,-90,-88,-200,-200,-89,-90,-200,-80,-82,-87,-92,-200,-200,-91,-200,-200,-89,-200,-78,-84,-89,-200,-200
1526461612004,-30,-43,-49,-49,-61,-70,-53,-58,-65,-63,-68,-67,-63,-62,-77,-68,-79,-69,-77,-84,-75,-71,-80,-82,-74,-81,-81,-82,-94,-82,-81,-85,-87,-84,-90,-84,-90,-90,-200,-200,-200,-87,-90,-88,-200,-200,-92,-90,-200,-80,-82,-87,-92,-200,-200,-91,-88,-200,-89,-200,-78,-84,-89,-89,-200
1526461615035,-17,-43,-53,-48,-64,-70,-54,-63,-65,-60,-84,-78,-65,-64,-77,-70,-79,-73,-77,-84,-75,-68,-79,-82,-87,-89,-81,-83,-90,-81,-88,-85,-85,-85,-90,-86,-89,-90,-200,-200,-200,-87,-90,-200,-200,-200,-92,-90,-200,-80,-82,-87,-92,-200,-200,-91,-88,-200,-89,-200,-200,-84,-89,-89,-200
1526461618064,-25,-44,-52,-48,-64,-70,-53,-58,-65,-59,-68,-66,-64,-64,-77,-69,-79,-71,-77,-84,-74,-71,-82,-82,-80,-82,-81,-82,-90,-81,-88,-85,-87,-85,-90,-85,-89,-92,-200,-200,-200,-200,-90,-200,-200,-200,-92,-90,-200,-80,-84,-89,-91,-200,-200,-200,-88,-200,-89,-200,-200,-84,-200,-89,-200
1526461621096,-25,-45,-51,-47,-55,-66,-53,-61,-62,-62,-77,-69,-64,-64,-77,-69,-80,-72,-76,-81,-75,-66,-82,-84,-74,-82,-81,-81,-90,-81,-85,-83,-87,-84,-90,-85,-88,-92,-200,-200,-93,-200,-90,-200,-200,-200,-91,-200,-200,-80,-84,-88,-91,-200,-200,-200,-88,-200,-89,-200,-200,-200,-200,-88,-200
1526461624129,-34,-45,-50,-49,-56,-70,-52,-62,-62,-60,-67,-65,-64,-65,-78,-69,-79,-72,-78,-81,-75,-71,-82,-85,-75,-80,-200,-82,-90,-81,-85,-83,-87,-84,-89,-85,-88,-92,-86,-200,-91,-200,-90,-87,-200,-200,-91,-200,-200,-200,-85,-89,-92,-200,-200,-200,-88,-200,-89,-200,-200,-200,-200,-89,-200
1526461627160,-26,-44,-50,-49,-54,-71,-52,-61,-62,-60,-74,-69,-59,-66,-77,-70,-80,-72,-77,-90,-75,-67,-81,-81,-72,-84,-200,-80,-200,-81,-85,-85,-89,-83,-89,-85,-88,-92,-86,-200,-91,-200,-90,-87,-200,-200,-91,-200,-200,-79,-85,-89,-92,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-89,-90
1526461630193,-24,-47,-51,-50,-63,-75,-53,-63,-65,-58,-70,-75,-63,-63,-77,-71,-79,-71,-72,-84,-74,-69,-81,-84,-84,-83,-200,-86,-200,-81,-86,-83,-87,-84,-89,-85,-88,-200,-86,-200,-90,-91,-90,-87,-200,-200,-91,-200,-200,-82,-85,-89,-92,-91,-200,-200,-88,-200,-200,-200,-200,-200,-200,-89,-90
