,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,whu2011309
1526460056581,-37,-54,-43,-80,-73,-74,-200,-200,-75,-71,-49,-78,-52,-200,-82,-200,-200,-68,-83,-200,-200,-200,-200,-200,-200,-72,-85,-200,-84,-200,-200,-200,-89,-84,-200,-200,-200,-200,-74,-73,-78,-84,-200,-85,-86,-87,-200,-86,-200,-88,-87,-87,-200,-86,-86,-200,-200,-89,-92,-90,-200,-200,-89,-91,-200,-87,-83,-92,-89,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460059610,-38,-55,-45,-79,-66,-73,-200,-200,-73,-73,-49,-78,-51,-200,-82,-200,-200,-69,-83,-200,-200,-200,-200,-200,-200,-72,-88,-86,-84,-81,-200,-89,-89,-200,-200,-200,-200,-89,-76,-72,-76,-84,-200,-85,-200,-200,-200,-85,-87,-88,-88,-87,-200,-86,-200,-200,-89,-200,-89,-90,-200,-200,-89,-91,-89,-86,-200,-200,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460062620,-37,-55,-42,-72,-65,-66,-200,-200,-74,-61,-56,-84,-64,-85,-82,-200,-200,-69,-85,-200,-200,-200,-200,-200,-200,-81,-91,-86,-84,-81,-200,-89,-200,-200,-200,-200,-200,-89,-76,-66,-76,-84,-200,-85,-200,-200,-200,-85,-87,-200,-88,-87,-200,-200,-200,-200,-89,-89,-90,-200,-200,-200,-90,-91,-89,-86,-200,-200,-90,-91,-88,-88,-90,-200,-200,-200,-200,-200,-200
1526460065629,-42,-66,-41,-75,-71,-77,-83,-200,-70,-73,-51,-84,-54,-85,-82,-200,-200,-69,-85,-200,-200,-200,-200,-200,-200,-81,-85,-83,-84,-85,-200,-88,-200,-200,-93,-200,-200,-89,-71,-72,-74,-84,-200,-200,-200,-200,-200,-78,-87,-200,-88,-87,-200,-200,-91,-200,-89,-88,-88,-200,-91,-200,-90,-91,-86,-90,-200,-88,-90,-91,-88,-88,-90,-89,-90,-200,-200,-200,-200
1526460068660,-39,-62,-42,-75,-71,-76,-83,-200,-72,-65,-51,-84,-53,-85,-200,-200,-200,-67,-91,-200,-200,-200,-200,-200,-86,-79,-85,-83,-82,-85,-200,-90,-200,-200,-93,-200,-200,-89,-71,-74,-74,-200,-200,-83,-200,-200,-200,-84,-87,-87,-86,-200,-200,-83,-84,-200,-89,-88,-88,-88,-91,-200,-90,-200,-86,-89,-200,-88,-90,-200,-88,-88,-90,-89,-90,-85,-200,-200,-200
1526460071694,-40,-56,-42,-78,-67,-75,-85,-200,-73,-66,-51,-82,-51,-85,-200,-200,-200,-66,-91,-200,-200,-200,-200,-200,-86,-75,-85,-83,-82,-85,-200,-90,-200,-200,-93,-200,-200,-200,-72,-70,-74,-85,-200,-83,-200,-200,-200,-82,-90,-86,-86,-200,-200,-83,-83,-200,-200,-88,-87,-88,-91,-89,-90,-200,-85,-89,-200,-88,-200,-200,-88,-88,-90,-89,-90,-85,-200,-200,-200
1526460074723,-40,-56,-42,-77,-70,-75,-85,-200,-72,-66,-50,-85,-51,-200,-89,-200,-200,-67,-91,-200,-200,-200,-200,-200,-86,-77,-86,-83,-82,-78,-200,-90,-200,-200,-93,-200,-200,-200,-72,-74,-79,-85,-200,-83,-200,-200,-200,-83,-90,-86,-86,-200,-200,-83,-83,-200,-200,-90,-88,-88,-91,-89,-200,-200,-85,-89,-200,-88,-200,-200,-200,-200,-200,-89,-90,-85,-92,-200,-200
1526460077758,-42,-59,-42,-76,-71,-75,-82,-200,-74,-67,-51,-85,-52,-200,-89,-200,-200,-66,-91,-200,-89,-200,-200,-200,-86,-77,-86,-200,-85,-80,-200,-90,-200,-200,-90,-92,-200,-200,-72,-73,-77,-85,-200,-82,-200,-200,-200,-83,-90,-86,-88,-87,-200,-82,-83,-87,-88,-90,-89,-88,-200,-90,-200,-200,-85,-90,-200,-200,-89,-200,-200,-200,-200,-200,-90,-85,-92,-200,-200
1526460080789,-40,-58,-43,-77,-68,-75,-82,-200,-75,-67,-50,-82,-51,-200,-89,-200,-200,-66,-91,-200,-89,-200,-200,-200,-89,-73,-86,-200,-85,-79,-200,-200,-200,-200,-90,-92,-200,-200,-72,-75,-77,-84,-200,-82,-87,-200,-90,-83,-90,-86,-88,-85,-200,-82,-83,-87,-88,-93,-88,-200,-200,-90,-200,-200,-84,-90,-200,-200,-89,-200,-200,-200,-200,-200,-90,-200,-92,-86,-200
1526460083819,-39,-57,-43,-78,-72,-75,-82,-200,-71,-69,-49,-83,-51,-200,-89,-200,-200,-69,-90,-200,-89,-200,-200,-200,-89,-66,-90,-200,-86,-79,-200,-200,-200,-200,-90,-92,-200,-200,-73,-74,-77,-84,-200,-85,-87,-200,-90,-84,-200,-87,-88,-85,-200,-82,-86,-87,-88,-93,-88,-200,-200,-90,-200,-200,-84,-90,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-92,-86,-200
1526460086858,-38,-57,-43,-79,-72,-78,-82,-84,-71,-69,-50,-87,-51,-200,-200,-200,-200,-67,-90,-200,-91,-200,-200,-200,-89,-77,-90,-200,-86,-79,-200,-89,-200,-91,-90,-92,-200,-200,-71,-73,-77,-84,-200,-85,-88,-200,-90,-84,-88,-87,-88,-85,-200,-82,-84,-87,-88,-93,-88,-200,-91,-90,-200,-200,-85,-90,-200,-200,-89,-200,-200,-200,-200,-200,-93,-200,-200,-87,-91
1526460089893,-40,-60,-42,-77,-71,-75,-82,-84,-70,-72,-50,-87,-54,-200,-200,-200,-200,-71,-89,-200,-91,-200,-200,-200,-89,-79,-86,-200,-86,-79,-200,-89,-200,-91,-200,-200,-200,-200,-73,-71,-74,-84,-200,-85,-88,-200,-90,-84,-88,-87,-88,-85,-200,-200,-84,-200,-200,-93,-87,-200,-91,-90,-200,-200,-85,-90,-86,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-87,-91
