,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz
1526460352175,-57,-69,-42,-73,-67,-79,-57,-73,-81,-81,-56,-79,-67,-200,-64,-85,-86,-70,-200,-200,-200,-200,-92,-72,-81,-200,-87,-94,-200,-86,-200,-87,-200,-200,-200,-200,-200,-92,-91,-200,-84,-200,-200,-78,-200,-88,-200,-90,-90,-200,-86,-200,-88,-87,-90,-91,-91,-87,-88,-89,-91,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460355208,-55,-69,-44,-73,-63,-72,-51,-73,-81,-81,-55,-74,-68,-200,-63,-87,-86,-65,-200,-83,-200,-200,-92,-74,-78,-200,-84,-90,-200,-85,-83,-87,-200,-200,-200,-200,-200,-90,-200,-200,-84,-200,-200,-79,-83,-88,-200,-90,-90,-200,-86,-200,-88,-200,-200,-200,-200,-87,-88,-89,-91,-92,-90,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526460358220,-53,-68,-41,-73,-62,-84,-57,-74,-68,-81,-53,-78,-66,-200,-66,-88,-86,-64,-200,-83,-200,-200,-92,-73,-78,-200,-84,-90,-200,-86,-83,-87,-200,-200,-90,-200,-200,-90,-87,-89,-82,-200,-88,-79,-83,-88,-200,-90,-90,-200,-86,-79,-200,-200,-200,-200,-200,-87,-88,-89,-91,-91,-90,-90,-90,-93,-200,-200,-200,-200,-200,-200
1526460361248,-49,-69,-44,-70,-59,-72,-56,-75,-77,-200,-60,-79,-67,-200,-59,-88,-84,-70,-200,-83,-200,-83,-92,-70,-78,-200,-84,-90,-200,-86,-83,-87,-200,-200,-90,-200,-200,-89,-87,-80,-82,-200,-88,-82,-83,-200,-200,-200,-90,-200,-200,-79,-90,-200,-200,-200,-200,-87,-88,-200,-200,-91,-90,-90,-90,-93,-89,-200,-200,-200,-200,-200
1526460364257,-51,-68,-43,-72,-67,-75,-56,-74,-76,-200,-54,-79,-65,-200,-65,-88,-87,-71,-200,-83,-200,-83,-83,-69,-76,-200,-84,-90,-200,-84,-83,-83,-200,-200,-90,-200,-200,-89,-85,-86,-82,-93,-87,-79,-83,-200,-200,-200,-90,-200,-200,-79,-90,-200,-200,-88,-200,-87,-88,-200,-200,-91,-90,-90,-90,-93,-89,-200,-200,-200,-200,-200
1526460367285,-50,-68,-40,-66,-59,-75,-56,-75,-69,-200,-55,-79,-68,-200,-64,-88,-82,-66,-200,-200,-200,-83,-83,-68,-79,-200,-200,-200,-200,-87,-200,-73,-200,-200,-90,-90,-200,-89,-85,-86,-82,-93,-87,-64,-78,-200,-200,-200,-200,-91,-200,-79,-85,-200,-200,-88,-200,-87,-88,-200,-200,-91,-200,-200,-90,-93,-88,-91,-96,-200,-200,-200
1526460370314,-50,-68,-41,-69,-58,-74,-56,-75,-69,-84,-57,-78,-68,-200,-66,-89,-82,-66,-200,-200,-200,-85,-83,-67,-79,-200,-88,-89,-200,-87,-86,-73,-200,-200,-200,-90,-200,-89,-85,-86,-82,-93,-87,-81,-79,-200,-200,-200,-200,-91,-200,-200,-85,-200,-200,-88,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-88,-91,-96,-90,-91,-200
1526460373347,-52,-68,-40,-71,-61,-76,-57,-73,-77,-84,-58,-78,-66,-200,-64,-89,-82,-66,-200,-88,-200,-85,-84,-71,-79,-200,-88,-89,-89,-87,-84,-73,-200,-200,-200,-90,-200,-200,-85,-86,-82,-93,-87,-81,-79,-200,-200,-200,-200,-91,-200,-200,-84,-84,-200,-88,-200,-88,-200,-200,-200,-200,-200,-200,-90,-200,-88,-90,-96,-90,-91,-200
1526460376355,-58,-67,-41,-70,-62,-76,-55,-74,-76,-84,-57,-78,-70,-200,-65,-91,-86,-66,-200,-89,-200,-89,-84,-70,-78,-200,-88,-89,-89,-86,-85,-200,-200,-200,-94,-200,-200,-200,-87,-200,-82,-200,-89,-78,-85,-200,-200,-91,-200,-200,-200,-200,-85,-89,-200,-200,-200,-88,-200,-200,-200,-90,-200,-200,-90,-200,-200,-90,-92,-90,-91,-200
1526460379388,-55,-67,-42,-73,-60,-73,-57,-80,-81,-84,-52,-78,-74,-200,-66,-87,-86,-64,-200,-89,-200,-89,-84,-79,-78,-200,-90,-90,-89,-86,-85,-200,-200,-200,-94,-200,-200,-200,-89,-200,-82,-200,-89,-84,-80,-90,-200,-91,-200,-90,-200,-200,-85,-89,-200,-200,-200,-88,-200,-88,-200,-90,-200,-200,-90,-200,-87,-90,-92,-200,-200,-200
1526460382416,-53,-68,-42,-73,-64,-72,-56,-75,-78,-84,-54,-78,-69,-200,-67,-87,-84,-69,-200,-89,-200,-89,-82,-75,-78,-200,-90,-90,-200,-86,-85,-200,-200,-200,-94,-200,-200,-200,-89,-81,-200,-90,-89,-82,-80,-90,-200,-91,-200,-90,-200,-200,-85,-89,-200,-200,-200,-200,-200,-88,-200,-90,-200,-200,-92,-200,-87,-200,-92,-200,-200,-200
1526460385423,-50,-65,-38,-73,-51,-73,-62,-73,-79,-82,-52,-90,-57,-87,-67,-85,-76,-70,-200,-89,-200,-89,-87,-79,-72,-200,-89,-90,-200,-200,-200,-87,-200,-200,-94,-90,-200,-200,-89,-81,-200,-90,-200,-74,-80,-89,-200,-90,-200,-90,-200,-200,-200,-89,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-92,-200,-89,-200,-200,-200,-200,-85
