,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,TP-LINK_1398,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DQKJ,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526459829502,-38,-58,-51,-64,-48,-59,-76,-60,-60,-72,-68,-63,-87,-85,-79,-72,-82,-64,-74,-90,-88,-84,-87,-200,-80,-84,-200,-89,-200,-200,-200,-200,-200,-200,-87,-89,-200,-200,-200,-200,-200,-200,-85,-200,-200,-90,-200,-89,-200,-90,-85,-84,-85,-89,-91,-200,-88,-91,-200,-72,-89,-90,-91,-91,-200,-200,-200,-200,-200,-200,-200
1526459832531,-39,-57,-52,-64,-48,-59,-76,-60,-58,-71,-67,-68,-87,-85,-75,-71,-82,-66,-73,-90,-88,-84,-87,-200,-84,-200,-200,-200,-200,-200,-200,-90,-200,-200,-88,-89,-200,-200,-200,-200,-200,-200,-86,-200,-200,-91,-200,-89,-200,-90,-85,-84,-84,-89,-200,-200,-87,-91,-91,-72,-200,-89,-91,-91,-200,-200,-200,-200,-200,-200,-200
1526459835538,-39,-55,-49,-56,-49,-61,-82,-66,-57,-73,-78,-71,-81,-85,-77,-72,-83,-65,-70,-89,-200,-84,-89,-200,-84,-83,-200,-90,-200,-200,-200,-90,-200,-200,-88,-89,-91,-200,-200,-200,-200,-200,-83,-200,-200,-91,-200,-89,-200,-200,-200,-83,-84,-89,-200,-200,-90,-91,-91,-78,-200,-89,-91,-91,-200,-200,-200,-200,-200,-200,-200
1526459838547,-45,-56,-45,-54,-50,-64,-69,-62,-53,-68,-72,-76,-76,-85,-76,-77,-82,-65,-72,-89,-200,-87,-85,-200,-88,-83,-200,-90,-200,-200,-200,-90,-200,-200,-89,-89,-91,-200,-92,-200,-200,-200,-82,-200,-200,-91,-200,-200,-200,-200,-76,-83,-80,-200,-200,-200,-90,-86,-91,-78,-200,-90,-91,-91,-86,-200,-200,-200,-200,-200,-200
1526459841556,-42,-54,-50,-50,-51,-65,-65,-62,-53,-67,-71,-76,-77,-84,-73,-74,-82,-65,-70,-90,-200,-85,-86,-200,-88,-83,-88,-90,-200,-200,-200,-90,-200,-200,-89,-200,-91,-90,-92,-200,-200,-200,-82,-200,-200,-91,-200,-200,-200,-86,-84,-83,-80,-200,-200,-200,-89,-86,-91,-78,-200,-90,-200,-200,-86,-89,-200,-200,-200,-200,-200
1526459844565,-44,-50,-53,-55,-56,-61,-67,-62,-59,-63,-71,-74,-79,-84,-80,-72,-85,-68,-69,-88,-200,-85,-87,-200,-88,-83,-88,-90,-200,-200,-200,-90,-200,-200,-89,-200,-91,-90,-92,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-86,-84,-87,-78,-200,-200,-200,-89,-86,-200,-73,-89,-90,-200,-200,-82,-89,-92,-200,-200,-200,-200
1526459847576,-46,-61,-52,-67,-57,-63,-89,-65,-64,-74,-71,-74,-78,-84,-79,-71,-82,-71,-77,-88,-90,-85,-86,-200,-88,-84,-88,-200,-200,-200,-200,-90,-200,-200,-87,-200,-200,-90,-92,-200,-200,-200,-86,-89,-200,-200,-200,-200,-88,-86,-84,-87,-86,-200,-200,-91,-89,-86,-200,-73,-87,-90,-200,-200,-83,-89,-92,-89,-200,-200,-200
1526459850583,-48,-59,-51,-66,-61,-66,-81,-67,-61,-64,-83,-77,-80,-84,-77,-71,-83,-67,-80,-88,-88,-85,-86,-200,-90,-84,-88,-91,-200,-200,-200,-200,-200,-200,-87,-91,-200,-90,-91,-200,-200,-200,-86,-89,-200,-200,-200,-200,-88,-91,-82,-89,-80,-200,-200,-91,-88,-88,-90,-75,-87,-200,-200,-200,-83,-89,-92,-89,-91,-91,-91
1526459853612,-46,-59,-50,-56,-60,-59,-72,-67,-60,-68,-83,-77,-79,-200,-75,-68,-83,-67,-81,-88,-88,-89,-86,-200,-90,-84,-200,-91,-200,-200,-200,-94,-200,-200,-86,-91,-200,-200,-90,-200,-200,-200,-89,-90,-200,-200,-200,-200,-89,-91,-82,-89,-80,-200,-91,-91,-88,-88,-90,-75,-87,-200,-200,-200,-83,-200,-89,-89,-91,-91,-91
1526459856625,-50,-67,-51,-59,-59,-62,-76,-69,-60,-68,-74,-80,-80,-200,-78,-67,-79,-73,-78,-200,-88,-87,-85,-200,-90,-200,-200,-91,-200,-200,-200,-94,-200,-200,-87,-89,-200,-200,-90,-200,-200,-200,-89,-90,-200,-200,-200,-200,-89,-91,-82,-89,-80,-200,-91,-200,-90,-88,-90,-74,-200,-200,-200,-200,-83,-200,-89,-200,-91,-91,-89
1526459859653,-45,-60,-50,-62,-63,-60,-75,-66,-60,-72,-72,-81,-80,-86,-73,-67,-79,-70,-78,-200,-88,-87,-86,-200,-87,-200,-85,-91,-200,-200,-200,-94,-200,-200,-87,-89,-200,-200,-90,-200,-200,-200,-89,-90,-200,-200,-200,-200,-90,-91,-82,-89,-200,-200,-91,-200,-90,-88,-200,-74,-200,-200,-200,-200,-84,-200,-89,-88,-200,-200,-89
1526459862660,-46,-62,-50,-63,-62,-60,-80,-69,-61,-67,-70,-81,-80,-86,-74,-67,-80,-66,-78,-90,-200,-88,-86,-200,-89,-200,-84,-200,-200,-200,-200,-94,-200,-200,-87,-89,-200,-200,-89,-200,-200,-200,-89,-90,-91,-200,-200,-200,-90,-88,-200,-88,-79,-200,-91,-200,-90,-88,-200,-74,-200,-89,-200,-200,-84,-200,-89,-88,-88,-200,-89
