,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,MERCURY_0166,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D00E98,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526456190300,-27,-41,-41,-44,-44,-54,-73,-59,-53,-59,-57,-62,-52,-53,-200,-52,-58,-51,-52,-47,-43,-65,-55,-63,-200,-200,-64,-71,-53,-200,-200,-72,-200,-82,-83,-200,-89,-79,-63,-72,-71,-71,-82,-200,-83,-200,-200,-200,-72,-85,-200,-200,-67,-70,-200,-200,-66,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-79,-200,-77,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456193304,-25,-52,-41,-44,-44,-55,-70,-72,-49,-63,-70,-62,-52,-67,-83,-52,-56,-50,-46,-46,-43,-200,-55,-63,-200,-200,-63,-200,-54,-200,-69,-200,-200,-78,-80,-90,-200,-200,-62,-72,-73,-77,-82,-200,-83,-200,-200,-200,-72,-85,-200,-200,-67,-67,-200,-200,-70,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-82,-200,-77,-74,-200,-200,-86,-86,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456196349,-25,-44,-39,-41,-45,-54,-70,-59,-49,-57,-70,-59,-52,-67,-83,-52,-61,-51,-45,-47,-44,-65,-200,-63,-64,-200,-65,-200,-55,-200,-69,-200,-200,-82,-78,-90,-200,-200,-63,-60,-74,-75,-200,-84,-82,-200,-80,-200,-200,-84,-86,-200,-200,-67,-200,-200,-70,-75,-200,-200,-200,-200,-80,-82,-200,-200,-200,-200,-82,-200,-77,-74,-200,-200,-200,-86,-90,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456199358,-24,-44,-41,-38,-47,-53,-70,-56,-52,-60,-57,-59,-51,-51,-71,-53,-59,-50,-53,-45,-44,-65,-56,-63,-66,-78,-64,-200,-55,-200,-70,-200,-200,-74,-75,-90,-74,-200,-61,-60,-76,-71,-200,-84,-83,-200,-80,-200,-77,-85,-86,-87,-66,-69,-200,-88,-71,-75,-200,-200,-200,-200,-80,-86,-77,-200,-200,-75,-82,-200,-77,-74,-200,-81,-200,-86,-90,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456202388,-26,-37,-47,-38,-47,-53,-64,-49,-55,-53,-51,-56,-52,-54,-71,-72,-59,-57,-50,-47,-51,-65,-57,-63,-66,-78,-63,-59,-56,-67,-52,-200,-200,-73,-72,-200,-74,-67,-61,-77,-75,-71,-82,-84,-81,-200,-80,-200,-77,-85,-85,-87,-66,-69,-200,-88,-71,-79,-200,-200,-76,-200,-80,-83,-83,-200,-200,-75,-200,-200,-78,-74,-200,-81,-200,-200,-200,-87,-71,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456205397,-30,-37,-42,-36,-47,-53,-74,-51,-62,-52,-51,-56,-67,-54,-71,-60,-63,-55,-56,-45,-48,-200,-55,-65,-200,-62,-67,-59,-56,-67,-59,-200,-200,-76,-73,-200,-79,-67,-200,-77,-71,-70,-82,-200,-82,-200,-200,-200,-200,-200,-83,-200,-68,-200,-200,-200,-200,-79,-200,-200,-76,-200,-200,-82,-83,-200,-200,-70,-200,-200,-78,-200,-200,-200,-200,-200,-200,-87,-71,-75,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526456208450,-69,-43,-42,-36,-70,-54,-65,-49,-55,-48,-52,-53,-61,-51,-80,-74,-70,-53,-57,-46,-49,-200,-57,-65,-80,-57,-65,-89,-56,-79,-73,-200,-200,-73,-72,-86,-86,-71,-200,-79,-71,-72,-89,-82,-53,-200,-200,-200,-84,-200,-76,-200,-68,-200,-200,-200,-200,-89,-200,-85,-76,-200,-200,-71,-83,-200,-200,-86,-200,-200,-78,-200,-200,-91,-200,-200,-200,-87,-73,-75,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526456211496,-15,-42,-51,-37,-49,-54,-65,-52,-55,-51,-49,-53,-58,-55,-80,-74,-67,-54,-57,-45,-50,-200,-57,-200,-80,-57,-64,-89,-54,-79,-86,-200,-200,-76,-72,-86,-86,-69,-200,-79,-71,-72,-89,-82,-81,-200,-200,-200,-84,-200,-86,-200,-56,-200,-200,-200,-200,-89,-200,-85,-200,-200,-200,-82,-200,-200,-200,-86,-72,-200,-200,-200,-200,-80,-200,-200,-200,-200,-73,-200,-89,-79,-200,-200,-200,-200,-200,-200,-200
1526456214559,-24,-40,-47,-36,-49,-51,-57,-50,-56,-52,-52,-54,-58,-56,-200,-200,-67,-45,-59,-44,-47,-62,-56,-67,-200,-65,-65,-200,-53,-200,-61,-200,-79,-76,-73,-200,-200,-67,-200,-200,-72,-76,-200,-200,-66,-200,-200,-75,-200,-200,-87,-200,-60,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-79,-200,-200,-200,-200,-80,-200,-74,-200,-200,-78,-200,-89,-79,-200,-200,-200,-200,-200,-200,-200
1526456217609,-23,-41,-46,-36,-54,-53,-70,-51,-55,-50,-52,-54,-62,-56,-200,-71,-74,-44,-54,-44,-48,-62,-64,-67,-72,-65,-54,-63,-55,-63,-61,-70,-79,-75,-74,-200,-81,-69,-72,-74,-71,-77,-84,-81,-78,-200,-200,-75,-200,-200,-87,-200,-60,-72,-200,-200,-79,-200,-82,-200,-200,-80,-200,-83,-200,-200,-200,-73,-78,-200,-200,-200,-200,-80,-200,-74,-200,-200,-78,-200,-89,-79,-81,-200,-200,-200,-200,-200,-200
1526456220619,-31,-37,-45,-21,-53,-53,-70,-51,-53,-52,-46,-78,-59,-83,-200,-62,-60,-58,-53,-45,-47,-62,-64,-67,-72,-61,-65,-63,-54,-63,-76,-71,-200,-75,-74,-200,-80,-64,-70,-73,-59,-70,-84,-81,-80,-200,-200,-200,-200,-200,-86,-200,-68,-69,-200,-200,-79,-81,-82,-71,-200,-80,-200,-84,-200,-200,-200,-68,-78,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-89,-86,-89,-200,-200,-200,-200
1526456223666,-70,-37,-42,-35,-52,-67,-63,-49,-59,-51,-51,-70,-81,-83,-66,-65,-74,-58,-65,-45,-60,-62,-63,-200,-69,-79,-62,-200,-54,-200,-63,-71,-90,-74,-71,-200,-88,-64,-70,-73,-75,-75,-200,-200,-63,-200,-200,-200,-200,-200,-87,-200,-68,-69,-85,-200,-200,-81,-200,-86,-200,-200,-87,-81,-80,-200,-200,-68,-200,-200,-87,-200,-200,-83,-200,-200,-85,-200,-200,-87,-200,-77,-89,-86,-89,-78,-91,-92,-92
