,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,whu2011314,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,whu2011309,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A58,MERCURY_0166,D-Link_DIR-823Pro
1526456869051,-34,-52,-86,-43,-43,-42,-46,-49,-64,-55,-59,-64,-63,-200,-59,-53,-61,-53,-66,-86,-68,-80,-54,-73,-58,-61,-64,-69,-60,-71,-200,-67,-200,-62,-72,-200,-200,-69,-70,-200,-76,-81,-200,-200,-200,-81,-68,-80,-78,-84,-200,-76,-84,-200,-38,-85,-200,-200,-200,-200,-84,-66,-70,-200,-82,-200,-200,-200,-74,-200,-200,-200,-200,-67,-77,-200,-200,-200,-200,-200,-200,-200,-200
1526456872061,-35,-46,-44,-44,-43,-42,-50,-47,-71,-54,-51,-64,-57,-200,-62,-56,-53,-50,-63,-86,-69,-81,-53,-50,-58,-60,-79,-68,-200,-72,-200,-71,-200,-54,-72,-200,-200,-70,-200,-200,-76,-81,-200,-200,-200,-200,-75,-80,-80,-84,-200,-76,-84,-200,-48,-85,-200,-72,-200,-200,-200,-62,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200
1526456875099,-36,-39,-41,-44,-43,-46,-51,-54,-62,-54,-53,-63,-56,-200,-56,-56,-53,-51,-66,-88,-70,-80,-60,-50,-58,-57,-59,-68,-200,-62,-73,-67,-200,-55,-72,-200,-200,-70,-71,-200,-75,-200,-200,-200,-200,-200,-72,-77,-67,-86,-200,-200,-76,-200,-40,-200,-200,-82,-200,-200,-200,-62,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456878106,-35,-56,-82,-44,-43,-38,-58,-48,-62,-55,-52,-63,-56,-200,-60,-53,-55,-53,-65,-60,-66,-78,-60,-50,-59,-62,-64,-67,-58,-65,-73,-67,-200,-55,-72,-200,-200,-77,-71,-200,-78,-200,-80,-77,-200,-200,-72,-77,-77,-84,-200,-200,-76,-200,-37,-200,-200,-82,-200,-200,-83,-64,-70,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456881110,-34,-37,-46,-200,-43,-37,-57,-47,-71,-55,-54,-64,-62,-200,-62,-54,-54,-53,-66,-60,-66,-81,-54,-200,-43,-57,-64,-69,-59,-72,-200,-71,-200,-56,-43,-200,-200,-77,-70,-200,-76,-53,-76,-79,-200,-200,-200,-200,-76,-84,-200,-200,-86,-200,-36,-200,-200,-75,-200,-200,-83,-71,-70,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456884171,-35,-35,-43,-45,-48,-39,-55,-49,-61,-55,-61,-60,-56,-200,-62,-54,-51,-51,-67,-200,-200,-79,-60,-71,-56,-57,-58,-64,-58,-62,-200,-53,-200,-56,-70,-200,-200,-74,-70,-200,-79,-59,-76,-79,-200,-200,-70,-200,-77,-84,-200,-200,-86,-200,-34,-200,-200,-75,-75,-200,-200,-64,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456887215,-33,-34,-41,-46,-49,-42,-49,-51,-69,-51,-52,-62,-55,-72,-63,-53,-56,-50,-67,-200,-67,-80,-55,-65,-57,-64,-65,-64,-58,-62,-74,-67,-200,-58,-71,-200,-200,-74,-70,-200,-77,-59,-200,-200,-80,-200,-74,-200,-79,-200,-200,-200,-200,-200,-37,-200,-200,-74,-74,-200,-86,-66,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200
1526456890284,-33,-32,-39,-47,-47,-43,-50,-53,-82,-53,-80,-62,-55,-72,-63,-55,-54,-52,-57,-200,-67,-80,-58,-64,-57,-63,-58,-69,-63,-62,-74,-65,-200,-57,-72,-200,-200,-70,-70,-200,-76,-63,-81,-80,-80,-200,-74,-76,-79,-200,-200,-200,-200,-200,-36,-200,-200,-74,-84,-200,-86,-66,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200
1526456893297,-37,-37,-47,-51,-43,-41,-47,-53,-59,-56,-53,-62,-57,-74,-61,-54,-54,-49,-65,-87,-66,-79,-62,-60,-44,-64,-58,-68,-66,-200,-72,-64,-82,-55,-72,-200,-200,-80,-69,-200,-76,-67,-81,-80,-80,-77,-74,-76,-77,-83,-200,-200,-85,-200,-34,-200,-200,-74,-84,-81,-86,-66,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200
1526456896315,-34,-33,-43,-46,-43,-39,-47,-51,-59,-54,-54,-55,-57,-74,-56,-54,-57,-65,-67,-85,-66,-81,-62,-60,-59,-62,-64,-71,-61,-72,-72,-80,-78,-55,-72,-200,-200,-80,-69,-200,-79,-65,-200,-78,-200,-77,-74,-200,-75,-82,-200,-200,-85,-200,-38,-200,-85,-200,-200,-81,-200,-69,-82,-79,-200,-200,-200,-200,-200,-200,-200,-85,-82,-200,-200,-79,-79,-81,-87,-200,-200,-200,-200
1526456899373,-34,-30,-43,-46,-43,-48,-54,-51,-60,-55,-55,-89,-58,-74,-56,-56,-58,-49,-67,-85,-66,-82,-60,-60,-59,-62,-56,-72,-54,-72,-72,-80,-78,-56,-72,-200,-200,-80,-65,-200,-78,-65,-200,-78,-200,-77,-74,-200,-78,-83,-200,-200,-85,-200,-37,-200,-85,-81,-200,-81,-82,-70,-80,-76,-200,-200,-200,-200,-200,-200,-200,-85,-82,-200,-200,-79,-79,-81,-87,-87,-89,-200,-200
1526456902414,-34,-32,-41,-200,-42,-41,-48,-50,-60,-53,-54,-69,-57,-200,-56,-53,-58,-51,-43,-200,-200,-82,-54,-87,-59,-62,-56,-65,-58,-72,-200,-67,-200,-63,-67,-200,-73,-200,-65,-200,-81,-59,-200,-200,-200,-200,-73,-200,-76,-83,-200,-200,-86,-200,-39,-200,-200,-82,-200,-200,-82,-69,-80,-76,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-89,-82,-87
