,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,MERCURY_0166,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro
1526456413797,-28,-50,-35,-80,-52,-54,-35,-51,-58,-62,-52,-47,-59,-68,-66,-65,-68,-57,-67,-68,-59,-200,-67,-68,-68,-65,-69,-77,-200,-70,-86,-76,-78,-65,-83,-64,-89,-68,-200,-77,-200,-200,-78,-75,-200,-200,-200,-78,-90,-200,-200,-200,-200,-86,-200,-56,-57,-60,-200,-85,-76,-73,-61,-200,-68,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-88,-74,-75,-82,-86,-92,-200,-200,-200,-200,-200,-200
1526456416809,-29,-49,-34,-49,-52,-56,-34,-52,-65,-47,-54,-51,-58,-200,-66,-65,-200,-65,-67,-68,-77,-200,-68,-67,-68,-65,-59,-77,-200,-200,-86,-76,-200,-77,-83,-64,-78,-69,-200,-73,-200,-200,-63,-71,-200,-200,-200,-78,-200,-200,-200,-200,-200,-86,-200,-57,-59,-62,-68,-85,-73,-73,-69,-200,-68,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-78,-77,-82,-86,-92,-84,-200,-200,-200,-200,-200
1526456419880,-26,-50,-34,-49,-54,-54,-29,-50,-59,-47,-53,-48,-58,-200,-66,-64,-200,-63,-68,-68,-61,-200,-68,-68,-68,-70,-59,-77,-200,-200,-86,-76,-200,-76,-83,-73,-79,-71,-83,-73,-200,-200,-64,-71,-200,-200,-200,-78,-200,-200,-200,-200,-200,-86,-78,-58,-57,-63,-68,-73,-73,-61,-60,-200,-68,-200,-80,-200,-200,-76,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-78,-77,-82,-86,-92,-84,-88,-200,-200,-200,-200
1526456422951,-29,-43,-31,-55,-51,-54,-38,-56,-59,-40,-46,-53,-56,-63,-59,-63,-66,-64,-72,-200,-71,-200,-64,-71,-68,-60,-70,-200,-200,-200,-200,-67,-200,-80,-200,-73,-69,-78,-83,-74,-200,-200,-63,-71,-200,-200,-200,-78,-200,-61,-200,-200,-200,-200,-73,-58,-61,-61,-68,-73,-68,-69,-63,-200,-70,-200,-80,-200,-200,-85,-200,-86,-200,-200,-200,-200,-200,-200,-89,-200,-78,-77,-78,-200,-200,-84,-88,-200,-200,-200,-200
1526456426021,-33,-47,-35,-52,-56,-57,-39,-59,-61,-48,-57,-49,-56,-61,-68,-64,-70,-75,-58,-64,-72,-73,-65,-71,-76,-61,-63,-62,-200,-200,-200,-68,-200,-61,-200,-200,-69,-69,-200,-73,-200,-200,-64,-75,-200,-200,-200,-79,-89,-61,-200,-200,-200,-200,-73,-61,-57,-67,-200,-67,-67,-69,-69,-200,-70,-73,-200,-200,-200,-85,-200,-86,-200,-86,-200,-82,-84,-200,-89,-200,-200,-200,-78,-200,-200,-200,-200,-86,-200,-200,-200
1526456429078,-31,-43,-36,-53,-55,-62,-39,-56,-61,-39,-56,-49,-61,-79,-68,-64,-69,-57,-72,-64,-65,-86,-70,-86,-76,-60,-67,-62,-200,-200,-200,-68,-200,-80,-200,-200,-200,-67,-200,-64,-72,-200,-66,-64,-200,-200,-200,-80,-89,-86,-200,-200,-200,-200,-74,-60,-63,-62,-200,-67,-67,-200,-69,-88,-200,-91,-200,-200,-200,-79,-200,-200,-200,-86,-200,-86,-84,-200,-89,-200,-200,-200,-200,-77,-200,-200,-200,-86,-89,-200,-200
1526456432141,-44,-47,-39,-54,-51,-51,-33,-51,-71,-47,-54,-54,-60,-67,-74,-58,-69,-61,-81,-200,-67,-86,-70,-86,-200,-63,-64,-200,-200,-200,-200,-200,-200,-85,-200,-200,-73,-65,-200,-70,-72,-200,-66,-63,-200,-79,-200,-79,-200,-86,-200,-200,-200,-200,-77,-56,-65,-64,-200,-200,-74,-200,-57,-88,-200,-91,-200,-200,-200,-79,-200,-200,-200,-200,-200,-86,-200,-200,-89,-200,-200,-200,-200,-77,-200,-200,-200,-200,-89,-200,-200
1526456435199,-44,-65,-33,-50,-53,-58,-37,-49,-62,-48,-56,-55,-59,-69,-74,-58,-69,-61,-70,-65,-67,-72,-66,-86,-200,-61,-63,-200,-200,-200,-200,-67,-200,-81,-200,-62,-73,-70,-200,-73,-72,-200,-64,-63,-200,-79,-200,-82,-200,-86,-200,-200,-200,-200,-77,-56,-65,-64,-200,-200,-74,-200,-57,-88,-200,-91,-79,-200,-200,-79,-200,-200,-82,-200,-200,-86,-200,-200,-89,-200,-200,-200,-200,-77,-200,-200,-200,-200,-89,-200,-200
1526456438227,-35,-44,-33,-51,-52,-59,-40,-49,-61,-53,-51,-50,-58,-67,-200,-62,-59,-64,-69,-200,-68,-200,-69,-200,-78,-62,-62,-200,-73,-67,-200,-76,-200,-81,-200,-66,-71,-69,-200,-75,-69,-73,-66,-67,-200,-200,-200,-60,-200,-200,-200,-200,-200,-200,-76,-60,-67,-62,-200,-69,-67,-200,-65,-200,-70,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-75,-86
1526456441279,-28,-54,-56,-61,-52,-57,-38,-54,-60,-53,-51,-52,-56,-64,-67,-62,-60,-62,-75,-69,-68,-200,-81,-69,-78,-63,-62,-200,-73,-67,-200,-76,-77,-78,-200,-66,-71,-77,-200,-78,-69,-73,-63,-71,-200,-200,-200,-80,-89,-200,-200,-200,-200,-86,-74,-58,-61,-65,-200,-69,-67,-200,-68,-200,-70,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-69,-200,-200,-84,-200,-200,-200,-200,-75,-86
1526456444328,-35,-47,-48,-49,-51,-61,-37,-49,-58,-38,-43,-53,-58,-67,-66,-62,-60,-67,-61,-64,-69,-68,-62,-69,-78,-63,-62,-200,-73,-67,-200,-69,-75,-79,-200,-63,-74,-72,-200,-72,-69,-200,-62,-76,-200,-200,-200,-80,-89,-200,-200,-200,-200,-86,-74,-71,-63,-65,-73,-69,-200,-200,-54,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-92,-200,-200,-78,-200,-200,-84,-200,-200,-200,-200,-200,-200
1526456447399,-34,-45,-48,-49,-52,-57,-46,-48,-58,-60,-42,-53,-60,-67,-69,-59,-67,-67,-69,-59,-69,-68,-62,-63,-200,-62,-65,-68,-200,-200,-200,-71,-75,-78,-200,-63,-74,-71,-200,-57,-200,-200,-66,-76,-200,-200,-200,-83,-200,-200,-200,-200,-200,-86,-76,-71,-51,-74,-73,-200,-67,-200,-69,-200,-200,-69,-75,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-92,-200,-200,-78,-200,-200,-200,-85,-200,-200,-200,-200,-200
