,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A30,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00EC0,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,DLINK_D02A38,DLINK_D02A28,WHU-2018,DLINK_D02A58,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00ED0,DLINK_D02A48,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526456225015,-53,-59,-54,-58,-58,-72,-64,-63,-67,-61,-68,-66,-64,-77,-65,-71,-70,-64,-71,-67,-71,-70,-71,-90,-76,-82,-200,-79,-73,-200,-83,-86,-74,-200,-79,-72,-83,-83,-80,-79,-90,-80,-81,-74,-81,-87,-89,-88,-200,-78,-86,-200,-200,-87,-200,-200,-80,-83,-200,-85,-200,-86,-86,-78,-200,-83,-88,-90,-85,-200
1526456228051,-51,-60,-55,-59,-55,-73,-60,-66,-63,-60,-71,-68,-64,-61,-66,-72,-200,-61,-72,-74,-200,-76,-71,-88,-76,-82,-88,-80,-75,-200,-83,-86,-74,-90,-79,-73,-85,-83,-79,-79,-90,-80,-81,-73,-81,-85,-89,-88,-200,-80,-86,-90,-200,-87,-200,-200,-79,-83,-87,-87,-200,-88,-86,-78,-86,-83,-88,-90,-85,-200
1526456231083,-53,-64,-56,-61,-56,-71,-60,-60,-61,-64,-67,-57,-65,-79,-64,-72,-64,-67,-72,-70,-200,-75,-73,-88,-76,-78,-88,-75,-76,-200,-83,-86,-74,-90,-80,-73,-85,-84,-85,-200,-200,-80,-85,-72,-81,-85,-87,-81,-200,-79,-200,-90,-200,-87,-200,-200,-79,-83,-89,-84,-200,-88,-86,-78,-86,-82,-200,-200,-85,-200
1526456234095,-57,-57,-57,-54,-55,-64,-68,-65,-61,-63,-65,-57,-65,-72,-65,-72,-63,-66,-72,-65,-200,-72,-75,-91,-76,-81,-88,-80,-74,-80,-83,-87,-77,-88,-80,-73,-87,-84,-81,-200,-200,-80,-85,-73,-82,-85,-87,-81,-200,-77,-87,-90,-200,-87,-200,-200,-80,-83,-89,-84,-200,-88,-86,-81,-86,-82,-200,-200,-85,-200
1526456237123,-59,-56,-57,-68,-57,-67,-65,-66,-61,-59,-73,-58,-65,-75,-65,-66,-64,-64,-77,-68,-200,-71,-75,-91,-76,-81,-88,-84,-74,-78,-200,-87,-81,-88,-80,-70,-87,-89,-82,-200,-200,-84,-81,-71,-84,-85,-85,-81,-87,-77,-87,-90,-89,-87,-200,-200,-80,-200,-89,-83,-200,-88,-86,-81,-86,-82,-200,-200,-200,-200
1526456240143,-55,-53,-55,-64,-52,-70,-61,-66,-63,-59,-73,-56,-66,-76,-68,-67,-66,-64,-78,-67,-200,-70,-74,-91,-75,-80,-200,-81,-75,-78,-82,-78,-81,-88,-81,-71,-86,-85,-81,-200,-200,-84,-81,-69,-83,-200,-85,-88,-85,-77,-88,-200,-89,-87,-200,-200,-80,-200,-87,-83,-200,-200,-86,-81,-200,-82,-200,-200,-200,-200
1526456243147,-56,-53,-54,-64,-56,-66,-61,-66,-65,-55,-70,-59,-59,-75,-68,-66,-66,-62,-72,-68,-200,-71,-69,-91,-78,-80,-200,-75,-75,-80,-83,-81,-81,-88,-85,-71,-86,-85,-81,-200,-200,-84,-80,-71,-83,-200,-85,-88,-85,-77,-91,-200,-89,-79,-200,-90,-80,-200,-87,-83,-200,-200,-86,-79,-200,-200,-200,-200,-84,-200
1526456246155,-57,-62,-58,-67,-59,-65,-60,-66,-64,-62,-71,-58,-63,-72,-65,-67,-68,-59,-72,-70,-73,-70,-71,-200,-78,-77,-200,-82,-74,-80,-83,-80,-80,-88,-85,-70,-86,-86,-79,-200,-200,-84,-80,-71,-84,-200,-87,-88,-85,-78,-91,-200,-89,-87,-200,-90,-78,-200,-87,-83,-200,-200,-86,-81,-200,-84,-200,-200,-84,-87
1526456249165,-57,-62,-58,-67,-59,-65,-60,-66,-64,-62,-71,-58,-63,-72,-65,-67,-68,-59,-72,-70,-73,-70,-71,-200,-78,-77,-200,-82,-74,-80,-83,-80,-80,-88,-85,-70,-86,-86,-79,-200,-200,-84,-80,-71,-84,-200,-87,-88,-85,-78,-91,-200,-89,-87,-200,-90,-78,-200,-87,-83,-200,-200,-86,-81,-200,-84,-200,-200,-84,-87
1526456252174,-59,-61,-56,-52,-51,-71,-71,-57,-74,-68,-67,-60,-58,-75,-67,-71,-75,-63,-68,-74,-68,-76,-73,-89,-80,-77,-200,-83,-74,-81,-84,-80,-81,-200,-81,-75,-87,-84,-83,-200,-200,-78,-84,-68,-84,-90,-87,-86,-85,-79,-83,-90,-200,-87,-200,-88,-77,-200,-90,-92,-200,-200,-86,-81,-200,-86,-200,-200,-84,-90
1526456255187,-63,-54,-57,-55,-56,-71,-71,-61,-74,-68,-67,-55,-64,-76,-67,-71,-72,-60,-73,-71,-68,-74,-73,-89,-77,-76,-86,-88,-200,-79,-83,-200,-81,-200,-81,-75,-87,-82,-81,-200,-90,-78,-71,-68,-84,-90,-81,-91,-85,-79,-83,-90,-90,-200,-200,-88,-78,-200,-90,-92,-200,-200,-86,-80,-200,-86,-200,-200,-84,-90
1526456258222,-59,-54,-59,-52,-55,-71,-64,-59,-57,-67,-67,-56,-63,-76,-66,-71,-75,-64,-73,-73,-68,-74,-72,-89,-77,-77,-86,-84,-200,-79,-82,-80,-81,-86,-84,-72,-89,-84,-80,-200,-90,-82,-71,-68,-83,-90,-81,-91,-85,-79,-90,-90,-90,-86,-200,-88,-77,-200,-90,-85,-200,-200,-86,-80,-200,-86,-200,-200,-84,-90
