,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro
1526466321576,-29,-31,-37,-46,-46,-64,-42,-52,-42,-51,-57,-53,-46,-55,-63,-55,-53,-54,-50,-60,-200,-200,-200,-200,-68,-200,-200,-70,-79,-67,-70,-71,-72,-75,-200,-80,-86,-86,-200,-200,-82,-75,-69,-81,-89,-90,-62,-75,-76,-81,-79,-200
1526466324594,-29,-31,-37,-46,-46,-64,-42,-52,-42,-51,-57,-53,-46,-55,-63,-55,-53,-54,-50,-60,-200,-200,-200,-200,-68,-200,-200,-70,-79,-67,-70,-71,-72,-75,-200,-80,-86,-86,-200,-200,-82,-75,-69,-81,-89,-90,-62,-75,-76,-81,-79,-200
1526466327606,-28,-32,-37,-45,-41,-64,-40,-47,-42,-51,-56,-53,-46,-55,-61,-53,-56,-53,-50,-60,-200,-200,-200,-200,-71,-200,-200,-70,-77,-72,-70,-78,-73,-78,-200,-85,-87,-84,-200,-200,-82,-200,-69,-81,-89,-90,-62,-75,-76,-81,-79,-200
1526466330630,-28,-32,-37,-45,-41,-64,-40,-47,-42,-51,-56,-53,-46,-55,-61,-53,-56,-53,-50,-60,-200,-200,-200,-200,-71,-200,-200,-70,-77,-72,-70,-78,-73,-78,-200,-85,-87,-84,-200,-200,-82,-200,-69,-81,-89,-90,-62,-75,-76,-81,-79,-200
1526466333645,-28,-30,-37,-45,-41,-64,-40,-47,-44,-51,-52,-49,-46,-53,-63,-53,-57,-53,-50,-60,-200,-200,-200,-200,-74,-200,-200,-70,-77,-72,-70,-79,-74,-78,-200,-85,-84,-88,-200,-200,-82,-200,-66,-81,-89,-90,-62,-75,-76,-81,-79,-200
1526466336654,-28,-30,-37,-45,-41,-64,-40,-47,-44,-51,-52,-49,-46,-53,-63,-53,-57,-53,-50,-60,-200,-200,-200,-200,-74,-200,-200,-70,-77,-72,-70,-79,-74,-78,-200,-85,-84,-88,-200,-200,-82,-200,-66,-81,-89,-90,-62,-75,-76,-81,-79,-200
1526466339671,-28,-31,-37,-53,-41,-64,-47,-47,-44,-51,-53,-49,-46,-53,-65,-54,-57,-50,-52,-64,-200,-200,-200,-200,-74,-200,-200,-72,-77,-72,-70,-79,-71,-77,-200,-83,-84,-87,-200,-200,-82,-200,-67,-200,-200,-90,-62,-75,-76,-81,-79,-200
1526466342689,-28,-31,-37,-53,-41,-200,-47,-47,-44,-51,-53,-49,-46,-53,-65,-54,-57,-50,-52,-64,-200,-200,-200,-200,-74,-200,-200,-72,-77,-72,-200,-79,-71,-77,-200,-83,-84,-87,-200,-200,-82,-200,-67,-200,-200,-90,-62,-75,-200,-200,-79,-200
1526466345709,-28,-31,-37,-51,-42,-200,-47,-51,-44,-47,-51,-49,-49,-50,-65,-54,-58,-50,-52,-64,-200,-200,-200,-200,-74,-200,-200,-72,-80,-70,-200,-79,-71,-75,-200,-82,-81,-87,-200,-200,-86,-200,-67,-200,-200,-90,-62,-75,-200,-200,-79,-200
1526466348722,-28,-31,-37,-51,-42,-200,-47,-51,-44,-47,-51,-49,-49,-50,-65,-54,-58,-50,-52,-64,-200,-200,-200,-200,-74,-200,-200,-72,-80,-70,-200,-79,-71,-75,-200,-82,-81,-87,-200,-200,-86,-200,-67,-200,-200,-90,-62,-75,-200,-200,-79,-200
1526466351735,-28,-32,-37,-50,-42,-56,-47,-47,-44,-50,-51,-49,-48,-50,-65,-54,-58,-50,-52,-64,-200,-200,-200,-200,-74,-200,-200,-72,-76,-74,-200,-79,-77,-75,-200,-82,-84,-87,-200,-200,-84,-200,-67,-200,-200,-89,-62,-75,-200,-200,-200,-71
1526466354760,-28,-32,-37,-50,-42,-56,-47,-47,-44,-50,-51,-49,-48,-50,-65,-54,-58,-50,-52,-64,-200,-200,-200,-200,-74,-200,-200,-72,-76,-74,-200,-79,-77,-75,-200,-82,-84,-87,-200,-200,-84,-200,-67,-200,-200,-89,-200,-200,-200,-200,-200,-71
