,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526466545876,-27,-33,-41,-44,-61,-46,-44,-50,-50,-57,-59,-49,-200,-55,-66,-62,-59,-65,-65,-61,-63,-62,-75,-65,-65,-74,-72,-78,-80,-69,-84,-77,-92,-79,-87,-77,-74,-200,-200,-90,-88,-88,-83,-75,-85,-73,-79,-200,-200
1526466548890,-27,-33,-41,-44,-61,-46,-44,-50,-200,-57,-59,-49,-200,-55,-66,-62,-59,-65,-65,-200,-63,-62,-75,-65,-65,-74,-72,-78,-80,-69,-84,-77,-92,-79,-87,-77,-74,-200,-200,-90,-88,-88,-83,-75,-85,-73,-79,-200,-200
1526466551907,-27,-42,-50,-44,-61,-50,-48,-52,-200,-57,-59,-49,-200,-55,-52,-62,-59,-68,-58,-200,-65,-58,-75,-65,-61,-74,-72,-75,-84,-69,-77,-77,-92,-79,-87,-77,-75,-200,-200,-85,-86,-90,-83,-73,-85,-73,-79,-200,-200
1526466554932,-30,-42,-50,-44,-61,-50,-48,-52,-200,-57,-59,-49,-200,-55,-52,-62,-59,-68,-58,-200,-65,-58,-75,-65,-61,-74,-72,-75,-84,-200,-77,-77,-92,-79,-87,-77,-75,-200,-200,-85,-86,-90,-83,-73,-85,-73,-79,-200,-200
1526466557941,-27,-38,-47,-46,-61,-50,-58,-64,-200,-61,-59,-49,-200,-61,-51,-62,-57,-68,-61,-200,-63,-59,-200,-76,-61,-74,-75,-72,-80,-200,-77,-77,-92,-200,-87,-77,-78,-200,-200,-85,-86,-90,-78,-73,-200,-73,-79,-200,-200
1526466560951,-26,-38,-47,-46,-61,-50,-58,-64,-200,-61,-59,-49,-200,-61,-51,-62,-57,-68,-61,-200,-63,-59,-200,-76,-61,-74,-75,-72,-80,-200,-77,-77,-92,-200,-87,-77,-78,-200,-200,-85,-86,-90,-78,-73,-200,-73,-79,-200,-200
1526466563969,-29,-36,-45,-43,-200,-50,-48,-56,-200,-55,-63,-49,-200,-59,-54,-62,-56,-68,-60,-200,-62,-59,-200,-76,-61,-74,-77,-73,-81,-200,-77,-200,-92,-72,-88,-80,-78,-200,-200,-85,-86,-88,-76,-72,-200,-73,-200,-68,-200
1526466566983,-29,-36,-45,-43,-200,-50,-48,-56,-200,-55,-63,-49,-200,-59,-54,-62,-56,-68,-60,-200,-62,-59,-200,-76,-61,-74,-77,-73,-81,-200,-77,-200,-92,-72,-88,-80,-78,-200,-200,-85,-86,-88,-76,-72,-200,-73,-200,-68,-200
1526466570006,-29,-37,-50,-43,-200,-49,-60,-68,-52,-63,-63,-49,-200,-55,-58,-65,-56,-68,-60,-200,-65,-58,-200,-74,-61,-200,-77,-77,-81,-200,-77,-200,-200,-72,-88,-79,-75,-200,-200,-84,-86,-91,-78,-75,-200,-73,-200,-68,-76
1526466573028,-28,-37,-50,-43,-200,-49,-60,-68,-52,-63,-63,-49,-200,-55,-58,-65,-56,-68,-60,-200,-65,-58,-200,-74,-61,-200,-77,-77,-81,-200,-77,-200,-200,-72,-88,-79,-75,-200,-200,-84,-86,-91,-78,-75,-200,-73,-200,-68,-76
1526466576049,-29,-37,-50,-43,-200,-49,-56,-56,-52,-63,-62,-49,-200,-57,-56,-64,-60,-68,-60,-200,-65,-60,-200,-74,-61,-200,-77,-73,-81,-69,-77,-200,-200,-72,-85,-79,-78,-200,-200,-85,-89,-87,-73,-75,-200,-200,-200,-68,-76
1526466579057,-27,-37,-50,-43,-200,-49,-56,-56,-52,-63,-62,-49,-200,-57,-56,-64,-60,-68,-60,-200,-65,-60,-200,-74,-61,-200,-77,-73,-81,-69,-77,-200,-200,-72,-85,-79,-78,-200,-200,-85,-89,-87,-73,-75,-200,-200,-200,-68,-76
