,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526466176264,-46,-49,-45,-46,-46,-55,-50,-38,-50,-55,-45,-49,-44,-54,-200,-61,-58,-65,-64,-55,-51,-64,-200,-65,-66,-63,-65,-79,-74,-80,-86,-200,-200,-73,-73,-80,-88,-83,-78,-200,-60,-68,-72,-60,-71,-73,-68,-68,-75,-78,-55,-65,-68,-88,-68,-200,-200,-200,-200,-200
1526466179291,-47,-45,-39,-46,-41,-55,-50,-38,-45,-55,-45,-46,-44,-54,-200,-200,-200,-65,-200,-55,-50,-65,-200,-65,-69,-63,-65,-79,-74,-80,-200,-200,-200,-73,-80,-81,-88,-85,-81,-200,-200,-200,-71,-60,-71,-73,-68,-68,-75,-78,-59,-65,-71,-88,-68,-71,-200,-200,-200,-200
1526466182310,-47,-45,-39,-46,-41,-55,-50,-38,-45,-55,-45,-46,-44,-54,-200,-200,-200,-65,-200,-55,-50,-65,-200,-65,-69,-63,-65,-79,-74,-80,-200,-200,-200,-73,-80,-81,-88,-85,-81,-200,-200,-200,-71,-60,-71,-73,-68,-68,-75,-78,-59,-65,-71,-88,-68,-71,-200,-200,-200,-200
1526466185322,-45,-45,-44,-46,-49,-58,-51,-40,-45,-55,-45,-47,-44,-54,-200,-200,-200,-65,-200,-55,-50,-66,-200,-65,-69,-63,-67,-79,-74,-80,-200,-200,-200,-74,-75,-81,-88,-83,-80,-200,-200,-200,-71,-62,-71,-73,-68,-68,-75,-78,-59,-65,-71,-87,-68,-71,-200,-200,-200,-200
1526466188345,-45,-45,-44,-46,-49,-58,-51,-40,-45,-200,-45,-47,-44,-54,-200,-200,-200,-200,-200,-55,-50,-66,-200,-65,-69,-63,-67,-79,-74,-80,-200,-200,-200,-74,-75,-81,-88,-83,-80,-200,-200,-200,-71,-62,-200,-200,-200,-200,-200,-200,-59,-65,-71,-87,-68,-71,-200,-200,-200,-200
1526466191361,-45,-45,-41,-46,-44,-53,-51,-38,-45,-200,-42,-46,-46,-55,-200,-200,-200,-72,-200,-55,-50,-66,-200,-69,-66,-63,-69,-77,-78,-80,-200,-200,-200,-73,-79,-81,-87,-83,-80,-200,-200,-200,-71,-62,-200,-200,-72,-67,-200,-200,-59,-63,-71,-90,-68,-71,-200,-200,-200,-200
1526466194370,-45,-45,-41,-46,-44,-53,-51,-38,-45,-200,-42,-46,-46,-55,-200,-200,-200,-72,-200,-55,-50,-66,-200,-69,-66,-63,-69,-77,-78,-80,-200,-200,-200,-73,-79,-81,-87,-83,-80,-200,-200,-200,-71,-62,-200,-200,-72,-67,-200,-200,-59,-63,-71,-90,-68,-71,-200,-200,-200,-200
1526466197396,-47,-46,-40,-46,-43,-52,-50,-37,-45,-51,-46,-45,-47,-55,-200,-69,-200,-72,-200,-59,-50,-66,-200,-69,-66,-65,-68,-77,-78,-80,-200,-200,-79,-73,-79,-80,-87,-85,-80,-200,-200,-200,-71,-62,-69,-200,-73,-67,-200,-200,-59,-63,-71,-89,-68,-71,-80,-86,-200,-200
1526466200413,-47,-46,-40,-200,-43,-52,-50,-37,-45,-51,-46,-45,-47,-55,-200,-69,-200,-72,-200,-59,-50,-66,-200,-69,-66,-65,-68,-77,-78,-200,-200,-200,-79,-73,-79,-80,-87,-85,-80,-200,-200,-200,-71,-62,-69,-200,-73,-67,-200,-200,-59,-63,-71,-89,-200,-71,-80,-86,-200,-200
1526466203427,-47,-46,-45,-200,-43,-51,-50,-38,-45,-51,-46,-46,-47,-55,-200,-69,-200,-72,-200,-60,-50,-66,-200,-69,-66,-65,-67,-78,-77,-74,-93,-200,-79,-73,-79,-81,-87,-86,-80,-200,-200,-200,-71,-62,-69,-200,-73,-67,-200,-200,-59,-63,-71,-89,-200,-71,-80,-86,-77,-200
1526466206442,-47,-46,-45,-200,-43,-51,-50,-38,-45,-51,-46,-46,-47,-55,-200,-69,-200,-72,-200,-60,-50,-66,-200,-69,-66,-65,-67,-78,-77,-74,-93,-200,-79,-73,-79,-81,-87,-86,-80,-200,-200,-200,-71,-62,-69,-200,-73,-67,-200,-200,-59,-63,-71,-89,-200,-71,-80,-86,-77,-200
1526466209471,-47,-46,-48,-47,-43,-51,-50,-41,-52,-55,-46,-49,-43,-54,-200,-69,-200,-63,-200,-60,-50,-67,-200,-69,-66,-61,-68,-81,-75,-74,-93,-200,-79,-74,-74,-82,-87,-83,-80,-200,-200,-200,-200,-62,-69,-200,-72,-67,-200,-200,-200,-63,-200,-87,-70,-200,-80,-86,-77,-68
