,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A28,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526465959163,-32,-39,-41,-41,-50,-46,-48,-47,-47,-50,-56,-55,-56,-50,-60,-200,-58,-54,-56,-59,-200,-58,-63,-60,-67,-66,-61,-66,-62,-200,-69,-200,-68,-76,-76,-74,-76,-80,-200,-84,-84,-200,-85,-84,-84,-200,-88,-85,-74,-83,-67,-71,-72,-78,-86,-200,-200,-200
1526465962180,-32,-39,-41,-41,-48,-46,-48,-51,-47,-50,-56,-55,-56,-50,-60,-200,-56,-54,-56,-59,-60,-58,-63,-60,-68,-66,-59,-66,-62,-200,-68,-200,-68,-76,-77,-76,-200,-79,-200,-84,-84,-200,-85,-84,-85,-200,-87,-85,-74,-83,-67,-71,-72,-78,-86,-67,-200,-200
1526465965198,-32,-39,-41,-41,-48,-46,-48,-51,-47,-50,-56,-55,-200,-50,-60,-200,-56,-54,-200,-59,-60,-58,-63,-200,-68,-66,-59,-66,-62,-200,-68,-200,-68,-76,-77,-76,-200,-79,-200,-84,-84,-200,-85,-84,-85,-200,-87,-85,-74,-200,-67,-71,-72,-78,-86,-67,-200,-200
1526465968228,-31,-43,-41,-41,-47,-46,-50,-52,-47,-50,-51,-55,-200,-52,-60,-200,-52,-54,-55,-57,-60,-58,-63,-62,-68,-66,-57,-66,-62,-200,-68,-200,-68,-78,-77,-79,-200,-78,-200,-84,-83,-200,-85,-84,-84,-200,-87,-84,-74,-200,-67,-71,-72,-78,-85,-67,-200,-200
1526465971242,-31,-43,-41,-41,-47,-46,-50,-52,-47,-50,-51,-55,-200,-52,-60,-200,-52,-54,-55,-57,-60,-58,-63,-62,-68,-66,-57,-66,-62,-200,-68,-200,-68,-78,-77,-79,-200,-78,-200,-84,-83,-200,-85,-84,-84,-200,-87,-84,-74,-200,-67,-71,-72,-78,-85,-67,-200,-200
1526465974258,-30,-43,-41,-41,-46,-46,-50,-52,-47,-50,-53,-55,-200,-50,-60,-200,-55,-54,-55,-59,-60,-58,-58,-62,-68,-66,-57,-66,-62,-200,-69,-200,-68,-78,-74,-75,-200,-79,-200,-84,-83,-200,-89,-85,-85,-200,-87,-82,-74,-200,-67,-71,-72,-78,-85,-67,-200,-200
1526465977271,-30,-43,-41,-41,-46,-46,-50,-52,-47,-50,-53,-55,-200,-50,-60,-200,-55,-54,-55,-59,-60,-58,-58,-62,-68,-66,-57,-66,-62,-200,-69,-200,-68,-78,-74,-75,-200,-79,-200,-84,-83,-200,-89,-85,-85,-200,-87,-82,-74,-200,-67,-71,-72,-78,-85,-67,-200,-200
1526465980288,-30,-44,-41,-42,-47,-46,-50,-49,-47,-200,-53,-55,-200,-49,-200,-200,-57,-200,-54,-57,-60,-58,-58,-62,-68,-66,-58,-200,-62,-200,-69,-200,-68,-77,-74,-76,-200,-79,-200,-85,-84,-200,-86,-85,-85,-200,-87,-85,-74,-200,-64,-200,-200,-200,-85,-67,-66,-200
1526465983309,-30,-44,-41,-42,-47,-46,-50,-49,-47,-200,-53,-55,-200,-49,-200,-200,-57,-200,-54,-57,-60,-58,-58,-62,-68,-66,-58,-200,-62,-200,-69,-200,-68,-77,-74,-76,-200,-79,-200,-85,-84,-200,-86,-85,-85,-200,-87,-85,-74,-200,-64,-200,-200,-200,-85,-67,-66,-200
1526465986330,-30,-40,-41,-44,-47,-200,-50,-53,-46,-200,-53,-200,-200,-49,-200,-200,-58,-200,-54,-57,-60,-58,-58,-62,-68,-67,-58,-200,-62,-200,-70,-200,-200,-74,-74,-76,-200,-80,-200,-85,-84,-200,-84,-85,-85,-200,-88,-85,-200,-200,-64,-200,-200,-200,-85,-67,-66,-55
1526465989350,-30,-40,-41,-44,-47,-200,-50,-53,-46,-200,-53,-200,-200,-49,-200,-200,-58,-200,-54,-57,-60,-58,-58,-62,-68,-67,-58,-200,-62,-200,-70,-200,-200,-74,-74,-76,-200,-80,-200,-85,-84,-200,-84,-85,-85,-200,-88,-85,-200,-200,-64,-200,-200,-200,-85,-67,-66,-55
1526465992364,-34,-54,-41,-39,-45,-200,-41,-50,-50,-200,-53,-200,-200,-57,-200,-200,-55,-200,-58,-55,-200,-58,-58,-60,-75,-67,-61,-65,-62,-200,-75,-200,-200,-76,-76,-75,-71,-84,-200,-83,-84,-200,-84,-85,-84,-200,-89,-85,-200,-200,-64,-200,-200,-200,-85,-200,-62,-60
