,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526451575782,-84,-68,-77,-78,-200,-200,-200,-87,-200,-77,-200,-200,-86,-200,-200,-200,-200
1526451575883,-84,-64,-77,-79,-200,-68,-77,-87,-89,-200,-200,-87,-87,-200,-200,-200,-200
1526451580561,-200,-200,-200,-86,-200,-62,-200,-200,-200,-200,-95,-200,-200,-200,-88,-88,-86
1526451580681,-200,-60,-200,-86,-200,-61,-81,-82,-200,-64,-200,-84,-85,-200,-200,-200,-86
1526451580769,-85,-61,-80,-86,-200,-200,-200,-200,-200,-64,-200,-84,-200,-90,-87,-200,-200
1526451580881,-84,-61,-85,-85,-65,-200,-76,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200
1526451585613,-77,-73,-85,-200,-65,-200,-76,-84,-87,-75,-200,-200,-200,-200,-200,-200,-200
1526451585808,-78,-73,-200,-86,-65,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526451585912,-78,-74,-200,-200,-65,-62,-200,-84,-87,-74,-98,-88,-200,-200,-200,-200,-200
1526451586029,-200,-200,-200,-200,-200,-200,-78,-83,-88,-200,-200,-89,-87,-200,-200,-200,-200
1526451590609,-84,-65,-200,-80,-200,-76,-200,-200,-89,-200,-200,-88,-86,-200,-200,-200,-200
1526451590708,-84,-200,-76,-80,-69,-77,-77,-200,-88,-200,-200,-87,-87,-200,-200,-200,-200
1526451590845,-200,-200,-77,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451591334,-83,-62,-78,-87,-200,-62,-200,-83,-200,-65,-200,-86,-200,-200,-200,-200,-200
1526451595669,-200,-61,-78,-200,-72,-62,-80,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451595760,-200,-62,-78,-200,-200,-62,-80,-83,-200,-64,-94,-85,-200,-200,-87,-87,-200
1526451595907,-200,-62,-77,-200,-200,-200,-200,-200,-200,-200,-96,-86,-200,-200,-200,-200,-87
1526451600579,-200,-200,-87,-200,-65,-63,-79,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200
1526451600678,-77,-74,-88,-85,-200,-63,-78,-84,-200,-200,-200,-91,-200,-200,-200,-200,-200
1526451600781,-78,-75,-87,-87,-65,-63,-78,-83,-200,-73,-94,-89,-200,-200,-200,-200,-200
1526451600924,-78,-74,-83,-85,-66,-63,-79,-200,-88,-64,-200,-200,-85,-200,-200,-200,-200
1526451610600,-87,-61,-84,-200,-69,-60,-84,-84,-200,-200,-200,-200,-85,-200,-87,-86,-200
1526451610741,-200,-61,-84,-200,-71,-60,-83,-83,-90,-64,-95,-82,-200,-200,-87,-88,-200
1526451610862,-200,-61,-84,-200,-200,-60,-200,-200,-92,-65,-95,-82,-200,-92,-87,-86,-200
1526451610950,-200,-61,-85,-200,-200,-200,-200,-84,-200,-200,-200,-200,-85,-200,-200,-200,-200
1526451615795,-200,-74,-84,-200,-65,-67,-79,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200
1526451616072,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200,-200,-200
1526451616173,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-98,-200,-200,-200,-200,-200,-200
1526451616383,-77,-74,-83,-200,-65,-63,-78,-200,-87,-200,-97,-200,-200,-200,-200,-200,-200
