,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526451525896,-66,-200,-84,-84,-87,-77,-95,-200,-74,-82,-200,-84,-200,-200,-200,-200,-200
1526451526007,-66,-73,-200,-200,-87,-200,-200,-200,-69,-84,-200,-83,-200,-200,-200,-200,-200
1526451530620,-84,-77,-76,-82,-200,-67,-96,-93,-68,-84,-89,-200,-200,-200,-200,-200,-200
1526451530777,-200,-77,-200,-83,-200,-200,-200,-91,-68,-83,-92,-84,-200,-88,-200,-200,-200
1526451530872,-84,-78,-200,-200,-200,-68,-94,-90,-68,-83,-200,-200,-200,-200,-200,-200,-200
1526451530978,-200,-200,-76,-78,-200,-200,-97,-90,-68,-83,-200,-200,-200,-200,-89,-200,-93
1526451535590,-87,-69,-200,-79,-200,-64,-200,-84,-64,-90,-200,-200,-200,-200,-89,-90,-200
1526451535685,-88,-68,-200,-78,-200,-64,-200,-200,-65,-90,-200,-200,-200,-200,-200,-200,-200
1526451535874,-200,-200,-75,-78,-90,-64,-100,-85,-65,-200,-200,-200,-200,-200,-89,-200,-200
1526451540622,-200,-200,-200,-200,-200,-200,-99,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200
1526451540730,-66,-73,-200,-85,-88,-74,-102,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200
1526451541035,-66,-200,-200,-85,-200,-200,-97,-81,-75,-84,-200,-200,-200,-200,-200,-200,-200
1526451541147,-67,-200,-200,-85,-200,-200,-200,-81,-75,-200,-200,-89,-200,-200,-200,-200,-200
1526451541259,-200,-200,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200
