,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526451900845,-200,-88,-200,-74,-82,-200,-200,-200,-81,-200,-200,-89,-200,-200,-200,-83,-200,-200,-89
1526451900968,-77,-200,-200,-200,-82,-200,-106,-82,-200,-88,-200,-200,-200,-200,-200,-83,-200,-200,-88
1526451905981,-200,-97,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-95,-200,-85,-200,-200,-200
1526451906082,-200,-200,-200,-70,-200,-200,-99,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200
1526451906621,-200,-200,-86,-200,-200,-200,-101,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451906726,-200,-200,-200,-200,-200,-77,-99,-200,-200,-200,-88,-200,-200,-91,-200,-200,-200,-200,-89
1526451910576,-75,-79,-200,-62,-200,-77,-95,-200,-90,-86,-88,-200,-200,-200,-200,-80,-200,-200,-200
1526451910696,-75,-79,-200,-62,-200,-200,-95,-200,-200,-86,-200,-200,-200,-88,-88,-80,-200,-200,-200
1526451910802,-200,-200,-200,-62,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-88,-80,-200,-200,-200
1526451910926,-200,-79,-85,-62,-200,-77,-200,-200,-200,-200,-88,-86,-200,-88,-88,-79,-90,-200,-200
1526451915576,-78,-86,-85,-62,-200,-200,-96,-200,-200,-86,-200,-200,-87,-89,-200,-87,-90,-94,-200
1526451915673,-78,-87,-200,-200,-82,-200,-95,-200,-200,-86,-85,-200,-200,-89,-200,-87,-200,-200,-200
1526451915786,-78,-86,-85,-200,-200,-75,-200,-200,-200,-200,-85,-200,-87,-200,-200,-200,-90,-200,-200
1526451915890,-77,-200,-200,-61,-81,-70,-93,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-91
1526451920547,-78,-90,-200,-73,-200,-200,-94,-84,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200
1526451920650,-200,-90,-200,-69,-82,-200,-96,-200,-82,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200
1526451920811,-78,-200,-87,-69,-82,-200,-200,-200,-82,-200,-200,-90,-200,-200,-200,-84,-200,-200,-200
1526451920919,-200,-89,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200
