,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A88,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro_5GHz,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00EC0,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,DLINK_D02A38,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018
1526457584961,-42,-51,-59,-45,-63,-45,-56,-77,-64,-66,-71,-81,-59,-85,-84,-63,-78,-61,-71,-70,-71,-70,-72,-74,-70,-76,-70,-78,-74,-78,-200,-81,-75,-75,-86,-73,-78,-85,-92,-71,-84,-85,-84,-82,-200,-81,-81,-200,-84,-81,-76,-200,-87,-89,-200,-200,-86,-200,-82,-200,-90,-87,-90,-75,-69,-200,-200,-90,-89,-83,-200,-91,-91,-87,-89,-90,-90,-200,-200,-200,-200,-200,-200,-200
1526457587978,-47,-52,-55,-48,-58,-49,-56,-73,-61,-68,-69,-81,-59,-85,-80,-63,-80,-64,-69,-72,-67,-84,-78,-71,-69,-76,-77,-78,-77,-78,-200,-79,-74,-83,-86,-72,-78,-84,-92,-71,-84,-85,-82,-82,-200,-81,-200,-200,-84,-87,-76,-200,-87,-89,-200,-200,-89,-200,-87,-200,-90,-87,-90,-77,-71,-88,-200,-200,-89,-83,-200,-200,-91,-87,-89,-90,-90,-200,-200,-200,-200,-200,-200,-200
1526457591007,-46,-51,-52,-47,-62,-43,-54,-73,-62,-68,-69,-90,-68,-85,-80,-65,-79,-67,-59,-71,-70,-84,-72,-71,-69,-76,-75,-78,-72,-200,-77,-80,-74,-84,-87,-74,-81,-83,-92,-69,-84,-85,-80,-88,-200,-80,-200,-200,-200,-87,-76,-200,-87,-94,-200,-200,-89,-200,-87,-200,-90,-87,-91,-72,-70,-88,-200,-200,-90,-83,-87,-200,-91,-87,-89,-90,-90,-200,-200,-200,-200,-200,-200,-200
1526457594035,-44,-49,-51,-44,-60,-45,-58,-73,-61,-67,-72,-90,-65,-79,-80,-65,-79,-67,-63,-72,-69,-84,-72,-74,-70,-76,-75,-71,-73,-200,-80,-80,-73,-84,-87,-70,-78,-82,-92,-75,-84,-85,-80,-84,-200,-80,-200,-200,-85,-82,-76,-87,-89,-94,-200,-200,-89,-200,-87,-200,-90,-87,-91,-73,-70,-88,-200,-200,-90,-83,-87,-200,-200,-87,-89,-90,-90,-85,-88,-89,-200,-200,-200,-200
1526457597064,-48,-50,-49,-45,-56,-43,-55,-75,-60,-70,-71,-90,-58,-75,-84,-60,-76,-63,-70,-72,-67,-67,-74,-73,-68,-80,-77,-79,-79,-200,-78,-79,-76,-83,-87,-70,-82,-83,-200,-75,-200,-85,-82,-84,-200,-77,-200,-200,-91,-82,-79,-87,-89,-94,-200,-200,-200,-200,-88,-200,-90,-200,-91,-75,-69,-200,-200,-200,-90,-83,-88,-200,-90,-200,-200,-91,-200,-85,-88,-89,-89,-200,-200,-200
1526457600098,-48,-51,-54,-48,-59,-44,-55,-72,-62,-67,-72,-200,-63,-81,-84,-62,-76,-63,-71,-71,-66,-66,-72,-71,-68,-80,-77,-79,-79,-82,-78,-80,-72,-83,-200,-72,-80,-83,-200,-74,-200,-85,-82,-84,-200,-81,-84,-200,-89,-86,-78,-87,-89,-200,-200,-200,-200,-200,-87,-200,-90,-200,-200,-75,-71,-200,-200,-91,-200,-200,-88,-200,-90,-200,-200,-91,-200,-85,-88,-89,-89,-87,-200,-200
1526457603131,-48,-51,-54,-52,-57,-45,-56,-77,-61,-68,-73,-85,-58,-78,-84,-65,-79,-65,-75,-73,-68,-67,-77,-70,-76,-77,-76,-75,-76,-80,-78,-80,-73,-83,-200,-73,-80,-81,-200,-76,-200,-85,-81,-200,-200,-82,-84,-200,-89,-85,-78,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-71,-74,-200,-200,-91,-200,-200,-86,-200,-90,-200,-200,-91,-200,-85,-200,-200,-89,-87,-200,-200
1526457606166,-46,-50,-50,-49,-55,-45,-55,-75,-66,-73,-68,-84,-62,-79,-84,-66,-79,-66,-68,-70,-67,-68,-77,-76,-70,-77,-76,-75,-76,-80,-78,-81,-73,-86,-200,-75,-83,-86,-200,-74,-200,-82,-81,-200,-84,-79,-84,-200,-89,-84,-80,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-89,-71,-71,-200,-200,-91,-200,-81,-86,-200,-90,-200,-200,-91,-200,-200,-200,-200,-89,-87,-91,-200
1526457609203,-45,-51,-53,-46,-56,-45,-55,-80,-67,-64,-71,-87,-58,-79,-84,-66,-79,-65,-76,-68,-71,-68,-68,-72,-67,-77,-77,-83,-80,-76,-76,-82,-74,-88,-200,-79,-84,-86,-200,-72,-200,-83,-84,-200,-84,-79,-85,-86,-84,-81,-80,-86,-200,-200,-200,-200,-88,-200,-84,-200,-200,-200,-89,-71,-70,-200,-200,-91,-200,-81,-86,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-87,-91,-90
1526457612232,-47,-51,-53,-47,-56,-45,-56,-80,-64,-66,-70,-87,-58,-79,-84,-66,-79,-67,-76,-70,-62,-68,-77,-70,-68,-77,-75,-83,-80,-76,-76,-76,-75,-86,-200,-69,-80,-86,-200,-71,-83,-83,-82,-200,-84,-79,-85,-86,-84,-78,-80,-86,-200,-200,-200,-200,-88,-200,-84,-200,-200,-200,-89,-76,-69,-200,-200,-200,-200,-81,-86,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-91,-90
1526457615264,-46,-50,-52,-51,-56,-41,-56,-77,-61,-66,-70,-87,-58,-79,-80,-64,-79,-64,-76,-71,-62,-65,-77,-71,-68,-80,-75,-76,-79,-76,-76,-76,-72,-86,-200,-73,-78,-82,-200,-71,-85,-81,-82,-87,-84,-79,-85,-86,-88,-78,-77,-86,-90,-89,-200,-200,-88,-200,-87,-200,-90,-200,-92,-76,-69,-200,-200,-90,-200,-82,-200,-200,-200,-86,-200,-92,-200,-200,-200,-200,-200,-200,-91,-90
1526457618300,-50,-51,-51,-48,-58,-45,-57,-82,-62,-68,-72,-87,-59,-200,-88,-64,-77,-65,-71,-73,-69,-65,-71,-70,-69,-80,-77,-76,-79,-85,-80,-80,-72,-85,-200,-70,-82,-86,-200,-73,-85,-82,-86,-87,-200,-78,-85,-83,-88,-85,-77,-86,-90,-89,-200,-200,-88,-200,-84,-200,-90,-200,-92,-76,-73,-200,-200,-90,-200,-82,-200,-200,-200,-86,-200,-92,-200,-200,-200,-200,-200,-200,-200,-92
