,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A60,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D00EC0,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A68,DLINK_D00E98,DLINK_D02A58,DLINK_D00ED0,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A20,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A18,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526457519530,-35,-43,-60,-58,-55,-63,-68,-54,-57,-73,-70,-68,-64,-67,-77,-67,-63,-56,-40,-72,-77,-66,-76,-81,-75,-66,-73,-73,-80,-75,-77,-75,-81,-80,-66,-78,-87,-85,-200,-88,-78,-76,-200,-200,-82,-75,-81,-200,-200,-88,-90,-79,-86,-200,-200,-87,-200,-88,-200,-200,-200,-200,-80,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526457522550,-35,-47,-62,-57,-51,-62,-66,-54,-50,-67,-67,-69,-66,-71,-75,-72,-67,-56,-43,-72,-76,-70,-73,-81,-75,-67,-73,-73,-78,-80,-73,-83,-81,-81,-66,-78,-87,-85,-84,-88,-88,-76,-200,-82,-85,-75,-81,-200,-200,-88,-89,-79,-86,-200,-200,-84,-200,-88,-200,-200,-200,-200,-79,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200
1526457525564,-34,-37,-60,-61,-55,-70,-68,-52,-57,-72,-65,-74,-67,-68,-81,-69,-67,-57,-41,-69,-75,-71,-71,-81,-73,-67,-68,-77,-79,-80,-72,-83,-81,-79,-78,-200,-84,-90,-84,-76,-72,-76,-200,-82,-85,-89,-82,-200,-200,-88,-89,-79,-88,-200,-200,-84,-200,-83,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-87,-87,-87,-91,-91,-200
1526457528600,-35,-40,-65,-54,-55,-61,-67,-51,-54,-67,-68,-69,-67,-66,-78,-68,-70,-64,-42,-71,-75,-71,-70,-200,-73,-68,-68,-77,-81,-80,-72,-80,-79,-88,-78,-200,-85,-90,-84,-76,-72,-200,-200,-82,-85,-89,-80,-200,-200,-88,-89,-200,-85,-200,-200,-85,-200,-83,-200,-200,-200,-200,-78,-87,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-87,-87,-87,-91,-91,-200
1526457531633,-35,-42,-65,-56,-55,-65,-67,-52,-54,-67,-66,-74,-67,-66,-78,-69,-73,-58,-43,-71,-75,-66,-69,-200,-75,-67,-69,-74,-81,-82,-72,-80,-79,-88,-74,-70,-85,-88,-84,-84,-78,-200,-200,-84,-200,-81,-79,-88,-83,-88,-89,-200,-84,-200,-200,-84,-200,-83,-200,-200,-200,-200,-79,-87,-200,-200,-200,-200,-200,-200,-82,-84,-200,-200,-87,-87,-87,-91,-91,-200
1526457534646,-35,-42,-68,-52,-56,-60,-63,-54,-54,-66,-74,-71,-61,-64,-78,-63,-70,-57,-43,-69,-74,-69,-71,-200,-75,-71,-69,-74,-81,-75,-82,-77,-79,-77,-74,-77,-85,-88,-84,-84,-78,-80,-200,-84,-200,-79,-79,-88,-83,-88,-89,-200,-84,-200,-92,-83,-200,-85,-200,-90,-200,-200,-76,-86,-200,-83,-200,-200,-200,-200,-200,-84,-200,-200,-87,-87,-87,-200,-91,-200
1526457537679,-35,-41,-67,-56,-52,-60,-65,-52,-51,-69,-69,-68,-61,-67,-74,-73,-69,-58,-42,-69,-75,-69,-73,-200,-75,-67,-71,-74,-81,-75,-82,-77,-79,-78,-73,-77,-86,-88,-86,-84,-78,-79,-200,-82,-83,-79,-78,-88,-83,-200,-89,-200,-84,-200,-92,-84,-200,-86,-200,-90,-200,-200,-78,-86,-200,-82,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200
1526457540714,-35,-42,-61,-53,-54,-61,-66,-56,-57,-66,-67,-73,-68,-68,-74,-68,-78,-57,-43,-68,-74,-66,-69,-79,-72,-66,-68,-73,-76,-80,-82,-77,-79,-77,-73,-80,-86,-88,-86,-84,-78,-79,-200,-82,-83,-88,-78,-88,-83,-200,-89,-200,-84,-200,-92,-84,-90,-86,-85,-90,-200,-200,-78,-86,-200,-82,-200,-90,-200,-200,-84,-85,-200,-200,-200,-200,-200,-200,-200,-200
1526457543750,-36,-42,-68,-52,-56,-66,-66,-55,-58,-68,-68,-72,-68,-67,-77,-66,-70,-58,-43,-70,-76,-68,-70,-81,-74,-66,-71,-71,-75,-76,-200,-76,-79,-76,-74,-79,-88,-90,-83,-84,-72,-80,-200,-82,-85,-80,-79,-88,-85,-90,-89,-200,-85,-200,-93,-83,-90,-85,-85,-200,-200,-200,-80,-87,-200,-84,-88,-90,-200,-200,-86,-85,-200,-200,-200,-200,-200,-89,-200,-200
1526457546791,-35,-42,-64,-54,-55,-67,-65,-56,-56,-68,-65,-75,-66,-67,-79,-67,-71,-58,-43,-70,-75,-68,-69,-82,-75,-63,-72,-71,-78,-80,-80,-76,-200,-75,-74,-82,-88,-90,-83,-84,-78,-79,-200,-82,-85,-80,-76,-87,-83,-90,-200,-200,-85,-200,-93,-83,-90,-85,-85,-200,-200,-200,-76,-87,-200,-83,-88,-91,-200,-200,-86,-84,-200,-200,-200,-91,-200,-89,-200,-87
