,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,D-Link_DIR-823Pro,DLINK_D00ED8,DLINK_D02A58,DLINK_D00ED0,WHU-2018,DLINK_D02A18,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A98,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A28,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526457370124,-41,-59,-45,-42,-51,-54,-65,-53,-55,-56,-63,-69,-68,-55,-67,-63,-59,-75,-59,-68,-62,-80,-70,-61,-81,-80,-66,-90,-77,-77,-75,-75,-81,-71,-70,-82,-77,-80,-76,-200,-86,-70,-80,-82,-84,-76,-74,-77,-89,-200,-200,-76,-89,-200,-82,-200,-200,-200,-90,-89,-85,-79,-90,-69,-89,-200,-200,-200,-89,-200,-64,-200,-91,-86,-84,-200,-200,-200,-200,-200,-82,-82,-89,-200,-200,-200
1526457373153,-39,-59,-45,-41,-57,-59,-66,-53,-50,-55,-60,-61,-68,-55,-61,-68,-61,-75,-59,-200,-63,-79,-73,-61,-81,-80,-64,-90,-78,-77,-68,-74,-79,-71,-70,-82,-77,-80,-79,-200,-86,-77,-80,-82,-84,-76,-70,-77,-89,-87,-80,-79,-87,-90,-82,-200,-200,-200,-90,-89,-87,-82,-90,-69,-92,-200,-200,-200,-82,-200,-60,-200,-91,-86,-84,-88,-200,-200,-85,-200,-87,-82,-89,-200,-200,-200
1526457376191,-41,-58,-44,-43,-51,-53,-63,-50,-50,-58,-66,-64,-72,-55,-66,-68,-62,-77,-57,-67,-62,-79,-73,-61,-80,-78,-61,-200,-75,-74,-75,-79,-79,-71,-200,-82,-81,-80,-78,-87,-200,-76,-80,-82,-84,-77,-76,-84,-89,-87,-80,-79,-86,-90,-84,-200,-200,-200,-90,-200,-86,-83,-89,-70,-92,-200,-200,-200,-82,-200,-63,-200,-93,-86,-83,-88,-200,-200,-85,-200,-87,-82,-89,-200,-200,-200
1526457379203,-42,-56,-44,-48,-52,-53,-61,-53,-50,-57,-60,-64,-65,-54,-66,-64,-62,-77,-58,-68,-63,-73,-76,-64,-77,-80,-62,-87,-78,-74,-71,-82,-83,-68,-70,-84,-81,-79,-76,-87,-87,-67,-200,-82,-82,-77,-76,-84,-200,-83,-83,-74,-86,-90,-84,-200,-200,-200,-90,-87,-86,-82,-90,-68,-92,-200,-200,-200,-82,-88,-63,-200,-93,-86,-85,-88,-200,-200,-85,-200,-87,-200,-200,-200,-200,-200
1526457382215,-40,-57,-48,-46,-50,-55,-62,-52,-49,-56,-62,-55,-65,-54,-64,-64,-62,-77,-57,-75,-66,-78,-70,-65,-77,-80,-67,-87,-73,-77,-74,-82,-83,-73,-70,-83,-81,-79,-77,-87,-87,-69,-200,-200,-82,-77,-68,-84,-88,-83,-81,-74,-86,-90,-84,-200,-200,-200,-200,-87,-86,-82,-90,-68,-92,-200,-200,-200,-80,-88,-63,-200,-93,-200,-85,-88,-200,-200,-85,-200,-87,-200,-200,-200,-200,-200
1526457385253,-40,-57,-46,-54,-54,-57,-58,-60,-53,-59,-64,-64,-71,-52,-70,-63,-61,-77,-54,-73,-69,-79,-68,-59,-84,-82,-66,-75,-76,-75,-76,-76,-79,-71,-72,-84,-81,-82,-77,-87,-87,-77,-200,-82,-86,-77,-79,-84,-88,-87,-81,-75,-86,-200,-84,-77,-200,-200,-200,-87,-86,-82,-90,-74,-200,-200,-200,-200,-80,-88,-63,-200,-93,-200,-87,-200,-200,-90,-200,-88,-200,-200,-91,-90,-200,-200
1526457388288,-43,-57,-47,-49,-52,-58,-66,-62,-53,-59,-65,-58,-74,-52,-67,-68,-56,-200,-57,-70,-69,-83,-69,-64,-84,-82,-67,-72,-73,-74,-76,-76,-79,-70,-78,-82,-200,-82,-81,-200,-87,-74,-200,-83,-86,-76,-78,-91,-86,-87,-81,-77,-92,-200,-84,-77,-200,-200,-200,-87,-200,-82,-90,-74,-200,-200,-200,-200,-89,-88,-200,-200,-200,-200,-87,-200,-200,-90,-200,-88,-200,-200,-91,-90,-200,-200
1526457391301,-45,-56,-49,-47,-54,-59,-57,-60,-55,-59,-63,-57,-76,-53,-67,-69,-56,-200,-58,-70,-67,-83,-71,-65,-84,-82,-67,-72,-73,-78,-71,-78,-79,-70,-69,-82,-200,-79,-80,-85,-200,-75,-82,-83,-86,-76,-79,-84,-89,-87,-81,-77,-85,-200,-84,-77,-200,-200,-90,-200,-200,-82,-200,-74,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-87,-200,-200,-90,-200,-88,-200,-200,-91,-89,-200,-200
1526457394340,-41,-60,-44,-44,-58,-59,-56,-59,-54,-57,-65,-74,-71,-53,-72,-60,-61,-200,-57,-76,-66,-74,-68,-65,-200,-76,-63,-76,-74,-74,-79,-78,-81,-70,-80,-82,-200,-84,-80,-85,-200,-75,-78,-84,-200,-76,-85,-84,-87,-200,-86,-72,-89,-200,-200,-65,-200,-200,-90,-200,-83,-82,-200,-76,-91,-200,-200,-200,-82,-200,-67,-200,-200,-200,-87,-200,-200,-200,-200,-90,-85,-200,-200,-89,-90,-92
1526457397383,-40,-60,-44,-44,-58,-55,-59,-64,-52,-62,-59,-67,-68,-52,-71,-61,-60,-74,-58,-75,-68,-82,-70,-65,-83,-76,-65,-79,-75,-76,-72,-78,-80,-200,-80,-200,-200,-84,-75,-85,-200,-76,-78,-84,-85,-76,-81,-84,-87,-200,-86,-75,-87,-200,-200,-74,-200,-200,-90,-200,-84,-82,-88,-77,-91,-200,-200,-200,-82,-200,-67,-87,-200,-200,-87,-200,-200,-200,-200,-90,-85,-200,-200,-89,-90,-92
1526457400394,-40,-56,-46,-44,-54,-56,-66,-57,-53,-56,-60,-67,-69,-54,-65,-62,-63,-73,-58,-75,-67,-79,-71,-61,-82,-76,-64,-79,-75,-75,-79,-76,-79,-73,-76,-85,-78,-84,-77,-89,-200,-77,-81,-85,-85,-75,-81,-200,-87,-82,-83,-76,-87,-200,-200,-74,-200,-85,-200,-87,-84,-85,-88,-77,-89,-200,-200,-200,-82,-200,-67,-87,-200,-200,-85,-200,-200,-200,-88,-93,-85,-200,-200,-200,-90,-92
1526457403414,-40,-59,-45,-44,-58,-56,-60,-58,-54,-56,-64,-67,-68,-53,-65,-62,-63,-74,-58,-76,-66,-79,-68,-62,-82,-76,-64,-79,-75,-77,-79,-76,-82,-73,-79,-85,-78,-80,-76,-89,-200,-71,-81,-83,-85,-77,-78,-87,-90,-90,-83,-76,-87,-200,-87,-74,-200,-85,-90,-87,-83,-85,-88,-77,-89,-200,-200,-200,-82,-200,-66,-87,-200,-200,-85,-200,-200,-200,-88,-93,-200,-200,-200,-200,-200,-92
