,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,DLINK_D02A10,DLINK_D02A18,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,D-Link_DIR-823Pro_5GHz,DLINK_D02A38,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,DLINK_D00ED0,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018
1526457298803,-39,-51,-43,-47,-51,-53,-58,-54,-58,-59,-65,-63,-64,-67,-60,-74,-67,-58,-66,-63,-69,-66,-68,-64,-84,-66,-200,-72,-72,-200,-78,-78,-81,-75,-77,-70,-80,-79,-65,-77,-84,-75,-83,-78,-90,-200,-74,-84,-200,-200,-200,-81,-77,-80,-82,-200,-90,-200,-200,-200,-200,-90,-200,-200,-85,-88,-200,-87,-200,-83,-90,-88,-79,-89,-84,-90,-200,-84,-87,-200,-200,-200,-200,-200
1526457301839,-40,-47,-43,-42,-51,-54,-61,-56,-58,-59,-65,-60,-61,-65,-59,-75,-66,-62,-65,-69,-69,-66,-69,-64,-84,-67,-200,-72,-72,-200,-78,-79,-81,-200,-77,-70,-81,-79,-64,-77,-84,-75,-83,-78,-90,-200,-74,-84,-200,-200,-200,-81,-77,-78,-82,-85,-90,-200,-200,-200,-200,-92,-200,-200,-85,-87,-200,-86,-200,-83,-89,-88,-79,-89,-83,-200,-200,-84,-87,-90,-200,-200,-200,-200
1526457304876,-41,-46,-45,-46,-51,-50,-58,-56,-58,-60,-60,-63,-60,-46,-60,-72,-66,-57,-65,-66,-70,-64,-68,-65,-84,-65,-200,-72,-70,-200,-78,-79,-200,-200,-77,-69,-75,-81,-64,-76,-83,-74,-83,-80,-90,-200,-74,-84,-200,-200,-200,-81,-77,-78,-84,-85,-200,-200,-200,-89,-200,-92,-200,-200,-200,-88,-200,-86,-88,-83,-89,-88,-79,-90,-83,-200,-200,-200,-200,-90,-200,-200,-200,-200
1526457307899,-39,-47,-45,-43,-51,-53,-59,-56,-61,-61,-61,-62,-60,-65,-61,-72,-67,-62,-64,-61,-70,-63,-68,-63,-82,-65,-200,-73,-74,-200,-73,-79,-200,-200,-78,-68,-79,-79,-65,-76,-83,-76,-82,-79,-87,-200,-200,-78,-200,-84,-200,-81,-79,-80,-84,-85,-200,-200,-200,-89,-200,-90,-200,-200,-88,-90,-74,-87,-88,-78,-89,-88,-200,-90,-83,-200,-200,-200,-86,-90,-90,-200,-200,-200
1526457310912,-39,-47,-45,-46,-55,-55,-62,-55,-67,-61,-64,-63,-61,-67,-59,-72,-72,-64,-63,-63,-70,-63,-68,-65,-84,-67,-200,-73,-72,-200,-80,-80,-200,-200,-71,-69,-82,-79,-67,-72,-83,-77,-82,-79,-90,-200,-200,-78,-200,-84,-200,-83,-76,-78,-84,-200,-200,-200,-200,-89,-90,-91,-200,-200,-90,-89,-74,-86,-88,-78,-200,-88,-200,-90,-200,-200,-200,-200,-86,-200,-90,-200,-200,-200
1526457313945,-39,-50,-44,-41,-58,-52,-59,-53,-70,-59,-63,-62,-64,-66,-59,-77,-68,-59,-64,-62,-200,-64,-68,-65,-84,-67,-200,-71,-71,-200,-78,-79,-200,-200,-71,-70,-82,-79,-61,-78,-82,-75,-83,-79,-89,-200,-200,-84,-200,-84,-200,-83,-74,-78,-82,-200,-200,-200,-200,-200,-90,-91,-200,-200,-90,-89,-75,-87,-200,-78,-200,-88,-200,-91,-200,-200,-200,-200,-86,-200,-90,-87,-200,-200
1526457316968,-40,-48,-44,-42,-51,-52,-58,-54,-73,-60,-65,-63,-63,-67,-58,-77,-73,-58,-64,-64,-71,-63,-68,-64,-83,-65,-200,-70,-72,-200,-79,-80,-200,-200,-76,-67,-77,-79,-63,-79,-82,-74,-82,-79,-89,-200,-81,-84,-200,-200,-200,-83,-77,-84,-84,-85,-200,-200,-200,-200,-90,-91,-200,-200,-90,-89,-75,-87,-200,-78,-200,-88,-200,-91,-200,-88,-200,-200,-88,-89,-200,-87,-88,-200
1526457319985,-39,-45,-46,-42,-51,-53,-62,-53,-65,-64,-66,-59,-65,-66,-61,-77,-66,-58,-66,-63,-69,-68,-69,-64,-83,-65,-200,-73,-72,-200,-74,-80,-82,-200,-76,-68,-79,-79,-63,-73,-85,-74,-84,-82,-90,-89,-81,-83,-200,-200,-200,-79,-77,-80,-84,-85,-86,-200,-200,-89,-90,-91,-200,-200,-90,-89,-77,-86,-200,-200,-200,-86,-200,-84,-200,-88,-200,-200,-88,-89,-200,-84,-88,-200
1526457322993,-40,-48,-45,-41,-55,-52,-64,-53,-70,-60,-61,-59,-60,-64,-60,-79,-69,-60,-60,-65,-69,-68,-68,-62,-83,-65,-200,-73,-78,-200,-79,-78,-82,-200,-76,-67,-79,-77,-66,-80,-85,-74,-84,-82,-90,-89,-81,-83,-200,-200,-200,-87,-77,-78,-83,-83,-86,-200,-200,-88,-200,-91,-200,-200,-200,-89,-77,-86,-200,-200,-200,-86,-200,-84,-200,-88,-200,-200,-88,-93,-200,-84,-88,-200
1526457326011,-42,-47,-46,-42,-53,-54,-62,-53,-60,-60,-63,-59,-62,-63,-65,-77,-73,-63,-62,-64,-69,-68,-68,-60,-84,-65,-200,-71,-71,-200,-80,-78,-82,-200,-72,-70,-79,-81,-63,-72,-86,-74,-81,-82,-89,-89,-81,-83,-200,-85,-81,-77,-78,-79,-83,-83,-86,-200,-91,-88,-200,-92,-200,-200,-200,-89,-77,-86,-200,-200,-90,-86,-200,-84,-200,-88,-200,-200,-88,-93,-200,-84,-88,-91
1526457329026,-42,-43,-46,-45,-52,-54,-69,-55,-56,-60,-62,-58,-61,-68,-65,-77,-73,-61,-62,-63,-69,-68,-72,-65,-84,-66,-200,-71,-70,-200,-77,-81,-82,-200,-72,-65,-77,-81,-64,-72,-86,-74,-82,-82,-89,-89,-200,-85,-200,-82,-81,-77,-78,-83,-86,-83,-86,-200,-91,-88,-200,-92,-200,-200,-200,-89,-75,-86,-200,-78,-90,-86,-88,-84,-200,-200,-200,-87,-200,-93,-200,-84,-200,-91
1526457332064,-40,-47,-46,-43,-53,-59,-64,-53,-62,-60,-62,-58,-61,-68,-60,-69,-73,-63,-62,-72,-200,-64,-72,-64,-83,-54,-200,-69,-72,-200,-77,-80,-200,-200,-72,-70,-82,-80,-65,-71,-85,-78,-80,-82,-90,-200,-200,-83,-200,-82,-81,-77,-79,-83,-86,-83,-200,-200,-91,-88,-200,-92,-200,-200,-200,-89,-79,-84,-87,-78,-90,-86,-88,-88,-87,-200,-200,-87,-200,-93,-200,-86,-200,-91
