,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro_5GHz,WHU-2018,MERCURY_0166,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526461021142,-200,-48,-42,-29,-38,-47,-53,-48,-47,-61,-52,-64,-64,-78,-55,-56,-71,-79,-61,-58,-71,-68,-76,-70,-200,-77,-72,-76,-200,-73,-67,-81,-200,-200,-200,-88,-77,-58,-80,-81,-75,-82,-89,-200,-200,-200,-200
1526461024166,-200,-48,-42,-29,-38,-47,-53,-48,-47,-61,-52,-64,-64,-78,-55,-56,-71,-79,-61,-58,-71,-68,-76,-70,-200,-77,-72,-76,-200,-73,-67,-81,-200,-200,-200,-88,-77,-58,-80,-81,-75,-82,-89,-200,-200,-200,-200
1526461027184,-200,-48,-40,-28,-41,-48,-53,-47,-49,-61,-51,-65,-64,-78,-56,-56,-71,-79,-61,-58,-67,-71,-70,-70,-200,-80,-72,-76,-200,-75,-63,-81,-200,-200,-200,-91,-77,-58,-80,-81,-75,-82,-89,-73,-86,-200,-200
1526461030208,-200,-48,-41,-28,-41,-48,-53,-47,-49,-61,-51,-65,-64,-78,-56,-56,-71,-79,-61,-58,-67,-71,-70,-200,-200,-80,-72,-76,-200,-75,-63,-81,-200,-200,-200,-91,-77,-58,-200,-200,-75,-82,-89,-73,-86,-200,-200
1526461033228,-200,-45,-41,-28,-41,-48,-53,-46,-49,-69,-52,-65,-63,-78,-56,-56,-67,-75,-65,-58,-67,-67,-76,-72,-200,-76,-72,-200,-200,-77,-64,-81,-200,-200,-200,-91,-77,-58,-200,-200,-75,-82,-89,-73,-86,-200,-200
1526461036248,-200,-45,-43,-28,-41,-48,-53,-46,-49,-69,-52,-65,-63,-78,-56,-56,-67,-75,-65,-58,-67,-67,-76,-72,-200,-76,-72,-200,-200,-77,-64,-81,-200,-200,-200,-91,-77,-58,-200,-200,-75,-82,-89,-73,-86,-200,-200
1526461039264,-48,-45,-46,-37,-40,-45,-53,-46,-59,-69,-52,-63,-65,-77,-56,-57,-71,-74,-66,-61,-66,-67,-78,-70,-59,-73,-71,-200,-200,-80,-65,-200,-200,-200,-200,-91,-200,-58,-200,-200,-200,-82,-89,-73,-86,-73,-200
1526461042273,-48,-45,-47,-37,-40,-45,-53,-46,-59,-69,-52,-63,-65,-77,-56,-57,-71,-74,-66,-61,-66,-67,-78,-70,-59,-73,-71,-200,-200,-80,-65,-200,-200,-200,-200,-91,-200,-58,-200,-200,-200,-82,-89,-73,-86,-73,-200
1526461045306,-48,-45,-49,-37,-40,-45,-53,-46,-59,-69,-52,-65,-61,-77,-55,-57,-71,-72,-65,-69,-68,-67,-80,-70,-59,-74,-71,-69,-200,-75,-65,-200,-200,-200,-200,-91,-200,-58,-200,-200,-200,-82,-89,-73,-86,-74,-200
1526461048325,-48,-45,-49,-37,-40,-45,-53,-46,-59,-69,-52,-65,-61,-77,-55,-57,-71,-72,-65,-69,-68,-67,-80,-70,-59,-74,-71,-69,-200,-75,-65,-200,-200,-200,-200,-91,-200,-58,-200,-200,-200,-82,-89,-73,-86,-74,-200
1526461051347,-48,-48,-50,-38,-40,-46,-200,-47,-59,-66,-52,-61,-60,-77,-55,-57,-71,-71,-65,-71,-70,-68,-82,-72,-59,-72,-67,-69,-200,-74,-63,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-73,-86,-74,-78
1526461054366,-48,-48,-48,-38,-40,-46,-200,-47,-59,-66,-52,-61,-60,-77,-55,-57,-71,-71,-65,-71,-70,-68,-82,-72,-59,-72,-67,-69,-200,-74,-63,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-73,-86,-74,-78
