,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526461166032,-34,-41,-42,-33,-54,-48,-50,-51,-52,-60,-53,-62,-58,-58,-57,-53,-66,-71,-200,-69,-77,-71,-200,-62,-69,-64,-73,-77,-67,-80,-81,-74,-200,-73,-82,-80,-71,-82,-87,-74,-79,-69,-200,-200,-200,-200,-200
1526461166145,-34,-41,-200,-36,-54,-48,-50,-51,-52,-60,-53,-62,-58,-58,-57,-53,-66,-71,-200,-69,-77,-71,-200,-62,-69,-64,-73,-77,-67,-80,-81,-74,-200,-73,-82,-80,-71,-82,-87,-74,-79,-69,-200,-200,-200,-200,-200
1526461169058,-34,-41,-200,-36,-54,-48,-50,-51,-52,-60,-53,-62,-58,-58,-57,-53,-66,-71,-200,-69,-77,-71,-200,-62,-69,-64,-73,-77,-67,-80,-81,-74,-200,-73,-82,-80,-71,-82,-87,-74,-79,-69,-200,-200,-200,-200,-200
1526461169168,-34,-41,-200,-36,-54,-48,-50,-51,-52,-60,-53,-62,-58,-58,-57,-53,-66,-71,-200,-69,-77,-71,-200,-62,-69,-64,-73,-77,-67,-80,-81,-74,-200,-73,-82,-80,-71,-82,-87,-74,-79,-69,-200,-200,-200,-200,-200
1526461172084,-36,-42,-50,-32,-59,-51,-49,-50,-52,-59,-53,-63,-60,-58,-62,-54,-66,-74,-200,-62,-77,-73,-200,-62,-62,-66,-74,-78,-68,-81,-84,-74,-200,-73,-82,-80,-71,-82,-87,-80,-79,-69,-200,-200,-200,-200,-200
1526461172193,-36,-42,-50,-34,-59,-51,-49,-50,-52,-59,-53,-63,-60,-58,-62,-54,-66,-74,-200,-62,-77,-73,-200,-62,-62,-66,-74,-78,-68,-81,-84,-74,-200,-73,-82,-80,-71,-82,-87,-80,-79,-69,-200,-200,-200,-200,-200
1526461175107,-36,-42,-50,-34,-59,-51,-49,-50,-52,-59,-53,-63,-60,-58,-62,-54,-66,-74,-200,-62,-77,-73,-200,-62,-62,-66,-74,-78,-68,-81,-84,-74,-200,-73,-82,-80,-71,-82,-87,-80,-79,-69,-200,-200,-200,-200,-200
1526461175217,-36,-42,-50,-34,-59,-51,-49,-50,-52,-59,-53,-63,-60,-58,-62,-54,-66,-74,-200,-62,-77,-73,-200,-62,-62,-66,-74,-78,-68,-81,-84,-74,-200,-73,-82,-80,-71,-82,-87,-80,-79,-69,-200,-200,-200,-200,-200
1526461178133,-36,-42,-50,-33,-59,-51,-48,-49,-52,-58,-53,-64,-60,-58,-65,-54,-66,-74,-200,-62,-77,-67,-200,-60,-61,-66,-74,-79,-68,-81,-84,-74,-200,-73,-83,-80,-71,-82,-87,-80,-79,-69,-92,-200,-200,-200,-200
1526461178242,-36,-42,-50,-35,-59,-51,-48,-49,-52,-58,-53,-64,-60,-58,-65,-54,-66,-74,-200,-62,-77,-67,-200,-60,-61,-66,-74,-79,-68,-81,-84,-74,-200,-73,-83,-80,-200,-200,-87,-80,-79,-69,-92,-200,-200,-200,-200
1526461181163,-36,-42,-50,-35,-59,-51,-48,-49,-52,-58,-53,-64,-60,-58,-65,-54,-200,-74,-200,-62,-77,-67,-200,-60,-61,-66,-74,-79,-68,-81,-84,-74,-200,-73,-83,-80,-200,-200,-87,-80,-79,-69,-92,-200,-200,-200,-200
1526461181263,-36,-42,-50,-35,-59,-51,-48,-49,-52,-58,-53,-64,-60,-58,-65,-54,-200,-74,-200,-62,-77,-67,-200,-60,-61,-66,-74,-79,-68,-81,-84,-74,-200,-73,-83,-80,-200,-200,-87,-80,-79,-69,-92,-200,-200,-200,-200
1526461184174,-44,-38,-50,-35,-51,-47,-46,-52,-52,-58,-53,-64,-59,-58,-65,-54,-200,-74,-200,-67,-69,-67,-77,-60,-61,-66,-74,-77,-68,-77,-84,-74,-200,-72,-83,-79,-200,-200,-87,-80,-79,-69,-92,-71,-82,-200,-200
1526461184275,-44,-38,-50,-35,-51,-47,-46,-52,-52,-58,-53,-64,-59,-58,-65,-54,-200,-74,-200,-67,-69,-67,-77,-60,-61,-66,-74,-77,-68,-77,-84,-74,-200,-72,-83,-79,-200,-200,-87,-80,-79,-69,-92,-71,-82,-200,-200
1526461187199,-44,-38,-50,-35,-51,-47,-46,-52,-52,-58,-53,-64,-59,-58,-65,-54,-200,-74,-200,-67,-69,-67,-77,-60,-61,-66,-74,-77,-68,-77,-84,-74,-200,-72,-83,-79,-200,-200,-87,-80,-200,-69,-92,-71,-82,-200,-200
1526461187299,-44,-38,-50,-35,-51,-47,-46,-52,-52,-58,-53,-64,-59,-58,-65,-54,-200,-74,-200,-67,-69,-67,-77,-60,-61,-66,-74,-77,-68,-77,-84,-74,-200,-72,-83,-79,-200,-200,-87,-80,-200,-69,-92,-71,-82,-200,-200
1526461190227,-41,-42,-58,-36,-59,-51,-48,-51,-49,-56,-53,-64,-60,-58,-65,-56,-200,-72,-200,-65,-71,-67,-77,-60,-67,-66,-74,-76,-67,-78,-85,-74,-200,-72,-83,-79,-200,-200,-87,-80,-200,-69,-92,-71,-82,-200,-200
1526461190324,-41,-42,-58,-37,-59,-51,-48,-51,-49,-56,-53,-64,-60,-58,-65,-56,-200,-72,-200,-65,-71,-67,-77,-60,-67,-66,-74,-76,-67,-78,-85,-74,-200,-72,-83,-79,-200,-200,-87,-80,-200,-69,-92,-71,-82,-200,-200
1526461193252,-41,-42,-58,-37,-59,-51,-48,-51,-49,-56,-53,-64,-60,-58,-65,-56,-200,-72,-200,-65,-71,-67,-77,-60,-67,-66,-74,-76,-67,-78,-85,-74,-200,-72,-83,-79,-200,-200,-200,-80,-200,-200,-92,-71,-82,-200,-200
1526461193346,-41,-42,-58,-37,-59,-51,-48,-51,-49,-56,-53,-64,-60,-58,-65,-56,-200,-72,-200,-65,-71,-67,-77,-60,-67,-66,-74,-76,-67,-78,-85,-74,-200,-72,-83,-79,-200,-200,-200,-80,-200,-200,-92,-71,-82,-200,-200
1526461196278,-41,-43,-58,-35,-60,-51,-47,-51,-49,-56,-53,-64,-60,-58,-65,-54,-200,-72,-200,-65,-71,-67,-77,-60,-67,-66,-74,-74,-67,-78,-85,-74,-200,-70,-83,-77,-200,-200,-200,-80,-200,-200,-92,-71,-82,-200,-200
1526461196360,-41,-43,-58,-37,-60,-51,-47,-51,-49,-56,-53,-64,-60,-58,-65,-54,-200,-72,-200,-65,-71,-67,-77,-60,-67,-66,-74,-74,-67,-78,-85,-74,-200,-70,-83,-77,-200,-200,-200,-80,-200,-200,-92,-71,-82,-200,-200
1526461199301,-41,-43,-58,-37,-60,-51,-47,-51,-49,-56,-53,-64,-60,-58,-65,-54,-200,-72,-200,-65,-71,-67,-77,-60,-67,-66,-200,-74,-67,-78,-85,-74,-200,-70,-83,-77,-200,-200,-200,-200,-200,-200,-92,-71,-82,-200,-200
1526461199382,-41,-43,-58,-37,-60,-51,-47,-51,-49,-56,-53,-64,-60,-58,-65,-54,-200,-72,-200,-65,-71,-67,-77,-60,-67,-66,-200,-74,-67,-78,-85,-74,-200,-70,-83,-77,-200,-200,-200,-200,-200,-200,-92,-71,-82,-200,-200
1526461202325,-28,-43,-58,-31,-65,-43,-47,-51,-49,-49,-54,-63,-60,-58,-66,-54,-200,-69,-200,-63,-64,-67,-77,-62,-68,-68,-200,-77,-67,-77,-81,-74,-200,-70,-84,-81,-200,-200,-200,-200,-200,-63,-92,-71,-82,-84,-200
1526461202402,-28,-43,-58,-35,-65,-43,-47,-51,-49,-49,-54,-63,-60,-58,-66,-54,-200,-69,-200,-63,-64,-67,-77,-62,-68,-68,-200,-77,-67,-77,-81,-74,-200,-70,-84,-81,-200,-200,-200,-200,-200,-63,-92,-71,-82,-84,-200
1526461205344,-28,-43,-58,-35,-65,-43,-47,-51,-49,-49,-54,-63,-60,-200,-66,-54,-200,-69,-200,-63,-64,-67,-77,-62,-68,-68,-200,-77,-67,-77,-81,-74,-200,-70,-84,-81,-200,-200,-200,-200,-200,-63,-200,-71,-82,-84,-200
1526461205424,-28,-43,-58,-35,-65,-43,-47,-51,-49,-49,-54,-63,-60,-200,-66,-54,-200,-69,-200,-63,-64,-67,-77,-62,-68,-68,-200,-77,-67,-77,-81,-74,-200,-70,-84,-81,-200,-200,-200,-200,-200,-63,-200,-71,-82,-84,-200
1526461208367,-25,-48,-57,-32,-53,-43,-51,-56,-49,-47,-54,-61,-64,-200,-67,-50,-56,-69,-200,-64,-67,-67,-77,-68,-68,-68,-81,-77,-71,-80,-79,-74,-78,-70,-84,-81,-200,-200,-200,-200,-200,-63,-200,-71,-82,-84,-200
1526461208434,-25,-48,-57,-39,-53,-43,-51,-56,-49,-47,-54,-61,-64,-200,-67,-50,-56,-69,-200,-64,-67,-67,-77,-68,-68,-68,-81,-77,-71,-80,-79,-74,-78,-70,-84,-81,-200,-200,-200,-200,-200,-63,-200,-71,-82,-84,-200
1526461211383,-26,-40,-57,-39,-55,-43,-47,-56,-49,-55,-52,-60,-61,-60,-63,-51,-56,-69,-200,-67,-68,-69,-200,-65,-68,-69,-81,-75,-69,-83,-83,-74,-78,-76,-87,-81,-72,-200,-200,-200,-200,-63,-200,-200,-200,-84,-85
1526461211447,-26,-40,-57,-44,-55,-43,-47,-56,-49,-55,-52,-60,-61,-60,-63,-51,-56,-69,-200,-67,-68,-69,-200,-65,-68,-69,-81,-75,-69,-83,-83,-74,-78,-76,-87,-81,-72,-200,-200,-200,-200,-63,-200,-200,-200,-84,-85
1526461214398,-26,-40,-57,-44,-55,-43,-47,-56,-49,-55,-52,-60,-61,-60,-63,-51,-56,-69,-200,-67,-68,-69,-200,-65,-68,-69,-81,-75,-69,-83,-83,-74,-78,-76,-87,-81,-72,-200,-200,-200,-200,-63,-200,-200,-200,-84,-85
1526461214471,-26,-40,-57,-44,-55,-43,-47,-56,-49,-55,-52,-60,-61,-60,-63,-51,-56,-69,-200,-67,-68,-69,-200,-65,-68,-69,-81,-75,-69,-83,-83,-74,-78,-76,-87,-81,-72,-200,-200,-200,-200,-63,-200,-200,-200,-84,-85
