,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,whu2011314,MERCURY_0166
1526461445833,-31,-36,-30,-52,-50,-52,-47,-59,-55,-59,-57,-60,-67,-49,-63,-62,-63,-68,-72,-69,-79,-77,-81,-75,-66,-73,-67,-200,-72,-82,-66,-75,-76,-87,-74,-200,-86,-89,-200,-200,-200,-63,-67,-63,-72,-87,-73,-84,-72,-200,-200,-200,-200,-200
1526461448847,-31,-36,-30,-52,-50,-52,-47,-59,-55,-59,-57,-60,-67,-49,-63,-62,-63,-68,-72,-69,-79,-77,-81,-75,-66,-73,-67,-200,-72,-82,-66,-75,-76,-87,-74,-200,-86,-89,-200,-200,-200,-63,-67,-63,-72,-87,-73,-84,-72,-200,-200,-200,-200,-200
1526461451870,-31,-37,-31,-50,-52,-56,-51,-59,-57,-200,-59,-200,-64,-49,-66,-61,-62,-68,-200,-70,-79,-75,-82,-75,-66,-200,-67,-200,-73,-79,-66,-78,-76,-86,-74,-200,-86,-200,-200,-200,-200,-200,-200,-63,-72,-200,-73,-84,-72,-81,-200,-200,-200,-200
1526461454890,-31,-37,-31,-50,-52,-56,-51,-59,-57,-200,-59,-200,-64,-49,-66,-61,-62,-68,-200,-70,-79,-75,-82,-75,-66,-200,-67,-200,-73,-79,-66,-78,-76,-86,-74,-200,-86,-200,-200,-200,-200,-200,-200,-63,-72,-200,-73,-84,-72,-81,-200,-200,-200,-200
1526461457924,-27,-36,-34,-48,-52,-56,-54,-59,-57,-200,-59,-60,-64,-53,-66,-63,-66,-67,-200,-66,-79,-75,-82,-75,-66,-200,-68,-200,-73,-79,-67,-78,-76,-86,-71,-200,-84,-200,-200,-200,-200,-66,-200,-63,-72,-200,-77,-84,-72,-81,-72,-84,-200,-200
1526461460945,-27,-36,-34,-48,-52,-56,-54,-59,-57,-200,-59,-60,-64,-53,-66,-63,-66,-67,-200,-66,-200,-75,-82,-200,-200,-200,-68,-200,-73,-79,-67,-78,-76,-86,-71,-200,-84,-200,-200,-200,-200,-66,-200,-200,-72,-200,-77,-200,-72,-81,-72,-84,-200,-200
1526461463959,-27,-36,-32,-49,-49,-56,-45,-59,-53,-200,-56,-55,-66,-50,-63,-59,-66,-67,-200,-66,-77,-75,-80,-200,-200,-200,-68,-200,-73,-75,-67,-76,-76,-82,-71,-200,-88,-200,-200,-200,-200,-66,-200,-200,-76,-200,-77,-200,-72,-81,-68,-84,-87,-200
1526461466968,-27,-36,-32,-49,-49,-56,-45,-59,-53,-200,-56,-55,-66,-50,-63,-59,-66,-67,-200,-66,-77,-75,-80,-200,-200,-200,-68,-200,-73,-75,-67,-76,-200,-82,-71,-200,-88,-200,-200,-200,-200,-66,-200,-200,-76,-200,-77,-200,-200,-81,-68,-84,-87,-200
1526461469985,-23,-48,-31,-49,-49,-53,-43,-59,-53,-200,-58,-55,-70,-50,-63,-59,-63,-67,-200,-66,-76,-75,-80,-200,-200,-200,-68,-200,-69,-77,-67,-77,-200,-84,-71,-200,-86,-200,-200,-200,-200,-66,-200,-62,-76,-200,-77,-200,-200,-81,-68,-84,-87,-200
1526461473006,-23,-48,-31,-49,-49,-53,-43,-59,-53,-200,-58,-55,-70,-50,-63,-59,-63,-67,-200,-66,-76,-75,-80,-200,-200,-200,-68,-200,-69,-77,-67,-77,-200,-84,-71,-200,-86,-200,-200,-200,-200,-66,-200,-62,-76,-200,-77,-200,-200,-81,-68,-84,-87,-200
1526461476029,-23,-38,-31,-49,-49,-50,-45,-59,-58,-200,-58,-59,-70,-52,-63,-60,-63,-65,-200,-67,-76,-79,-81,-77,-200,-200,-68,-200,-66,-77,-64,-76,-200,-84,-71,-200,-86,-200,-200,-200,-200,-64,-200,-62,-76,-200,-77,-200,-69,-81,-68,-84,-87,-74
1526461479048,-23,-38,-31,-49,-49,-50,-45,-200,-58,-200,-58,-59,-70,-52,-63,-60,-63,-65,-200,-67,-76,-79,-81,-77,-200,-200,-68,-200,-66,-77,-64,-76,-200,-84,-71,-200,-86,-200,-200,-200,-200,-64,-200,-62,-76,-200,-77,-200,-69,-200,-68,-84,-87,-74
