,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,whu2011309,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526454493959,-35,-38,-32,-42,-38,-50,-54,-49,-56,-61,-200,-50,-58,-49,-47,-46,-53,-57,-55,-52,-62,-70,-200,-200,-55,-49,-64,-74,-200,-67,-200,-200,-74,-78,-67,-58,-200,-82,-54,-76,-200,-80,-200,-200,-200,-80,-79,-82,-200,-200,-200,-200,-200,-75,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-70,-200,-200,-200,-65,-74,-200,-200,-200,-200,-200,-200,-75,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200
1526454497002,-35,-38,-34,-41,-38,-50,-59,-49,-54,-61,-49,-48,-59,-48,-48,-48,-53,-200,-55,-52,-64,-76,-200,-200,-58,-50,-65,-74,-200,-67,-200,-200,-74,-79,-67,-62,-200,-81,-60,-76,-200,-80,-75,-86,-200,-67,-79,-82,-200,-200,-200,-200,-200,-74,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-67,-200,-200,-200,-200,-74,-200,-200,-200,-200,-87,-200,-74,-200,-200,-200,-67,-200,-200,-200,-200,-200,-200
1526454500010,-32,-40,-35,-42,-41,-86,-54,-49,-57,-60,-68,-48,-60,-48,-49,-48,-59,-54,-56,-54,-64,-76,-200,-200,-60,-49,-65,-74,-200,-67,-200,-200,-74,-78,-67,-62,-200,-82,-56,-76,-200,-80,-74,-86,-200,-80,-79,-82,-200,-200,-84,-200,-200,-74,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-68,-200,-200,-200,-200,-69,-200,-200,-200,-200,-87,-85,-74,-200,-200,-200,-67,-200,-200,-200,-200,-200,-200
1526454503013,-33,-37,-33,-42,-48,-49,-59,-53,-56,-60,-54,-49,-62,-47,-47,-49,-60,-48,-63,-53,-64,-200,-63,-200,-60,-49,-200,-74,-200,-66,-200,-200,-200,-67,-66,-200,-200,-82,-56,-200,-200,-200,-74,-200,-82,-67,-78,-200,-200,-81,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-68,-200,-200,-200,-200,-69,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526454506017,-33,-38,-33,-43,-38,-50,-53,-48,-59,-64,-60,-51,-58,-48,-53,-45,-60,-48,-57,-53,-71,-200,-63,-74,-61,-49,-64,-73,-84,-66,-200,-200,-200,-82,-67,-200,-200,-83,-55,-200,-200,-200,-64,-200,-82,-79,-78,-81,-200,-81,-200,-81,-200,-200,-200,-200,-92,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-73,-200,-200,-200,-86,-200,-200,-200,-200,-200
1526454509022,-36,-40,-32,-61,-38,-50,-52,-48,-59,-59,-66,-52,-58,-51,-50,-47,-200,-200,-57,-68,-63,-77,-200,-74,-75,-47,-63,-74,-86,-66,-200,-200,-200,-82,-67,-59,-72,-75,-55,-200,-200,-88,-74,-200,-80,-79,-80,-81,-200,-200,-200,-81,-200,-85,-200,-200,-92,-85,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-73,-200,-200,-200,-85,-91,-92,-200,-200,-200
1526454512026,-34,-36,-33,-41,-39,-48,-68,-53,-57,-63,-51,-51,-60,-49,-55,-46,-62,-200,-200,-68,-62,-70,-71,-200,-61,-50,-63,-75,-86,-72,-200,-200,-71,-80,-67,-58,-72,-58,-55,-75,-200,-75,-74,-200,-80,-79,-80,-200,-200,-200,-200,-200,-200,-69,-200,-200,-200,-85,-200,-72,-200,-200,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-73,-200,-200,-200,-85,-91,-92,-85,-200,-200
1526454515031,-32,-41,-34,-43,-59,-50,-53,-52,-56,-64,-51,-51,-60,-49,-48,-47,-53,-200,-55,-54,-66,-70,-71,-200,-59,-49,-64,-72,-85,-65,-84,-200,-71,-67,-67,-58,-72,-79,-58,-75,-200,-74,-73,-200,-80,-79,-79,-79,-200,-200,-200,-78,-200,-69,-200,-200,-200,-85,-200,-72,-200,-200,-65,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-84,-87,-200,-200,-73,-200,-200,-200,-85,-91,-92,-85,-89,-200
1526454518035,-33,-41,-34,-41,-40,-50,-62,-50,-58,-60,-54,-49,-59,-49,-49,-48,-53,-200,-58,-54,-62,-70,-64,-75,-60,-49,-59,-72,-86,-65,-84,-200,-200,-79,-67,-58,-200,-79,-56,-76,-200,-74,-75,-200,-200,-67,-79,-81,-200,-81,-200,-78,-200,-200,-200,-200,-79,-200,-200,-200,-200,-79,-65,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-68,-70,-200,-200,-200,-200,-200,-89,-200,-89,-200
1526454521081,-36,-39,-34,-43,-39,-50,-53,-48,-57,-61,-54,-49,-59,-48,-47,-48,-52,-200,-56,-54,-62,-70,-62,-75,-59,-49,-59,-76,-86,-68,-84,-200,-200,-80,-67,-58,-200,-78,-59,-76,-200,-74,-75,-200,-200,-79,-78,-81,-200,-81,-200,-78,-200,-66,-200,-200,-79,-200,-200,-200,-200,-79,-64,-200,-68,-200,-200,-200,-64,-200,-69,-200,-200,-200,-87,-200,-68,-70,-200,-200,-200,-200,-200,-89,-200,-89,-88
1526454524128,-31,-40,-36,-43,-38,-64,-52,-51,-57,-61,-55,-48,-63,-49,-48,-49,-52,-52,-55,-57,-200,-87,-83,-200,-62,-50,-78,-74,-85,-66,-200,-200,-86,-80,-67,-200,-73,-81,-58,-200,-200,-200,-75,-200,-200,-79,-79,-200,-200,-200,-200,-200,-200,-66,-200,-200,-200,-200,-87,-77,-200,-200,-63,-200,-82,-200,-200,-200,-64,-200,-69,-89,-200,-200,-200,-90,-75,-74,-91,-200,-200,-200,-200,-200,-200,-200,-88
1526454527184,-35,-38,-35,-41,-43,-51,-55,-49,-60,-59,-54,-49,-60,-45,-48,-49,-59,-73,-58,-57,-63,-87,-83,-200,-61,-50,-63,-73,-85,-66,-200,-200,-86,-80,-67,-60,-73,-82,-58,-76,-200,-77,-200,-86,-200,-79,-79,-200,-87,-200,-200,-83,-200,-200,-200,-200,-200,-200,-87,-77,-200,-82,-60,-200,-88,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-90,-76,-74,-91,-200,-200,-200,-200,-200,-200,-200,-200
