,D-Link_DIR-823Pro,WHU-2018,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58
1526455029099,-49,-42,-41,-55,-52,-68,-200,-77,-67,-60,-52,-53,-63,-72,-72,-75,-71,-69,-200,-76,-200,-71,-67,-72,-59,-76,-200,-200,-200,-87,-88,-82,-75,-83,-200,-200,-65,-200,-85,-200,-200,-85,-200,-200,-86,-200,-200,-200,-80,-200,-200,-200,-73,-89,-200,-200,-56,-87,-89,-88,-200,-79,-200,-200,-88,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-86,-200,-200,-200,-200,-200,-200,-200
1526455032154,-45,-43,-44,-55,-53,-72,-200,-69,-74,-58,-53,-52,-63,-72,-73,-74,-71,-77,-200,-74,-83,-74,-67,-73,-59,-80,-200,-81,-200,-82,-88,-82,-75,-83,-200,-200,-67,-200,-85,-200,-200,-84,-200,-200,-86,-81,-200,-200,-85,-200,-200,-200,-74,-89,-200,-200,-59,-88,-89,-88,-200,-82,-86,-200,-88,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-86,-200,-200,-200,-200,-200,-200,-200
1526455035160,-52,-40,-43,-51,-52,-72,-57,-69,-70,-58,-58,-52,-58,-73,-75,-74,-200,-61,-200,-74,-85,-74,-71,-77,-56,-80,-200,-90,-200,-82,-200,-52,-200,-200,-200,-200,-70,-200,-81,-85,-200,-84,-200,-200,-84,-81,-200,-200,-85,-200,-200,-200,-79,-200,-200,-200,-62,-88,-200,-200,-200,-78,-86,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-91,-200,-200,-200,-200,-200
1526455038208,-46,-39,-45,-49,-51,-77,-56,-68,-67,-200,-58,-51,-58,-71,-73,-75,-82,-60,-200,-74,-85,-68,-71,-77,-56,-76,-200,-90,-200,-200,-200,-83,-200,-200,-200,-200,-68,-200,-85,-85,-200,-200,-200,-200,-81,-79,-200,-200,-84,-200,-200,-200,-75,-200,-200,-87,-59,-200,-200,-200,-200,-76,-200,-200,-86,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-85,-91,-86,-200,-200,-200,-200
1526455041218,-43,-34,-45,-48,-60,-74,-56,-68,-67,-87,-49,-52,-63,-70,-62,-68,-82,-81,-200,-83,-85,-68,-200,-77,-59,-76,-200,-81,-200,-200,-200,-49,-72,-200,-200,-81,-70,-200,-77,-83,-200,-81,-77,-200,-82,-84,-200,-200,-81,-200,-200,-200,-79,-200,-200,-85,-59,-200,-86,-200,-200,-76,-88,-90,-86,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-89,-85,-200,-86,-81,-200,-200,-200
1526455044222,-40,-37,-47,-51,-59,-59,-200,-60,-69,-55,-50,-49,-65,-67,-62,-88,-71,-58,-200,-79,-200,-71,-64,-73,-59,-200,-79,-79,-200,-200,-200,-49,-72,-88,-200,-81,-74,-200,-80,-78,-200,-81,-77,-78,-82,-84,-200,-200,-80,-200,-200,-200,-79,-200,-200,-85,-59,-200,-86,-200,-200,-200,-88,-90,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-81,-200,-200,-200
1526455047227,-39,-45,-44,-48,-52,-64,-200,-62,-69,-55,-52,-54,-67,-65,-71,-66,-79,-80,-200,-67,-200,-64,-64,-74,-66,-200,-82,-83,-200,-200,-82,-80,-71,-88,-200,-81,-68,-200,-83,-85,-200,-84,-77,-78,-84,-84,-200,-200,-82,-200,-200,-200,-75,-84,-200,-88,-71,-89,-86,-200,-200,-81,-88,-91,-200,-200,-73,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-86,-200,-200,-81,-88,-200,-200
1526455050255,-42,-35,-43,-47,-51,-67,-200,-62,-200,-55,-63,-49,-74,-64,-62,-71,-72,-76,-72,-70,-80,-64,-200,-74,-63,-75,-82,-82,-200,-200,-82,-76,-74,-200,-80,-200,-69,-200,-84,-80,-200,-84,-200,-200,-51,-200,-200,-200,-80,-200,-200,-200,-81,-84,-200,-91,-58,-89,-200,-200,-200,-81,-200,-91,-200,-200,-73,-200,-86,-200,-87,-200,-200,-200,-200,-74,-200,-200,-89,-83,-87,-200,-82,-200,-88,-200,-200
1526455053313,-42,-37,-43,-48,-52,-58,-62,-59,-200,-60,-60,-49,-65,-64,-64,-71,-69,-64,-72,-66,-80,-76,-200,-78,-62,-75,-83,-82,-200,-80,-82,-80,-74,-82,-80,-200,-71,-200,-83,-81,-200,-84,-200,-200,-80,-200,-200,-90,-81,-200,-200,-200,-74,-84,-200,-53,-58,-89,-200,-86,-200,-81,-200,-91,-200,-200,-73,-88,-86,-200,-87,-200,-200,-200,-200,-74,-86,-200,-89,-83,-87,-200,-82,-200,-88,-82,-200
1526455056357,-45,-34,-47,-48,-51,-59,-58,-64,-68,-53,-53,-47,-67,-69,-63,-200,-68,-65,-200,-66,-200,-65,-68,-72,-62,-77,-83,-200,-200,-80,-200,-53,-73,-81,-200,-200,-89,-200,-81,-85,-200,-83,-82,-200,-85,-200,-200,-90,-81,-200,-200,-200,-74,-84,-200,-86,-66,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-87,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-82,-200,-82,-200
1526455059444,-44,-34,-48,-47,-53,-66,-57,-65,-68,-60,-54,-47,-77,-65,-67,-67,-81,-63,-72,-66,-200,-65,-68,-72,-58,-74,-82,-80,-200,-200,-83,-77,-73,-81,-200,-200,-74,-200,-82,-85,-88,-83,-82,-83,-84,-200,-200,-200,-81,-200,-200,-200,-77,-200,-200,-85,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-85,-200,-88,-83,-200,-200,-200,-82,-88,-200,-78
1526455062486,-39,-36,-51,-50,-51,-67,-57,-65,-69,-79,-52,-46,-77,-71,-77,-78,-74,-63,-70,-66,-200,-65,-67,-72,-58,-74,-78,-82,-200,-200,-83,-78,-72,-82,-83,-200,-74,-200,-83,-81,-88,-80,-82,-83,-82,-200,-200,-200,-81,-200,-200,-200,-82,-200,-200,-86,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-71,-85,-200,-88,-83,-200,-200,-200,-82,-88,-200,-83
