,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,whu2011309,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,whu2011314,DLINK_D00EC0,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,DLINK_D02A10,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A48,WHU-2018,DLINK_D02A30,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro
1526465300276,-38,-47,-35,-42,-57,-52,-47,-200,-56,-56,-33,-47,-69,-59,-41,-64,-43,-200,-66,-57,-58,-200,-76,-65,-69,-60,-69,-67,-200,-76,-70,-59,-74,-72,-69,-67,-61,-77,-73,-77,-83,-83,-56,-200,-76,-200,-200,-56,-89,-91,-85,-82,-84,-59,-87,-78,-84,-80,-89,-200,-61,-70,-200,-72,-71,-81,-80,-200,-200,-200,-82,-200,-200,-200,-200,-200,-80,-80,-200,-200,-76,-81,-86,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465303282,-40,-43,-41,-43,-52,-54,-70,-85,-56,-58,-35,-54,-49,-53,-45,-67,-44,-200,-200,-200,-62,-200,-76,-69,-200,-60,-66,-200,-200,-200,-70,-200,-72,-200,-200,-70,-65,-72,-77,-77,-69,-79,-80,-200,-74,-200,-200,-80,-89,-91,-59,-200,-89,-200,-200,-78,-85,-200,-89,-200,-70,-69,-67,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-78,-200,-200,-81,-200,-200,-86,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465306286,-38,-40,-35,-45,-51,-59,-52,-85,-67,-56,-64,-51,-71,-58,-44,-73,-45,-61,-65,-200,-59,-200,-200,-68,-200,-61,-73,-200,-200,-77,-200,-200,-72,-71,-200,-70,-71,-77,-76,-200,-69,-79,-80,-200,-74,-200,-91,-57,-200,-200,-59,-200,-89,-65,-200,-200,-84,-77,-200,-200,-70,-64,-67,-72,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-79,-200,-75,-81,-200,-76,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465309290,-42,-41,-38,-43,-88,-55,-52,-200,-64,-56,-36,-51,-58,-60,-44,-73,-49,-61,-65,-48,-59,-200,-200,-56,-200,-64,-72,-200,-68,-77,-200,-200,-200,-71,-70,-200,-90,-77,-76,-200,-68,-81,-200,-200,-71,-200,-91,-82,-200,-200,-85,-200,-200,-65,-84,-200,-84,-77,-200,-200,-200,-64,-200,-72,-200,-200,-200,-200,-200,-200,-79,-83,-200,-200,-200,-200,-79,-200,-75,-73,-200,-76,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465312347,-39,-42,-38,-46,-54,-50,-46,-200,-71,-56,-33,-51,-50,-56,-43,-74,-47,-66,-64,-53,-60,-200,-200,-65,-64,-64,-72,-200,-67,-70,-200,-200,-200,-200,-72,-200,-69,-75,-75,-200,-68,-78,-200,-200,-69,-200,-86,-50,-200,-200,-84,-200,-200,-200,-84,-78,-84,-82,-89,-200,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-73,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465315401,-41,-39,-40,-46,-53,-50,-49,-200,-69,-59,-34,-50,-53,-56,-44,-74,-50,-64,-66,-58,-59,-200,-200,-51,-58,-62,-72,-68,-67,-70,-63,-200,-70,-200,-72,-200,-58,-74,-77,-75,-69,-77,-200,-200,-77,-200,-86,-50,-200,-200,-87,-200,-82,-200,-84,-78,-84,-82,-89,-200,-74,-63,-200,-200,-79,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-76,-200,-200,-73,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465318409,-40,-39,-40,-44,-53,-51,-61,-200,-69,-56,-35,-51,-54,-57,-44,-90,-50,-64,-67,-58,-59,-200,-79,-63,-65,-64,-200,-68,-200,-200,-63,-200,-72,-200,-71,-65,-68,-72,-77,-75,-70,-79,-200,-200,-72,-200,-200,-78,-200,-200,-88,-200,-82,-62,-200,-200,-200,-200,-200,-200,-73,-62,-200,-200,-78,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526465321453,-34,-45,-35,-49,-61,-52,-61,-90,-58,-56,-36,-50,-51,-52,-43,-60,-69,-71,-63,-57,-59,-76,-70,-68,-67,-64,-71,-200,-67,-72,-63,-200,-72,-200,-68,-72,-61,-82,-200,-76,-70,-76,-84,-200,-73,-200,-200,-77,-72,-200,-83,-200,-84,-63,-200,-200,-85,-200,-200,-200,-62,-68,-200,-200,-78,-76,-200,-75,-200,-200,-77,-200,-200,-200,-200,-86,-78,-200,-200,-200,-200,-200,-200,-90,-200,-200,-88,-89,-200,-200,-200,-200,-200,-200,-200
1526465324511,-36,-42,-33,-44,-56,-48,-61,-90,-63,-52,-60,-53,-48,-52,-49,-62,-47,-71,-59,-48,-55,-76,-65,-52,-67,-60,-71,-200,-71,-72,-57,-200,-72,-200,-73,-70,-69,-82,-76,-76,-75,-80,-84,-200,-71,-200,-200,-81,-72,-200,-83,-200,-77,-85,-200,-200,-85,-200,-200,-200,-62,-81,-70,-200,-77,-76,-200,-75,-200,-200,-77,-200,-200,-200,-200,-86,-78,-200,-200,-200,-200,-81,-200,-90,-200,-200,-88,-89,-79,-90,-90,-200,-200,-200,-200
1526465327520,-39,-46,-39,-48,-64,-58,-46,-85,-63,-58,-40,-55,-46,-54,-42,-86,-54,-200,-65,-48,-70,-200,-73,-69,-66,-60,-200,-200,-70,-71,-65,-200,-76,-200,-73,-70,-76,-200,-76,-75,-83,-82,-200,-200,-74,-200,-200,-58,-200,-200,-70,-200,-86,-59,-200,-200,-86,-200,-200,-200,-200,-81,-70,-200,-77,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-79,-90,-90,-81,-200,-200,-200
1526465330570,-38,-44,-40,-55,-64,-47,-48,-85,-50,-48,-48,-57,-47,-57,-46,-75,-44,-200,-65,-54,-70,-200,-73,-62,-65,-60,-85,-200,-70,-71,-65,-76,-76,-200,-73,-67,-76,-76,-76,-75,-70,-86,-200,-200,-73,-200,-200,-62,-75,-200,-70,-200,-86,-59,-200,-200,-80,-200,-200,-200,-200,-74,-70,-200,-77,-71,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-82,-90,-90,-81,-84,-86,-200
1526465333619,-40,-39,-38,-54,-64,-50,-48,-200,-53,-59,-46,-59,-51,-76,-42,-67,-47,-200,-68,-54,-200,-71,-74,-66,-66,-200,-90,-200,-200,-66,-73,-69,-60,-200,-72,-68,-200,-76,-200,-74,-68,-81,-200,-200,-74,-200,-200,-59,-75,-200,-86,-200,-200,-58,-200,-83,-84,-200,-200,-200,-200,-74,-200,-200,-72,-71,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-74,-200,-200,-81,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-84,-86,-81
