,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,whu2011314,D-Link_DIR-823Pro_5GHz,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,DLINK_D00EC0,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro
1526465592256,-34,-50,-38,-63,-63,-44,-58,-58,-54,-200,-69,-200,-54,-75,-200,-58,-200,-64,-200,-200,-55,-70,-200,-67,-200,-77,-68,-200,-200,-69,-74,-78,-200,-77,-200,-200,-200,-200,-85,-200,-78,-200,-200,-200,-86,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-71,-200,-87,-88,-200,-200,-87,-200,-200,-200,-200,-82,-200,-85,-80,-85,-88,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465595260,-29,-45,-37,-63,-64,-45,-61,-53,-59,-200,-69,-200,-62,-75,-64,-58,-200,-57,-200,-200,-69,-72,-200,-67,-200,-77,-68,-200,-200,-69,-70,-79,-200,-77,-75,-200,-200,-200,-85,-200,-67,-200,-200,-200,-87,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-68,-200,-87,-86,-200,-84,-87,-200,-200,-80,-81,-82,-200,-83,-80,-85,-88,-90,-85,-87,-88,-88,-200,-200,-200,-200,-200,-200
1526465598301,-32,-50,-42,-63,-60,-44,-61,-52,-58,-200,-75,-68,-63,-200,-68,-66,-200,-57,-200,-70,-72,-75,-200,-64,-73,-76,-64,-84,-200,-68,-70,-86,-200,-200,-75,-200,-86,-80,-200,-200,-83,-86,-200,-84,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-68,-200,-82,-80,-200,-84,-200,-200,-200,-80,-81,-200,-200,-83,-200,-200,-200,-200,-85,-87,-88,-88,-84,-200,-200,-200,-200,-200
1526465601311,-29,-50,-39,-62,-62,-42,-61,-51,-56,-200,-76,-74,-59,-70,-68,-63,-200,-65,-200,-70,-68,-76,-200,-64,-73,-78,-64,-84,-200,-69,-66,-84,-200,-82,-73,-200,-86,-80,-200,-200,-82,-86,-87,-85,-87,-200,-200,-200,-90,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-79,-200,-82,-81,-200,-84,-200,-200,-200,-68,-81,-200,-200,-83,-84,-200,-200,-200,-85,-87,-88,-88,-84,-88,-200,-200,-200,-200
1526465604355,-31,-52,-41,-63,-61,-44,-56,-51,-51,-200,-76,-72,-61,-70,-67,-69,-200,-65,-200,-200,-68,-79,-200,-67,-200,-78,-66,-200,-200,-67,-65,-67,-200,-83,-73,-200,-86,-200,-200,-78,-79,-200,-87,-84,-88,-200,-200,-200,-90,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-80,-200,-200,-81,-200,-200,-200,-200,-200,-70,-76,-200,-200,-85,-88,-200,-200,-200,-90,-200,-200,-90,-200,-88,-200,-200,-200,-200
1526465607361,-30,-49,-36,-59,-61,-43,-56,-52,-55,-200,-75,-75,-65,-78,-67,-59,-200,-65,-200,-200,-59,-55,-200,-66,-200,-200,-70,-200,-200,-67,-67,-67,-200,-87,-200,-200,-85,-200,-200,-82,-80,-83,-200,-83,-82,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-83,-200,-200,-200,-200,-200,-70,-76,-200,-200,-85,-88,-200,-200,-200,-90,-200,-200,-90,-200,-200,-81,-200,-200,-200
1526465610395,-27,-47,-31,-63,-61,-70,-61,-52,-58,-200,-75,-72,-59,-78,-64,-59,-76,-64,-200,-200,-72,-58,-74,-68,-200,-79,-70,-200,-200,-67,-69,-84,-79,-87,-64,-200,-80,-200,-200,-80,-81,-83,-200,-83,-82,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-79,-81,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-85,-87,-200
1526465613402,-28,-49,-33,-63,-64,-42,-62,-54,-59,-200,-76,-73,-58,-80,-64,-59,-76,-61,-200,-68,-73,-80,-74,-70,-72,-72,-68,-200,-200,-69,-74,-84,-76,-80,-64,-200,-80,-200,-89,-81,-82,-80,-200,-82,-81,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-79,-81,-78,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-81,-85,-87,-87
1526465616406,-32,-47,-34,-67,-63,-41,-62,-52,-59,-79,-76,-73,-65,-80,-64,-59,-76,-61,-200,-68,-59,-79,-74,-76,-72,-72,-67,-200,-200,-69,-70,-85,-76,-79,-71,-200,-80,-85,-85,-81,-82,-80,-200,-82,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-75,-200,-89,-77,-200,-82,-81,-78,-200,-200,-200,-200,-200,-75,-200,-200,-85,-200,-77,-200,-200,-200,-200,-200,-87,-200,-200,-200,-85,-87,-87
1526465619449,-32,-51,-34,-65,-60,-43,-62,-50,-59,-79,-71,-70,-55,-200,-69,-59,-67,-57,-200,-200,-70,-51,-200,-66,-72,-84,-72,-200,-200,-69,-71,-85,-200,-79,-71,-83,-79,-85,-89,-200,-70,-79,-200,-200,-82,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-73,-200,-89,-77,-200,-82,-87,-79,-200,-200,-200,-200,-200,-77,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-87,-84,-200,-200,-200,-200,-200
1526465622469,-27,-50,-34,-67,-65,-41,-60,-49,-58,-84,-78,-70,-55,-76,-69,-59,-72,-60,-200,-200,-73,-79,-200,-68,-200,-84,-64,-200,-200,-68,-73,-82,-200,-200,-200,-83,-79,-200,-89,-200,-80,-79,-200,-81,-82,-84,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-73,-87,-89,-200,-200,-200,-85,-81,-200,-200,-200,-200,-67,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200
1526465625476,-29,-54,-34,-70,-69,-43,-58,-56,-58,-84,-72,-73,-66,-76,-65,-58,-74,-66,-77,-66,-72,-58,-200,-73,-200,-84,-63,-200,-200,-68,-67,-83,-78,-82,-61,-83,-79,-200,-89,-200,-82,-79,-200,-84,-81,-84,-88,-200,-200,-200,-200,-200,-90,-92,-200,-92,-73,-87,-89,-200,-200,-200,-80,-81,-200,-200,-89,-200,-76,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200
