,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,whu2011309,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,DLINK_D00EB8,DLINK_D02A58,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,DLINK_D02A28,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A60,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526465831868,-35,-35,-38,-49,-45,-59,-58,-71,-54,-49,-72,-62,-51,-51,-63,-56,-82,-59,-66,-68,-61,-70,-55,-57,-200,-68,-200,-74,-200,-64,-71,-73,-80,-74,-78,-200,-200,-57,-58,-78,-64,-200,-63,-82,-200,-200,-78,-200,-84,-82,-80,-200,-200,-87,-200,-62,-77,-73,-84,-200,-200,-77,-200,-200,-81,-79,-200,-200,-200,-200,-200,-200,-200,-85,-81,-91,-81,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526465834910,-33,-35,-39,-48,-45,-58,-55,-71,-59,-50,-72,-62,-40,-52,-63,-56,-83,-59,-62,-68,-60,-70,-53,-49,-200,-67,-200,-72,-200,-59,-74,-73,-80,-74,-74,-200,-74,-63,-58,-61,-64,-200,-63,-70,-200,-200,-78,-200,-86,-82,-55,-200,-200,-88,-200,-60,-64,-73,-84,-200,-200,-68,-200,-200,-81,-79,-200,-200,-200,-200,-200,-200,-200,-84,-81,-91,-81,-85,-82,-200,-200,-200,-200,-200,-200,-200,-200
1526465837921,-35,-38,-34,-49,-45,-59,-57,-57,-51,-50,-74,-62,-51,-52,-62,-54,-81,-59,-61,-71,-59,-68,-53,-56,-67,-67,-200,-73,-71,-61,-74,-73,-65,-76,-74,-200,-74,-57,-60,-55,-82,-200,-200,-70,-200,-80,-200,-200,-86,-84,-80,-200,-200,-88,-56,-60,-64,-73,-200,-200,-86,-68,-90,-200,-81,-81,-200,-200,-200,-200,-200,-85,-200,-84,-200,-200,-81,-85,-79,-87,-200,-200,-200,-200,-200,-200,-200
1526465840996,-34,-40,-36,-47,-47,-50,-50,-54,-52,-51,-70,-200,-52,-53,-62,-60,-85,-59,-60,-71,-61,-71,-53,-56,-67,-67,-200,-69,-71,-56,-74,-74,-65,-76,-74,-80,-74,-56,-59,-80,-64,-200,-200,-69,-200,-80,-200,-200,-85,-84,-61,-84,-200,-86,-56,-59,-64,-73,-200,-200,-86,-68,-90,-200,-200,-81,-200,-200,-200,-200,-200,-75,-200,-84,-200,-200,-200,-85,-79,-87,-200,-200,-200,-200,-200,-200,-200
1526465844067,-34,-40,-38,-48,-48,-58,-52,-54,-52,-52,-70,-200,-50,-55,-63,-73,-83,-39,-61,-200,-60,-70,-56,-200,-67,-200,-74,-69,-200,-60,-72,-74,-65,-200,-72,-82,-73,-57,-59,-79,-64,-200,-200,-84,-200,-200,-200,-88,-85,-90,-80,-84,-200,-87,-52,-62,-200,-200,-200,-200,-200,-200,-200,-200,-77,-92,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-92,-200,-200,-82,-200,-200,-200,-200,-200,-200
1526465847119,-33,-36,-37,-47,-50,-59,-51,-200,-53,-56,-70,-200,-50,-56,-61,-52,-70,-61,-59,-200,-60,-70,-56,-52,-67,-67,-90,-69,-71,-52,-72,-200,-65,-200,-72,-82,-74,-57,-58,-58,-80,-200,-200,-84,-200,-200,-200,-88,-84,-90,-81,-200,-200,-86,-52,-61,-200,-200,-200,-200,-200,-75,-200,-200,-76,-92,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-92,-200,-200,-82,-80,-200,-200,-200,-200,-200
1526465850161,-36,-38,-34,-45,-46,-59,-47,-200,-64,-53,-74,-67,-49,-57,-61,-58,-79,-57,-59,-71,-61,-70,-54,-59,-67,-67,-75,-69,-68,-58,-75,-200,-65,-200,-74,-82,-74,-59,-82,-80,-80,-74,-69,-71,-200,-200,-200,-88,-74,-90,-78,-200,-200,-89,-52,-62,-200,-69,-200,-200,-87,-75,-200,-200,-77,-92,-200,-200,-200,-200,-200,-200,-91,-81,-200,-200,-200,-92,-200,-200,-82,-80,-200,-200,-200,-200,-200
1526465853230,-36,-34,-37,-45,-42,-57,-46,-56,-52,-48,-74,-67,-54,-51,-61,-57,-79,-57,-63,-73,-60,-200,-53,-59,-67,-70,-75,-69,-68,-58,-74,-78,-200,-200,-74,-200,-72,-60,-61,-82,-80,-74,-69,-71,-200,-200,-200,-200,-82,-200,-46,-200,-200,-89,-55,-62,-200,-71,-200,-200,-87,-75,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-91,-81,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200
1526465856295,-35,-34,-35,-69,-46,-45,-45,-59,-52,-49,-73,-67,-54,-51,-64,-57,-81,-61,-59,-71,-45,-200,-54,-62,-67,-67,-75,-76,-71,-59,-73,-78,-200,-77,-78,-200,-72,-60,-58,-58,-200,-69,-69,-74,-200,-200,-81,-200,-83,-200,-81,-200,-200,-89,-55,-62,-200,-71,-200,-200,-87,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-91,-81,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200
1526465859350,-30,-45,-40,-50,-45,-64,-49,-59,-200,-39,-71,-200,-54,-56,-63,-61,-78,-61,-57,-71,-62,-84,-58,-62,-67,-66,-72,-76,-73,-62,-73,-200,-200,-77,-73,-200,-76,-60,-58,-84,-200,-83,-200,-74,-87,-200,-81,-200,-83,-200,-81,-200,-200,-200,-200,-200,-66,-71,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-78,-85,-200,-200,-90,-79,-200,-200,-200
1526465862408,-29,-43,-39,-41,-44,-60,-50,-58,-51,-44,-75,-60,-55,-61,-63,-53,-77,-200,-56,-76,-64,-70,-58,-64,-63,-66,-72,-68,-73,-64,-200,-200,-200,-77,-73,-79,-71,-66,-58,-77,-63,-79,-200,-200,-87,-78,-200,-200,-85,-200,-77,-200,-200,-50,-200,-65,-65,-200,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-78,-85,-200,-200,-200,-79,-75,-200,-200
1526465865448,-26,-42,-39,-38,-49,-61,-50,-49,-53,-54,-72,-60,-52,-57,-63,-55,-77,-53,-59,-76,-61,-68,-58,-63,-65,-62,-72,-68,-73,-64,-200,-200,-200,-76,-73,-83,-71,-66,-56,-75,-63,-79,-200,-200,-87,-78,-200,-200,-84,-200,-75,-200,-200,-61,-200,-65,-77,-200,-200,-90,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-78,-85,-200,-200,-200,-79,-75,-70,-86
