,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526460094237,-36,-34,-40,-56,-47,-46,-64,-44,-56,-55,-64,-59,-61,-63,-73,-70,-65,-66,-74,-55,-77,-80,-73,-200,-71,-78,-75,-80,-84,-81,-78,-200,-86,-200,-64,-76,-79,-83,-75,-91,-74,-89,-90,-91,-200,-200,-200,-200,-200
1526460097264,-36,-34,-40,-56,-47,-46,-64,-44,-56,-55,-64,-59,-61,-63,-73,-70,-65,-66,-74,-55,-77,-80,-73,-200,-71,-78,-75,-80,-84,-81,-78,-200,-86,-200,-64,-76,-79,-83,-75,-91,-74,-89,-90,-91,-200,-200,-200,-200,-200
1526460100286,-39,-31,-38,-56,-49,-49,-68,-52,-59,-59,-64,-56,-64,-200,-71,-70,-68,-61,-74,-59,-83,-76,-75,-200,-76,-77,-79,-78,-79,-78,-78,-200,-86,-200,-66,-76,-200,-83,-75,-91,-74,-89,-90,-91,-75,-81,-85,-200,-200
1526460103313,-39,-31,-38,-56,-49,-49,-68,-52,-59,-59,-64,-56,-64,-200,-71,-70,-68,-61,-74,-59,-83,-76,-75,-200,-76,-77,-79,-78,-79,-78,-78,-200,-86,-200,-66,-76,-200,-83,-75,-91,-74,-89,-90,-91,-75,-81,-85,-200,-200
1526460106342,-36,-31,-37,-56,-46,-44,-67,-48,-59,-59,-64,-56,-64,-200,-71,-71,-69,-60,-74,-59,-83,-76,-76,-200,-76,-74,-78,-78,-78,-78,-200,-200,-82,-200,-66,-76,-200,-85,-71,-92,-69,-89,-90,-91,-75,-81,-85,-200,-200
1526460109370,-36,-31,-37,-56,-46,-44,-67,-48,-59,-59,-64,-56,-64,-200,-71,-71,-69,-60,-74,-59,-83,-76,-76,-200,-76,-74,-78,-78,-78,-78,-200,-200,-82,-200,-66,-76,-200,-85,-71,-92,-69,-89,-90,-91,-75,-81,-85,-200,-200
1526460112396,-37,-32,-37,-56,-46,-42,-67,-52,-55,-56,-64,-59,-63,-200,-71,-71,-69,-63,-76,-63,-82,-80,-76,-200,-75,-75,-78,-78,-77,-78,-200,-200,-82,-200,-67,-76,-200,-79,-71,-92,-72,-89,-90,-91,-75,-81,-85,-94,-200
1526460115418,-37,-32,-37,-56,-46,-42,-67,-52,-55,-56,-64,-59,-63,-200,-71,-71,-69,-63,-76,-63,-82,-80,-76,-200,-75,-75,-78,-78,-77,-78,-200,-200,-82,-200,-67,-76,-200,-79,-71,-92,-72,-89,-90,-91,-75,-81,-85,-94,-200
1526460118437,-36,-33,-37,-56,-46,-46,-67,-48,-57,-55,-75,-60,-65,-200,-71,-71,-69,-63,-76,-63,-80,-79,-76,-200,-75,-74,-78,-78,-76,-78,-200,-200,-82,-200,-67,-200,-200,-79,-71,-91,-71,-200,-200,-200,-75,-79,-85,-94,-200
1526460121456,-36,-33,-37,-56,-46,-46,-67,-48,-57,-55,-75,-60,-65,-200,-71,-71,-69,-63,-76,-63,-80,-79,-76,-200,-75,-74,-78,-78,-76,-78,-200,-200,-82,-200,-67,-200,-200,-79,-71,-91,-71,-200,-200,-200,-75,-79,-85,-94,-200
1526460124486,-37,-33,-17,-58,-47,-42,-66,-51,-57,-54,-75,-60,-65,-63,-72,-71,-69,-63,-76,-68,-79,-79,-76,-200,-73,-76,-78,-78,-76,-78,-200,-200,-82,-200,-67,-77,-200,-79,-71,-92,-71,-200,-200,-200,-75,-79,-85,-94,-67
1526460127499,-37,-33,-17,-58,-47,-42,-66,-51,-57,-54,-75,-60,-65,-63,-72,-71,-69,-63,-76,-68,-79,-79,-76,-200,-73,-76,-78,-78,-76,-78,-200,-200,-82,-200,-67,-77,-200,-79,-71,-92,-71,-200,-200,-200,-75,-79,-85,-94,-67
