,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526460317571,-39,-36,-42,-57,-51,-56,-42,-62,-56,-60,-55,-62,-61,-76,-64,-200,-59,-200,-64,-66,-79,-66,-200,-74,-75,-68,-200,-81,-89,-81,-81,-77,-200,-85,-200,-200,-84,-84,-78,-88,-80,-92,-92,-79,-82,-92,-88,-90,-84,-200
1526460320604,-37,-36,-42,-57,-51,-49,-42,-58,-60,-62,-58,-62,-61,-76,-61,-70,-60,-200,-64,-66,-82,-66,-200,-74,-75,-68,-85,-85,-87,-81,-81,-76,-200,-85,-200,-200,-84,-84,-78,-88,-80,-92,-92,-77,-81,-92,-88,-90,-84,-91
1526460323634,-37,-36,-42,-57,-51,-49,-42,-58,-60,-62,-58,-62,-61,-76,-61,-70,-60,-200,-64,-66,-82,-66,-200,-74,-75,-68,-85,-85,-87,-81,-81,-76,-200,-85,-200,-200,-84,-84,-78,-200,-80,-92,-92,-77,-81,-92,-88,-90,-84,-91
1526460326660,-35,-36,-42,-57,-53,-49,-38,-58,-60,-62,-57,-62,-61,-75,-61,-68,-57,-200,-64,-65,-81,-66,-200,-74,-72,-68,-85,-86,-87,-80,-81,-76,-200,-85,-87,-200,-84,-84,-78,-200,-80,-92,-92,-79,-85,-92,-88,-90,-84,-91
1526460329674,-35,-36,-42,-57,-53,-49,-38,-58,-60,-62,-57,-62,-61,-75,-61,-68,-57,-200,-64,-65,-81,-66,-200,-74,-72,-200,-85,-86,-87,-80,-81,-76,-200,-85,-87,-200,-84,-84,-200,-200,-200,-200,-200,-79,-85,-200,-88,-90,-84,-91
1526460332701,-32,-34,-42,-57,-53,-49,-38,-56,-60,-62,-54,-64,-67,-75,-62,-68,-55,-72,-64,-66,-81,-66,-200,-74,-69,-73,-85,-84,-88,-81,-81,-76,-200,-86,-88,-200,-84,-84,-200,-200,-200,-200,-200,-79,-85,-200,-88,-90,-84,-91
1526460335721,-32,-34,-42,-57,-53,-49,-38,-56,-60,-62,-54,-64,-67,-75,-62,-68,-55,-72,-64,-66,-81,-66,-200,-74,-69,-73,-85,-84,-88,-81,-81,-76,-200,-86,-88,-200,-84,-84,-200,-200,-200,-200,-200,-79,-85,-200,-88,-90,-84,-91
1526460338757,-32,-35,-42,-57,-53,-49,-38,-57,-60,-62,-54,-62,-67,-75,-62,-68,-57,-72,-77,-66,-75,-66,-200,-74,-67,-73,-85,-84,-88,-81,-200,-76,-200,-86,-88,-200,-84,-84,-200,-200,-200,-200,-200,-79,-85,-200,-88,-200,-84,-91
1526460341777,-32,-35,-42,-57,-53,-49,-38,-57,-60,-62,-54,-62,-67,-75,-62,-68,-57,-72,-77,-66,-75,-66,-200,-74,-67,-73,-85,-84,-88,-81,-200,-76,-200,-86,-88,-200,-84,-84,-200,-200,-200,-200,-200,-79,-85,-200,-88,-200,-84,-91
1526460344796,-35,-36,-42,-57,-52,-52,-38,-53,-60,-60,-53,-64,-67,-75,-62,-68,-53,-72,-77,-66,-75,-200,-200,-74,-67,-73,-85,-83,-91,-81,-78,-79,-200,-87,-88,-200,-200,-84,-200,-200,-200,-200,-200,-79,-83,-200,-200,-200,-200,-91
1526460347820,-35,-36,-42,-57,-52,-52,-38,-53,-60,-60,-53,-64,-67,-75,-62,-68,-53,-72,-77,-66,-75,-200,-200,-74,-67,-73,-85,-83,-91,-81,-78,-79,-200,-87,-88,-200,-200,-84,-200,-200,-200,-200,-200,-79,-83,-200,-200,-200,-200,-91
1526460350839,-34,-33,-42,-53,-49,-60,-41,-59,-60,-61,-55,-61,-67,-75,-62,-68,-61,-72,-74,-66,-75,-200,-200,-77,-64,-76,-200,-78,-91,-81,-78,-79,-200,-85,-88,-200,-200,-86,-200,-200,-200,-200,-200,-78,-83,-200,-200,-200,-200,-200
