,DLINK_D00EB8,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A30,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D00EC0,WHU-2018,DLINK_D02A48,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A98,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526454476360,-19,-39,-54,-43,-46,-56,-39,-39,-39,-47,-53,-51,-52,-59,-57,-57,-76,-48,-62,-53,-61,-61,-64,-58,-69,-61,-69,-65,-200,-57,-59,-70,-80,-74,-75,-73,-73,-73,-200,-69,-200,-200,-79,-69,-72,-73,-82,-65,-80,-200,-72,-83,-78,-75,-200,-81,-47,-59,-74,-57,-200,-82,-200,-200,-200,-86,-200,-200,-74,-88,-92,-83,-200,-200,-200,-200,-200,-200,-200,-200
1526454479432,-20,-39,-54,-44,-46,-56,-39,-39,-37,-47,-53,-51,-52,-58,-60,-56,-69,-48,-63,-51,-61,-60,-64,-56,-69,-61,-71,-63,-66,-58,-55,-70,-80,-74,-78,-73,-72,-73,-200,-68,-200,-200,-79,-75,-72,-73,-79,-65,-80,-200,-72,-84,-78,-75,-200,-83,-47,-59,-74,-57,-200,-82,-200,-200,-200,-86,-200,-85,-74,-88,-92,-80,-83,-87,-200,-200,-200,-200,-200,-200
1526454482494,-24,-40,-54,-38,-46,-57,-39,-39,-37,-48,-53,-54,-52,-60,-60,-56,-69,-50,-63,-49,-200,-60,-63,-54,-65,-61,-66,-63,-67,-58,-59,-200,-81,-74,-82,-75,-72,-83,-200,-68,-200,-200,-77,-67,-72,-200,-79,-73,-80,-85,-71,-84,-78,-77,-200,-83,-45,-60,-69,-57,-200,-82,-200,-200,-200,-200,-200,-83,-74,-88,-200,-80,-83,-87,-200,-200,-200,-200,-200,-200
1526454485530,-20,-42,-54,-45,-46,-57,-38,-39,-35,-48,-53,-51,-52,-60,-65,-52,-69,-53,-63,-53,-200,-60,-63,-54,-65,-61,-68,-70,-67,-59,-59,-67,-81,-72,-82,-75,-73,-79,-200,-66,-200,-200,-83,-69,-72,-200,-77,-67,-200,-85,-75,-82,-200,-77,-200,-86,-46,-60,-66,-57,-200,-82,-200,-200,-200,-200,-200,-83,-74,-87,-200,-80,-83,-87,-87,-200,-200,-200,-200,-200
1526454488604,-21,-41,-52,-43,-47,-57,-38,-39,-37,-48,-54,-51,-52,-59,-63,-51,-65,-57,-62,-52,-59,-60,-63,-55,-74,-61,-66,-68,-67,-56,-53,-67,-76,-71,-82,-74,-73,-79,-84,-66,-200,-200,-83,-69,-72,-200,-77,-67,-200,-85,-79,-85,-78,-77,-200,-83,-49,-60,-66,-57,-200,-88,-200,-200,-200,-200,-88,-83,-74,-87,-200,-80,-83,-87,-87,-81,-200,-200,-200,-200
1526454491688,-18,-42,-52,-43,-47,-57,-38,-39,-41,-52,-55,-50,-52,-56,-70,-51,-65,-50,-62,-55,-59,-60,-63,-52,-74,-61,-67,-68,-67,-58,-57,-67,-76,-75,-75,-74,-74,-73,-84,-67,-200,-200,-79,-69,-200,-200,-77,-68,-200,-85,-74,-85,-76,-79,-200,-83,-48,-60,-69,-83,-200,-85,-200,-200,-200,-200,-88,-83,-74,-89,-200,-85,-83,-87,-87,-81,-200,-200,-200,-200
1526454494754,-22,-40,-52,-42,-49,-57,-38,-39,-40,-56,-54,-49,-52,-57,-69,-51,-68,-50,-62,-54,-59,-62,-63,-56,-69,-63,-67,-68,-67,-59,-56,-64,-76,-75,-75,-74,-73,-73,-84,-67,-200,-200,-79,-69,-200,-200,-79,-68,-200,-85,-74,-83,-76,-80,-200,-83,-50,-60,-69,-83,-200,-85,-200,-200,-200,-200,-88,-83,-75,-86,-200,-85,-200,-200,-87,-81,-91,-200,-200,-200
1526454497843,-21,-38,-52,-42,-53,-50,-38,-39,-37,-53,-53,-53,-51,-57,-61,-55,-65,-49,-64,-48,-59,-61,-63,-56,-69,-61,-67,-68,-200,-59,-56,-64,-76,-76,-75,-73,-73,-70,-84,-67,-200,-200,-79,-74,-79,-200,-79,-69,-78,-200,-74,-83,-76,-78,-200,-83,-48,-61,-69,-83,-200,-85,-200,-200,-200,-87,-88,-200,-74,-88,-200,-85,-200,-200,-87,-81,-91,-84,-89,-200
1526454500888,-19,-38,-52,-42,-57,-50,-38,-39,-35,-53,-52,-51,-51,-60,-62,-52,-66,-57,-64,-48,-59,-63,-64,-55,-69,-65,-69,-67,-200,-59,-56,-64,-76,-78,-75,-73,-73,-78,-84,-68,-200,-200,-79,-75,-79,-200,-79,-70,-78,-200,-74,-84,-76,-78,-200,-83,-51,-59,-69,-83,-200,-84,-200,-200,-200,-87,-86,-200,-74,-88,-200,-82,-200,-200,-200,-81,-91,-84,-89,-81
1526454503930,-22,-38,-57,-42,-48,-47,-38,-39,-37,-53,-51,-59,-51,-57,-56,-46,-66,-53,-64,-47,-200,-63,-65,-53,-69,-65,-70,-67,-65,-59,-63,-64,-200,-78,-75,-73,-73,-78,-200,-75,-200,-200,-79,-75,-79,-200,-79,-70,-78,-200,-74,-83,-76,-78,-200,-83,-46,-59,-69,-83,-200,-84,-200,-200,-200,-87,-86,-200,-74,-88,-200,-82,-200,-200,-200,-200,-91,-84,-89,-81
1526454506980,-22,-40,-59,-40,-45,-47,-39,-39,-35,-57,-52,-61,-52,-61,-68,-45,-65,-57,-65,-46,-200,-60,-65,-53,-69,-65,-70,-67,-65,-59,-57,-64,-77,-78,-75,-71,-73,-68,-200,-67,-84,-200,-81,-76,-79,-200,-79,-71,-78,-200,-74,-85,-74,-78,-200,-83,-49,-59,-68,-56,-200,-84,-200,-200,-200,-87,-86,-200,-74,-89,-200,-82,-200,-200,-200,-200,-91,-84,-89,-81
1526454510050,-22,-42,-52,-41,-47,-47,-39,-40,-38,-55,-52,-61,-53,-58,-68,-46,-69,-61,-65,-50,-200,-58,-66,-54,-69,-66,-66,-67,-65,-59,-54,-66,-77,-76,-75,-71,-73,-68,-200,-63,-84,-200,-80,-69,-79,-200,-86,-68,-78,-200,-74,-88,-74,-78,-200,-82,-50,-59,-67,-58,-200,-84,-200,-200,-200,-87,-86,-200,-74,-91,-200,-82,-200,-200,-200,-200,-200,-84,-89,-81
