,WHU-2018,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,whu2011314,WHU-2018,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526460259897,-29,-48,-40,-34,-41,-54,-55,-70,-48,-200,-51,-49,-54,-59,-87,-61,-67,-200,-59,-72,-71,-84,-62,-80,-87,-73,-65,-71,-200,-59,-57,-71,-68,-200,-78,-200,-81,-200,-79,-77,-73,-200,-79,-90,-200,-200,-200,-47,-71,-72,-71,-76,-200,-68,-200,-84,-200,-200,-74,-200,-66,-75,-90,-200,-81,-86,-80,-83,-84,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460262902,-27,-62,-39,-33,-46,-54,-53,-70,-55,-53,-51,-51,-60,-60,-73,-60,-200,-200,-59,-71,-71,-84,-62,-79,-87,-72,-66,-200,-200,-60,-67,-200,-200,-200,-78,-200,-82,-200,-84,-77,-73,-200,-76,-200,-88,-200,-200,-50,-71,-200,-200,-200,-200,-200,-200,-84,-200,-200,-74,-200,-63,-75,-85,-200,-200,-200,-80,-84,-78,-85,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460265955,-26,-47,-39,-32,-40,-53,-56,-51,-48,-51,-52,-51,-56,-57,-70,-61,-66,-200,-65,-71,-71,-84,-62,-80,-87,-73,-90,-71,-200,-60,-54,-71,-68,-200,-79,-80,-81,-200,-74,-77,-73,-200,-80,-200,-88,-200,-200,-47,-71,-200,-78,-81,-200,-67,-82,-85,-200,-200,-76,-74,-69,-76,-85,-200,-200,-200,-80,-84,-78,-87,-83,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460268963,-29,-49,-39,-33,-41,-51,-57,-54,-48,-50,-52,-51,-56,-58,-73,-59,-67,-200,-64,-200,-71,-70,-200,-79,-200,-81,-65,-77,-200,-64,-55,-72,-63,-200,-78,-80,-81,-200,-84,-77,-73,-200,-77,-200,-82,-200,-200,-46,-70,-71,-78,-81,-200,-67,-82,-85,-200,-200,-76,-74,-69,-76,-88,-200,-200,-200,-200,-200,-200,-86,-83,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460272013,-28,-50,-39,-34,-40,-55,-55,-50,-48,-49,-51,-51,-56,-59,-70,-60,-69,-200,-65,-200,-71,-70,-200,-79,-200,-74,-65,-74,-200,-59,-55,-72,-68,-200,-78,-80,-80,-200,-84,-76,-72,-200,-80,-200,-82,-200,-200,-48,-70,-71,-78,-81,-200,-67,-82,-85,-85,-200,-76,-74,-69,-74,-88,-200,-200,-200,-200,-84,-200,-85,-83,-90,-74,-84,-200,-200,-200,-200,-200,-200,-200
1526460275055,-27,-50,-40,-33,-46,-56,-55,-65,-55,-50,-51,-47,-56,-54,-69,-60,-70,-200,-67,-200,-73,-200,-200,-78,-200,-74,-65,-74,-200,-55,-59,-71,-68,-200,-78,-200,-81,-200,-85,-76,-74,-82,-80,-91,-200,-200,-200,-46,-72,-200,-71,-200,-200,-200,-82,-85,-85,-200,-200,-200,-68,-76,-200,-200,-200,-200,-200,-84,-200,-85,-200,-200,-74,-84,-200,-200,-200,-200,-200,-200,-200
1526460278109,-29,-51,-41,-31,-47,-51,-52,-55,-48,-54,-52,-50,-56,-54,-69,-60,-70,-200,-67,-83,-71,-68,-76,-80,-200,-200,-67,-200,-76,-59,-60,-68,-68,-200,-79,-200,-81,-200,-79,-77,-74,-89,-80,-91,-84,-200,-200,-47,-72,-70,-71,-80,-200,-200,-82,-200,-200,-200,-200,-200,-83,-76,-89,-200,-200,-87,-200,-84,-85,-200,-85,-200,-200,-200,-78,-79,-89,-200,-200,-200,-200
1526460281188,-27,-47,-38,-34,-41,-56,-52,-54,-48,-54,-52,-49,-61,-60,-69,-52,-70,-200,-200,-83,-71,-70,-76,-80,-87,-200,-66,-200,-76,-59,-72,-87,-200,-200,-78,-200,-81,-78,-79,-77,-74,-89,-80,-200,-86,-85,-200,-57,-200,-70,-80,-81,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-88,-200,-200,-87,-79,-84,-85,-200,-85,-200,-200,-200,-78,-78,-89,-200,-200,-200,-200
1526460284254,-29,-45,-39,-35,-40,-51,-55,-56,-48,-200,-52,-46,-63,-58,-67,-60,-66,-200,-66,-69,-71,-70,-63,-80,-87,-74,-65,-74,-74,-63,-60,-71,-73,-200,-76,-83,-81,-78,-82,-78,-73,-200,-76,-90,-86,-85,-200,-49,-200,-71,-77,-81,-200,-81,-200,-200,-200,-200,-75,-73,-66,-78,-88,-72,-200,-200,-79,-80,-200,-84,-200,-200,-74,-200,-200,-78,-200,-87,-87,-200,-200
1526460287317,-27,-47,-40,-34,-47,-57,-55,-51,-72,-200,-52,-51,-59,-58,-63,-60,-64,-200,-67,-69,-71,-70,-63,-79,-87,-74,-73,-72,-74,-64,-59,-72,-68,-200,-77,-83,-81,-200,-75,-78,-73,-200,-80,-90,-200,-200,-200,-49,-200,-71,-77,-200,-200,-81,-200,-83,-200,-200,-74,-77,-66,-78,-200,-76,-200,-200,-200,-80,-78,-84,-200,-200,-70,-200,-82,-200,-200,-87,-87,-87,-200
1526460290358,-30,-46,-39,-33,-69,-53,-56,-51,-48,-200,-52,-49,-59,-58,-63,-60,-70,-200,-67,-70,-65,-70,-200,-81,-87,-200,-65,-79,-200,-64,-59,-79,-69,-200,-78,-200,-61,-72,-84,-81,-73,-200,-74,-200,-200,-200,-200,-49,-70,-71,-200,-200,-200,-200,-200,-83,-200,-200,-74,-77,-69,-200,-200,-72,-200,-200,-77,-83,-84,-200,-200,-200,-74,-200,-82,-200,-200,-200,-200,-87,-200
1526460293424,-28,-48,-41,-33,-48,-46,-58,-54,-56,-50,-52,-52,-71,-86,-77,-61,-72,-200,-83,-70,-65,-70,-66,-78,-200,-70,-64,-87,-87,-64,-56,-84,-69,-200,-79,-82,-53,-72,-84,-81,-72,-200,-80,-200,-200,-200,-200,-45,-73,-70,-200,-83,-200,-82,-200,-200,-200,-200,-75,-200,-69,-78,-200,-72,-200,-87,-77,-92,-84,-91,-82,-200,-74,-92,-200,-200,-200,-87,-87,-200,-78
