,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whu2011309,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A68,WHU-2018
1526460105353,-45,-41,-48,-36,-46,-84,-48,-41,-63,-61,-64,-59,-200,-62,-71,-66,-200,-200,-63,-59,-81,-62,-75,-200,-80,-79,-80,-65,-77,-84,-76,-85,-200,-200,-200,-78,-200,-90,-81,-200,-200,-200,-77,-200,-200,-45,-200,-200,-70,-74,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-75,-85,-200,-200,-200,-86,-88,-86,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460108409,-46,-44,-53,-35,-43,-59,-47,-40,-64,-78,-64,-51,-67,-84,-85,-69,-70,-200,-71,-70,-80,-62,-75,-200,-80,-77,-79,-68,-76,-84,-74,-86,-84,-200,-76,-200,-200,-90,-81,-200,-200,-200,-83,-200,-200,-48,-62,-81,-200,-87,-92,-71,-200,-200,-200,-200,-200,-79,-92,-200,-200,-77,-200,-200,-78,-200,-200,-79,-200,-200,-200,-86,-90,-90,-91,-91,-200,-200,-200,-200,-200,-200
1526460111477,-36,-45,-72,-38,-45,-45,-47,-42,-59,-78,-65,-59,-66,-64,-85,-58,-72,-200,-69,-58,-80,-59,-72,-200,-81,-72,-80,-67,-76,-200,-72,-86,-84,-66,-76,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-48,-62,-81,-200,-73,-92,-81,-200,-200,-200,-74,-200,-79,-92,-200,-64,-75,-200,-200,-78,-200,-200,-65,-200,-200,-200,-200,-200,-90,-91,-91,-90,-200,-200,-200,-200,-200
1526460114527,-43,-46,-51,-37,-42,-46,-47,-42,-61,-78,-65,-61,-65,-64,-85,-68,-70,-200,-62,-59,-74,-62,-77,-200,-77,-78,-80,-66,-77,-200,-72,-86,-84,-66,-77,-200,-88,-200,-200,-200,-200,-200,-83,-200,-200,-48,-63,-81,-77,-74,-92,-79,-81,-85,-200,-74,-200,-77,-92,-87,-62,-75,-200,-200,-78,-200,-200,-65,-200,-200,-200,-200,-200,-90,-91,-79,-90,-200,-200,-200,-200,-200
1526460117588,-44,-46,-51,-36,-42,-50,-49,-41,-60,-200,-65,-50,-65,-58,-200,-68,-70,-66,-62,-62,-77,-61,-75,-200,-79,-75,-77,-70,-77,-84,-200,-85,-200,-200,-77,-200,-88,-89,-200,-200,-200,-200,-77,-200,-200,-48,-53,-68,-77,-77,-200,-74,-81,-85,-200,-200,-200,-77,-200,-87,-63,-79,-200,-200,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-79,-200,-78,-90,-200,-200,-200
1526460120622,-44,-46,-51,-35,-46,-49,-47,-41,-60,-62,-61,-50,-67,-57,-200,-69,-200,-67,-60,-74,-77,-60,-73,-200,-78,-77,-81,-67,-61,-84,-200,-85,-200,-68,-200,-79,-200,-89,-84,-91,-200,-200,-78,-200,-200,-48,-59,-68,-74,-73,-200,-74,-200,-200,-200,-200,-87,-200,-85,-200,-63,-79,-86,-200,-75,-200,-200,-69,-200,-200,-86,-200,-200,-200,-200,-84,-200,-78,-90,-200,-200,-200
1526460123649,-44,-43,-51,-36,-43,-49,-55,-41,-59,-62,-64,-59,-68,-58,-73,-69,-200,-67,-69,-60,-200,-61,-75,-200,-77,-77,-78,-69,-74,-200,-200,-85,-200,-67,-75,-79,-200,-89,-84,-91,-200,-200,-78,-200,-200,-50,-64,-68,-74,-73,-80,-200,-81,-200,-200,-200,-87,-79,-85,-200,-200,-200,-86,-200,-75,-200,-200,-200,-200,-200,-86,-81,-200,-200,-200,-84,-200,-83,-200,-200,-200,-200
1526460126714,-44,-47,-50,-35,-46,-50,-53,-41,-61,-62,-63,-54,-68,-83,-73,-69,-68,-200,-65,-62,-200,-59,-77,-81,-79,-77,-81,-65,-77,-200,-200,-85,-200,-66,-70,-80,-200,-90,-200,-200,-200,-200,-83,-90,-200,-49,-59,-200,-200,-200,-86,-200,-81,-200,-200,-200,-75,-79,-200,-200,-64,-73,-200,-200,-75,-200,-200,-77,-200,-200,-200,-81,-200,-200,-200,-84,-200,-83,-200,-84,-84,-200
1526460129719,-36,-42,-50,-36,-43,-47,-54,-43,-61,-57,-61,-59,-68,-59,-68,-71,-68,-200,-68,-64,-200,-59,-79,-81,-78,-76,-78,-66,-77,-86,-68,-85,-200,-69,-70,-83,-200,-89,-200,-200,-200,-200,-77,-90,-200,-49,-59,-68,-72,-200,-80,-74,-83,-200,-200,-63,-74,-79,-200,-87,-62,-73,-200,-200,-76,-89,-200,-77,-200,-200,-200,-81,-200,-200,-200,-84,-200,-83,-200,-84,-84,-200
1526460132786,-38,-45,-54,-91,-43,-52,-52,-43,-62,-63,-63,-59,-65,-59,-68,-71,-73,-65,-68,-64,-200,-59,-79,-81,-81,-76,-81,-66,-77,-86,-70,-85,-84,-69,-70,-83,-200,-89,-200,-200,-200,-200,-77,-90,-200,-49,-59,-68,-72,-200,-79,-74,-83,-200,-200,-63,-74,-77,-200,-87,-62,-74,-200,-200,-76,-83,-200,-65,-200,-88,-200,-89,-200,-200,-200,-200,-200,-200,-200,-84,-84,-86
1526460135848,-39,-47,-54,-36,-45,-47,-48,-42,-62,-62,-62,-50,-63,-59,-69,-70,-73,-65,-60,-59,-200,-59,-80,-200,-81,-76,-81,-66,-76,-200,-70,-85,-84,-200,-200,-83,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-60,-200,-200,-200,-79,-77,-200,-200,-200,-200,-74,-77,-84,-200,-200,-80,-85,-200,-200,-83,-200,-65,-200,-88,-200,-89,-200,-200,-82,-200,-200,-200,-200,-200,-200,-86
1526460138898,-40,-44,-53,-37,-44,-46,-47,-43,-62,-62,-63,-50,-63,-59,-69,-71,-200,-200,-68,-60,-200,-60,-79,-200,-81,-77,-81,-66,-77,-200,-74,-86,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-60,-200,-200,-200,-200,-75,-82,-200,-200,-63,-74,-79,-84,-200,-64,-80,-85,-200,-200,-200,-200,-66,-200,-200,-200,-86,-200,-200,-82,-87,-200,-200,-200,-200,-200,-200
