,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D07F10,DLINK_D013A8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro
1526459685805,-73,-34,-42,-32,-44,-31,-35,-41,-53,-52,-64,-47,-49,-64,-200,-54,-58,-67,-54,-62,-45,-49,-64,-62,-69,-72,-69,-63,-70,-76,-59,-200,-62,-72,-67,-64,-200,-55,-72,-79,-71,-82,-200,-200,-68,-80,-79,-70,-200,-200,-200,-200,-200,-54,-66,-82,-82,-88,-76,-73,-82,-55,-200,-200,-72,-73,-75,-200,-84,-200,-91,-200,-200,-200,-200,-67,-200,-200,-200,-65,-87,-64,-87,-200,-200,-200,-200,-200,-200,-200
1526459688816,-39,-34,-39,-32,-47,-30,-36,-42,-53,-52,-64,-48,-49,-64,-68,-54,-58,-63,-55,-63,-45,-45,-74,-63,-69,-200,-69,-58,-72,-76,-59,-72,-69,-72,-78,-64,-200,-52,-200,-73,-84,-83,-200,-78,-200,-80,-200,-70,-200,-200,-200,-200,-90,-53,-71,-82,-82,-88,-87,-200,-82,-54,-69,-73,-72,-73,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-77,-200,-89,-82,-200,-200,-87,-86,-88,-200,-200,-200,-200,-200
1526459691821,-37,-35,-41,-32,-47,-30,-36,-42,-52,-52,-63,-48,-49,-64,-57,-48,-58,-67,-58,-61,-44,-44,-74,-62,-69,-200,-68,-68,-76,-75,-59,-72,-63,-72,-78,-71,-200,-55,-200,-73,-72,-83,-200,-80,-200,-67,-200,-70,-200,-78,-200,-200,-90,-53,-71,-200,-200,-200,-87,-200,-200,-55,-69,-73,-200,-73,-75,-200,-200,-200,-85,-200,-200,-84,-200,-200,-77,-200,-89,-82,-200,-200,-200,-86,-88,-200,-200,-200,-200,-200
1526459694825,-36,-32,-39,-32,-46,-30,-40,-46,-53,-52,-63,-48,-48,-64,-57,-70,-57,-67,-55,-62,-44,-45,-63,-62,-70,-69,-68,-64,-77,-75,-60,-72,-69,-72,-78,-71,-200,-57,-200,-73,-72,-83,-200,-80,-200,-81,-200,-70,-200,-78,-200,-200,-90,-53,-71,-200,-200,-200,-74,-77,-200,-55,-69,-73,-200,-73,-75,-200,-81,-200,-85,-200,-200,-82,-200,-200,-77,-200,-89,-82,-200,-200,-200,-86,-88,-200,-200,-200,-200,-200
1526459697882,-38,-35,-41,-32,-47,-31,-44,-40,-53,-52,-63,-47,-49,-65,-58,-50,-56,-64,-55,-62,-45,-46,-63,-60,-69,-69,-69,-69,-77,-75,-61,-66,-69,-63,-76,-71,-200,-58,-74,-200,-73,-200,-200,-80,-200,-80,-200,-70,-200,-78,-200,-200,-90,-53,-71,-200,-200,-200,-74,-77,-200,-55,-200,-200,-200,-70,-75,-200,-81,-200,-85,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459700890,-39,-33,-42,-31,-73,-31,-45,-40,-52,-53,-62,-47,-49,-64,-58,-54,-60,-63,-55,-61,-35,-72,-64,-63,-69,-69,-69,-64,-76,-75,-60,-80,-37,-72,-68,-200,-200,-63,-74,-73,-89,-200,-200,-200,-71,-80,-80,-70,-200,-200,-200,-200,-90,-53,-74,-200,-200,-88,-74,-77,-82,-56,-200,-200,-200,-70,-80,-200,-81,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-84,-91,-200,-200,-200
1526459703936,-39,-35,-43,-32,-47,-31,-35,-200,-50,-52,-61,-43,-49,-64,-59,-55,-57,-67,-55,-61,-35,-44,-64,-63,-69,-200,-69,-64,-77,-200,-61,-80,-69,-72,-68,-70,-200,-54,-200,-73,-89,-82,-84,-200,-71,-80,-80,-72,-200,-77,-200,-200,-200,-200,-74,-200,-200,-88,-74,-200,-82,-57,-72,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-84,-91,-200,-200,-200
1526459706985,-39,-35,-41,-32,-47,-29,-35,-42,-52,-53,-63,-45,-49,-65,-58,-55,-56,-57,-55,-62,-45,-42,-64,-62,-69,-200,-200,-69,-76,-200,-62,-200,-63,-72,-67,-78,-200,-52,-75,-200,-70,-85,-84,-200,-200,-80,-200,-70,-200,-73,-200,-200,-200,-200,-200,-200,-200,-88,-75,-200,-200,-59,-72,-200,-75,-200,-74,-200,-200,-83,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459710032,-37,-34,-40,-31,-47,-31,-36,-44,-52,-52,-63,-45,-50,-65,-57,-53,-57,-61,-56,-62,-41,-45,-64,-63,-69,-71,-71,-63,-77,-200,-62,-72,-64,-72,-67,-78,-200,-64,-75,-200,-70,-85,-82,-200,-200,-53,-200,-70,-86,-77,-89,-200,-90,-200,-200,-200,-200,-88,-75,-200,-200,-57,-72,-200,-74,-200,-77,-200,-200,-83,-85,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459713049,-39,-33,-42,-32,-47,-30,-35,-41,-52,-52,-62,-47,-49,-65,-57,-55,-58,-69,-56,-62,-45,-45,-63,-63,-69,-65,-70,-63,-77,-200,-58,-72,-69,-63,-200,-200,-200,-74,-73,-73,-70,-83,-82,-200,-200,-80,-200,-200,-86,-77,-89,-200,-90,-200,-70,-200,-200,-200,-200,-200,-200,-57,-67,-200,-74,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200
1526459716058,-40,-32,-42,-32,-47,-30,-35,-44,-51,-52,-63,-53,-49,-64,-57,-56,-47,-69,-55,-60,-43,-50,-63,-63,-69,-65,-70,-63,-77,-75,-63,-65,-69,-63,-200,-200,-200,-54,-73,-73,-74,-80,-82,-200,-200,-64,-200,-73,-86,-77,-89,-200,-89,-200,-70,-200,-74,-200,-200,-200,-83,-62,-67,-200,-74,-200,-77,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-84,-82,-200
1526459719098,-38,-33,-41,-32,-84,-31,-44,-44,-51,-53,-63,-49,-48,-65,-57,-55,-56,-200,-56,-74,-45,-44,-62,-62,-69,-71,-200,-64,-77,-75,-58,-66,-68,-70,-200,-200,-200,-55,-200,-200,-74,-82,-73,-78,-200,-79,-200,-73,-200,-200,-200,-200,-89,-200,-70,-200,-74,-200,-200,-200,-83,-57,-77,-75,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-65,-200,-200,-200,-200,-200,-200,-82,-89
