,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,whu2011309,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EB8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526459759097,-48,-53,-38,-38,-84,-69,-51,-58,-67,-55,-52,-61,-68,-48,-66,-66,-58,-58,-64,-79,-55,-67,-80,-78,-56,-86,-200,-60,-73,-72,-79,-63,-63,-74,-67,-200,-71,-66,-81,-51,-61,-72,-200,-78,-83,-200,-200,-78,-66,-200,-200,-83,-79,-200,-200,-200,-80,-85,-200,-74,-85,-200,-78,-85,-200,-79,-200,-66,-200,-200,-200,-200,-200,-200,-200,-200,-80,-81,-200,-90,-90,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459762169,-48,-57,-31,-39,-47,-69,-51,-62,-60,-55,-53,-60,-62,-48,-63,-66,-54,-63,-56,-79,-51,-65,-80,-77,-56,-86,-200,-62,-73,-72,-79,-65,-66,-71,-67,-200,-71,-64,-81,-88,-72,-72,-74,-78,-83,-200,-200,-82,-68,-200,-200,-82,-79,-200,-200,-200,-80,-85,-200,-74,-85,-200,-78,-85,-200,-79,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-80,-81,-200,-90,-90,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459765216,-46,-61,-31,-38,-51,-70,-52,-81,-59,-55,-52,-55,-63,-49,-57,-66,-57,-68,-55,-200,-55,-70,-80,-77,-60,-86,-200,-62,-200,-71,-78,-63,-66,-74,-67,-200,-71,-64,-200,-50,-73,-70,-73,-200,-200,-200,-200,-82,-68,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-64,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-82,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459768259,-44,-72,-51,-37,-47,-66,-66,-74,-60,-54,-51,-61,-66,-66,-62,-67,-53,-73,-55,-90,-54,-65,-79,-77,-57,-86,-200,-200,-200,-87,-77,-63,-200,-74,-67,-200,-85,-65,-200,-49,-73,-73,-72,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-76,-80,-200,-200,-200,-64,-73,-200,-200,-200,-200,-89,-200,-90,-200,-200,-200,-90,-200,-200,-82,-90,-83,-85,-87,-89,-200,-200,-200,-200,-200
1526459771344,-47,-72,-38,-39,-51,-70,-66,-61,-61,-55,-53,-61,-67,-47,-65,-64,-52,-57,-55,-90,-60,-65,-80,-78,-60,-86,-200,-64,-200,-68,-78,-63,-63,-73,-67,-200,-70,-65,-82,-49,-200,-71,-72,-200,-200,-200,-81,-200,-66,-200,-200,-200,-74,-76,-82,-200,-200,-84,-200,-73,-90,-200,-77,-200,-200,-200,-200,-67,-72,-200,-200,-200,-200,-200,-200,-90,-90,-80,-200,-90,-200,-200,-200,-200,-83,-85,-87,-89,-200,-200,-200,-200,-200
1526459774349,-50,-200,-38,-39,-51,-70,-200,-61,-59,-54,-53,-63,-67,-46,-63,-64,-58,-58,-55,-200,-58,-68,-80,-77,-63,-85,-200,-72,-200,-73,-67,-64,-67,-74,-66,-73,-70,-200,-82,-48,-62,-71,-73,-200,-200,-200,-200,-80,-66,-200,-200,-84,-74,-74,-82,-200,-200,-84,-200,-74,-200,-200,-77,-200,-200,-200,-200,-64,-72,-200,-200,-200,-200,-88,-200,-200,-90,-80,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459777406,-49,-62,-37,-35,-48,-69,-200,-61,-59,-55,-53,-61,-67,-48,-63,-67,-58,-56,-51,-200,-55,-68,-80,-77,-57,-85,-200,-69,-200,-72,-79,-64,-67,-75,-67,-73,-70,-200,-83,-50,-62,-71,-73,-200,-72,-200,-200,-80,-66,-200,-200,-84,-200,-74,-82,-200,-200,-84,-200,-74,-200,-200,-200,-200,-200,-200,-200,-64,-72,-200,-200,-200,-85,-88,-200,-200,-90,-80,-200,-200,-200,-200,-200,-86,-200,-75,-200,-200,-86,-88,-200,-200,-200
1526459780422,-50,-62,-31,-38,-46,-69,-200,-59,-59,-55,-53,-55,-62,-47,-200,-67,-58,-60,-54,-200,-87,-70,-66,-76,-57,-200,-200,-69,-200,-72,-79,-64,-66,-75,-66,-200,-76,-200,-83,-50,-63,-200,-70,-200,-72,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-66,-200,-200,-200,-200,-85,-200,-200,-200,-200,-80,-200,-200,-91,-200,-200,-200,-200,-75,-200,-200,-86,-88,-200,-200,-200
1526459783485,-56,-62,-31,-37,-49,-69,-200,-64,-62,-55,-54,-63,-62,-48,-63,-68,-57,-60,-54,-69,-55,-67,-76,-73,-56,-86,-200,-49,-74,-72,-76,-64,-64,-86,-65,-200,-79,-64,-83,-50,-63,-75,-65,-80,-78,-200,-84,-200,-69,-200,-90,-84,-73,-78,-80,-200,-200,-86,-200,-81,-200,-200,-79,-87,-200,-200,-200,-70,-200,-200,-85,-83,-85,-200,-200,-200,-200,-80,-200,-200,-91,-91,-200,-200,-200,-75,-200,-200,-86,-89,-83,-88,-89
1526459786537,-54,-67,-39,-37,-49,-200,-51,-64,-60,-54,-50,-61,-61,-48,-63,-67,-54,-61,-54,-69,-62,-67,-80,-77,-62,-87,-200,-49,-74,-200,-77,-64,-64,-73,-66,-200,-79,-63,-200,-48,-200,-75,-65,-78,-81,-86,-84,-79,-69,-83,-90,-86,-73,-78,-80,-200,-200,-86,-200,-81,-200,-200,-79,-87,-200,-200,-200,-66,-200,-200,-85,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-89,-80,-88,-89
1526459789597,-47,-61,-36,-38,-52,-200,-53,-64,-59,-55,-70,-60,-62,-48,-65,-67,-53,-57,-55,-69,-66,-69,-78,-77,-62,-87,-200,-64,-74,-71,-79,-64,-65,-73,-66,-200,-79,-63,-200,-49,-64,-75,-65,-78,-81,-86,-84,-79,-69,-83,-90,-86,-73,-78,-80,-200,-80,-86,-200,-81,-200,-200,-74,-87,-200,-200,-88,-67,-200,-200,-85,-83,-200,-88,-74,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-89,-80,-88,-89
1526459792646,-48,-61,-29,-38,-48,-200,-53,-200,-60,-55,-55,-55,-62,-48,-65,-67,-55,-59,-54,-200,-57,-59,-66,-66,-62,-87,-200,-64,-200,-71,-66,-64,-65,-74,-66,-200,-73,-70,-200,-49,-70,-66,-200,-78,-83,-86,-200,-79,-69,-77,-200,-86,-200,-200,-200,-200,-80,-78,-200,-73,-200,-200,-78,-200,-200,-200,-88,-67,-200,-200,-200,-200,-200,-88,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200
