TimeStamp,cc:d5:39:a0:cd:b0,cc:d5:39:a0:cd:b1,24:01:c7:08:b3:f5,cc:d5:39:e9:5c:a5,cc:d5:39:e9:5c:a1,24:01:c7:08:b3:f1,24:01:c7:33:7f:aa,cc:d5:39:e9:5c:ab,cc:d5:39:e9:5c:ac,cc:d5:39:e9:5c:af,cc:d5:39:e9:5c:aa,cc:d5:39:e9:5c:ae,24:01:c7:33:7f:ae,cc:d5:39:a0:cd:ba,cc:d5:39:a0:cd:bc,24:01:c7:6c:fc:51,24:01:c7:6c:fc:55,24:01:c7:08:b3:fa,cc:d5:39:e9:5c:ad,cc:d5:39:a0:cd:bd,24:01:c7:08:b3:fd,cc:d5:39:a0:cd:b5,24:01:c7:08:b3:f4,24:01:c7:33:7f:ab,24:01:c7:08:b3:fc,cc:d5:39:e9:5c:a2,24:01:c7:08:b3:f2,24:01:c7:33:7f:ad,24:01:c7:6c:fc:52,cc:d5:39:a0:cd:b4,24:01:c7:33:7f:ac,cc:d5:39:a0:cd:bf,24:01:c7:08:b3:fb,cc:d5:39:a0:cd:b2,24:01:c7:6c:fc:5d,24:01:c7:6c:fc:5a,24:01:c7:6c:fc:5c,24:01:c7:6c:fc:5f,24:01:c7:33:7f:a1,24:01:c7:08:b3:f0,cc:d5:39:e9:5c:a0,cc:d5:39:e9:5c:a4,24:01:c7:33:7f:af,cc:d5:39:a0:cd:be,24:01:c7:6c:fc:50,24:01:c7:6c:fc:54,24:01:c7:6c:fc:5e,24:01:c7:08:b3:fe,34:a8:4e:c6:22:05,24:01:c7:33:7f:a2,24:01:c7:6c:fc:5b,cc:d5:39:a0:cd:bb,24:01:c7:08:b3:ff,24:01:c7:33:7f:a4,24:01:c7:33:7f:a0,24:01:c7:33:7f:a5,24:01:c7:77:3e:aa,24:01:c7:77:3e:ac,88:75:56:44:c6:e4,88:75:56:44:c6:e0,88:75:56:44:c6:e5,24:01:c7:77:3e:ab,24:01:c7:77:3e:ae,58:97:1e:f7:73:b0,cc:d5:39:e5:b3:80,58:97:1e:f7:73:b1,e0:d1:73:ff:ee:5a,cc:d5:39:e5:b3:8f,e0:d1:73:ff:ee:5e,e0:d1:73:ff:ee:5b,cc:d5:39:e5:b3:8a,cc:d5:39:e5:b3:8b,e0:d1:73:ff:ee:5c,88:75:56:44:c6:e2,cc:d5:39:e5:b3:82,24:01:c7:77:3e:ad,cc:d5:39:e5:b3:8d,e0:d1:73:ff:ee:5d,cc:d5:39:e5:b3:84,e0:d1:73:ff:ee:50,58:97:1e:f7:73:b5,e0:d1:73:ff:ee:55,e0:d1:73:ff:ee:54,24:01:c7:77:3e:a1,cc:d5:39:e5:b3:8c,e0:d1:73:ff:ee:52,24:01:c7:77:3e:a2,cc:d5:39:e5:b3:81,cc:d5:39:e5:b3:85,88:75:56:44:c6:e1,cc:d5:39:e5:b3:8e,58:97:1e:f7:73:b4,e0:d1:73:ff:ee:5f,58:97:1e:f7:73:b2,e0:d1:73:ff:ee:51,24:01:c7:ca:81:01,24:01:c7:77:3e:af,24:01:c7:ca:81:05,cc:d5:39:25:b4:3c,88:75:56:44:c6:ee,88:75:56:44:c6:ea,58:97:1e:f7:73:bc,58:97:1e:f7:73:bf,58:97:1e:f7:73:bb,24:01:c7:ca:81:02,24:01:c7:ca:81:00,24:01:c7:ca:81:04,88:75:56:44:c6:ef,cc:d5:39:25:b4:3e,cc:d5:39:25:b4:3b,88:75:56:44:c6:ed,cc:d5:39:25:b4:3d,58:97:1e:f7:73:bd,88:75:56:44:c6:ec,58:97:1e:f7:73:ba,58:97:1e:f7:73:be,cc:d5:39:25:b4:3a,88:75:56:44:c6:eb,cc:d5:39:25:b4:3f,24:01:c7:ca:81:0c,24:01:c7:ca:81:0e,cc:d5:39:25:b4:35,cc:d5:39:25:b4:31,24:01:c7:ca:81:0f,24:01:c7:ca:81:0a,cc:d5:39:25:b4:30,24:01:c7:ca:81:0b,24:01:c7:ca:81:0d,34:a8:4e:a2:a3:9a,34:a8:4e:a2:a3:9e,34:a8:4e:a2:a3:96,34:a8:4e:a2:a3:99,34:a8:4e:a2:a3:9d,34:a8:4e:a2:a3:9c,34:a8:4e:a2:a3:9b,34:a8:4e:a2:a3:9f,34:a8:4e:a2:a3:91,34:a8:4e:a2:a3:95,34:a8:4e:b0:4f:cf,34:a8:4e:e9:e0:f5,34:a8:4e:b0:4f:ca,34:a8:4e:a2:a3:93,34:a8:4e:e9:e0:f1,34:a8:4e:e9:e0:f6,34:a8:4e:e9:e0:f0,34:a8:4e:e9:e0:fe,34:a8:4e:e9:e0:ff,34:a8:4e:e9:e0:f9,34:a8:4e:e9:e0:fb,34:a8:4e:a2:a3:92,34:a8:4e:e9:e0:f2,34:a8:4e:e9:e0:f3,34:a8:4e:e9:e0:fc
1453855950020,-66,-66,-79,-67,-63,-80,-53,-72,-79,-78,-80,-84,-50,-86,-85,,,-88,-78,-87,-90,-66,-81,-54,-88,-62,-78,-50,-84,-65,-54,-87,-88,-65,-91,,-90,,-51,-77,,-65,-51,-85,,,,,,-51,,-87,-88,-50,-50,,-89,,-71,-71,-71,-88,-88,-65,-57,-65,-86,-75,-82,-82,-75,-77,-81,-76,-55,-89,-75,-82,-56,-74,-75,-75,,,-78,-74,,-57,-54,-72,-75,-65,-81,-65,-73,-82,-89,-82,-92,-91,-91,-91,-90,-91,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855953320,-74,-72,-78,-65,-68,-76,-43,-78,-79,-80,-80,-83,-41,-87,-89,,,-88,-80,-85,-90,-66,-81,-45,-88,-62,-78,-41,,-74,-45,-87,-90,-75,,,-90,,-50,-75,-70,-65,-41,-83,,,,-91,,-53,,-86,-88,-50,-50,-47,,,-74,-75,-74,,,-67,-57,-67,-86,-79,-79,-77,-81,-81,-79,-72,-65,,-79,-78,-63,-69,-66,-69,-69,,-81,-74,,-68,-54,-72,-75,-65,-79,-67,-73,-80,,-81,-92,-87,-88,-94,-90,-91,-83,-82,-82,-87,-92,-92,-87,-91,-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855956619,-70,-72,-78,-65,-71,-82,-35,-81,-80,-80,-78,-80,-39,-87,-89,,,-88,-81,-87,-90,-72,-84,-38,-92,-67,-84,-38,,-68,-37,-87,-90,-68,-91,-89,,-91,-38,-83,-73,-70,-38,-83,,,,-92,,-39,-92,-86,-93,-38,-41,-38,,,-74,-75,-70,,,-67,-68,-67,-73,-79,-72,-76,-81,-81,-72,-72,-67,,-87,-72,-67,-69,-66,-66,-66,,-81,-66,,-68,-67,-71,-75,-65,-72,-65,-66,-82,,-81,-91,-87,-84,-87,-90,-91,-84,-82,-83,-83,-92,-91,-83,-90,-87,-83,-84,-85,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855959915,-70,-70,-86,-72,-71,-87,-50,-75,-75,-78,-78,-75,-39,-87,-89,,,,-78,-83,,-70,-84,-52,-92,-67,-84,-51,,-72,-52,-84,-90,-69,-91,-89,,-91,-42,-83,-72,-70,-51,-85,,,,-92,,-39,-92,-85,-93,-38,-39,-41,-88,,-62,-63,-64,-89,-87,-69,-68,-68,-61,-87,-65,-76,-81,-81,-62,-64,-73,-87,-87,-66,-67,-58,-67,-59,-57,,-81,-57,,-71,-72,-62,-88,-68,-66,-65,-66,-82,-90,-83,-82,-87,-72,-87,-84,-82,-84,-85,-83,-72,-82,-91,-72,-82,-85,-72,-83,-85,-82,-72,-83,-89,-89,-86,-86,-91,-91,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453855963258,-76,-70,-86,-74,-71,-87,-50,-75,-75,-87,-78,-75,-39,,-88,,,,-87,-83,,-76,-85,-52,-92,-76,-87,-51,,-75,-52,-90,,-78,-91,-89,,-91,-50,-85,-72,-74,-51,-91,,,,-92,,-54,-92,-90,-93,-55,-54,-41,-88,,-62,-74,-74,-89,-87,-58,-83,-56,-79,-90,-80,-77,,,-76,-64,-82,-87,-87,-77,-67,-58,-67,-65,-57,,-92,-63,,-78,-72,-75,-88,-57,-77,-57,-63,-82,-90,-81,-82,-88,-86,-76,-75,-82,-79,-79,-78,-87,-82,-91,-84,-82,-75,-72,-77,-73,-82,-72,-83,-89,-87,-86,-86,-86,-87,-87,-88,-87,,,,,,,,,,,,,,,,,,,,,,,,,
1453855966604,-76,-70,-86,-76,-71,-87,-62,-80,-83,-79,,-81,,-91,-92,,,,-79,-89,,-83,-85,-60,,-75,-87,-58,,-77,-59,-90,,-80,,,,,-59,-85,-72,-74,-59,-89,,,,,,-59,,-90,,-59,-59,-41,-88,,-62,-82,-83,-89,-87,-58,-82,-55,-83,-90,-84,-83,,,-76,-64,-82,-87,,-83,-82,-58,-67,-77,-57,,-92,-77,,-78,-83,-81,-88,-51,-84,-53,-76,,-90,-80,-82,-88,-86,-67,-67,-82,-79,-79,-79,-87,-82,,-84,-82,-67,-72,-65,-70,-82,-72,-83,-89,-87,-86,-86,-93,-87,-87,-88,-87,,,,,,,,,,,,,,,,,,,,,,,,,
1453855969964,-76,,-86,-79,-71,-85,-62,-80,-83,-83,-87,-85,-63,-91,-92,,,,-83,-88,,-83,-88,-64,,-76,-87,-63,,-78,-59,-90,,-78,,,,,-65,-87,-73,-76,-64,-90,,,,,,-59,,-90,,-59,-61,-63,,,-87,-85,-85,,,-54,-82,-50,-83,-90,-88,-87,,,-90,-88,-83,,,-87,-80,,-51,-80,-82,,-92,-80,,-78,-84,-82,,-51,-84,-53,-76,,,-72,,-88,-86,-65,-66,-68,-72,-72,-72,-87,,,-84,,-65,,-65,-70,,,,-84,-89,,,-93,-84,,-88,-84,-89,-90,-86,-91,-90,-90,,,,,,,,,,,,,,,,,,,
1453855973355,-76,-75,-86,-72,-74,-87,-66,-89,-87,-86,-88,-85,-68,-91,-92,,,,-86,-88,,-83,-88,-64,,-76,-88,-67,,-77,-68,-90,,-79,,,,,-63,-87,-74,-76,-67,-90,,,,,,-67,,-90,,-59,-61,-64,,,-85,-85,-85,,,-54,-84,-52,-83,,-88,-91,,,-90,-86,-84,,,-87,-80,,-56,-82,-82,,,-80,,,-84,-82,,-51,-92,-54,-83,-73,,-72,,,,-77,-73,-76,-73,-73,-72,,,,,,-73,,-75,-73,,,,-85,-85,,,-93,-84,,-83,-83,-85,-90,-86,-84,-86,-85,-87,-88,,,,,,,,,,,,,,,,,
1453855976686,-77,-75,-86,-76,-73,-87,-65,-87,-88,-88,-86,-85,-66,,-88,,,,-88,-88,,-76,-83,-64,,-74,-83,-63,,-77,-64,-90,,-79,,,,,-63,-83,-73,-76,-63,-90,,,,,,-72,,-90,,-71,-68,-67,,,-89,-87,-85,,,-56,-84,-52,-90,,-88,-90,,,-89,-89,-84,,,-91,-80,,-58,-82,-84,,,-82,,,-83,-82,,-55,-89,-55,-82,-70,,-68,,,,-81,-85,-82,-68,-68,-69,,,,,,-84,,-75,-83,,,,-81,-85,,,-76,-77,,-80,-77,-78,-76,-86,-72,-76,-75,-74,-76,-85,-85,-90,-87,-92,-85,,,,,,,,,,,
1453855980130,-81,-75,,-76,-77,-87,-73,-87,-89,-86,-85,-87,-71,,-88,,,,-88,,,-82,-83,-73,,-74,-83,-71,,-79,-74,-90,,-80,,,,,-72,-83,-76,-77,-71,,,,,,,-70,,-93,,-68,-68,-70,,,-89,-87,,,,-61,-84,-65,-90,,-88,-90,,,-89,-89,-84,,,-91,,,-58,-84,-84,,,-85,,,-83,-88,,-63,-89,-64,-85,-70,,-68,,,,-86,-84,-82,-69,-68,-70,,,,,,-85,,-83,-84,,,,-81,-76,,,-73,-73,,-73,-73,-88,-87,,-72,-76,-86,-86,-87,-85,-77,-90,-87,-92,-74,,,,,,,,,,,
1453855983529,-81,-80,,-71,-77,,-70,-92,-93,-90,-85,-87,-71,,-88,,,,-91,,,-78,-83,-68,,-73,-89,-67,,-79,-71,-90,,-79,,,,,-72,-86,-74,-75,-67,-90,,,,,,-70,,-93,,-71,-74,-72,,,-89,-87,,,,-64,-84,-65,-90,,-88,-90,,,-94,-89,,,,-91,,,-58,-84,-84,,,-84,,,-83,-90,,-67,-89,-70,-85,-70,,-65,,,,-86,-91,-89,-64,-68,-64,,,,,,-90,,-83,-89,,,,-69,-74,,,-67,-67,,-71,-67,-88,-78,-86,-81,-81,-86,-81,-83,-85,-86,-90,-88,-92,-74,,,,,,,,,,,
1453855986910,-89,-88,,-83,-84,,-75,-92,-93,-90,-85,-87,-74,,,,,,-91,,,-78,,-74,,-87,-89,-74,,-79,-73,-90,,-87,,,,,-70,-86,-74,-75,-74,-90,,,,,,-70,,-93,,-69,-68,-72,,,,-87,,,,-64,,-76,,,,,,,-94,,,,,,,,-72,-84,,,,-84,,,,-90,,-71,,-72,-85,-70,,-56,,,,-86,-91,-89,-56,,-64,,,,,,-90,,-91,-89,,,,-69,-72,,,-70,-67,,-70,-71,-83,-84,-78,-85,-81,-86,-81,-85,-77,-77,,-88,,-76,-80,-81,-85,-90,-90,-92,-93,-77,-81,-81,-90
1453855990321,-89,-88,,-83,-84,,-75,-92,-93,-90,,,-85,,,,,,-91,,,-78,,-87,,-87,-89,-85,,,-73,,,-87,,,,,-70,-86,-74,-75,-86,-90,,,,,,-70,,,,-69,-82,-83,,,,-87,,,,-84,,-82,,,,,,,-94,,,,,,,,-81,,,,,-84,,,,-90,,-86,,-72,-85,,,-63,,,,,-91,-89,-62,-68,-64,,,,,,-90,,-91,-89,,,,-72,-69,,,-73,-73,,-70,-72,-84,-86,-81,-86,-87,-84,-87,-85,-80,-82,,-84,,-80,-85,-87,-82,-90,-90,-92,-93,-82,-81,-86,-90
1453855993730,-89,-88,,-83,-84,,-84,,,,,,-85,,,,,,,,,,,-86,,-87,,-87,,,-85,,,-87,,,,,-70,,,,-85,,,,,,,-70,,,,-69,-82,-83,,,,,,,,-84,,-83,,,,,,,,,,,,,,,-83,,,,,,,,,,,-84,,-82,,-66,,-67,,,,,,,-68,-68,-64,,,,,,,,-91,,,,,-72,-76,,,-76,-73,,-79,-76,-88,-92,-80,-89,-91,-84,-90,-85,-79,-79,,-84,,-80,-85,-87,-88,-90,-90,-92,-93,-82,-89,-86,-90
1453855997174,,,,,,,-84,,,,,,-85,,,,,,,,,,,-86,,,,-87,,,-85,,,,,,,,,,,,-85,,,,,,,,,,,,-82,-83,,,,,,,,-84,,-85,,,,,,,,,,,,,,,-84,,,,,,,,,,,-84,,-84,,-65,,-66,,,,,,,-65,-68,-64,,,,,,,,,,,,,-72,-76,,,-76,-73,,-81,-76,-88,-92,-80,-89,-91,-84,-90,,-87,-87,,-84,,-80,-85,-87,-88,,,,,-82,-89,-86,
1453856000580,,,,,,,-84,,,,,,,,,,,,,,,,,-86,,,,-87,,,-85,,,,,,,,,,,,-85,,,,,,,,,,,,,,,,,,,,,,,-85,,,,,,,,,,,,,,,-84,,,,,,,,,,,-84,,-84,,-79,,-81,,,,,,,-65,-81,-83,,,,,,,,,,,,,,-76,,,-76,,,-81,-76,-88,-92,-80,-89,-91,,-90,,-87,-87,,,,,,,-88,,,,,,-89,,
1453856003984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-85,,,,,,,,,,,,,,,-84,,,,,,,,,,,-84,,-84,,-81,,-84,,,,,,,-65,-84,-84,,,,,,,,,,,,,,-76,,,-76,,,-81,-76,,,,,,,,,-87,-87,,,,,,,,,,,,,,,
1453856007370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-81,,-84,,,,,,,,-84,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453856010783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-84,,-86,,,,,,,,-84,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453856014214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-84,,-85,,,,,,,,-89,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1453856017605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-84,,-85,,,,,,,,-89,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
