,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,DLINK_D02A98,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DQKJ,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A10,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,DLINK_D00ED0,WHU-2018
1526450378788,-30,-36,-39,-47,-45,-55,-53,-54,-57,-60,-59,-67,-69,-64,-68,-67,-72,-70,-65,-61,-82,-67,-66,-75,-78,-69,-69,-77,-73,-69,-85,-70,-72,-77,-72,-76,-78,-79,-68,-72,-77,-80,-200,-80,-73,-200,-81,-80,-76,-69,-79,-72,-78,-84,-69,-200,-74,-87,-86,-89,-83,-200,-81,-89,-88,-81,-90,-86,-200,-200,-79,-84,-91,-88,-200,-91,-92,-200,-200,-76,-84,-84,-87,-86,-200,-90,-77,-74,-200,-89,-200,-85,-200,-200,-89,-200,-95,-83,-200
1526450381830,-29,-35,-40,-47,-46,-65,-53,-54,-55,-60,-63,-68,-69,-64,-64,-67,-74,-70,-65,-60,-82,-65,-69,-75,-78,-69,-66,-78,-73,-68,-74,-66,-68,-77,-70,-78,-78,-78,-68,-72,-78,-77,-200,-79,-73,-200,-81,-80,-76,-69,-79,-72,-79,-84,-84,-200,-76,-88,-87,-89,-83,-200,-81,-89,-88,-79,-90,-86,-200,-200,-79,-86,-91,-88,-200,-91,-91,-200,-200,-76,-84,-85,-79,-86,-200,-90,-77,-72,-85,-200,-200,-85,-200,-200,-89,-200,-200,-83,-200
1526450384869,-30,-39,-40,-48,-45,-62,-53,-52,-54,-61,-59,-68,-69,-65,-69,-67,-74,-70,-72,-70,-200,-66,-69,-74,-78,-69,-69,-80,-72,-68,-74,-67,-71,-77,-72,-74,-200,-79,-70,-72,-78,-82,-200,-80,-73,-200,-81,-79,-78,-69,-79,-72,-78,-200,-84,-200,-73,-88,-86,-200,-83,-200,-81,-200,-87,-79,-90,-86,-200,-200,-78,-86,-200,-88,-200,-89,-91,-200,-200,-200,-84,-85,-87,-86,-200,-90,-69,-74,-85,-77,-200,-85,-200,-200,-200,-200,-200,-83,-200
1526450387903,-30,-37,-40,-47,-45,-56,-53,-61,-55,-57,-61,-68,-69,-64,-60,-68,-74,-71,-69,-59,-200,-65,-69,-77,-200,-69,-69,-80,-73,-66,-74,-67,-70,-77,-72,-74,-75,-79,-69,-77,-78,-81,-200,-80,-78,-200,-81,-88,-71,-68,-77,-200,-78,-200,-86,-200,-76,-87,-86,-89,-83,-200,-81,-200,-88,-79,-200,-86,-200,-200,-86,-88,-200,-200,-200,-89,-89,-200,-74,-76,-84,-86,-79,-87,-200,-90,-77,-69,-85,-88,-200,-85,-200,-200,-90,-200,-200,-83,-200
1526450390946,-30,-36,-39,-47,-46,-58,-53,-54,-55,-59,-63,-66,-69,-64,-69,-70,-73,-71,-76,-61,-78,-68,-68,-77,-200,-70,-70,-80,-75,-69,-74,-68,-69,-77,-72,-79,-75,-78,-68,-78,-77,-80,-200,-79,-78,-200,-81,-88,-71,-61,-79,-200,-81,-81,-86,-200,-76,-87,-87,-89,-200,-200,-200,-200,-88,-80,-84,-89,-200,-200,-86,-84,-200,-200,-200,-89,-90,-93,-74,-76,-200,-84,-80,-86,-200,-200,-67,-69,-86,-88,-200,-200,-200,-200,-90,-200,-90,-200,-200
1526450393991,-30,-34,-39,-48,-44,-56,-53,-53,-56,-59,-60,-66,-69,-65,-65,-68,-73,-70,-70,-61,-78,-68,-67,-78,-200,-70,-69,-79,-74,-70,-80,-66,-70,-77,-69,-75,-70,-78,-70,-77,-77,-77,-200,-79,-78,-200,-81,-81,-78,-61,-79,-200,-81,-81,-86,-200,-76,-87,-85,-89,-200,-200,-84,-200,-88,-79,-84,-85,-200,-200,-86,-84,-200,-81,-200,-89,-90,-93,-74,-76,-200,-85,-81,-85,-200,-200,-67,-71,-87,-88,-200,-200,-200,-200,-90,-200,-90,-200,-85
1526450397024,-30,-35,-38,-48,-46,-55,-53,-54,-55,-59,-62,-67,-69,-65,-51,-68,-73,-69,-68,-72,-78,-69,-67,-77,-71,-69,-68,-79,-73,-65,-80,-69,-72,-77,-69,-75,-70,-78,-68,-73,-79,-78,-86,-80,-71,-200,-82,-86,-79,-69,-79,-71,-81,-81,-81,-200,-77,-88,-85,-89,-200,-200,-84,-200,-87,-70,-84,-86,-200,-200,-85,-86,-200,-81,-200,-200,-91,-93,-74,-75,-200,-86,-82,-87,-200,-200,-77,-70,-87,-88,-200,-82,-200,-200,-90,-200,-90,-200,-85
1526450400054,-23,-44,-40,-48,-46,-58,-53,-54,-54,-59,-61,-68,-69,-65,-67,-69,-73,-69,-71,-72,-78,-68,-69,-78,-71,-70,-69,-78,-74,-68,-80,-67,-71,-78,-73,-75,-70,-78,-68,-83,-77,-77,-86,-79,-78,-81,-81,-81,-78,-70,-79,-71,-81,-78,-85,-200,-75,-88,-85,-200,-200,-200,-85,-200,-87,-79,-84,-86,-200,-200,-80,-86,-200,-81,-200,-89,-92,-93,-200,-75,-200,-86,-82,-87,-200,-200,-77,-70,-89,-88,-200,-82,-200,-200,-200,-200,-90,-200,-85
1526450403100,-30,-36,-41,-42,-40,-57,-53,-53,-56,-59,-62,-64,-69,-65,-67,-68,-72,-70,-70,-69,-200,-66,-71,-77,-71,-70,-69,-75,-74,-68,-80,-68,-71,-77,-73,-75,-70,-79,-71,-74,-78,-80,-86,-80,-78,-81,-81,-78,-78,-69,-200,-71,-200,-78,-86,-200,-79,-88,-86,-200,-86,-200,-85,-200,-87,-80,-91,-88,-200,-200,-86,-85,-200,-81,-200,-89,-92,-200,-200,-75,-200,-86,-79,-86,-200,-200,-77,-73,-89,-89,-200,-86,-200,-200,-200,-200,-89,-200,-85
1526450406140,-30,-39,-41,-47,-45,-57,-53,-53,-61,-59,-61,-68,-69,-64,-67,-68,-74,-70,-72,-60,-200,-66,-66,-77,-72,-70,-69,-78,-73,-71,-200,-68,-67,-77,-73,-76,-77,-79,-65,-76,-78,-80,-86,-80,-78,-81,-82,-79,-78,-70,-79,-71,-200,-78,-85,-200,-76,-87,-86,-200,-86,-200,-85,-200,-87,-78,-91,-88,-200,-91,-87,-85,-200,-200,-200,-90,-92,-200,-200,-76,-200,-86,-79,-90,-200,-200,-68,-73,-89,-87,-200,-86,-200,-200,-200,-200,-89,-200,-200
1526450409179,-31,-35,-39,-48,-44,-57,-53,-53,-60,-59,-62,-69,-69,-64,-67,-68,-72,-69,-71,-59,-200,-74,-66,-78,-72,-70,-69,-78,-73,-69,-200,-68,-72,-77,-80,-78,-80,-79,-68,-76,-79,-80,-200,-81,-67,-81,-81,-81,-78,-70,-67,-71,-78,-76,-85,-200,-78,-89,-86,-200,-86,-200,-83,-200,-88,-78,-91,-88,-200,-91,-88,-85,-200,-86,-200,-90,-90,-200,-200,-76,-83,-86,-86,-90,-200,-200,-68,-73,-86,-87,-200,-86,-200,-200,-200,-200,-89,-200,-200
1526450412222,-30,-34,-39,-47,-46,-53,-52,-53,-54,-58,-64,-69,-69,-65,-63,-65,-76,-70,-71,-71,-78,-74,-64,-75,-72,-71,-69,-78,-72,-69,-200,-67,-68,-79,-73,-75,-77,-79,-68,-76,-72,-78,-200,-80,-78,-80,-82,-81,-78,-66,-77,-78,-78,-76,-85,-200,-76,-84,-87,-200,-86,-200,-83,-200,-88,-81,-91,-88,-200,-91,-88,-84,-200,-86,-200,-86,-90,-200,-200,-77,-78,-86,-84,-90,-200,-200,-68,-69,-87,-85,-200,-86,-200,-200,-200,-200,-89,-200,-200
