,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A98,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,DLINK_D02A48,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011309,WHU-2018,DLINK_D02A10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526449840503,-34,-39,-42,-39,-49,-48,-45,-48,-50,-51,-51,-49,-51,-57,-51,-55,-56,-58,-60,-59,-60,-59,-55,-69,-60,-59,-66,-61,-66,-66,-68,-69,-72,-69,-67,-70,-75,-70,-72,-62,-76,-73,-68,-77,-72,-68,-86,-74,-67,-84,-74,-77,-77,-66,-79,-84,-77,-200,-78,-71,-78,-82,-79,-80,-81,-80,-82,-83,-88,-86,-86,-84,-77,-87,-74,-88,-87,-87,-200,-89,-90,-64,-70,-53,-82,-200,-200,-89,-90,-62,-67,-72,-76,-80,-83,-200,-200,-200,-85,-73,-84,-88,-82,-88,-200,-90,-200,-200,-75,-92,-200,-200,-200
1526449843555,-33,-39,-32,-41,-41,-37,-48,-47,-51,-50,-52,-51,-50,-56,-50,-56,-58,-57,-61,-67,-59,-56,-55,-70,-60,-63,-59,-62,-67,-65,-68,-68,-68,-69,-67,-70,-75,-70,-73,-62,-76,-70,-74,-77,-73,-58,-76,-74,-72,-84,-75,-200,-77,-200,-75,-84,-76,-200,-77,-57,-78,-68,-78,-81,-81,-80,-200,-83,-88,-85,-86,-86,-78,-87,-74,-89,-87,-200,-92,-89,-90,-64,-67,-66,-75,-200,-81,-89,-200,-64,-68,-72,-75,-80,-82,-200,-200,-200,-82,-73,-84,-88,-86,-88,-200,-90,-200,-200,-78,-200,-200,-200,-200
1526449846608,-34,-38,-47,-58,-41,-40,-44,-44,-49,-50,-51,-52,-51,-56,-51,-52,-54,-58,-57,-67,-60,-60,-62,-67,-60,-57,-59,-60,-67,-68,-69,-69,-67,-67,-66,-74,-75,-70,-73,-62,-77,-71,-74,-77,-71,-60,-76,-74,-70,-77,-75,-79,-77,-200,-75,-84,-76,-200,-75,-69,-78,-69,-78,-80,-80,-79,-82,-83,-88,-87,-86,-83,-78,-87,-74,-84,-87,-200,-92,-89,-90,-72,-62,-71,-81,-200,-81,-86,-200,-64,-68,-71,-75,-80,-84,-200,-84,-200,-82,-81,-84,-88,-86,-88,-200,-90,-200,-200,-78,-200,-200,-200,-200
1526449849649,-34,-39,-47,-44,-39,-41,-44,-48,-50,-51,-50,-50,-52,-56,-53,-52,-57,-58,-59,-59,-59,-63,-62,-62,-59,-59,-60,-61,-67,-66,-69,-69,-72,-63,-66,-69,-69,-70,-73,-61,-77,-72,-74,-74,-72,-58,-76,-74,-67,-74,-75,-79,-77,-200,-79,-84,-77,-57,-76,-73,-78,-69,-79,-81,-81,-83,-82,-83,-88,-85,-86,-87,-78,-87,-77,-84,-87,-200,-92,-90,-200,-64,-62,-68,-81,-200,-81,-86,-200,-64,-66,-71,-75,-75,-84,-200,-84,-200,-82,-81,-84,-88,-87,-200,-200,-90,-200,-200,-78,-200,-200,-200,-200
1526449852686,-32,-40,-43,-41,-41,-41,-46,-48,-50,-51,-52,-50,-49,-54,-52,-55,-56,-56,-58,-67,-60,-61,-62,-65,-59,-58,-59,-61,-67,-66,-69,-70,-68,-66,-65,-69,-69,-70,-73,-62,-77,-72,-74,-73,-73,-59,-74,-74,-67,-73,-75,-79,-77,-200,-76,-84,-77,-57,-76,-72,-79,-69,-79,-80,-81,-83,-82,-83,-200,-85,-86,-86,-78,-200,-75,-85,-87,-84,-92,-89,-200,-64,-67,-68,-81,-200,-81,-86,-200,-61,-66,-71,-77,-79,-83,-200,-84,-200,-82,-81,-200,-200,-87,-200,-200,-88,-200,-200,-78,-90,-200,-200,-200
1526449855721,-33,-38,-42,-44,-41,-41,-45,-44,-49,-49,-57,-50,-45,-55,-48,-57,-56,-58,-60,-59,-60,-62,-50,-67,-59,-59,-59,-64,-67,-66,-68,-69,-71,-69,-66,-69,-70,-70,-71,-62,-76,-71,-68,-72,-72,-59,-73,-62,-73,-75,-64,-77,-77,-75,-75,-200,-77,-87,-76,-71,-79,-75,-78,-80,-82,-80,-85,-84,-83,-85,-88,-84,-77,-88,-75,-85,-87,-78,-200,-89,-91,-63,-64,-65,-75,-200,-200,-86,-200,-65,-65,-71,-81,-79,-84,-84,-84,-200,-200,-71,-81,-86,-87,-200,-200,-88,-200,-200,-200,-92,-200,-200,-200
1526449858764,-34,-38,-40,-40,-39,-39,-42,-46,-51,-49,-48,-49,-50,-56,-52,-56,-57,-57,-60,-67,-59,-50,-50,-67,-60,-58,-61,-62,-67,-66,-67,-69,-71,-66,-69,-69,-69,-70,-71,-62,-77,-73,-68,-72,-72,-58,-70,-74,-63,-74,-64,-75,-76,-75,-75,-84,-77,-87,-76,-71,-79,-69,-78,-81,-80,-72,-85,-84,-85,-85,-88,-85,-76,-88,-70,-86,-90,-84,-200,-89,-90,-65,-65,-65,-82,-200,-85,-86,-200,-65,-70,-71,-75,-79,-84,-84,-84,-79,-84,-75,-79,-87,-200,-200,-200,-88,-200,-200,-200,-92,-79,-200,-200
1526449861806,-32,-38,-47,-40,-40,-41,-47,-44,-49,-49,-49,-50,-50,-56,-52,-54,-56,-62,-59,-63,-60,-60,-58,-67,-60,-60,-61,-64,-67,-59,-69,-69,-68,-70,-64,-72,-69,-70,-72,-62,-77,-71,-73,-72,-72,-60,-74,-74,-74,-76,-64,-75,-77,-75,-76,-82,-76,-76,-76,-71,-200,-76,-78,-80,-81,-82,-85,-84,-85,-85,-88,-83,-76,-89,-76,-88,-90,-84,-90,-200,-90,-63,-65,-65,-82,-200,-85,-86,-200,-62,-70,-73,-75,-200,-84,-84,-200,-79,-84,-75,-75,-87,-200,-200,-200,-88,-200,-200,-200,-92,-79,-90,-200
1526449864849,-33,-39,-49,-43,-41,-39,-77,-45,-50,-50,-52,-52,-50,-56,-51,-56,-58,-58,-61,-63,-60,-70,-63,-67,-60,-57,-59,-59,-68,-59,-68,-70,-67,-69,-67,-72,-67,-70,-72,-62,-77,-79,-68,-200,-72,-60,-77,-74,-74,-76,-64,-75,-77,-75,-80,-83,-77,-76,-74,-71,-89,-67,-78,-81,-81,-82,-200,-84,-87,-85,-87,-84,-76,-85,-76,-89,-90,-84,-91,-88,-89,-63,-64,-71,-82,-200,-85,-86,-200,-65,-68,-73,-75,-79,-83,-84,-200,-79,-84,-75,-75,-87,-200,-200,-200,-88,-200,-200,-200,-200,-79,-90,-200
1526449867884,-32,-38,-42,-40,-42,-39,-46,-44,-50,-52,-49,-51,-47,-51,-53,-57,-58,-58,-55,-63,-60,-61,-63,-67,-60,-58,-66,-65,-68,-66,-71,-69,-73,-73,-67,-72,-67,-70,-72,-61,-76,-67,-68,-200,-69,-60,-77,-74,-64,-76,-200,-75,-77,-75,-78,-83,-77,-79,-76,-71,-89,-68,-78,-79,-81,-82,-82,-82,-87,-85,-87,-84,-78,-85,-74,-86,-90,-84,-91,-88,-90,-63,-66,-71,-82,-200,-85,-86,-200,-65,-68,-71,-73,-79,-83,-200,-200,-79,-84,-73,-75,-87,-200,-200,-200,-200,-200,-200,-200,-200,-79,-90,-200
1526449870919,-33,-40,-47,-40,-40,-38,-46,-48,-48,-51,-46,-49,-50,-57,-52,-55,-57,-56,-57,-59,-58,-60,-57,-62,-61,-61,-60,-60,-67,-69,-69,-72,-68,-69,-67,-72,-67,-69,-69,-62,-76,-72,-73,-78,-74,-63,-73,-74,-67,-76,-200,-77,-77,-200,-78,-83,-77,-79,-76,-71,-89,-68,-78,-80,-80,-81,-82,-83,-87,-86,-87,-84,-78,-85,-75,-88,-86,-200,-91,-88,-90,-64,-66,-68,-80,-83,-200,-200,-200,-63,-68,-71,-78,-80,-83,-200,-200,-79,-200,-78,-75,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-90,-200
1526449873963,-32,-40,-42,-44,-41,-40,-52,-43,-47,-49,-47,-49,-50,-53,-58,-55,-61,-56,-71,-57,-61,-62,-60,-67,-64,-65,-61,-62,-67,-67,-74,-72,-68,-67,-69,-200,-72,-69,-73,-62,-76,-75,-73,-68,-72,-83,-76,-73,-67,-200,-75,-76,-79,-200,-75,-83,-77,-79,-74,-59,-89,-72,-78,-81,-81,-81,-82,-83,-87,-85,-91,-83,-80,-88,-75,-89,-86,-200,-91,-88,-90,-65,-63,-69,-80,-72,-200,-200,-200,-66,-70,-72,-73,-80,-84,-200,-200,-79,-200,-78,-82,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-91
